System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-LMB,Socket 0-RMB,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,Proc Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT0,LLCRDMISSLAT (ns)-SKT0,UncFREQ (Ghz)-SKT0,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-LMB,Core3 (Socket 0)-RMB,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2023-11-28,14:52:40.335,0.32,1.58,0.20,1.30,46.17,64.44,0.28,0.38,0.0030,0.0042,  3680,2,0,3.12,1.07,100,55,15295.50,9694.02,2403.23,3.16,78.89,0.64,15.92,15.51,17.59,0.02,66.88,0.00,100.00,0.00,0.00,0.00,0.00,38.63,9.00 ,8115925.87 ,2.70,1.19,0.91,1.30,1.32,25.49,28.07,0.09,0.12,0.0089,0.0099,    40,0,0,98.63,1.37,0.00,0.00,0.00,57,2848.60,3130.15,2403.23,1.82,45.50,2.37,59.30,
2023-11-28,14:52:41.336,0.31,1.58,0.20,1.31,46.23,64.37,0.28,0.37,0.0031,0.0043,  4520,2,0,3.36,1.15,100,56,15058.40,9508.97,2400.52,3.17,79.18,0.63,15.68,15.16,17.00,0.03,67.81,0.00,100.00,0.00,0.00,0.00,0.00,38.33,9.01 ,0.37 ,2.70,1.19,0.91,1.31,1.32,25.57,28.17,0.09,0.12,0.0089,0.0098,    40,0,0,98.67,1.33,0.00,0.00,0.00,57,2863.55,3137.98,2400.52,1.83,45.63,2.39,59.65,
2023-11-28,14:52:42.336,0.31,1.58,0.20,1.31,46.12,64.27,0.28,0.37,0.0031,0.0043,  4880,0,0,3.35,1.15,100,55,15054.35,9501.99,2400.20,3.17,79.22,0.63,15.68,15.13,16.99,0.02,67.86,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.99 ,0.37 ,2.70,1.19,0.91,1.31,1.33,25.55,28.16,0.09,0.12,0.0089,0.0098,    40,0,0,98.68,1.32,0.00,0.00,0.00,57,2865.53,3138.43,2400.20,1.83,45.65,2.39,59.69,
2023-11-28,14:52:43.336,0.31,1.59,0.20,1.31,46.27,64.37,0.28,0.37,0.0031,0.0043,  4960,0,0,3.37,1.15,100,55,15067.22,9504.69,2400.15,3.17,79.26,0.63,15.69,15.10,16.85,0.01,68.04,0.00,100.00,0.00,0.00,0.00,0.00,38.36,8.99 ,0.00 ,2.70,1.19,0.91,1.31,1.33,25.57,28.17,0.09,0.12,0.0089,0.0098,    40,0,0,98.76,1.24,0.00,0.00,0.00,57,2866.68,3142.60,2400.15,1.82,45.61,2.39,59.72,
2023-11-28,14:52:44.336,0.31,1.59,0.20,1.31,46.12,64.28,0.28,0.37,0.0031,0.0043,  5200,0,0,3.35,1.15,100,55,15071.34,9504.36,2400.06,3.17,79.29,0.63,15.70,15.09,16.79,0.00,68.11,0.00,100.00,0.00,0.00,0.00,0.00,38.32,9.01 ,0.33 ,2.70,1.20,0.91,1.31,1.33,25.58,28.20,0.09,0.12,0.0089,0.0098,    40,0,0,98.79,1.21,0.00,0.00,0.00,57,2870.20,3143.79,2400.06,1.83,45.65,2.39,59.79,
2023-11-28,14:52:45.336,0.31,1.58,0.20,1.31,46.09,64.26,0.28,0.37,0.0031,0.0043,  5240,0,0,3.35,1.15,100,55,15054.77,9502.11,2400.06,3.17,79.22,0.63,15.68,15.11,16.96,0.00,67.93,0.00,100.00,0.00,0.00,0.00,0.00,38.34,9.01 ,0.37 ,2.70,1.19,0.91,1.31,1.33,25.54,28.15,0.09,0.12,0.0089,0.0098,    40,0,0,98.74,1.26,0.00,0.00,0.00,57,2866.61,3140.62,2400.06,1.83,45.64,2.39,59.72,
2023-11-28,14:52:46.336,0.31,1.59,0.20,1.31,46.54,64.54,0.28,0.37,0.0031,0.0043,  5400,0,0,3.40,1.17,100,55,15079.94,9506.15,2400.06,3.17,79.32,0.63,15.71,15.08,16.67,0.00,68.25,0.00,100.00,0.00,0.00,0.00,0.00,38.35,9.03 ,0.33 ,2.70,1.19,0.91,1.31,1.33,25.52,28.14,0.09,0.12,0.0089,0.0098,    40,0,0,98.79,1.21,0.00,0.00,0.00,57,2865.55,3144.89,2400.06,1.82,45.56,2.39,59.70,
2023-11-28,14:52:47.336,0.31,1.59,0.20,1.31,46.08,64.30,0.28,0.37,0.0031,0.0043,  5440,0,0,3.34,1.14,100,54,15076.39,9506.51,2399.95,3.17,79.30,0.63,15.70,15.08,16.62,0.00,68.30,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.97 ,0.33 ,2.70,1.20,0.91,1.31,1.33,25.60,28.23,0.09,0.12,0.0089,0.0098,    40,0,0,98.79,1.21,0.00,0.00,0.00,57,2871.66,3145.53,2399.95,1.83,45.65,2.39,59.83,
2023-11-28,14:52:48.336,0.31,1.59,0.20,1.31,46.20,64.38,0.28,0.36,0.0031,0.0043,  5480,0,0,3.35,1.15,100,55,15098.68,9508.77,2399.96,3.18,79.39,0.63,15.73,15.08,16.59,0.00,68.33,0.00,100.00,0.00,0.00,0.00,0.00,38.36,8.94 ,0.37 ,2.70,1.20,0.91,1.31,1.33,25.64,28.26,0.09,0.12,0.0089,0.0098,    40,0,0,98.82,1.18,0.00,0.00,0.00,57,2870.75,3146.47,2399.96,1.82,45.62,2.39,59.81,
2023-11-28,14:52:49.336,0.31,1.59,0.20,1.31,46.13,64.28,0.28,0.36,0.0031,0.0043,  5880,1,0,3.35,1.15,100,55,15082.51,9502.65,2399.91,3.17,79.36,0.63,15.71,15.09,16.74,0.00,68.18,0.00,100.00,0.00,0.00,0.00,0.00,38.36,9.00 ,0.33 ,2.70,1.19,0.91,1.31,1.33,25.54,28.16,0.09,0.12,0.0089,0.0098,    40,0,0,98.75,1.25,0.00,0.00,0.00,57,2867.02,3143.08,2399.91,1.82,45.61,2.39,59.73,
