,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-11-28,14:18:00.432, 1121.91,  306.14,  744.56,  253.05,  731.22,  256.45,  922.27,  281.64,,, 3519.97, 1097.28,3904739445, 4617.25,   3519.97,   1097.28,   4617.25
2023-11-28,14:18:01.432, 1210.45,  335.95,  799.05,  277.95,  783.47,  281.61,  991.68,  308.79,,, 3784.65, 1204.30,4265403437, 4988.95,   3784.65,   1204.30,   4988.95
2023-11-28,14:18:02.432, 1188.05,  334.13,  777.09,  276.20,  760.32,  279.49,  968.33,  306.68,,, 3693.79, 1196.50,4264036046, 4890.28,   3693.79,   1196.50,   4890.28
2023-11-28,14:18:03.431, 1172.07,  333.73,  762.97,  275.88,  746.77,  279.49,  952.64,  306.05,,, 3634.45, 1195.14,4263995838, 4829.60,   3634.45,   1195.14,   4829.60
2023-11-28,14:18:04.432, 1158.50,  332.70,  749.43,  274.80,  734.58,  278.99,  938.48,  305.22,,, 3580.98, 1191.71,4264232266, 4772.70,   3580.98,   1191.71,   4772.70
2023-11-28,14:18:05.432, 1146.28,  330.67,  738.06,  273.29,  722.90,  277.13,  926.41,  303.04,,, 3533.65, 1184.12,4268204312, 4717.77,   3533.65,   1184.12,   4717.77
2023-11-28,14:18:06.431, 1137.40,  329.76,  730.18,  272.79,  713.73,  276.38,  918.50,  302.74,,, 3499.82, 1181.67,4264101666, 4681.49,   3499.82,   1181.67,   4681.49
2023-11-28,14:18:07.432, 1134.83,  331.12,  727.40,  273.66,  711.25,  277.48,  915.74,  303.51,,, 3489.23, 1185.77,4268259299, 4675.01,   3489.23,   1185.77,   4675.01
2023-11-28,14:18:08.432, 1126.27,  330.17,  717.88,  272.17,  703.17,  276.55,  906.95,  302.50,,, 3454.26, 1181.40,4263991390, 4635.66,   3454.26,   1181.40,   4635.66
2023-11-28,14:18:09.431, 1118.49,  328.19,  712.11,  270.79,  696.69,  274.91,  900.02,  300.99,,, 3427.31, 1174.88,4264140062, 4602.19,   3427.31,   1174.88,   4602.19
2023-11-28,14:18:10.432, 1114.09,  327.22,  707.51,  269.77,  692.45,  273.93,  895.61,  299.61,,, 3409.67, 1170.53,4268229719, 4580.20,   3409.67,   1170.53,   4580.20
2023-11-28,14:18:11.432, 1115.09,  328.86,  710.05,  271.84,  694.36,  275.78,  896.50,  301.09,,, 3416.00, 1177.57,4263973554, 4593.57,   3416.00,   1177.57,   4593.57
2023-11-28,14:18:12.431, 1107.09,  326.79,  704.76,  270.39,  687.87,  273.75,  890.97,  299.81,,, 3390.70, 1170.74,4263962291, 4561.43,   3390.70,   1170.74,   4561.43
2023-11-28,14:18:13.432, 1111.62,  328.89,  707.74,  272.42,  691.53,  276.09,  894.25,  302.12,,, 3405.14, 1179.52,4268228345, 4584.66,   3405.14,   1179.52,   4584.66
2023-11-28,14:18:14.432, 1107.53,  327.98,  705.20,  271.51,  687.90,  275.51,  890.09,  300.51,,, 3390.72, 1175.52,4264021928, 4566.24,   3390.72,   1175.52,   4566.24
2023-11-28,14:18:15.431, 1105.14,  327.75,  704.75,  271.94,  686.76,  275.88,  888.67,  300.71,,, 3385.31, 1176.27,4263991917, 4561.58,   3385.31,   1176.27,   4561.58
2023-11-28,14:18:16.432, 1102.44,  327.48,  701.05,  270.86,  684.20,  275.02,  887.01,  299.83,,, 3374.71, 1173.19,4268216717, 4547.91,   3374.71,   1173.19,   4547.91
2023-11-28,14:18:17.432, 1099.81,  326.55,  699.20,  270.48,  682.09,  274.41,  884.95,  299.34,,, 3366.03, 1170.79,4264059119, 4536.82,   3366.03,   1170.79,   4536.82
2023-11-28,14:18:18.431, 1107.92,  330.29,  707.07,  274.03,  690.52,  278.27,  892.60,  302.90,,, 3398.10, 1185.49,4263976856, 4583.59,   3398.10,   1185.49,   4583.59
2023-11-28,14:18:19.432, 1101.32,  327.19,  699.41,  270.79,  681.61,  274.59,  883.96,  299.53,,, 3366.30, 1172.11,4268232790, 4538.41,   3366.30,   1172.11,   4538.41
2023-11-28,14:18:20.431, 1100.43,  326.92,  698.97,  271.33,  681.23,  274.55,  883.61,  299.96,,, 3364.24, 1172.76,4263995622, 4537.01,   3364.24,   1172.76,   4537.01
2023-11-28,14:18:21.432, 1100.05,  327.21,  699.47,  271.56,  682.01,  275.23,  884.26,  299.83,,, 3365.79, 1173.82,4263996567, 4539.61,   3365.79,   1173.82,   4539.61
2023-11-28,14:18:22.433, 1096.30,  325.73,  695.43,  269.95,  678.27,  274.01,  880.52,  298.57,,, 3350.52, 1168.27,4268504848, 4518.79,   3350.52,   1168.27,   4518.79
2023-11-28,14:18:23.433, 1096.29,  326.20,  694.10,  269.27,  677.45,  273.62,  879.64,  298.20,,, 3347.48, 1167.29,4264121708, 4514.77,   3347.48,   1167.29,   4514.77
2023-11-28,14:18:24.432, 1093.87,  325.68,  692.79,  268.99,  676.13,  273.15,  878.63,  297.74,,, 3341.42, 1165.56,4263982018, 4506.97,   3341.42,   1165.56,   4506.97
2023-11-28,14:18:25.433, 1096.73,  326.82,  694.58,  270.09,  678.44,  274.26,  881.07,  299.14,,, 3350.82, 1170.30,4268226558, 4521.12,   3350.82,   1170.30,   4521.12
2023-11-28,14:18:26.433, 1092.21,  325.76,  691.36,  269.09,  674.43,  273.60,  877.39,  298.25,,, 3335.39, 1166.70,4263831832, 4502.09,   3335.39,   1166.70,   4502.09
2023-11-28,14:18:27.432, 1084.00,  324.42,  685.19,  267.95,  668.22,  272.61,  867.83,  296.28,,, 3305.24, 1161.26,4264245244, 4466.49,   3305.24,   1161.26,   4466.49
