skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
8442210,6086528,1334298,58869160,1105510,0,327040,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8475964,6119470,1301468,58915318,1114680,0,574924
9386986,7063182,1736588,67668034,1097404,0,571928,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9104186,7209146,2076326,66219846,1062040,0,566090
9216256,7213486,2365426,67291462,1106238,0,571256,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8894354,6942768,2547300,66300220,1044148,168,552300
9032044,7146930,2464742,58388624,1106518,0,330400,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8344588,6181532,2335186,58263982,1111166,0,328006
8377026,6133428,4684134,58083676,1105062,0,568708,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9508100,7001722,5399352,68933662,1118068,14,572838
9557002,7166936,5187560,68316178,1118600,14,561358,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9386496,7157822,4932760,68665604,1118698,280,566146
9426060,7215180,4785872,67534782,1118894,0,567868,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9367120,6693078,3146906,68788342,1110410,0,567798
9464364,6969970,1459836,58176398,1122996,0,332500,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8404816,6188616,1251040,58340338,1125404,0,331912
8424556,6252386,1253616,58322390,1119902,0,329868,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8434748,6036002,1263976,58426942,1095724,280,330442
8452878,6027868,1283450,58348892,1070790,0,330484,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8443512,6027322,1278718,59640938,1074094,0,332444
8419306,6140946,1294986,59705576,1080884,0,333704,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8456784,6149640,1255296,59259200,1104222,0,326676
