SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  622.75,  258.96,  640.02,  264.36,  580.46,  256.37,  697.64,  276.37, 2540.87, 1056.07,    125926, 3596.93,   2540.87,   1056.07,   3596.93
  620.74,  257.65,  637.38,  262.90,  578.50,  255.23,  694.93,  274.97, 2531.54, 1050.74,    125736, 3582.29,   2531.54,   1050.74,   3582.29
  621.49,  257.73,  637.34,  262.88,  578.94,  255.37,  695.07,  275.27, 2532.85, 1051.25,    125866, 3584.09,   2532.85,   1051.25,   3584.09
  621.40,  257.71,  637.60,  263.38,  578.44,  255.18,  694.99,  275.23, 2532.43, 1051.50,    125746, 3583.93,   2532.43,   1051.50,   3583.93
  625.51,  259.53,  641.36,  264.84,  582.33,  256.76,  699.69,  277.10, 2548.89, 1058.23,    125767, 3607.11,   2548.89,   1058.23,   3607.11
  622.76,  258.40,  640.37,  265.81,  579.64,  255.58,  699.01,  276.14, 2541.78, 1055.92,    125856, 3597.70,   2541.78,   1055.92,   3597.70
  619.97,  257.40,  640.55,  267.79,  577.51,  254.40,  698.32,  275.08, 2536.36, 1054.67,    125772, 3591.03,   2536.36,   1054.67,   3591.03
  620.25,  257.57,  640.23,  267.62,  576.54,  254.20,  698.58,  275.10, 2535.61, 1054.49,    125791, 3590.10,   2535.61,   1054.49,   3590.10
  616.66,  256.08,  636.41,  266.34,  572.83,  253.05,  693.52,  273.54, 2519.43, 1049.01,    125906, 3568.43,   2519.43,   1049.01,   3568.43
  617.44,  256.23,  637.80,  266.86,  573.28,  253.20,  695.16,  273.86, 2523.66, 1050.15,    125763, 3573.82,   2523.66,   1050.15,   3573.82
  616.93,  256.07,  636.60,  266.27,  574.01,  253.33,  694.12,  273.44, 2521.67, 1049.11,    125720, 3570.78,   2521.67,   1049.11,   3570.78
  617.19,  256.44,  637.09,  266.42,  575.46,  253.97,  696.21,  274.30, 2525.95, 1051.13,    125909, 3577.08,   2525.95,   1051.13,   3577.08
  615.12,  255.66,  634.60,  265.62,  574.17,  253.23,  694.49,  273.48, 2518.37, 1047.99,    125746, 3566.36,   2518.37,   1047.99,   3566.36
  620.37,  257.80,  641.46,  268.30,  579.31,  255.79,  700.15,  276.00, 2541.29, 1057.89,    125886, 3599.19,   2541.29,   1057.89,   3599.19
  614.88,  255.45,  634.91,  265.41,  573.46,  253.40,  693.78,  273.26, 2517.02, 1047.52,    125785, 3564.55,   2517.02,   1047.52,   3564.55
  614.65,  255.26,  634.24,  265.23,  572.34,  252.99,  693.97,  273.08, 2515.19, 1046.55,    125755, 3561.75,   2515.19,   1046.55,   3561.75
  612.36,  254.40,  631.68,  264.33,  569.90,  251.64,  692.04,  272.25, 2505.98, 1042.62,    125866, 3548.60,   2505.98,   1042.62,   3548.60
