Unnamed: 0,ndpi_stats-pcm_new_System-Date,ndpi_stats-pcm_new_System-Time,ndpi_stats-pcm_new_Socket 0-EXEC,ndpi_stats-pcm_new_Socket 0-IPC,ndpi_stats-pcm_new_Socket 0-FREQ,ndpi_stats-pcm_new_Socket 0-AFREQ,ndpi_stats-pcm_new_Socket 0-L3MISS,ndpi_stats-pcm_new_Socket 0-L2MISS,ndpi_stats-pcm_new_Socket 0-L3HIT,ndpi_stats-pcm_new_Socket 0-L2HIT,ndpi_stats-pcm_new_Socket 0-L3MPI,ndpi_stats-pcm_new_Socket 0-L2MPI,ndpi_stats-pcm_new_Socket 0-L3OCC,ndpi_stats-pcm_new_Socket 0-LMB,ndpi_stats-pcm_new_Socket 0-RMB,ndpi_stats-pcm_new_Socket 0-READ,ndpi_stats-pcm_new_Socket 0-WRITE,ndpi_stats-pcm_new_Socket 0-LOCAL,ndpi_stats-pcm_new_Socket 0-TEMP,ndpi_stats-pcm_new_Socket 0-INST,ndpi_stats-pcm_new_Socket 0-ACYC,ndpi_stats-pcm_new_Socket 0-TIME(ticks),ndpi_stats-pcm_new_Socket 0-PhysIPC,ndpi_stats-pcm_new_Socket 0-PhysIPC%,ndpi_stats-pcm_new_Socket 0-INSTnom,ndpi_stats-pcm_new_Socket 0-INSTnom%,ndpi_stats-pcm_new_SKT0 Core C-State-C0res%,ndpi_stats-pcm_new_SKT0 Core C-State-C1res%,ndpi_stats-pcm_new_SKT0 Core C-State-C3res%,ndpi_stats-pcm_new_SKT0 Core C-State-C6res%,ndpi_stats-pcm_new_SKT0 Core C-State-C7res%,ndpi_stats-pcm_new_SKT0 Package C-State-C0res%,ndpi_stats-pcm_new_SKT0 Package C-State-C2res%,ndpi_stats-pcm_new_SKT0 Package C-State-C3res%,ndpi_stats-pcm_new_SKT0 Package C-State-C6res%,ndpi_stats-pcm_new_SKT0 Package C-State-C7res%,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT0,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT0,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT0,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT0,ndpi_stats-pcm_new_Core3 (Socket 0)-EXEC,ndpi_stats-pcm_new_Core3 (Socket 0)-IPC,ndpi_stats-pcm_new_Core3 (Socket 0)-FREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-AFREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L3HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L2HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L3OCC,ndpi_stats-pcm_new_Core3 (Socket 0)-LMB,ndpi_stats-pcm_new_Core3 (Socket 0)-RMB,ndpi_stats-pcm_new_Core3 (Socket 0)-C0res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C1res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C3res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C6res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C7res%,ndpi_stats-pcm_new_Core3 (Socket 0)-TEMP,ndpi_stats-pcm_new_Core3 (Socket 0)-INST,ndpi_stats-pcm_new_Core3 (Socket 0)-ACYC,ndpi_stats-pcm_new_Core3 (Socket 0)-TIME(ticks),ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC,ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC%,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom%,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Ch2Read,pcm-memory_new_SKT0-Ch2Write,pcm-memory_new_SKT0-Ch3Read,pcm-memory_new_SKT0-Ch3Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory,llc-way,input-rate,throughput,latency
0,2023-11-28,13:37:48.735,0.39,1.95,0.2,1.3,27.42,48.34,0.43,0.47,0.0015,0.0026,2240.0,3.0,0.0,1.96,1.11,100.0,55.0,18583.23,9534.45,2402.62,3.9,97.45,0.77,19.34,15.21,17.08,0.02,67.69,0.0,100.0,0.0,0.0,0.0,0.0,38.59,8.6,771874.23,2.7,1.29,0.99,1.31,1.32,18.39,21.56,0.15,0.14,0.0059,0.007,0.0,0.0,0.0,98.8,1.2,0.0,0.0,0.0,57.0,3100.16,3142.88,2402.62,1.97,49.32,2.58,64.53,8442210.0,6086528.0,1334298.0,58869160.0,1105510.0,0.0,327040.0,470.84,265.56,473.11,266.27,462.64,271.68,475.74,265.66,1882.33,1069.18,4098602122.0,2951.51,1882.33,1069.18,2951.51,2,5.65,5.43,1313955.1
1,2023-11-28,13:37:49.735,0.39,1.95,0.2,1.31,27.43,48.34,0.43,0.47,0.0015,0.0026,2680.0,2.0,0.0,1.96,1.12,100.0,55.0,18587.23,9525.29,2400.29,3.9,97.57,0.77,19.36,15.18,16.91,0.02,67.89,0.0,100.0,0.0,0.0,0.0,0.0,38.55,8.6,0.11,2.7,1.29,0.99,1.31,1.33,18.39,21.56,0.15,0.14,0.0059,0.007,0.0,0.0,0.0,98.83,1.17,0.0,0.0,0.0,57.0,3100.29,3143.55,2400.29,1.97,49.31,2.58,64.58,8411102.0,6139406.0,1557122.0,58860032.0,1110634.0,0.0,328174.0,490.43,276.83,493.38,277.8,482.23,283.35,495.34,276.85,1961.37,1114.82,4265411605.0,3076.19,1961.37,1114.82,3076.19,2,5.65,5.43,1313955.1
2,2023-11-28,13:37:50.735,0.4,2.02,0.2,1.31,25.73,49.79,0.48,0.46,0.0013,0.0026,2960.0,3.0,0.0,2.01,1.14,100.0,54.0,19262.67,9530.62,2400.21,4.04,101.06,0.8,20.06,15.16,16.72,0.01,68.11,0.0,100.0,0.0,0.0,0.0,0.0,38.76,8.62,0.37,2.7,1.57,1.2,1.31,1.33,14.28,21.03,0.32,0.14,0.0038,0.0056,0.0,0.0,0.0,98.89,1.11,0.0,0.0,0.0,56.0,3765.45,3147.3,2400.21,2.39,59.82,3.14,78.44,8475964.0,6119470.0,1301468.0,58915318.0,1114680.0,0.0,574924.0,498.89,281.83,502.62,283.01,487.88,288.35,504.92,282.43,1994.31,1135.62,4264256813.0,3129.93,1994.31,1135.62,3129.93,2,5.65,5.43,1313955.1
3,2023-11-28,13:37:51.735,0.44,2.23,0.2,1.31,19.85,53.34,0.63,0.45,0.0009,0.0025,3360.0,4.0,0.0,2.02,1.18,100.0,54.0,21210.73,9521.31,2400.25,4.46,111.39,0.88,22.09,15.17,17.12,0.01,67.7,0.0,100.0,0.0,0.0,0.0,0.0,39.28,8.52,0.26,2.7,2.39,1.83,1.31,1.32,2.27,19.21,0.88,0.14,0.0004,0.0033,0.0,0.0,0.0,98.88,1.12,0.0,0.0,0.0,56.0,5745.38,3142.96,2400.25,3.66,91.4,4.79,119.68,9386986.0,7063182.0,1736588.0,67668034.0,1097404.0,0.0,571928.0,506.37,293.21,512.65,294.19,487.34,300.02,514.5,293.67,2020.85,1181.09,4264238373.0,3201.94,2020.85,1181.09,3201.94,2,5.65,5.43,1313955.1
4,2023-11-28,13:37:52.735,0.44,2.23,0.2,1.31,19.44,53.32,0.64,0.45,0.0009,0.0025,3520.0,2.0,0.0,1.99,1.18,100.0,55.0,21268.92,9529.11,2400.1,4.46,111.6,0.89,22.15,15.17,16.78,0.02,68.03,0.0,100.0,0.0,0.0,0.0,0.0,39.33,8.59,0.15,2.7,2.41,1.84,1.31,1.33,1.94,19.15,0.9,0.15,0.0003,0.0033,0.0,0.0,0.0,98.89,1.11,0.0,0.0,0.0,56.0,5788.27,3146.58,2400.1,3.68,91.98,4.82,120.58,9305632.0,7283696.0,1922774.0,66151736.0,1081738.0,0.0,563388.0,498.18,291.99,504.05,292.69,478.43,298.6,506.46,292.72,1987.11,1176.0,4268485147.0,3163.11,1987.11,1176.0,3163.11,2,5.65,5.43,1313955.1
5,2023-11-28,13:37:53.735,0.44,2.23,0.2,1.3,19.29,53.08,0.64,0.45,0.0009,0.0025,3640.0,4.0,0.0,1.97,1.17,100.0,55.0,21251.14,9518.05,2400.18,4.47,111.64,0.89,22.14,15.2,17.21,0.03,67.56,0.0,100.0,0.0,0.0,0.0,0.0,39.32,8.49,0.37,2.7,2.41,1.85,1.31,1.32,1.94,19.05,0.9,0.15,0.0003,0.0033,0.0,0.0,0.0,98.75,1.25,0.0,0.0,0.0,56.0,5793.88,3138.12,2400.18,3.69,92.31,4.83,120.7,9104186.0,7209146.0,2076326.0,66219846.0,1062040.0,0.0,566090.0,494.05,291.5,499.73,292.06,474.24,297.79,502.32,292.14,1970.33,1173.49,4263826368.0,3143.82,1970.33,1173.49,3143.82,2,5.65,5.43,1313955.1
6,2023-11-28,13:37:54.735,0.44,2.24,0.2,1.31,19.39,52.89,0.63,0.45,0.0009,0.0025,3800.0,2.0,0.0,1.96,1.17,100.0,54.0,21293.25,9523.94,2400.17,4.47,111.79,0.89,22.18,15.17,16.9,0.02,67.91,0.0,100.0,0.0,0.0,0.0,0.0,39.32,8.48,0.3,2.7,2.41,1.84,1.31,1.33,2.15,19.04,0.89,0.15,0.0004,0.0033,0.0,0.0,0.0,98.84,1.16,0.0,0.0,0.0,55.0,5779.86,3143.66,2400.17,3.68,91.93,4.82,120.41,9216256.0,7213486.0,2365426.0,67291462.0,1106238.0,0.0,571256.0,493.42,291.81,499.52,292.32,474.22,298.1,502.3,292.75,1969.47,1174.99,4264256600.0,3144.46,1969.47,1174.99,3144.46,2,5.65,5.43,1313955.1
7,2023-11-28,13:37:55.736,0.44,2.23,0.2,1.31,19.39,52.87,0.63,0.45,0.0009,0.0025,3800.0,1.0,0.0,1.96,1.17,100.0,55.0,21251.9,9512.89,2400.05,4.47,111.7,0.89,22.14,15.17,17.31,0.02,67.49,0.0,100.0,0.0,0.0,0.0,0.0,39.31,8.49,0.04,2.7,2.41,1.84,1.31,1.32,2.2,19.06,0.88,0.15,0.0004,0.0033,0.0,0.0,0.0,98.85,1.15,0.0,0.0,0.0,56.0,5776.55,3140.05,2400.05,3.68,91.98,4.81,120.34,9541196.0,6801774.0,2266110.0,69158670.0,1016372.0,0.0,550676.0,487.88,289.51,494.9,290.86,469.47,296.35,497.02,290.62,1949.27,1167.35,4268502426.0,3116.62,1949.27,1167.35,3116.62,2,5.65,5.43,1313955.1
8,2023-11-28,13:37:56.736,0.44,2.24,0.2,1.31,19.06,52.91,0.64,0.45,0.0009,0.0025,3840.0,5.0,0.0,1.94,1.17,100.0,54.0,21330.46,9530.37,2400.22,4.48,111.91,0.89,22.22,15.17,16.82,0.01,68.0,0.0,100.0,0.0,0.0,0.0,0.0,39.36,8.56,0.19,2.7,2.42,1.85,1.31,1.33,1.9,19.04,0.9,0.15,0.0003,0.0033,0.0,0.0,0.0,98.92,1.08,0.0,0.0,0.0,56.0,5819.05,3146.95,2400.22,3.7,92.46,4.85,121.22,8894354.0,6942768.0,2547300.0,66300220.0,1044148.0,168.0,552300.0,486.1,290.58,492.98,291.5,467.04,297.15,494.81,291.46,1940.93,1170.68,4264259263.0,3111.61,1940.93,1170.68,3111.61,2,5.65,5.43,1313955.1
9,2023-11-28,13:37:57.736,0.4,2.03,0.2,1.31,24.78,49.89,0.5,0.46,0.0013,0.0026,4040.0,2.0,0.0,1.96,1.15,100.0,55.0,19342.44,9524.78,2400.07,4.06,101.54,0.81,20.15,15.18,16.93,0.01,67.88,0.0,100.0,0.0,0.0,0.0,0.0,38.85,8.56,0.0,2.7,1.62,1.24,1.31,1.33,13.09,20.52,0.36,0.15,0.0034,0.0053,0.0,0.0,0.0,98.83,1.17,0.0,0.0,0.0,56.0,3893.64,3142.97,2400.07,2.48,61.94,3.24,81.11,9032044.0,7146930.0,2464742.0,58388624.0,1106518.0,0.0,330400.0,491.2,285.65,495.13,286.08,478.22,291.87,497.44,285.87,1962.0,1149.47,4264252787.0,3111.48,1962.0,1149.47,3111.48,2,5.65,5.43,1313955.1
