SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  631.20,  248.08,  629.52,  262.73,  566.05,  247.18,  675.50,  263.42, 2502.27, 1021.42,4079178709, 3523.68,   2502.27,   1021.42,   3523.68
  662.70,  260.40,  659.68,  275.41,  594.82,  259.54,  708.13,  275.70, 2625.33, 1071.05,4265374566, 3696.38,   2625.33,   1071.05,   3696.38
  661.30,  259.83,  657.61,  274.61,  594.09,  259.49,  706.88,  275.45, 2619.88, 1069.39,4263829090, 3689.26,   2619.88,   1069.39,   3689.26
  659.97,  259.53,  655.94,  273.91,  592.48,  258.86,  705.24,  274.90, 2613.64, 1067.21,4264056236, 3680.85,   2613.64,   1067.21,   3680.85
  654.63,  257.29,  651.56,  272.16,  586.57,  256.55,  699.95,  272.56, 2592.72, 1058.56,4265474300, 3651.27,   2592.72,   1058.56,   3651.27
  657.24,  258.81,  653.70,  273.19,  588.71,  257.70,  702.89,  273.98, 2602.54, 1063.68,4268247110, 3666.22,   2602.54,   1063.68,   3666.22
  662.75,  261.23,  658.15,  275.22,  594.44,  260.31,  708.00,  276.25, 2623.34, 1073.01,4264223034, 3696.35,   2623.34,   1073.01,   3696.35
  658.49,  259.46,  654.97,  274.13,  591.18,  258.76,  704.18,  274.68, 2608.82, 1067.03,4263995055, 3675.85,   2608.82,   1067.03,   3675.85
  657.23,  259.44,  653.99,  274.19,  590.25,  259.15,  703.55,  274.72, 2605.01, 1067.50,4268246738, 3672.51,   2605.01,   1067.50,   3672.51
  654.15,  258.36,  650.49,  272.83,  586.19,  257.71,  699.82,  273.51, 2590.65, 1062.40,4263992849, 3653.05,   2590.65,   1062.40,   3653.05
  652.63,  257.87,  649.30,  272.34,  585.86,  257.34,  698.71,  273.28, 2586.50, 1060.82,4268230445, 3647.31,   2586.50,   1060.82,   3647.31
  646.11,  255.66,  646.61,  274.29,  578.60,  254.71,  694.62,  270.58, 2565.94, 1055.25,4263978479, 3621.18,   2565.94,   1055.25,   3621.18
  648.63,  257.18,  649.07,  275.93,  580.39,  256.32,  697.98,  271.67, 2576.06, 1061.10,4264033955, 3637.16,   2576.06,   1061.10,   3637.16
  645.64,  256.12,  646.76,  275.18,  577.76,  255.21,  694.83,  270.79, 2564.99, 1057.30,4268238199, 3622.29,   2564.99,   1057.30,   3622.29
  644.18,  255.39,  645.07,  274.62,  575.95,  254.65,  692.64,  270.13, 2557.84, 1054.79,4264367087, 3612.63,   2557.84,   1054.79,   3612.63
