System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-LMB,Socket 0-RMB,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,Proc Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT0,LLCRDMISSLAT (ns)-SKT0,UncFREQ (Ghz)-SKT0,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-LMB,Core3 (Socket 0)-RMB,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2023-11-28,13:50:12.639,0.40,1.99,0.20,1.31,25.07,46.93,0.47,0.48,0.0013,0.0025,  1400,2,0,1.80,1.11,100,53,18980.84,9556.37,2403.12,3.97,99.31,0.79,19.75,15.21,16.91,0.01,67.87,0.00,100.00,0.00,0.00,0.00,0.00,38.89,8.50 ,3422032.24 ,2.70,1.30,1.00,1.31,1.33,17.02,20.25,0.16,0.15,0.0054,0.0065,     0,0,0,98.86,1.14,0.00,0.00,0.00,55,3131.29,3146.41,2403.12,1.99,49.76,2.61,65.18,
2023-11-28,13:50:13.639,0.40,1.99,0.20,1.31,25.14,46.93,0.46,0.48,0.0013,0.0025,  1520,3,0,1.82,1.12,100,53,18962.74,9529.15,2400.13,3.98,99.50,0.79,19.75,15.18,16.87,0.01,67.95,0.00,100.00,0.00,0.00,0.00,0.00,38.83,8.44 ,0.04 ,2.70,1.31,1.00,1.31,1.33,17.03,20.27,0.16,0.15,0.0054,0.0065,     0,0,0,98.88,1.12,0.00,0.00,0.00,55,3136.34,3145.20,2400.13,1.99,49.86,2.61,65.33,
2023-11-28,13:50:14.639,0.40,1.99,0.20,1.31,25.31,47.00,0.46,0.48,0.0013,0.0025,  1760,2,0,1.84,1.14,100,52,18984.46,9532.23,2400.04,3.98,99.58,0.79,19.77,15.16,16.71,0.05,68.08,0.00,100.00,0.00,0.00,0.00,0.00,38.76,8.46 ,0.33 ,2.70,1.31,1.00,1.31,1.33,17.04,20.27,0.16,0.15,0.0054,0.0065,     0,0,0,98.91,1.09,0.00,0.00,0.00,55,3136.14,3147.95,2400.04,1.99,49.81,2.61,65.33,
2023-11-28,13:50:15.639,0.40,1.99,0.20,1.30,25.32,47.17,0.46,0.48,0.0013,0.0025,  3560,7,0,1.83,1.13,100,52,19015.75,9577.46,2400.18,3.97,99.27,0.79,19.81,15.35,16.74,0.04,67.88,0.00,100.00,0.00,0.00,0.00,0.00,38.79,8.51 ,0.04 ,2.70,1.31,1.00,1.31,1.33,17.03,20.26,0.16,0.15,0.0054,0.0065,     0,0,0,98.90,1.10,0.00,0.00,0.00,55,3134.35,3145.76,2400.18,1.99,49.82,2.61,65.30,
2023-11-28,13:50:16.639,0.39,1.99,0.20,1.31,25.03,46.88,0.47,0.48,0.0013,0.0025,  3680,0,0,1.81,1.12,100,52,18958.01,9525.85,2400.26,3.98,99.51,0.79,19.75,15.17,16.90,0.01,67.91,0.00,100.00,0.00,0.00,0.00,0.00,38.81,8.51 ,0.37 ,2.70,1.31,1.00,1.31,1.33,17.02,20.27,0.16,0.15,0.0054,0.0065,     0,0,0,98.85,1.15,0.00,0.00,0.00,55,3137.47,3144.13,2400.26,2.00,49.89,2.61,65.36,
2023-11-28,13:50:17.639,0.39,1.99,0.20,1.30,25.03,46.87,0.47,0.48,0.0013,0.0025,  3840,3,0,1.81,1.12,100,53,18925.48,9515.98,2400.01,3.98,99.44,0.79,19.71,15.19,17.30,0.05,67.46,0.00,100.00,0.00,0.00,0.00,0.00,38.79,8.52 ,0.37 ,2.70,1.30,1.00,1.31,1.32,16.99,20.23,0.16,0.15,0.0054,0.0065,     0,0,0,98.79,1.21,0.00,0.00,0.00,55,3131.02,3138.23,2400.01,2.00,49.89,2.61,65.23,
2023-11-28,13:50:18.639,0.40,1.99,0.20,1.31,25.18,46.92,0.46,0.48,0.0013,0.0025,  3960,0,0,1.83,1.13,100,53,18977.69,9533.10,2400.15,3.98,99.54,0.79,19.77,15.18,16.76,0.01,68.06,0.00,100.00,0.00,0.00,0.00,0.00,38.78,8.50 ,388321.58 ,2.70,1.31,1.00,1.31,1.33,17.03,20.26,0.16,0.15,0.0054,0.0065,     0,0,0,98.90,1.10,0.00,0.00,0.00,55,3135.37,3147.09,2400.15,1.99,49.81,2.61,65.31,
2023-11-28,13:50:19.640,0.40,1.99,0.20,1.31,25.13,47.02,0.47,0.48,0.0013,0.0025,  4040,2,0,1.81,1.12,100,53,18989.15,9539.11,2402.48,3.98,99.53,0.79,19.76,15.16,16.68,0.02,68.14,0.00,100.00,0.00,0.00,0.00,0.00,38.81,8.49 ,0.04 ,2.70,1.31,1.00,1.31,1.33,17.06,20.30,0.16,0.15,0.0054,0.0065,     0,0,0,98.89,1.11,0.00,0.00,0.00,55,3142.41,3150.53,2402.48,1.99,49.87,2.62,65.40,
2023-11-28,13:50:20.640,0.40,1.99,0.20,1.31,25.23,46.97,0.46,0.48,0.0013,0.0025,  4120,0,0,1.83,1.13,100,53,18998.23,9533.34,2400.30,3.99,99.64,0.79,19.79,15.17,16.70,0.00,68.13,0.00,100.00,0.00,0.00,0.00,0.00,38.79,8.46 ,0.07 ,2.70,1.31,1.00,1.31,1.33,17.04,20.27,0.16,0.15,0.0054,0.0065,     0,0,0,98.93,1.07,0.00,0.00,0.00,55,3137.39,3148.54,2400.30,1.99,49.82,2.61,65.36,
2023-11-28,13:50:21.641,0.39,1.99,0.20,1.30,25.03,46.89,0.47,0.48,0.0013,0.0025,  4720,4,0,1.80,1.12,100,53,18913.14,9509.92,2400.15,3.98,99.44,0.79,19.70,15.22,17.80,0.00,66.97,0.00,100.00,0.00,0.00,0.00,0.00,38.77,8.50 ,0.07 ,2.70,1.30,1.00,1.31,1.32,16.99,20.22,0.16,0.15,0.0054,0.0065,     0,0,0,98.82,1.18,0.00,0.00,0.00,55,3130.15,3133.99,2400.15,2.00,49.94,2.61,65.21,
2023-11-28,13:50:22.641,0.39,1.99,0.20,1.31,25.11,46.92,0.46,0.48,0.0013,0.0025,  4760,0,0,1.82,1.12,100,53,18960.92,9526.27,2400.17,3.98,99.52,0.79,19.75,15.17,16.89,0.01,67.92,0.00,100.00,0.00,0.00,0.00,0.00,38.73,8.49 ,0.07 ,2.70,1.31,1.00,1.31,1.33,17.02,20.26,0.16,0.15,0.0054,0.0065,     0,0,0,98.87,1.13,0.00,0.00,0.00,55,3135.06,3144.84,2400.17,1.99,49.84,2.61,65.31,
2023-11-28,13:50:23.641,0.39,1.99,0.20,1.30,25.08,46.87,0.46,0.48,0.0013,0.0025,  4920,2,0,1.81,1.12,100,53,18940.18,9516.77,2400.06,3.98,99.51,0.79,19.73,15.20,17.25,0.03,67.53,0.00,100.00,0.00,0.00,0.00,0.00,38.70,8.45 ,0.37 ,2.70,1.30,1.00,1.31,1.32,17.00,20.23,0.16,0.15,0.0054,0.0065,     0,0,0,98.79,1.21,0.00,0.00,0.00,55,3131.14,3138.51,2400.06,2.00,49.88,2.61,65.23,
2023-11-28,13:50:24.641,0.43,2.15,0.20,1.31,21.41,48.48,0.56,0.47,0.0010,0.0024,  4920,2,0,1.78,1.13,100,53,20446.71,9524.25,2399.96,4.29,107.34,0.85,21.30,15.17,16.92,0.01,67.90,0.00,100.00,0.00,0.00,0.00,0.00,39.21,8.44 ,0.00 ,2.70,1.80,1.38,1.31,1.33,10.43,19.56,0.47,0.14,0.0024,0.0045,     0,0,0,98.85,1.15,0.00,0.00,0.00,54,4331.00,3143.91,2399.96,2.76,68.88,3.61,90.23,
2023-11-28,13:50:25.641,0.47,2.35,0.20,1.31,16.30,51.38,0.68,0.47,0.0007,0.0023,  5000,1,0,1.74,1.16,100,53,22428.68,9525.98,2399.95,4.71,117.72,0.93,23.36,15.17,16.81,0.00,68.01,0.00,100.00,0.00,0.00,0.00,0.00,39.77,8.44 ,0.07 ,2.70,2.50,1.91,1.31,1.33,1.03,18.73,0.95,0.13,0.0002,0.0031,     0,0,0,98.85,1.15,0.00,0.00,0.00,54,5998.13,3144.76,2399.95,3.81,95.37,5.00,124.96,
2023-11-28,13:50:26.641,0.47,2.36,0.20,1.31,16.23,51.31,0.68,0.47,0.0007,0.0023,  5000,0,0,1.74,1.15,100,53,22461.83,9531.47,2400.08,4.71,117.83,0.94,23.40,15.17,16.78,0.00,68.05,0.00,100.00,0.00,0.00,0.00,0.00,39.79,8.40 ,0.07 ,2.70,2.50,1.91,1.31,1.33,0.98,18.71,0.95,0.13,0.0002,0.0031,     0,0,0,98.92,1.08,0.00,0.00,0.00,54,6001.41,3147.22,2400.08,3.81,95.34,5.00,125.03,
2023-11-28,13:50:27.641,0.47,2.35,0.20,1.31,16.31,51.43,0.68,0.47,0.0007,0.0023,  5000,1,0,1.75,1.16,100,53,22396.38,9526.98,2400.02,4.70,117.54,0.93,23.33,15.18,16.88,0.00,67.94,0.00,100.00,0.00,0.00,0.00,0.00,39.80,8.43 ,0.07 ,2.70,2.49,1.90,1.31,1.33,1.00,18.74,0.95,0.13,0.0002,0.0031,     0,0,0,98.85,1.15,0.00,0.00,0.00,54,5978.51,3144.39,2400.02,3.80,95.07,4.98,124.55,
2023-11-28,13:50:28.641,0.47,2.35,0.20,1.30,16.32,51.52,0.68,0.47,0.0007,0.0023,  5160,2,0,1.75,1.16,100,53,22336.64,9516.92,2399.93,4.69,117.35,0.93,23.27,15.21,17.44,0.02,67.33,0.00,100.00,0.00,0.00,0.00,0.00,39.76,8.44 ,0.19 ,2.70,2.48,1.90,1.31,1.32,1.00,18.77,0.95,0.13,0.0002,0.0032,     0,0,0,98.84,1.16,0.00,0.00,0.00,53,5955.47,3138.18,2399.93,3.80,94.89,4.96,124.07,
