,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-11-28,13:50:12.645,  451.07,  277.99,  450.79,  279.07,  456.77,  284.67,  451.80,  277.93,,, 1810.43, 1119.66,    125473, 2930.09,   1810.43,   1119.66,   2930.09
2023-11-28,13:50:13.644,  453.20,  279.39,  451.65,  279.43,  458.47,  285.74,  453.24,  278.59,,, 1816.56, 1123.15,    125344, 2939.71,   1816.56,   1123.15,   2939.71
2023-11-28,13:50:14.644,  459.02,  281.95,  457.94,  282.77,  464.39,  288.72,  459.43,  281.77,,, 1840.78, 1135.21,    125337, 2975.99,   1840.78,   1135.21,   2975.99
2023-11-28,13:50:15.645,  456.57,  279.74,  455.45,  280.44,  461.73,  286.35,  457.18,  279.58,,, 1830.92, 1126.12,    125452, 2957.04,   1830.92,   1126.12,   2957.04
2023-11-28,13:50:16.644,  451.02,  277.80,  450.03,  278.68,  456.21,  284.50,  451.91,  277.96,,, 1809.17, 1118.95,    125300, 2928.12,   1809.17,   1118.95,   2928.12
2023-11-28,13:50:17.644,  449.06,  276.84,  447.92,  277.69,  454.13,  283.28,  449.69,  276.78,,, 1800.80, 1114.59,    125305, 2915.39,   1800.80,   1114.59,   2915.39
2023-11-28,13:50:18.645,  456.34,  280.75,  454.69,  281.16,  461.38,  287.39,  456.69,  280.32,,, 1829.10, 1129.62,    125478, 2958.72,   1829.10,   1129.62,   2958.72
2023-11-28,13:50:19.645,  451.35,  278.14,  449.12,  278.25,  455.98,  284.54,  451.76,  277.96,,, 1808.21, 1118.90,    125325, 2927.11,   1808.21,   1118.90,   2927.11
2023-11-28,13:50:20.644,  456.36,  280.64,  454.30,  280.96,  461.19,  287.04,  456.87,  280.47,,, 1828.73, 1129.11,    125391, 2957.84,   1828.73,   1129.11,   2957.84
2023-11-28,13:50:21.645,  450.46,  277.23,  448.34,  277.65,  455.48,  283.78,  450.99,  277.12,,, 1805.27, 1115.78,    125433, 2921.04,   1805.27,   1115.78,   2921.04
2023-11-28,13:50:22.645,  452.88,  278.80,  450.76,  279.18,  457.96,  285.45,  453.37,  278.57,,, 1814.96, 1122.00,    125322, 2936.96,   1814.96,   1122.00,   2936.96
2023-11-28,13:50:23.644,  452.72,  278.66,  450.62,  279.19,  457.71,  285.32,  453.26,  278.50,,, 1814.32, 1121.67,    125375, 2935.98,   1814.32,   1121.67,   2935.98
2023-11-28,13:50:24.645,  443.74,  280.89,  442.64,  281.71,  449.59,  288.02,  444.39,  280.68,,, 1780.36, 1131.30,    125565, 2911.67,   1780.36,   1131.30,   2911.67
2023-11-28,13:50:25.645,  432.88,  286.89,  431.46,  286.79,  438.49,  293.44,  433.23,  286.34,,, 1736.06, 1153.47,    125603, 2889.53,   1736.06,   1153.47,   2889.53
2023-11-28,13:50:26.644,  432.06,  286.51,  431.31,  286.85,  437.34,  293.09,  432.29,  286.15,,, 1732.99, 1152.59,    125622, 2885.58,   1732.99,   1152.59,   2885.58
2023-11-28,13:50:27.645,  436.20,  289.06,  434.98,  289.28,  441.67,  295.70,  436.88,  288.84,,, 1749.74, 1162.87,    125711, 2912.61,   1749.74,   1162.87,   2912.61
2023-11-28,13:50:28.645,  434.26,  287.86,  433.27,  288.38,  439.71,  294.65,  435.12,  288.04,,, 1742.36, 1158.93,    125567, 2901.29,   1742.36,   1158.93,   2901.29
2023-11-28,13:50:29.644,  435.26,  288.64,  434.19,  288.97,  440.65,  295.47,  436.02,  288.66,,, 1746.12, 1161.74,    125575, 2907.86,   1746.12,   1161.74,   2907.86
2023-11-28,13:50:30.645,  434.21,  288.14,  433.27,  288.41,  439.81,  294.87,  435.32,  288.09,,, 1742.60, 1159.51,    125729, 2902.12,   1742.60,   1159.51,   2902.12
2023-11-28,13:50:31.645,  433.97,  288.04,  433.32,  288.53,  439.69,  294.95,  434.86,  287.95,,, 1741.84, 1159.47,    125569, 2901.31,   1741.84,   1159.47,   2901.31
2023-11-28,13:50:32.644,  433.64,  287.91,  432.99,  288.31,  439.01,  294.55,  434.32,  287.79,,, 1739.96, 1158.56,    125634, 2898.52,   1739.96,   1158.56,   2898.52
2023-11-28,13:50:33.645,  436.12,  289.31,  435.39,  289.77,  441.91,  296.18,  436.88,  289.16,,, 1750.31, 1164.42,    125686, 2914.73,   1750.31,   1164.42,   2914.73
2023-11-28,13:50:34.645,  434.15,  287.70,  433.98,  288.64,  439.35,  294.48,  435.23,  287.78,,, 1742.71, 1158.60,    125617, 2901.31,   1742.71,   1158.60,   2901.31
2023-11-28,13:50:35.644,  435.43,  288.49,  434.82,  289.23,  440.67,  295.40,  435.95,  288.24,,, 1746.87, 1161.36,    125611, 2908.23,   1746.87,   1161.36,   2908.23
2023-11-28,13:50:36.645,  435.09,  288.36,  434.62,  289.20,  440.86,  295.42,  435.84,  288.26,,, 1746.41, 1161.24,    125719, 2907.66,   1746.41,   1161.24,   2907.66
2023-11-28,13:50:37.645,  434.58,  288.22,  434.99,  289.55,  440.26,  295.05,  436.02,  288.45,,, 1745.86, 1161.27,    125599, 2907.13,   1745.86,   1161.27,   2907.13
2023-11-28,13:50:38.644,  433.89,  287.88,  434.09,  288.98,  439.53,  294.82,  435.01,  287.87,,, 1742.50, 1159.56,    125600, 2902.06,   1742.50,   1159.56,   2902.06
2023-11-28,13:50:39.645,  434.49,  288.14,  434.71,  289.25,  440.02,  295.29,  435.46,  287.84,,, 1744.68, 1160.52,    125723, 2905.20,   1744.68,   1160.52,   2905.20
