Unnamed: 0,ndpi_stats-pcm_new_System-Date,ndpi_stats-pcm_new_System-Time,ndpi_stats-pcm_new_Socket 0-EXEC,ndpi_stats-pcm_new_Socket 0-IPC,ndpi_stats-pcm_new_Socket 0-FREQ,ndpi_stats-pcm_new_Socket 0-AFREQ,ndpi_stats-pcm_new_Socket 0-L3MISS,ndpi_stats-pcm_new_Socket 0-L2MISS,ndpi_stats-pcm_new_Socket 0-L3HIT,ndpi_stats-pcm_new_Socket 0-L2HIT,ndpi_stats-pcm_new_Socket 0-L3MPI,ndpi_stats-pcm_new_Socket 0-L2MPI,ndpi_stats-pcm_new_Socket 0-L3OCC,ndpi_stats-pcm_new_Socket 0-LMB,ndpi_stats-pcm_new_Socket 0-RMB,ndpi_stats-pcm_new_Socket 0-READ,ndpi_stats-pcm_new_Socket 0-WRITE,ndpi_stats-pcm_new_Socket 0-LOCAL,ndpi_stats-pcm_new_Socket 0-TEMP,ndpi_stats-pcm_new_Socket 0-INST,ndpi_stats-pcm_new_Socket 0-ACYC,ndpi_stats-pcm_new_Socket 0-TIME(ticks),ndpi_stats-pcm_new_Socket 0-PhysIPC,ndpi_stats-pcm_new_Socket 0-PhysIPC%,ndpi_stats-pcm_new_Socket 0-INSTnom,ndpi_stats-pcm_new_Socket 0-INSTnom%,ndpi_stats-pcm_new_SKT0 Core C-State-C0res%,ndpi_stats-pcm_new_SKT0 Core C-State-C1res%,ndpi_stats-pcm_new_SKT0 Core C-State-C3res%,ndpi_stats-pcm_new_SKT0 Core C-State-C6res%,ndpi_stats-pcm_new_SKT0 Core C-State-C7res%,ndpi_stats-pcm_new_SKT0 Package C-State-C0res%,ndpi_stats-pcm_new_SKT0 Package C-State-C2res%,ndpi_stats-pcm_new_SKT0 Package C-State-C3res%,ndpi_stats-pcm_new_SKT0 Package C-State-C6res%,ndpi_stats-pcm_new_SKT0 Package C-State-C7res%,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT0,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT0,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT0,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT0,ndpi_stats-pcm_new_Core3 (Socket 0)-EXEC,ndpi_stats-pcm_new_Core3 (Socket 0)-IPC,ndpi_stats-pcm_new_Core3 (Socket 0)-FREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-AFREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L3HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L2HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L3OCC,ndpi_stats-pcm_new_Core3 (Socket 0)-LMB,ndpi_stats-pcm_new_Core3 (Socket 0)-RMB,ndpi_stats-pcm_new_Core3 (Socket 0)-C0res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C1res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C3res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C6res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C7res%,ndpi_stats-pcm_new_Core3 (Socket 0)-TEMP,ndpi_stats-pcm_new_Core3 (Socket 0)-INST,ndpi_stats-pcm_new_Core3 (Socket 0)-ACYC,ndpi_stats-pcm_new_Core3 (Socket 0)-TIME(ticks),ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC,ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC%,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom%,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Ch2Read,pcm-memory_new_SKT0-Ch2Write,pcm-memory_new_SKT0-Ch3Read,pcm-memory_new_SKT0-Ch3Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory,llc-way,input-rate,throughput,latency
0,2023-11-28,14:30:26.351,0.32,1.6,0.2,1.3,37.41,56.01,0.33,0.37,0.0025,0.0037,4520.0,1.0,0.0,2.62,1.07,100.0,55.0,15268.52,9518.19,2402.25,3.21,80.21,0.64,15.89,15.21,17.22,0.02,67.55,0.0,100.0,0.0,0.0,0.0,0.0,38.31,8.9,746227.67,2.7,1.17,0.9,1.31,1.32,20.4,23.07,0.12,0.11,0.0072,0.0082,0.0,0.0,0.0,98.65,1.35,0.0,0.0,0.0,57.0,2816.36,3136.77,2402.25,1.8,44.89,2.35,58.63,7458430.0,5510932.0,5501034.0,61364352.0,1036854.0,0.0,304010.0,631.2,248.08,629.52,262.73,566.05,247.18,675.5,263.42,2502.27,1021.42,4079178709.0,3523.68,2502.27,1021.42,3523.68,1,5.65,4.76,7276230.2
1,2023-11-28,14:30:27.351,0.32,1.6,0.2,1.3,37.42,55.98,0.33,0.36,0.0025,0.0037,5240.0,0.0,0.0,2.62,1.07,100.0,54.0,15235.37,9498.77,2400.24,3.21,80.2,0.63,15.87,15.18,17.31,0.0,67.5,0.0,100.0,0.0,0.0,0.0,0.0,38.32,8.86,0.37,2.7,1.17,0.9,1.3,1.32,20.32,23.04,0.12,0.11,0.0072,0.0082,0.0,0.0,0.0,98.58,1.42,0.0,0.0,0.0,57.0,2811.94,3131.51,2400.24,1.8,44.9,2.34,58.58,7549010.0,5483520.0,5563698.0,61398442.0,1037946.0,0.0,301084.0,662.7,260.4,659.68,275.41,594.82,259.54,708.13,275.7,2625.33,1071.05,4265374566.0,3696.38,2625.33,1071.05,3696.38,1,5.65,4.76,7276230.2
2,2023-11-28,14:30:28.351,0.32,1.61,0.2,1.31,37.39,56.02,0.33,0.37,0.0025,0.0037,5560.0,0.0,0.0,2.62,1.07,100.0,54.0,15259.88,9506.62,2400.06,3.21,80.26,0.64,15.89,15.16,17.02,0.01,67.81,0.0,100.0,0.0,0.0,0.0,0.0,38.28,8.84,0.33,2.7,1.18,0.9,1.31,1.32,20.31,23.05,0.12,0.11,0.0072,0.0082,0.0,0.0,0.0,98.68,1.32,0.0,0.0,0.0,57.0,2820.13,3137.43,2400.06,1.8,44.94,2.35,58.75,7593936.0,5521250.0,5493810.0,61309262.0,1047914.0,168.0,302946.0,661.3,259.83,657.61,274.61,594.09,259.49,706.88,275.45,2619.88,1069.39,4263829090.0,3689.26,2619.88,1069.39,3689.26,1,5.65,4.76,7276230.2
3,2023-11-28,14:30:29.351,0.32,1.6,0.2,1.3,37.25,55.9,0.33,0.37,0.0024,0.0037,5760.0,0.0,0.0,2.61,1.07,100.0,54.0,15235.19,9499.22,2400.15,3.21,80.19,0.63,15.87,15.19,17.27,0.02,67.52,0.0,100.0,0.0,0.0,0.0,0.0,38.24,8.85,0.3,2.7,1.17,0.9,1.3,1.32,20.25,22.99,0.12,0.11,0.0072,0.0082,0.0,0.0,0.0,98.57,1.43,0.0,0.0,0.0,57.0,2817.25,3131.46,2400.15,1.8,44.98,2.35,58.69,7547372.0,5515286.0,5567982.0,61236420.0,1037806.0,0.0,302386.0,659.97,259.53,655.94,273.91,592.48,258.86,705.24,274.9,2613.64,1067.21,4264056236.0,3680.85,2613.64,1067.21,3680.85,1,5.65,4.76,7276230.2
4,2023-11-28,14:30:30.351,0.32,1.6,0.2,1.3,37.12,55.86,0.34,0.37,0.0024,0.0037,6160.0,0.0,0.0,2.6,1.06,100.0,54.0,15230.8,9501.21,2400.29,3.21,80.15,0.63,15.86,15.19,17.32,0.01,67.48,0.0,100.0,0.0,0.0,0.0,0.0,38.28,8.87,0.33,2.7,1.18,0.9,1.31,1.32,20.23,23.01,0.12,0.11,0.0072,0.0082,0.0,0.0,0.0,98.63,1.37,0.0,0.0,0.0,56.0,2821.11,3132.91,2400.29,1.8,45.02,2.35,58.77,7555254.0,5526514.0,5480272.0,61098898.0,1044820.0,0.0,302666.0,654.63,257.29,651.56,272.16,586.57,256.55,699.95,272.56,2592.72,1058.56,4265474300.0,3651.27,2592.72,1058.56,3651.27,1,5.65,4.76,7276230.2
5,2023-11-28,14:30:31.351,0.32,1.6,0.2,1.3,37.1,55.76,0.33,0.37,0.0024,0.0037,6560.0,1.0,0.0,2.6,1.06,100.0,54.0,15201.83,9483.7,2400.02,3.21,80.15,0.63,15.83,15.2,17.9,0.02,66.88,0.0,100.0,0.0,0.0,0.0,0.0,38.22,8.85,0.37,2.7,1.17,0.9,1.3,1.32,20.18,22.93,0.12,0.11,0.0072,0.0081,0.0,0.0,0.0,98.53,1.47,0.0,0.0,0.0,57.0,2814.38,3124.43,2400.02,1.8,45.04,2.35,58.63,7552594.0,5537700.0,5706260.0,60796792.0,1024996.0,966.0,302596.0,657.24,258.81,653.7,273.19,588.71,257.7,702.89,273.98,2602.54,1063.68,4268247110.0,3666.22,2602.54,1063.68,3666.22,1,5.65,4.76,7276230.2
6,2023-11-28,14:30:32.351,0.32,1.6,0.2,1.3,37.36,55.94,0.33,0.36,0.0024,0.0037,6600.0,0.0,0.0,2.63,1.07,100.0,54.0,15251.05,9505.3,2400.17,3.21,80.22,0.64,15.89,15.18,17.19,0.02,67.61,0.0,100.0,0.0,0.0,0.0,0.0,38.27,8.88,0.3,2.7,1.17,0.9,1.31,1.32,20.2,22.95,0.12,0.11,0.0072,0.0081,0.0,0.0,0.0,98.65,1.35,0.0,0.0,0.0,57.0,2817.94,3135.13,2400.17,1.8,44.94,2.35,58.71,7566510.0,5525660.0,5655524.0,61057570.0,1042580.0,966.0,302484.0,662.75,261.23,658.15,275.22,594.44,260.31,708.0,276.25,2623.34,1073.01,4264223034.0,3696.35,2623.34,1073.01,3696.35,1,5.65,4.76,7276230.2
7,2023-11-28,14:30:33.351,0.32,1.6,0.2,1.31,37.21,55.86,0.33,0.37,0.0024,0.0037,6680.0,0.0,0.0,2.61,1.07,100.0,54.0,15243.41,9503.39,2400.06,3.21,80.2,0.64,15.88,15.17,17.11,0.03,67.7,0.0,100.0,0.0,0.0,0.0,0.0,38.28,8.84,0.37,2.7,1.17,0.9,1.31,1.32,20.18,22.94,0.12,0.11,0.0072,0.0081,0.0,0.0,0.0,98.63,1.37,0.0,0.0,0.0,57.0,2818.39,3135.31,2400.06,1.8,44.95,2.35,58.71,7594272.0,5480538.0,5662342.0,61332922.0,1030848.0,966.0,301056.0,658.49,259.46,654.97,274.13,591.18,258.76,704.18,274.68,2608.82,1067.03,4263995055.0,3675.85,2608.82,1067.03,3675.85,1,5.65,4.76,7276230.2
8,2023-11-28,14:30:34.352,0.32,1.61,0.2,1.31,37.16,55.83,0.33,0.36,0.0024,0.0037,7280.0,2.0,0.0,2.6,1.07,100.0,54.0,15278.05,9516.51,2402.55,3.21,80.27,0.64,15.9,15.16,17.01,0.01,67.81,0.0,100.0,0.0,0.0,0.0,0.0,38.35,8.9,0.37,2.7,1.17,0.9,1.31,1.32,20.18,22.94,0.12,0.11,0.0072,0.0081,0.0,0.0,0.0,98.67,1.33,0.0,0.0,0.0,57.0,2821.45,3140.45,2402.55,1.8,44.92,2.35,58.72,7584906.0,5523994.0,5571944.0,60959920.0,1040242.0,966.0,302624.0,657.23,259.44,653.99,274.19,590.25,259.15,703.55,274.72,2605.01,1067.5,4268246738.0,3672.51,2605.01,1067.5,3672.51,1,5.65,4.76,7276230.2
9,2023-11-28,14:30:35.354,0.32,1.6,0.2,1.3,37.05,55.72,0.34,0.37,0.0024,0.0037,7760.0,1.0,0.0,2.6,1.06,100.0,55.0,15250.22,9510.55,2402.42,3.21,80.18,0.63,15.87,15.17,17.2,0.02,67.61,0.0,100.0,0.0,0.0,0.0,0.0,38.31,8.81,0.3,2.7,1.17,0.9,1.31,1.32,20.13,22.88,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.62,1.38,0.0,0.0,0.0,57.0,2816.02,3137.14,2402.42,1.8,44.88,2.34,58.61,7553868.0,5475904.0,5596472.0,61103868.0,1037540.0,966.0,302078.0,654.15,258.36,650.49,272.83,586.19,257.71,699.82,273.51,2590.65,1062.4,4263992849.0,3653.05,2590.65,1062.4,3653.05,1,5.65,4.76,7276230.2
