System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,12:49:28.391,0.36,1.80,0.20,1.30,37.31,48.34,0.23,0.38,0.0021,0.0028,  5080,1,0,2.57,0.68,100,54,17411.18,9695.59,2402.43,3.59,89.79,0.72,18.12,15.49,17.39,0.04,67.09,0.00,100.00,0.00,0.00,0.00,0.00,38.64,8.63 ,3835344.65 ,2.70,0.69,0.53,1.31,1.32,25.78,27.18,0.05,0.07,0.0155,0.0164,     0,0,0,98.78,1.22,0.00,0.00,0.00,56,1660.52,3136.29,2402.43,1.06,26.47,1.38,34.57,
2023-11-28,12:49:29.391,0.36,1.81,0.20,1.31,37.13,48.12,0.23,0.38,0.0022,0.0028,  5960,2,0,2.56,0.67,100,54,17196.08,9522.13,2400.29,3.61,90.30,0.72,17.91,15.18,16.95,0.01,67.86,0.00,100.00,0.00,0.00,0.00,0.00,38.32,8.54 ,0.07 ,2.70,0.70,0.53,1.31,1.33,25.82,27.25,0.05,0.07,0.0155,0.0163,     0,0,0,98.80,1.20,0.00,0.00,0.00,56,1670.64,3142.28,2400.29,1.06,26.58,1.39,34.80,
2023-11-28,12:49:30.391,0.36,1.81,0.20,1.31,37.13,48.13,0.23,0.37,0.0022,0.0028,  6040,0,0,2.56,0.67,100,54,17204.87,9521.93,2400.15,3.61,90.34,0.72,17.92,15.16,16.90,0.01,67.92,0.00,100.00,0.00,0.00,0.00,0.00,38.35,8.55 ,0.07 ,2.70,0.70,0.53,1.31,1.33,25.82,27.27,0.05,0.07,0.0154,0.0163,     0,0,0,98.83,1.17,0.00,0.00,0.00,57,1672.30,3143.61,2400.15,1.06,26.60,1.39,34.84,
2023-11-28,12:49:31.391,0.36,1.81,0.20,1.31,37.12,48.13,0.23,0.37,0.0022,0.0028,  6520,1,0,2.56,0.67,100,54,17192.29,9520.12,2400.32,3.61,90.29,0.72,17.91,15.16,16.91,0.29,67.64,0.00,100.00,0.00,0.00,0.00,0.00,38.33,8.59 ,0.07 ,2.70,0.70,0.53,1.31,1.33,25.82,27.27,0.05,0.07,0.0154,0.0163,     0,0,0,98.79,1.21,0.00,0.00,0.00,56,1671.60,3142.52,2400.32,1.06,26.60,1.39,34.82,
2023-11-28,12:49:32.392,0.36,1.81,0.20,1.31,37.13,48.16,0.23,0.37,0.0022,0.0028,  7120,1,0,2.56,0.67,100,54,17200.96,9524.32,2400.04,3.61,90.30,0.72,17.92,15.18,17.02,0.03,67.78,0.00,100.00,0.00,0.00,0.00,0.00,38.29,8.61 ,0.07 ,2.70,0.70,0.53,1.31,1.32,25.83,27.28,0.05,0.07,0.0154,0.0163,     0,0,0,98.85,1.15,0.00,0.00,0.00,56,1672.82,3143.28,2400.04,1.06,26.61,1.39,34.85,
2023-11-28,12:49:33.392,0.36,1.80,0.20,1.30,37.14,48.17,0.23,0.38,0.0022,0.0028,  7600,0,0,2.56,0.67,100,54,17163.44,9509.90,2400.16,3.61,90.24,0.72,17.88,15.20,17.58,0.03,67.19,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.56 ,0.37 ,2.70,0.70,0.53,1.31,1.32,25.81,27.26,0.05,0.07,0.0155,0.0163,     0,0,0,98.80,1.20,0.00,0.00,0.00,57,1670.39,3136.00,2400.16,1.07,26.63,1.39,34.80,
2023-11-28,12:49:34.392,0.36,1.81,0.20,1.31,37.14,48.15,0.23,0.38,0.0022,0.0028,  8000,2,0,2.56,0.67,100,54,17189.78,9517.23,2400.00,3.61,90.31,0.72,17.91,15.16,16.96,0.01,67.87,0.00,100.00,0.00,0.00,0.00,0.00,38.30,8.59 ,0.00 ,2.70,0.70,0.53,1.31,1.33,25.83,27.28,0.05,0.07,0.0154,0.0163,     0,0,0,98.79,1.21,0.00,0.00,0.00,56,1671.79,3141.94,2400.00,1.06,26.60,1.39,34.83,
2023-11-28,12:49:35.392,0.36,1.81,0.20,1.31,37.11,48.12,0.23,0.37,0.0022,0.0028,  8680,1,0,2.56,0.67,100,54,17191.79,9515.39,2400.04,3.61,90.34,0.72,17.91,15.17,17.18,0.02,67.63,0.00,100.00,0.00,0.00,0.00,0.00,38.32,8.57 ,0.07 ,2.70,0.70,0.53,1.31,1.32,25.80,27.25,0.05,0.07,0.0154,0.0163,     0,0,0,98.85,1.15,0.00,0.00,0.00,57,1672.24,3141.43,2400.04,1.06,26.62,1.39,34.84,
2023-11-28,12:49:36.392,0.36,1.81,0.20,1.31,37.13,48.15,0.23,0.38,0.0022,0.0028,  8720,0,0,2.56,0.67,100,54,17208.04,9524.14,2400.03,3.61,90.34,0.72,17.92,15.17,16.85,0.01,67.97,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.58 ,0.07 ,2.70,0.70,0.53,1.31,1.33,25.82,27.28,0.05,0.07,0.0154,0.0163,     0,0,0,98.86,1.14,0.00,0.00,0.00,56,1673.15,3144.73,2400.03,1.06,26.60,1.39,34.86,
2023-11-28,12:49:37.392,0.36,1.81,0.20,1.30,37.01,48.00,0.23,0.37,0.0022,0.0028,  8800,0,0,2.55,0.67,100,54,17141.66,9496.00,2400.09,3.61,90.26,0.71,17.86,15.16,17.17,0.05,67.61,0.00,100.00,0.00,0.00,0.00,0.00,38.30,8.59 ,0.07 ,2.70,0.69,0.53,1.31,1.32,25.73,27.18,0.05,0.07,0.0154,0.0163,     0,0,0,98.57,1.43,0.00,0.00,0.00,56,1667.66,3132.93,2400.09,1.06,26.62,1.39,34.74,
2023-11-28,12:49:38.392,0.36,1.80,0.20,1.31,37.03,48.02,0.23,0.37,0.0022,0.0028,  9200,1,0,2.55,0.67,100,54,17143.47,9498.82,2400.06,3.61,90.24,0.71,17.86,15.16,17.16,0.02,67.66,0.00,100.00,0.00,0.00,0.00,0.00,38.29,8.55 ,0.07 ,2.70,0.70,0.53,1.31,1.32,25.73,27.19,0.05,0.07,0.0154,0.0163,     0,0,0,98.60,1.40,0.00,0.00,0.00,56,1668.03,3133.80,2400.06,1.06,26.61,1.39,34.75,
2023-11-28,12:49:39.392,0.36,1.80,0.20,1.30,36.97,47.97,0.23,0.37,0.0022,0.0028,  9640,1,0,2.55,0.67,100,54,17112.70,9486.89,2400.01,3.61,90.19,0.71,17.83,15.20,17.77,0.04,66.99,0.00,100.00,0.00,0.00,0.00,0.00,38.30,8.58 ,0.07 ,2.70,0.69,0.53,1.30,1.32,25.68,27.13,0.05,0.07,0.0154,0.0163,     0,0,0,98.53,1.47,0.00,0.00,0.00,57,1665.59,3125.65,2400.01,1.07,26.64,1.39,34.70,
2023-11-28,12:49:40.392,0.36,1.81,0.20,1.31,37.00,47.96,0.23,0.37,0.0022,0.0028, 10400,1,0,2.55,0.67,100,54,17143.25,9495.42,2400.09,3.61,90.27,0.71,17.86,15.15,17.19,0.01,67.65,0.00,100.00,0.00,0.00,0.00,0.00,38.29,8.59 ,0.07 ,2.70,0.69,0.53,1.31,1.32,25.71,27.15,0.05,0.07,0.0154,0.0163,     0,0,0,98.60,1.40,0.00,0.00,0.00,56,1667.08,3133.56,2400.09,1.06,26.60,1.39,34.73,
2023-11-28,12:49:41.392,0.36,1.81,0.20,1.31,37.03,48.01,0.23,0.37,0.0022,0.0028, 10640,2,0,2.55,0.67,100,54,17144.99,9497.24,2400.10,3.61,90.26,0.71,17.86,15.16,17.15,0.08,67.61,0.00,100.00,0.00,0.00,0.00,0.00,38.30,8.59 ,0.07 ,2.70,0.69,0.53,1.31,1.32,25.72,27.17,0.05,0.07,0.0154,0.0163,     0,0,0,98.58,1.42,0.00,0.00,0.00,56,1667.76,3133.39,2400.10,1.06,26.61,1.39,34.74,
