,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-11-28,12:49:28.382,  773.65,  158.20,  477.90,  176.39,  786.88,  154.44,  506.90,  181.54,,, 2545.33,  670.57,4233463394, 3215.90,   2545.33,    670.57,   3215.90
2023-11-28,12:49:29.381,  775.71,  158.04,  475.85,  177.76,  793.35,  154.14,  510.44,  183.32,,, 2555.36,  673.26,4265183836, 3228.62,   2555.36,    673.26,   3228.62
2023-11-28,12:49:30.381,  775.40,  157.59,  476.05,  177.55,  793.50,  153.90,  510.52,  183.15,,, 2555.47,  672.18,4263978956, 3227.65,   2555.47,    672.18,   3227.65
2023-11-28,12:49:31.382,  775.79,  157.57,  476.55,  177.59,  794.12,  153.99,  510.91,  183.16,,, 2557.38,  672.31,4268241935, 3229.69,   2557.38,    672.31,   3229.69
2023-11-28,12:49:32.381,  775.45,  157.53,  476.29,  177.57,  793.75,  154.01,  510.68,  183.09,,, 2556.17,  672.20,4263980085, 3228.36,   2556.17,    672.20,   3228.36
2023-11-28,12:49:33.381,  775.02,  157.38,  476.98,  177.60,  793.60,  153.82,  511.05,  182.99,,, 2556.64,  671.79,4263968996, 3228.43,   2556.64,    671.79,   3228.43
2023-11-28,12:49:34.382,  776.04,  157.41,  477.13,  177.68,  794.56,  153.88,  511.29,  182.99,,, 2559.02,  671.95,4268232855, 3230.97,   2559.02,    671.95,   3230.97
2023-11-28,12:49:35.381,  774.84,  157.35,  476.00,  177.54,  793.13,  153.97,  510.23,  182.97,,, 2554.19,  671.83,4263993243, 3226.03,   2554.19,    671.83,   3226.03
2023-11-28,12:49:36.381,  775.20,  157.32,  476.25,  177.65,  793.71,  153.88,  510.56,  182.98,,, 2555.72,  671.83,4263961924, 3227.55,   2555.72,    671.83,   3227.55
2023-11-28,12:49:37.382,  773.78,  157.01,  475.22,  177.25,  792.16,  153.63,  509.23,  182.46,,, 2550.40,  670.35,4268239646, 3220.75,   2550.40,    670.35,   3220.75
2023-11-28,12:49:38.381,  773.33,  156.91,  474.95,  177.20,  791.66,  153.50,  509.23,  182.44,,, 2549.16,  670.05,4263981307, 3219.22,   2549.16,    670.05,   3219.22
2023-11-28,12:49:39.382,  772.06,  156.77,  474.44,  177.00,  790.11,  153.36,  508.23,  182.26,,, 2544.85,  669.39,4263977783, 3214.24,   2544.85,    669.39,   3214.24
2023-11-28,12:49:40.382,  773.45,  157.35,  474.84,  177.39,  791.60,  154.02,  509.01,  182.73,,, 2548.90,  671.49,4268237837, 3220.40,   2548.90,    671.49,   3220.40
2023-11-28,12:49:41.382,  773.22,  156.95,  474.89,  177.08,  791.55,  153.68,  509.03,  182.36,,, 2548.69,  670.07,4264242218, 3218.76,   2548.69,    670.07,   3218.76
2023-11-28,12:49:42.382,  772.15,  156.72,  474.45,  176.89,  790.60,  153.50,  508.15,  182.04,,, 2545.35,  669.15,4264233253, 3214.50,   2545.35,    669.15,   3214.50
2023-11-28,12:49:43.383,  771.98,  156.96,  474.17,  177.06,  790.28,  153.62,  507.98,  182.33,,, 2544.41,  669.97,4268258980, 3214.38,   2544.41,    669.97,   3214.38
2023-11-28,12:49:44.382,  771.12,  156.65,  473.67,  176.92,  789.35,  153.39,  507.54,  182.21,,, 2541.68,  669.17,4263966367, 3210.84,   2541.68,    669.17,   3210.84
2023-11-28,12:49:45.382,  772.51,  156.81,  474.27,  176.87,  790.81,  153.42,  508.70,  182.34,,, 2546.30,  669.45,4264276450, 3215.75,   2546.30,    669.45,   3215.75
2023-11-28,12:49:46.383,  773.14,  156.92,  474.43,  177.10,  791.42,  153.70,  508.52,  182.43,,, 2547.51,  670.15,4268505408, 3217.66,   2547.51,    670.15,   3217.66
2023-11-28,12:49:47.382,  771.05,  156.61,  472.98,  176.73,  789.49,  153.39,  507.16,  182.05,,, 2540.68,  668.78,4263953265, 3209.46,   2540.68,    668.78,   3209.46
2023-11-28,12:49:48.382,  771.94,  156.79,  473.33,  176.95,  790.12,  153.48,  507.73,  182.20,,, 2543.13,  669.41,4263970814, 3212.54,   2543.13,    669.41,   3212.54
2023-11-28,12:49:49.383,  771.63,  156.74,  473.02,  176.83,  789.59,  153.34,  507.45,  182.19,,, 2541.69,  669.09,4268248241, 3210.78,   2541.69,    669.09,   3210.78
2023-11-28,12:49:50.382,  771.91,  156.95,  473.21,  176.78,  790.13,  153.46,  507.66,  182.13,,, 2542.90,  669.32,4263974722, 3212.23,   2542.90,    669.32,   3212.23
2023-11-28,12:49:51.383,  771.89,  156.44,  472.35,  176.36,  789.17,  153.20,  505.96,  181.40,,, 2539.37,  667.41,4263992317, 3206.77,   2539.37,    667.41,   3206.77
2023-11-28,12:49:52.383,  772.92,  156.66,  472.08,  176.55,  789.85,  153.34,  506.32,  181.73,,, 2541.16,  668.28,4268240714, 3209.45,   2541.16,    668.28,   3209.45
2023-11-28,12:49:53.383,  772.12,  156.43,  471.59,  176.33,  789.26,  153.23,  505.52,  181.48,,, 2538.48,  667.47,4263956133, 3205.95,   2538.48,    667.47,   3205.95
2023-11-28,12:49:54.384,  770.11,  156.22,  470.55,  175.94,  786.98,  152.98,  504.15,  181.12,,, 2531.79,  666.26,4263978220, 3198.05,   2531.79,    666.26,   3198.05
2023-11-28,12:49:55.384,  767.80,  155.86,  469.17,  175.64,  784.42,  152.55,  502.40,  180.67,,, 2523.80,  664.73,4268534079, 3188.53,   2523.80,    664.73,   3188.53
2023-11-28,12:49:56.384,  772.39,  156.59,  471.86,  176.41,  789.37,  153.26,  505.53,  181.60,,, 2539.15,  667.86,4263800081, 3207.01,   2539.15,    667.86,   3207.01
2023-11-28,12:49:57.385,  771.78,  156.56,  471.83,  176.44,  788.78,  153.21,  505.42,  181.55,,, 2537.81,  667.76,4264318767, 3205.57,   2537.81,    667.76,   3205.57
2023-11-28,12:49:58.384,  772.67,  156.67,  472.45,  176.56,  789.87,  153.41,  506.23,  181.85,,, 2541.22,  668.48,4268088978, 3209.70,   2541.22,    668.48,   3209.70
2023-11-28,12:49:59.384,  771.94,  156.50,  471.34,  176.14,  788.83,  153.15,  505.39,  181.42,,, 2537.51,  667.20,4263974989, 3204.71,   2537.51,    667.20,   3204.71
2023-11-28,12:50:00.385,  772.63,  156.59,  471.75,  176.30,  789.40,  153.12,  505.93,  181.66,,, 2539.71,  667.68,4268248873, 3207.39,   2539.71,    667.68,   3207.39
2023-11-28,12:50:01.384,  771.73,  156.39,  472.23,  176.11,  788.62,  152.86,  505.84,  181.41,,, 2538.43,  666.78,4263906244, 3205.21,   2538.43,    666.78,   3205.21
2023-11-28,12:50:02.384,  771.88,  156.48,  471.62,  176.08,  788.80,  153.01,  505.49,  181.46,,, 2537.79,  667.03,4263994118, 3204.82,   2537.79,    667.03,   3204.82
2023-11-28,12:50:03.385,  772.57,  156.73,  472.41,  176.32,  789.52,  153.21,  506.31,  181.69,,, 2540.81,  667.96,4268101833, 3208.76,   2540.81,    667.96,   3208.76
2023-11-28,12:50:04.384,  771.39,  156.41,  471.64,  176.07,  788.45,  152.96,  505.47,  181.42,,, 2536.96,  666.86,4264089775, 3203.82,   2536.96,    666.86,   3203.82
2023-11-28,12:50:05.384,  770.63,  156.42,  471.17,  175.95,  787.73,  152.89,  505.13,  181.30,,, 2534.65,  666.56,4264252142, 3201.21,   2534.65,    666.56,   3201.21
2023-11-28,12:50:06.385,  771.08,  156.63,  471.71,  176.21,  787.97,  153.13,  505.52,  181.56,,, 2536.28,  667.53,4268082141, 3203.81,   2536.28,    667.53,   3203.81
2023-11-28,12:50:07.384,  769.61,  156.43,  471.06,  176.05,  786.83,  153.25,  504.81,  181.33,,, 2532.31,  667.06,4264078736, 3199.36,   2532.31,    667.06,   3199.36
2023-11-28,12:50:08.385,  769.98,  156.37,  470.72,  176.10,  787.00,  153.20,  504.51,  181.38,,, 2532.22,  667.06,4263987950, 3199.28,   2532.22,    667.06,   3199.28
2023-11-28,12:50:09.386,  771.48,  156.70,  471.62,  176.32,  788.59,  153.63,  505.84,  181.80,,, 2537.53,  668.46,4268249358, 3205.99,   2537.53,    668.46,   3205.99
2023-11-28,12:50:10.385,  771.06,  156.43,  471.94,  176.36,  788.42,  153.22,  505.58,  181.57,,, 2537.01,  667.59,4263980954, 3204.59,   2537.01,    667.59,   3204.59
2023-11-28,12:50:11.386,  769.62,  156.39,  470.31,  175.95,  786.53,  153.02,  504.48,  181.46,,, 2530.93,  666.82,4263971444, 3197.75,   2530.93,    666.82,   3197.75
2023-11-28,12:50:12.385,  770.45,  156.48,  471.62,  176.06,  787.87,  153.18,  505.87,  181.77,,, 2535.82,  667.49,4268246175, 3203.31,   2535.82,    667.49,   3203.31
2023-11-28,12:50:13.385,  769.73,  156.48,  470.60,  175.98,  787.08,  153.11,  504.89,  181.64,,, 2532.30,  667.21,4263967578, 3199.51,   2532.30,    667.21,   3199.51
2023-11-28,12:50:14.386,  771.35,  156.79,  472.25,  176.47,  788.90,  153.42,  506.12,  181.99,,, 2538.62,  668.68,4268243667, 3207.30,   2538.62,    668.68,   3207.30
2023-11-28,12:50:15.386,  772.80,  158.35,  474.65,  177.73,  789.14,  154.86,  507.80,  182.98,,, 2544.40,  673.93,4264351286, 3218.32,   2544.40,    673.93,   3218.32
2023-11-28,12:50:16.385,  767.92,  157.47,  469.93,  177.04,  785.62,  154.20,  504.10,  182.54,,, 2527.57,  671.25,4263953647, 3198.82,   2527.57,    671.25,   3198.82
