System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,14:30:26.351,0.32,1.60,0.20,1.30,37.41,56.01,0.33,0.37,0.0025,0.0037,  4520,1,0,2.62,1.07,100,55,15268.52,9518.19,2402.25,3.21,80.21,0.64,15.89,15.21,17.22,0.02,67.55,0.00,100.00,0.00,0.00,0.00,0.00,38.31,8.90 ,746227.67 ,2.70,1.17,0.90,1.31,1.32,20.40,23.07,0.12,0.11,0.0072,0.0082,     0,0,0,98.65,1.35,0.00,0.00,0.00,57,2816.36,3136.77,2402.25,1.80,44.89,2.35,58.63,
2023-11-28,14:30:27.351,0.32,1.60,0.20,1.30,37.42,55.98,0.33,0.36,0.0025,0.0037,  5240,0,0,2.62,1.07,100,54,15235.37,9498.77,2400.24,3.21,80.20,0.63,15.87,15.18,17.31,0.00,67.50,0.00,100.00,0.00,0.00,0.00,0.00,38.32,8.86 ,0.37 ,2.70,1.17,0.90,1.30,1.32,20.32,23.04,0.12,0.11,0.0072,0.0082,     0,0,0,98.58,1.42,0.00,0.00,0.00,57,2811.94,3131.51,2400.24,1.80,44.90,2.34,58.58,
2023-11-28,14:30:28.351,0.32,1.61,0.20,1.31,37.39,56.02,0.33,0.37,0.0025,0.0037,  5560,0,0,2.62,1.07,100,54,15259.88,9506.62,2400.06,3.21,80.26,0.64,15.89,15.16,17.02,0.01,67.81,0.00,100.00,0.00,0.00,0.00,0.00,38.28,8.84 ,0.33 ,2.70,1.18,0.90,1.31,1.32,20.31,23.05,0.12,0.11,0.0072,0.0082,     0,0,0,98.68,1.32,0.00,0.00,0.00,57,2820.13,3137.43,2400.06,1.80,44.94,2.35,58.75,
2023-11-28,14:30:29.351,0.32,1.60,0.20,1.30,37.25,55.90,0.33,0.37,0.0024,0.0037,  5760,0,0,2.61,1.07,100,54,15235.19,9499.22,2400.15,3.21,80.19,0.63,15.87,15.19,17.27,0.02,67.52,0.00,100.00,0.00,0.00,0.00,0.00,38.24,8.85 ,0.30 ,2.70,1.17,0.90,1.30,1.32,20.25,22.99,0.12,0.11,0.0072,0.0082,     0,0,0,98.57,1.43,0.00,0.00,0.00,57,2817.25,3131.46,2400.15,1.80,44.98,2.35,58.69,
2023-11-28,14:30:30.351,0.32,1.60,0.20,1.30,37.12,55.86,0.34,0.37,0.0024,0.0037,  6160,0,0,2.60,1.06,100,54,15230.80,9501.21,2400.29,3.21,80.15,0.63,15.86,15.19,17.32,0.01,67.48,0.00,100.00,0.00,0.00,0.00,0.00,38.28,8.87 ,0.33 ,2.70,1.18,0.90,1.31,1.32,20.23,23.01,0.12,0.11,0.0072,0.0082,     0,0,0,98.63,1.37,0.00,0.00,0.00,56,2821.11,3132.91,2400.29,1.80,45.02,2.35,58.77,
2023-11-28,14:30:31.351,0.32,1.60,0.20,1.30,37.10,55.76,0.33,0.37,0.0024,0.0037,  6560,1,0,2.60,1.06,100,54,15201.83,9483.70,2400.02,3.21,80.15,0.63,15.83,15.20,17.90,0.02,66.88,0.00,100.00,0.00,0.00,0.00,0.00,38.22,8.85 ,0.37 ,2.70,1.17,0.90,1.30,1.32,20.18,22.93,0.12,0.11,0.0072,0.0081,     0,0,0,98.53,1.47,0.00,0.00,0.00,57,2814.38,3124.43,2400.02,1.80,45.04,2.35,58.63,
2023-11-28,14:30:32.351,0.32,1.60,0.20,1.30,37.36,55.94,0.33,0.36,0.0024,0.0037,  6600,0,0,2.63,1.07,100,54,15251.05,9505.30,2400.17,3.21,80.22,0.64,15.89,15.18,17.19,0.02,67.61,0.00,100.00,0.00,0.00,0.00,0.00,38.27,8.88 ,0.30 ,2.70,1.17,0.90,1.31,1.32,20.20,22.95,0.12,0.11,0.0072,0.0081,     0,0,0,98.65,1.35,0.00,0.00,0.00,57,2817.94,3135.13,2400.17,1.80,44.94,2.35,58.71,
2023-11-28,14:30:33.351,0.32,1.60,0.20,1.31,37.21,55.86,0.33,0.37,0.0024,0.0037,  6680,0,0,2.61,1.07,100,54,15243.41,9503.39,2400.06,3.21,80.20,0.64,15.88,15.17,17.11,0.03,67.70,0.00,100.00,0.00,0.00,0.00,0.00,38.28,8.84 ,0.37 ,2.70,1.17,0.90,1.31,1.32,20.18,22.94,0.12,0.11,0.0072,0.0081,     0,0,0,98.63,1.37,0.00,0.00,0.00,57,2818.39,3135.31,2400.06,1.80,44.95,2.35,58.71,
2023-11-28,14:30:34.352,0.32,1.61,0.20,1.31,37.16,55.83,0.33,0.36,0.0024,0.0037,  7280,2,0,2.60,1.07,100,54,15278.05,9516.51,2402.55,3.21,80.27,0.64,15.90,15.16,17.01,0.01,67.81,0.00,100.00,0.00,0.00,0.00,0.00,38.35,8.90 ,0.37 ,2.70,1.17,0.90,1.31,1.32,20.18,22.94,0.12,0.11,0.0072,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,57,2821.45,3140.45,2402.55,1.80,44.92,2.35,58.72,
