skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
7039886,5508370,9367568,81613896,1033648,0,303478,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7633570,5557608,9153620,78090320,1049958,0,303016
7581700,5507250,9415476,76798554,1041376,0,302624,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7624764,5513480,8813364,74904284,1034432,0,303114
7615244,5489050,8295784,74567780,1045744,0,302792,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7616700,5536062,5380256,73330558,1044092,0,303800
7621082,5427982,5396160,73235652,1031660,0,304262,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7502656,5512192,5272582,72731680,1044848,0,302988
7563654,5521348,5340426,72444232,1033690,0,301378,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7573454,5498164,5219452,72159206,1047662,0,303506
7551614,5473118,5281388,72136232,1036882,0,302946,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7561764,5524862,5240186,72561258,1036532,0,303534
7570318,5350296,5221818,72613254,1042398,0,302274,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7548002,5489918,5195876,72449860,1032892,14,303534
7556486,5497492,5460434,72631762,1040004,14,302484,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7560056,5505864,5254718,72538410,1037498,0,303674
7542234,5511814,5258218,71805874,1042244,0,302666,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7532700,5527536,5230554,71594642,1039990,168,303478
