SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  470.84,  265.56,  473.11,  266.27,  462.64,  271.68,  475.74,  265.66, 1882.33, 1069.18,4098602122, 2951.51,   1882.33,   1069.18,   2951.51
  490.43,  276.83,  493.38,  277.80,  482.23,  283.35,  495.34,  276.85, 1961.37, 1114.82,4265411605, 3076.19,   1961.37,   1114.82,   3076.19
  498.89,  281.83,  502.62,  283.01,  487.88,  288.35,  504.92,  282.43, 1994.31, 1135.62,4264256813, 3129.93,   1994.31,   1135.62,   3129.93
  506.37,  293.21,  512.65,  294.19,  487.34,  300.02,  514.50,  293.67, 2020.85, 1181.09,4264238373, 3201.94,   2020.85,   1181.09,   3201.94
  498.18,  291.99,  504.05,  292.69,  478.43,  298.60,  506.46,  292.72, 1987.11, 1176.00,4268485147, 3163.11,   1987.11,   1176.00,   3163.11
  494.05,  291.50,  499.73,  292.06,  474.24,  297.79,  502.32,  292.14, 1970.33, 1173.49,4263826368, 3143.82,   1970.33,   1173.49,   3143.82
  493.42,  291.81,  499.52,  292.32,  474.22,  298.10,  502.30,  292.75, 1969.47, 1174.99,4264256600, 3144.46,   1969.47,   1174.99,   3144.46
  487.88,  289.51,  494.90,  290.86,  469.47,  296.35,  497.02,  290.62, 1949.27, 1167.35,4268502426, 3116.62,   1949.27,   1167.35,   3116.62
  486.10,  290.58,  492.98,  291.50,  467.04,  297.15,  494.81,  291.46, 1940.93, 1170.68,4264259263, 3111.61,   1940.93,   1170.68,   3111.61
  491.20,  285.65,  495.13,  286.08,  478.22,  291.87,  497.44,  285.87, 1962.00, 1149.47,4264252787, 3111.48,   1962.00,   1149.47,   3111.48
  475.68,  273.79,  478.92,  274.54,  466.74,  280.07,  480.15,  273.58, 1901.48, 1101.98,4268516983, 3003.46,   1901.48,   1101.98,   3003.46
  466.36,  269.17,  469.96,  270.16,  458.00,  275.96,  471.23,  269.08, 1865.55, 1084.37,4264296285, 2949.92,   1865.55,   1084.37,   2949.92
  472.66,  274.89,  477.18,  276.38,  461.67,  281.78,  478.56,  275.37, 1890.06, 1108.42,4264238400, 2998.48,   1890.06,   1108.42,   2998.48
  487.17,  292.45,  493.51,  293.51,  467.17,  298.91,  495.25,  293.16, 1943.10, 1178.02,4268520893, 3121.12,   1943.10,   1178.02,   3121.12
  490.71,  294.22,  496.94,  295.37,  470.56,  300.70,  498.52,  294.95, 1956.73, 1185.24,4264135802, 3141.97,   1956.73,   1185.24,   3141.97
  487.83,  294.19,  493.90,  295.26,  467.59,  300.76,  495.53,  294.58, 1944.85, 1184.78,4264257987, 3129.64,   1944.85,   1184.78,   3129.64
  486.75,  293.11,  491.87,  293.43,  466.51,  299.54,  493.66,  292.99, 1938.78, 1179.08,4264266029, 3117.86,   1938.78,   1179.08,   3117.86
  486.90,  293.61,  492.38,  293.92,  466.42,  300.16,  493.80,  293.61, 1939.50, 1181.30,4268180385, 3120.80,   1939.50,   1181.30,   3120.80
  483.82,  293.10,  489.72,  293.48,  463.68,  299.74,  491.06,  293.10, 1928.27, 1179.42,4264270831, 3107.69,   1928.27,   1179.42,   3107.69
