System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-LMB,Socket 0-RMB,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,Proc Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT0,LLCRDMISSLAT (ns)-SKT0,UncFREQ (Ghz)-SKT0,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-LMB,Core3 (Socket 0)-RMB,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2023-11-28,12:59:54.616,0.48,2.41,0.20,1.30,14.70,49.59,0.70,0.47,0.0006,0.0022,  1480,4,0,1.50,0.95,100,55,22936.84,9511.38,2402.70,4.82,120.58,0.95,23.87,15.20,17.34,0.02,67.44,0.00,100.00,0.00,0.00,0.00,0.00,39.43,8.31 ,3228855.58 ,2.70,2.59,1.99,1.30,1.32,0.72,18.02,0.96,0.12,0.0001,0.0029,     0,0,0,98.56,1.44,0.00,0.00,0.00,56,6231.84,3133.46,2402.70,3.98,99.44,5.19,129.71,
2023-11-28,12:59:55.616,0.48,2.41,0.20,1.30,14.68,49.59,0.70,0.47,0.0006,0.0022,  1480,3,0,1.49,0.94,100,55,22870.49,9491.79,2400.13,4.82,120.48,0.95,23.82,15.17,17.33,0.01,67.49,0.00,100.00,0.00,0.00,0.00,0.00,39.44,8.31 ,0.00 ,2.70,2.59,1.98,1.30,1.32,0.71,18.05,0.96,0.12,0.0001,0.0029,     0,0,0,98.52,1.48,0.00,0.00,0.00,57,6209.90,3129.65,2400.13,3.97,99.21,5.17,129.37,
2023-11-28,12:59:56.617,0.48,2.42,0.20,1.30,14.56,49.35,0.70,0.47,0.0006,0.0021,  1560,2,0,1.48,0.94,100,54,22966.84,9501.04,2402.42,4.83,120.86,0.96,23.90,15.16,17.26,0.05,67.54,0.00,100.00,0.00,0.00,0.00,0.00,39.41,8.29 ,0.37 ,2.70,2.60,1.99,1.30,1.32,0.71,17.97,0.96,0.12,0.0001,0.0029,     0,0,0,98.54,1.46,0.00,0.00,0.00,56,6244.25,3133.96,2402.42,3.98,99.62,5.20,129.96,
2023-11-28,12:59:57.618,0.48,2.41,0.20,1.30,14.65,49.79,0.71,0.47,0.0006,0.0022,  1480,2,0,1.49,0.94,100,55,22882.89,9508.35,2402.60,4.81,120.33,0.95,23.81,15.17,17.18,0.00,67.66,0.00,100.00,0.00,0.00,0.00,0.00,39.45,8.29 ,0.00 ,2.70,2.58,1.97,1.31,1.32,0.72,18.16,0.96,0.12,0.0001,0.0029,     0,0,0,98.60,1.40,0.00,0.00,0.00,57,6191.52,3136.66,2402.60,3.95,98.70,5.15,128.85,
2023-11-28,12:59:58.618,0.48,2.41,0.20,1.30,14.56,49.54,0.71,0.47,0.0006,0.0022,  1520,2,0,1.48,0.94,100,55,22839.01,9486.29,2400.21,4.82,120.38,0.95,23.79,15.17,17.49,0.01,67.33,0.00,100.00,0.00,0.00,0.00,0.00,39.39,8.28 ,0.33 ,2.70,2.58,1.98,1.30,1.32,0.71,18.07,0.96,0.12,0.0001,0.0029,     0,0,0,98.49,1.51,0.00,0.00,0.00,56,6190.84,3127.11,2400.21,3.96,98.99,5.16,128.97,
2023-11-28,12:59:59.618,0.47,2.39,0.20,1.30,14.66,49.90,0.71,0.47,0.0006,0.0022,  1560,4,0,1.49,0.95,100,55,22707.96,9485.21,2400.07,4.79,119.70,0.95,23.65,15.21,17.67,0.01,67.11,0.00,100.00,0.00,0.00,0.00,0.00,39.39,8.28 ,0.37 ,2.70,2.56,1.96,1.30,1.32,0.71,18.19,0.96,0.12,0.0001,0.0030,     0,0,0,98.40,1.60,0.00,0.00,0.00,56,6133.14,3122.58,2400.07,3.93,98.21,5.11,127.76,
2023-11-28,13:00:00.618,0.48,2.40,0.20,1.30,14.50,49.47,0.71,0.47,0.0006,0.0022,  1680,2,0,1.48,0.94,100,54,22820.23,9491.60,2400.15,4.81,120.21,0.95,23.77,15.20,17.51,0.02,67.27,0.00,100.00,0.00,0.00,0.00,0.00,39.46,8.24 ,0.22 ,2.70,2.58,1.98,1.30,1.32,0.70,18.05,0.96,0.12,0.0001,0.0029,     0,0,0,98.47,1.53,0.00,0.00,0.00,57,6188.84,3126.16,2400.15,3.96,98.98,5.16,128.93,
2023-11-28,13:00:01.618,0.47,2.40,0.20,1.30,14.50,49.63,0.71,0.47,0.0006,0.0022,  1640,3,0,1.48,0.94,100,55,22791.70,9490.33,2400.09,4.80,120.08,0.95,23.74,15.18,17.36,0.00,67.47,0.00,100.00,0.00,0.00,0.00,0.00,39.45,8.24 ,111247.67 ,2.70,2.57,1.97,1.30,1.32,0.71,18.14,0.96,0.12,0.0001,0.0029,     0,0,0,98.49,1.51,0.00,0.00,0.00,56,6171.18,3128.24,2400.09,3.95,98.64,5.14,128.56,
2023-11-28,13:00:02.618,0.48,2.40,0.20,1.30,14.44,49.47,0.71,0.47,0.0006,0.0022,  1680,3,0,1.47,0.94,100,55,22829.81,9493.82,2400.19,4.81,120.24,0.95,23.78,15.18,17.32,0.01,67.48,0.00,100.00,0.00,0.00,0.00,0.00,39.46,8.32 ,0.04 ,2.70,2.58,1.98,1.30,1.32,0.70,18.08,0.96,0.12,0.0001,0.0029,     0,0,0,98.48,1.52,0.00,0.00,0.00,56,6186.28,3128.37,2400.19,3.95,98.87,5.15,128.87,
2023-11-28,13:00:03.618,0.48,2.41,0.20,1.30,14.35,49.40,0.71,0.47,0.0006,0.0022,  1720,2,0,1.46,0.93,100,54,22844.27,9493.05,2400.18,4.81,120.32,0.95,23.79,15.16,17.19,0.01,67.64,0.00,100.00,0.00,0.00,0.00,0.00,39.43,8.27 ,0.11 ,2.70,2.58,1.98,1.30,1.32,0.69,18.09,0.96,0.12,0.0001,0.0029,     0,0,0,98.52,1.48,0.00,0.00,0.00,56,6190.37,3130.94,2400.18,3.95,98.86,5.16,128.96,
2023-11-28,13:00:04.618,0.48,2.40,0.20,1.30,14.39,49.59,0.71,0.47,0.0006,0.0022,  1640,2,0,1.47,0.94,100,55,22808.27,9495.31,2400.11,4.80,120.10,0.95,23.76,15.17,17.21,0.00,67.61,0.00,100.00,0.00,0.00,0.00,0.00,39.45,8.25 ,0.11 ,2.70,2.57,1.97,1.30,1.32,0.70,18.16,0.96,0.12,0.0001,0.0029,     0,0,0,98.51,1.49,0.00,0.00,0.00,56,6161.87,3130.46,2400.11,3.94,98.42,5.13,128.36,
2023-11-28,13:00:05.618,0.47,2.40,0.20,1.30,14.25,49.17,0.71,0.47,0.0006,0.0022,  1800,6,0,1.45,0.93,100,54,22798.39,9480.81,2400.27,4.81,120.23,0.95,23.75,15.23,17.94,0.03,66.80,0.00,100.00,0.00,0.00,0.00,0.00,39.40,8.26 ,0.37 ,2.70,2.57,1.98,1.30,1.32,0.69,17.98,0.96,0.12,0.0001,0.0029,     0,0,0,98.37,1.63,0.00,0.00,0.00,56,6179.51,3118.69,2400.27,3.96,99.07,5.15,128.73,
2023-11-28,13:00:06.618,0.47,2.40,0.20,1.30,14.36,49.60,0.71,0.47,0.0006,0.0022,  1800,4,0,1.47,0.94,100,54,22775.87,9498.74,2400.28,4.80,119.89,0.95,23.72,15.20,17.46,0.03,67.30,0.00,100.00,0.00,0.00,0.00,0.00,39.47,8.28 ,0.11 ,2.70,2.56,1.97,1.30,1.32,0.70,18.17,0.96,0.12,0.0001,0.0030,     0,0,0,98.53,1.47,0.00,0.00,0.00,56,6154.63,3128.62,2400.28,3.93,98.36,5.13,128.20,
