SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  360.23,  227.06,  368.86,  235.61,  358.72,  225.31,  359.56,  225.99, 1447.37,  913.98,4124390934, 2361.35,   1447.37,    913.98,   2361.35
  371.50,  234.43,  380.10,  242.94,  369.67,  232.37,  370.56,  233.23, 1491.84,  942.97,4265532023, 2434.81,   1491.84,    942.97,   2434.81
  369.87,  233.90,  378.33,  241.77,  367.90,  231.34,  368.95,  232.43, 1485.06,  939.44,4264124871, 2424.50,   1485.06,    939.44,   2424.50
  368.79,  233.65,  377.17,  241.53,  367.11,  231.21,  367.60,  232.05, 1480.67,  938.44,4264154430, 2419.11,   1480.67,    938.44,   2419.11
  369.80,  234.39,  378.60,  242.83,  368.34,  232.16,  368.80,  233.08, 1485.54,  942.46,4268204958, 2428.00,   1485.54,    942.46,   2428.00
  371.50,  235.55,  379.73,  243.71,  369.72,  233.08,  370.74,  234.38, 1491.69,  946.71,4264206574, 2438.41,   1491.69,    946.71,   2438.41
  367.14,  233.18,  376.12,  241.66,  365.90,  231.12,  366.25,  231.72, 1475.41,  937.68,4264284737, 2413.09,   1475.41,    937.68,   2413.09
  368.46,  234.23,  377.17,  242.35,  366.60,  231.89,  367.18,  232.65, 1479.42,  941.14,4268534365, 2420.55,   1479.42,    941.14,   2420.55
  365.86,  232.80,  374.17,  240.86,  363.92,  230.40,  364.66,  231.35, 1468.61,  935.41,4264300214, 2404.02,   1468.61,    935.41,   2404.02
  364.97,  232.70,  373.60,  240.96,  363.45,  230.62,  364.50,  231.58, 1466.52,  935.86,4264284846, 2402.38,   1466.52,    935.86,   2402.38
  365.13,  232.80,  373.62,  241.05,  362.85,  230.38,  364.68,  231.96, 1466.27,  936.20,4268542080, 2402.47,   1466.27,    936.20,   2402.47
  362.79,  231.73,  371.00,  239.58,  360.39,  229.14,  361.61,  230.10, 1455.80,  930.55,4264294823, 2386.35,   1455.80,    930.55,   2386.35
  364.59,  232.80,  372.91,  241.11,  362.44,  230.49,  363.56,  231.35, 1463.50,  935.75,4264272576, 2399.25,   1463.50,    935.75,   2399.25
  363.13,  232.31,  371.50,  240.56,  361.21,  230.15,  362.05,  230.86, 1457.88,  933.89,4264276099, 2391.77,   1457.88,    933.89,   2391.77
  363.37,  232.72,  371.63,  240.89,  361.48,  230.50,  362.41,  231.40, 1458.89,  935.52,4268590425, 2394.41,   1458.89,    935.52,   2394.41
  364.39,  233.31,  372.54,  241.51,  362.20,  231.13,  363.67,  232.31, 1462.80,  938.26,4264268914, 2401.06,   1462.80,    938.26,   2401.06
  363.65,  233.04,  372.00,  241.41,  361.28,  231.05,  362.83,  232.07, 1459.77,  937.57,4264292942, 2397.34,   1459.77,    937.57,   2397.34
  362.26,  232.34,  370.27,  240.41,  359.94,  230.55,  360.85,  231.02, 1453.31,  934.32,4268526283, 2387.63,   1453.31,    934.32,   2387.63
  362.11,  232.38,  370.13,  240.78,  359.57,  230.55,  360.70,  230.96, 1452.50,  934.67,4264290920, 2387.18,   1452.50,    934.67,   2387.18
  361.96,  232.37,  369.34,  240.29,  358.68,  229.99,  360.66,  231.10, 1450.64,  933.75,4264271997, 2384.40,   1450.64,    933.75,   2384.40
  362.51,  232.86,  370.11,  241.14,  359.29,  230.69,  360.89,  231.42, 1452.81,  936.11,4264302750, 2388.92,   1452.81,    936.11,   2388.92
  361.65,  232.40,  368.77,  240.48,  358.06,  230.16,  359.73,  230.92, 1448.21,  933.95,4268531375, 2382.17,   1448.21,    933.95,   2382.17
  358.81,  230.66,  366.01,  238.90,  355.06,  228.39,  356.83,  229.13, 1436.71,  927.08,4264083635, 2363.79,   1436.71,    927.08,   2363.79
  360.22,  231.86,  367.50,  240.15,  356.62,  229.64,  358.51,  230.32, 1442.85,  931.97,4263929942, 2374.83,   1442.85,    931.97,   2374.83
  361.98,  232.89,  369.06,  241.40,  358.50,  230.71,  359.95,  231.46, 1449.49,  936.45,4268508091, 2385.94,   1449.49,    936.45,   2385.94
  360.48,  232.14,  367.10,  240.22,  356.69,  229.82,  358.00,  230.37, 1442.27,  932.55,4263948655, 2374.82,   1442.27,    932.55,   2374.82
  358.75,  231.30,  365.90,  239.62,  355.79,  229.44,  356.62,  229.74, 1437.06,  930.10,4264250243, 2367.16,   1437.06,    930.10,   2367.16
  359.88,  232.25,  366.95,  240.36,  356.98,  230.24,  358.22,  230.84, 1442.03,  933.69,4268427961, 2375.72,   1442.03,    933.69,   2375.72
  358.94,  231.83,  366.09,  240.16,  355.65,  229.71,  357.33,  230.45, 1438.02,  932.14,4264263926, 2370.16,   1438.02,    932.14,   2370.16
  357.88,  231.20,  365.39,  239.97,  354.72,  229.29,  356.64,  229.90, 1434.64,  930.35,4264268303, 2364.99,   1434.64,    930.35,   2364.99
  357.66,  231.14,  365.30,  239.93,  354.24,  229.16,  356.43,  229.81, 1433.63,  930.04,4268537275, 2363.67,   1433.63,    930.04,   2363.67
  357.25,  230.87,  365.10,  239.87,  354.32,  229.32,  356.42,  229.99, 1433.08,  930.05,4264259771, 2363.13,   1433.08,    930.05,   2363.13
  358.90,  231.90,  366.09,  240.50,  355.70,  230.22,  357.53,  230.71, 1438.22,  933.32,4264042110, 2371.54,   1438.22,    933.32,   2371.54
  380.03,  246.47,  387.07,  255.09,  376.29,  244.51,  378.22,  245.15, 1521.61,  991.23,4264260174, 2512.83,   1521.61,    991.23,   2512.83
  361.39,  234.62,  369.09,  243.76,  357.67,  232.59,  359.74,  233.68, 1447.88,  944.64,4268537496, 2392.53,   1447.88,    944.64,   2392.53
  360.96,  234.26,  368.53,  243.16,  357.25,  232.29,  359.18,  233.13, 1445.92,  942.84,4264266585, 2388.76,   1445.92,    942.84,   2388.76
  357.83,  232.19,  365.34,  240.98,  354.48,  230.40,  356.53,  231.54, 1434.18,  935.12,4264275353, 2369.29,   1434.18,    935.12,   2369.29
  359.88,  233.57,  366.76,  241.82,  355.79,  231.32,  357.80,  232.20, 1440.24,  938.91,4268535094, 2379.15,   1440.24,    938.91,   2379.15
  359.81,  233.54,  366.12,  241.48,  355.25,  230.91,  357.22,  231.85, 1438.40,  937.78,4264274582, 2376.17,   1438.40,    937.78,   2376.17
  359.29,  233.35,  365.91,  241.21,  354.81,  230.85,  356.93,  231.56, 1436.95,  936.97,4264143454, 2373.92,   1436.95,    936.97,   2373.92
  359.20,  233.33,  366.31,  241.45,  355.04,  231.12,  356.65,  231.32, 1437.20,  937.22,4264306184, 2374.42,   1437.20,    937.22,   2374.42
  358.34,  233.02,  365.89,  241.31,  354.74,  230.83,  356.72,  231.58, 1435.69,  936.74,4268679508, 2372.43,   1435.69,    936.74,   2372.43
  357.62,  232.61,  365.69,  241.14,  354.47,  230.68,  356.20,  231.34, 1433.98,  935.77,4264319918, 2369.76,   1433.98,    935.77,   2369.76
  356.79,  232.28,  365.12,  240.93,  353.80,  230.27,  355.58,  231.39, 1431.29,  934.88,4264086400, 2366.17,   1431.29,    934.88,   2366.17
  356.66,  232.24,  365.01,  240.80,  353.32,  230.02,  355.12,  230.97, 1430.11,  934.02,4268438391, 2364.14,   1430.11,    934.02,   2364.14
  300.05,  195.49,  308.10,  203.71,  297.19,  193.46,  298.62,  194.35, 1203.96,  787.02,4264297920, 1990.98,   1203.96,    787.02,   1990.98
    0.56,    0.53,    8.57,    8.55,    0.57,    0.55,    0.57,    0.55,   10.26,   10.19,4264339736,   20.45,     10.26,     10.19,     20.45
    0.48,    0.43,    8.50,    8.44,    0.49,    0.43,    0.49,    0.44,    9.97,    9.73,4268258521,   19.70,      9.97,      9.73,     19.70
    0.28,    0.29,    8.29,    8.29,    0.29,    0.30,    0.29,    0.30,    9.15,    9.18,4264192809,   18.33,      9.15,      9.18,     18.33
    0.41,    0.38,    8.42,    8.38,    0.41,    0.37,    0.42,    0.38,    9.65,    9.51,4264067929,   19.17,      9.65,      9.51,     19.17
    0.39,    0.35,    8.41,    8.36,    0.38,    0.36,    0.39,    0.36,    9.56,    9.44,4268407695,   19.00,      9.56,      9.44,     19.00
    0.27,    0.29,    8.27,    8.29,    0.26,    0.29,    0.27,    0.29,    9.05,    9.17,4263962620,   18.22,      9.05,      9.17,     18.22
  234.69,  153.68,  243.02,  162.06,  232.49,  152.17,  233.72,  152.97,  943.92,  620.88,4263971612, 1564.80,    943.92,    620.88,   1564.80
   15.99,   10.61,   24.01,   18.64,   15.81,   10.50,   15.91,   10.57,   71.71,   50.32,4268383534,  122.03,     71.71,     50.32,    122.03
    0.37,    0.43,    8.39,    8.44,    0.38,    0.44,    0.39,    0.45,    9.53,    9.76,4264335921,   19.29,      9.53,      9.76,     19.29
    0.56,    0.51,    8.56,    8.51,    0.57,    0.50,    0.57,    0.51,   10.25,   10.03,4264320389,   20.28,     10.25,     10.03,     20.28
    0.25,    0.28,    8.27,    8.29,    0.25,    0.29,    0.25,    0.29,    9.02,    9.15,4268108818,   18.17,      9.02,      9.15,     18.17
    0.55,    0.48,    8.56,    8.48,    0.55,    0.47,    0.55,    0.48,   10.21,    9.91,4264193773,   20.11,     10.21,      9.91,     20.11
    0.27,    0.29,    8.28,    8.29,    0.28,    0.29,    0.28,    0.29,    9.11,    9.16,4264284388,   18.27,      9.11,      9.16,     18.27
  167.04,  109.38,  175.16,  117.56,  165.36,  108.21,  166.13,  108.73,  673.69,  443.88,4268113467, 1117.58,    673.69,    443.88,   1117.58
  355.29,  232.43,  363.58,  240.84,  351.95,  230.14,  353.46,  230.92, 1424.27,  934.33,4264247880, 2358.60,   1424.27,    934.33,   2358.60
  360.81,  234.12,  368.86,  242.44,  357.40,  231.42,  359.23,  232.92, 1446.30,  940.90,4264346025, 2387.20,   1446.30,    940.90,   2387.20
  356.99,  233.54,  365.00,  241.89,  354.12,  231.01,  355.17,  232.01, 1431.27,  938.45,4268191642, 2369.72,   1431.27,    938.45,   2369.72
  355.91,  232.86,  364.15,  241.19,  352.99,  230.42,  354.50,  231.64, 1427.55,  936.11,4264283091, 2363.66,   1427.55,    936.11,   2363.66
  355.79,  232.67,  363.66,  240.76,  352.97,  230.20,  353.90,  231.17, 1426.31,  934.80,4264298626, 2361.11,   1426.31,    934.80,   2361.11
  359.92,  234.63,  368.12,  243.01,  357.01,  232.18,  357.98,  233.08, 1443.04,  942.90,4263920026, 2385.94,   1443.04,    942.90,   2385.94
  358.30,  234.51,  366.49,  242.60,  355.38,  231.87,  356.21,  232.75, 1436.37,  941.73,4268527117, 2378.09,   1436.37,    941.73,   2378.09
  357.71,  233.88,  365.81,  242.27,  354.72,  231.66,  355.63,  232.11, 1433.87,  939.92,4264271782, 2373.79,   1433.87,    939.92,   2373.79
  356.29,  233.10,  364.20,  241.61,  353.22,  230.84,  354.44,  231.35, 1428.15,  936.91,4264190944, 2365.06,   1428.15,    936.91,   2365.06
