skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
8898526,6839518,1044414,67698834,1001098,966,625982,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8784552,6648418,1168314,65706816,1023610,966,620872
8656760,6985062,931952,68728996,1004038,0,614922,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9152514,6603156,1159956,65869958,1061620,0,640598
8649256,6866804,875798,66213210,1011360,0,617484,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9188606,6609554,1096802,64476216,1049818,0,618296
8658412,6930700,986510,66398416,1000216,0,620886,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8831578,6701128,1345988,61687682,1057042,0,596764
8667470,7018466,1618218,68527634,981036,0,614320,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9261966,6675214,1985578,64613234,1037302,0,630182
9097480,6748224,2204720,65435734,1052170,0,637490,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8708630,6964412,2534434,67275054,1015966,0,625576
8821834,7056378,2633008,68309514,996198,0,610946,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9153130,6680212,5271280,66543988,1018458,0,624988
9183356,6702402,5162780,65544122,1056832,0,633948,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8778252,7107212,4706800,68539394,1006614,14,613606
8900976,7133042,4585630,68363862,1009176,14,617302,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9007740,6813660,4108174,68543482,1010310,0,627046
9179240,6671630,3863440,67197046,1022812,0,628810,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9178358,6648222,1015042,66226370,1031156,0,625226
9290680,6699714,843892,64904560,1042706,0,627648,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9043188,6779990,892584,65894052,1065666,0,636748
