System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,15:23:28.211,0.48,2.43,0.20,1.31,0.07,40.07,1.00,0.52,0.0000,0.0017,  3800,2,0,0.03,0.03,100,53,23173.93,9543.92,2402.52,4.86,121.41,0.96,24.12,15.18,16.72,0.00,68.09,0.00,100.00,0.00,0.00,0.00,0.00,39.52,7.44 ,3137883.58 ,2.70,2.58,1.97,1.31,1.33,0.01,17.80,1.00,0.13,0.0000,0.0029,     0,0,0,98.91,1.09,0.00,0.00,0.00,56,6205.38,3149.41,2402.52,3.94,98.52,5.17,129.19,
2023-11-28,15:23:29.211,0.48,2.43,0.20,1.31,0.04,39.85,1.00,0.52,0.0000,0.0017,  4640,3,0,0.02,0.02,100,53,23106.51,9526.48,2400.24,4.85,121.28,0.96,24.07,15.18,16.90,0.00,67.92,0.00,100.00,0.00,0.00,0.00,0.00,39.44,7.44 ,0.00 ,2.70,2.59,1.97,1.31,1.33,0.01,17.72,1.00,0.13,0.0000,0.0029,     0,0,0,98.84,1.16,0.00,0.00,0.00,55,6208.56,3144.03,2400.24,3.95,98.74,5.17,129.33,
2023-11-28,15:23:30.211,0.48,2.43,0.20,1.31,0.03,39.65,1.00,0.53,0.0000,0.0017,  4800,1,0,0.02,0.02,100,54,23189.85,9526.23,2400.08,4.87,121.72,0.97,24.16,15.17,16.85,0.01,67.97,0.00,100.00,0.00,0.00,0.00,0.00,39.45,7.43 ,0.00 ,2.70,2.60,1.99,1.31,1.33,0.01,17.64,1.00,0.13,0.0000,0.0028,     0,0,0,98.89,1.11,0.00,0.00,0.00,55,6247.83,3145.62,2400.08,3.97,99.31,5.21,130.16,
2023-11-28,15:23:31.211,0.48,2.43,0.20,1.31,0.03,40.04,1.00,0.52,0.0000,0.0017,  5080,3,0,0.02,0.02,100,53,23146.39,9527.36,2399.96,4.86,121.47,0.96,24.11,15.16,16.81,0.01,68.02,0.00,100.00,0.00,0.00,0.00,0.00,39.41,7.39 ,0.00 ,2.70,2.58,1.97,1.31,1.33,0.01,17.81,1.00,0.13,0.0000,0.0029,     0,0,0,98.90,1.10,0.00,0.00,0.00,55,6187.44,3146.31,2399.96,3.93,98.33,5.16,128.90,
2023-11-28,15:23:32.211,0.48,2.43,0.20,1.31,0.03,39.92,1.00,0.53,0.0000,0.0017,  5480,1,0,0.02,0.02,100,54,23126.26,9525.89,2400.21,4.86,121.39,0.96,24.09,15.17,16.88,0.01,67.94,0.00,100.00,0.00,0.00,0.00,0.00,39.49,7.39 ,0.00 ,2.70,2.58,1.97,1.31,1.33,0.01,17.76,1.00,0.13,0.0000,0.0029,     0,0,0,98.87,1.13,0.00,0.00,0.00,55,6200.61,3144.89,2400.21,3.94,98.58,5.17,129.17,
2023-11-28,15:23:33.211,0.48,2.43,0.20,1.31,0.04,39.91,1.00,0.52,0.0000,0.0017,  5560,1,0,0.02,0.02,100,53,23113.10,9516.38,2400.07,4.86,121.44,0.96,24.07,15.18,17.22,0.01,67.60,0.00,100.00,0.00,0.00,0.00,0.00,39.40,7.38 ,0.37 ,2.70,2.58,1.97,1.31,1.32,0.01,17.74,1.00,0.13,0.0000,0.0029,     0,0,0,98.84,1.16,0.00,0.00,0.00,55,6196.32,3140.70,2400.07,3.95,98.65,5.16,129.08,
2023-11-28,15:23:34.211,0.48,2.42,0.20,1.31,0.03,40.00,1.00,0.52,0.0000,0.0017,  5960,4,0,0.02,0.02,100,53,23078.11,9523.33,2400.00,4.85,121.17,0.96,24.04,15.16,16.90,0.02,67.92,0.00,100.00,0.00,0.00,0.00,0.00,39.43,7.37 ,0.00 ,2.70,2.58,1.97,1.31,1.33,0.01,17.80,1.00,0.13,0.0000,0.0029,     0,0,0,98.87,1.13,0.00,0.00,0.00,55,6180.05,3144.53,2400.00,3.93,98.27,5.15,128.75,
2023-11-28,15:23:35.211,0.48,2.43,0.20,1.31,0.03,39.92,1.00,0.53,0.0000,0.0017,  5960,2,0,0.02,0.02,100,53,23152.19,9524.97,2400.21,4.86,121.53,0.96,24.12,15.16,16.82,0.02,68.01,0.00,100.00,0.00,0.00,0.00,0.00,39.44,7.42 ,0.00 ,2.70,2.59,1.97,1.31,1.33,0.01,17.76,1.00,0.13,0.0000,0.0029,     0,0,0,98.89,1.11,0.00,0.00,0.00,55,6205.68,3146.11,2400.21,3.94,98.62,5.17,129.28,
2023-11-28,15:23:36.211,0.48,2.43,0.20,1.31,0.03,40.08,1.00,0.52,0.0000,0.0017,  5960,2,0,0.02,0.01,100,54,23118.54,9530.89,2399.98,4.85,121.28,0.96,24.08,15.16,16.78,0.01,68.04,0.00,100.00,0.00,0.00,0.00,0.00,39.43,7.37 ,0.07 ,2.70,2.58,1.97,1.31,1.33,0.01,17.83,1.00,0.13,0.0000,0.0029,     0,0,0,98.94,1.06,0.00,0.00,0.00,55,6188.42,3147.93,2399.98,3.93,98.29,5.16,128.92,
