SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
    4.77,    4.62,   12.30,   12.15,    4.64,    4.49,    4.48,    4.32,   26.19,   25.58,4125614484,   51.77,     26.19,     25.58,     51.77
    3.59,    3.52,   11.64,   11.57,    3.51,    3.43,    3.59,    3.50,   22.33,   22.03,4265342668,   44.36,     22.33,     22.03,     44.36
    3.21,    3.08,   11.14,   11.00,    3.13,    2.99,    3.18,    3.04,   20.66,   20.11,4268340705,   40.77,     20.66,     20.11,     40.77
    2.91,    2.78,   10.83,   10.69,    2.73,    2.58,    2.75,    2.60,   19.22,   18.65,4264205971,   37.87,     19.22,     18.65,     37.87
    3.01,    2.73,   10.89,   10.61,    2.77,    2.50,    2.81,    2.53,   19.48,   18.37,4263977331,   37.85,     19.48,     18.37,     37.85
    2.73,    2.48,   10.63,   10.40,    2.45,    2.20,    2.46,    2.22,   18.26,   17.29,4268311284,   35.56,     18.26,     17.29,     35.56
    2.30,    2.12,   10.24,   10.07,    2.12,    1.94,    2.12,    1.93,   16.78,   16.06,4264200176,   32.84,     16.78,     16.06,     32.84
    2.11,    1.92,   10.09,    9.90,    1.89,    1.71,    1.90,    1.71,   16.00,   15.24,4263817720,   31.24,     16.00,     15.24,     31.24
    2.05,    1.83,    9.93,    9.74,    1.75,    1.54,    1.74,    1.53,   15.47,   14.63,4268232075,   30.11,     15.47,     14.63,     30.11
    1.93,    1.69,    9.95,    9.70,    1.76,    1.51,    1.73,    1.48,   15.38,   14.38,4263985092,   29.76,     15.38,     14.38,     29.76
    1.73,    1.52,    9.73,    9.55,    1.62,    1.43,    1.56,    1.36,   14.65,   13.86,4268243199,   28.51,     14.65,     13.86,     28.51
    1.83,    1.50,    9.88,    9.55,    1.69,    1.37,    1.68,    1.34,   15.07,   13.77,4263969495,   28.84,     15.07,     13.77,     28.84
    1.59,    1.38,    9.58,    9.36,    1.40,    1.18,    1.34,    1.11,   13.92,   13.04,4263907245,   26.96,     13.92,     13.04,     26.96
    1.44,    1.26,    9.43,    9.25,    1.34,    1.16,    1.26,    1.06,   13.48,   12.72,4268218386,   26.20,     13.48,     12.72,     26.20
    1.31,    1.14,    9.32,    9.14,    1.25,    1.06,    1.20,    1.00,   13.08,   12.34,4264220543,   25.42,     13.08,     12.34,     25.42
    1.31,    1.06,    9.31,    9.07,    1.12,    0.88,    1.12,    0.88,   12.87,   11.90,4263907607,   24.76,     12.87,     11.90,     24.76
    1.34,    1.06,    9.40,    9.10,    1.16,    0.87,    1.17,    0.88,   13.07,   11.90,4268223244,   24.98,     13.07,     11.90,     24.98
    1.17,    0.95,    9.18,    8.93,    1.02,    0.79,    0.98,    0.76,   12.35,   11.44,4263970206,   23.79,     12.35,     11.44,     23.79
    1.28,    1.05,    9.19,    8.94,    1.10,    0.84,    1.07,    0.81,   12.65,   11.64,4263979792,   24.29,     12.65,     11.64,     24.29
    1.25,    1.02,    9.12,    8.89,    1.08,    0.82,    0.99,    0.75,   12.44,   11.48,4268499515,   23.92,     12.44,     11.48,     23.92
    1.22,    1.01,    9.11,    8.89,    1.01,    0.78,    0.95,    0.72,   12.28,   11.40,4263969983,   23.68,     12.28,     11.40,     23.68
    1.22,    0.98,    9.15,    8.92,    1.04,    0.81,    0.99,    0.74,   12.40,   11.44,4263985957,   23.84,     12.40,     11.44,     23.84
    1.28,    0.95,    9.25,    8.93,    1.10,    0.78,    1.10,    0.76,   12.73,   11.42,4268217918,   24.16,     12.73,     11.42,     24.16
    1.11,    0.89,    9.09,    8.86,    0.89,    0.66,    0.91,    0.68,   12.00,   11.09,4263956336,   23.09,     12.00,     11.09,     23.09
    1.17,    0.94,    9.11,    8.86,    0.89,    0.64,    0.89,    0.65,   12.05,   11.09,4268235578,   23.14,     12.05,     11.09,     23.14
    1.14,    0.93,    9.04,    8.82,    0.86,    0.63,    0.83,    0.62,   11.86,   11.00,4263951937,   22.86,     11.86,     11.00,     22.86
    1.09,    0.88,    9.01,    8.81,    0.91,    0.70,    0.88,    0.66,   11.89,   11.05,4263961477,   22.95,     11.89,     11.05,     22.95
    1.39,    1.03,    9.25,    8.90,    1.20,    0.84,    1.16,    0.80,   12.99,   11.56,4268218515,   24.55,     12.99,     11.56,     24.55
    1.13,    0.91,    8.98,    8.75,    0.93,    0.70,    0.86,    0.62,   11.91,   10.98,4263967754,   22.89,     11.91,     10.98,     22.89
    1.18,    0.95,    9.11,    8.89,    0.89,    0.66,    0.80,    0.58,   11.98,   11.08,4263970673,   23.06,     11.98,     11.08,     23.06
    1.13,    0.92,    9.13,    8.92,    0.91,    0.69,    0.81,    0.58,   11.98,   11.11,4268392603,   23.09,     11.98,     11.11,     23.09
    1.13,    0.86,    9.17,    8.89,    1.03,    0.75,    0.97,    0.69,   12.29,   11.19,4263971798,   23.47,     12.29,     11.19,     23.47
    1.02,    0.77,    9.05,    8.81,    0.98,    0.74,    0.97,    0.71,   12.03,   11.02,4268080431,   23.05,     12.03,     11.02,     23.05
    1.13,    0.83,    9.14,    8.83,    1.10,    0.78,    1.15,    0.82,   12.52,   11.25,4263975815,   23.77,     12.52,     11.25,     23.77
    0.97,    0.75,    8.93,    8.71,    0.93,    0.72,    0.97,    0.74,   11.80,   10.93,4264239578,   22.72,     11.80,     10.93,     22.72
    1.03,    0.77,    9.01,    8.74,    0.93,    0.68,    1.04,    0.78,   12.01,   10.97,4268086661,   22.98,     12.01,     10.97,     22.98
    0.95,    0.73,    8.94,    8.73,    0.87,    0.65,    0.97,    0.75,   11.73,   10.86,4264243513,   22.59,     11.73,     10.86,     22.59
    1.03,    0.81,    8.99,    8.76,    0.84,    0.61,    0.90,    0.67,   11.75,   10.84,4264235676,   22.60,     11.75,     10.84,     22.60
    1.19,    0.87,    9.20,    8.88,    0.94,    0.63,    1.06,    0.73,   12.39,   11.11,4268085299,   23.50,     12.39,     11.11,     23.50
    1.05,    0.80,    9.08,    8.81,    0.88,    0.63,    0.97,    0.71,   11.97,   10.95,4263959390,   22.92,     11.97,     10.95,     22.92
    1.06,    0.81,    9.08,    8.84,    0.84,    0.62,    0.94,    0.69,   11.93,   10.97,4264259100,   22.90,     11.93,     10.97,     22.90
    1.05,    0.80,    9.09,    8.83,    0.91,    0.64,    0.99,    0.71,   12.04,   10.98,4268080158,   23.03,     12.04,     10.98,     23.03
    1.03,    0.77,    9.08,    8.83,    0.87,    0.62,    0.97,    0.71,   11.95,   10.93,4264215933,   22.88,     11.95,     10.93,     22.88
    0.98,    0.75,    9.02,    8.79,    0.85,    0.61,    0.88,    0.63,   11.74,   10.79,4264246951,   22.53,     11.74,     10.79,     22.53
    1.16,    0.86,    9.17,    8.86,    0.96,    0.67,    1.03,    0.72,   12.31,   11.11,4268140008,   23.42,     12.31,     11.11,     23.42
    1.17,    0.87,    9.20,    8.91,    0.98,    0.69,    1.00,    0.70,   12.35,   11.17,4264271310,   23.52,     12.35,     11.17,     23.52
    1.03,    0.80,    9.11,    8.86,    0.89,    0.64,    0.89,    0.63,   11.93,   10.94,4264244988,   22.86,     11.93,     10.94,     22.86
    1.15,    0.89,    9.13,    8.87,    0.90,    0.65,    0.91,    0.66,   12.10,   11.06,4268503472,   23.16,     12.10,     11.06,     23.16
    1.44,    1.03,    9.39,    8.98,    1.21,    0.80,    1.17,    0.74,   13.21,   11.55,4264306740,   24.76,     13.21,     11.55,     24.76
    1.23,    0.91,    9.18,    8.87,    1.06,    0.74,    0.97,    0.66,   12.45,   11.17,4264283909,   23.62,     12.45,     11.17,     23.62
    1.25,    0.96,    9.20,    8.89,    1.07,    0.76,    0.98,    0.66,   12.49,   11.28,4267961826,   23.77,     12.49,     11.28,     23.77
    1.29,    1.00,    9.18,    8.90,    1.04,    0.74,    0.96,    0.67,   12.46,   11.31,4264125893,   23.77,     12.46,     11.31,     23.77
    1.27,    0.99,    9.11,    8.84,    1.02,    0.75,    0.96,    0.69,   12.36,   11.26,4264243698,   23.62,     12.36,     11.26,     23.62
    1.14,    0.90,    9.02,    8.78,    0.99,    0.76,    0.93,    0.69,   12.08,   11.13,4268214621,   23.21,     12.08,     11.13,     23.21
    1.03,    0.79,    8.90,    8.66,    0.92,    0.67,    0.87,    0.63,   11.71,   10.77,4264373494,   22.48,     11.71,     10.77,     22.48
    1.24,    0.89,    9.14,    8.79,    1.13,    0.78,    1.09,    0.73,   12.59,   11.19,4263730579,   23.78,     12.59,     11.19,     23.78
    1.13,    0.86,    9.03,    8.76,    0.98,    0.72,    0.98,    0.71,   12.12,   11.05,4268104381,   23.17,     12.12,     11.05,     23.17
    1.09,    0.85,    9.03,    8.79,    0.93,    0.67,    0.91,    0.65,   11.97,   10.95,4264307343,   22.93,     11.97,     10.95,     22.93
