skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9157736,6692322,644462,67755828,1025836,0,624694,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9333002,6746544,949200,65697632,1040550,0,637700
9360078,6914166,703430,69676908,1003254,0,633346,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9455922,6765346,739396,66433206,1036084,0,638204
9312772,6828192,693210,70819224,1012466,0,631652,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8808478,7201474,663502,68583046,1089004,0,639058
8986096,6902196,771890,68025272,1056496,14,628390,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9111186,6993490,1160474,71662444,1010128,14,621670
8956108,7206430,925162,69428702,1050280,14,581252,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8990100,6905276,901292,66828888,1069488,0,627466
9446556,6777610,811594,69559742,1026424,0,612710,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8783446,7147084,783678,67259472,1098846,0,635824
9363354,6790252,801360,65585212,1047620,0,616294,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8923348,6579706,797132,68254186,1008126,0,612206
8939644,7203056,1169056,66683330,1086792,0,636804,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9352924,6929734,844326,69417082,1017660,0,614390
8905848,7230566,784196,68141612,1081458,0,621222,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9314816,6732656,777840,68982424,1028286,0,616644
9049642,7186676,847882,69369790,1056384,0,618674,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9454060,6783084,856114,67522630,1033242,0,615370
9401504,6786024,749854,66391556,1034208,0,614978,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9089710,7287140,1185632,68477248,1070804,0,618030
8894578,6979350,886074,66477180,1081990,0,625240,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9143302,7007756,866908,69967380,1008518,0,610442
8895138,7158424,865144,67503912,1094884,0,628194,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9284898,7113764,880152,70322434,1033018,0,613704
8921248,7097272,943096,66822294,1083222,0,620858,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8895712,7005208,1222606,69707036,1017562,0,606018
8971270,7238910,738626,68684504,1083628,0,625408,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9239930,7036414,755818,70406014,1026144,966,610176
8905848,7037450,870744,66909248,1084174,966,631162,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9044476,7256340,917308,68564958,1089858,966,628726
9097270,6933738,797538,66679130,1050658,966,617162,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8837374,7105294,881258,66585904,1088892,966,629146
9431548,6690712,880614,66980186,1039892,966,621642,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8818516,7119364,1163960,66684590,1078308,0,627830
9505244,6794704,732802,70330344,1022742,0,608986,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9278220,6851586,755482,67846100,1040494,14,607922
9163112,6825378,851746,70550732,1021244,14,616406,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9454438,6829788,783958,67240768,1038758,0,615678
9215766,7219534,660982,70001176,1046892,0,600866,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9149938,6876506,571774,66426304,1050504,0,606718
9346722,7025410,648858,70929726,1025010,0,598920,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9524620,6806100,658098,68318516,1031296,0,616658
9223704,7250558,589260,69994232,1039612,0,610680,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9493680,6827940,625702,68471424,1032458,0,614488
9036790,7194866,611576,69805778,1065260,0,624904,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9348220,6917134,620158,68634874,1016064,0,633248
9356102,7072030,581196,70400246,1030792,0,630700,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
