TIME 2024-02-08 13:44:01
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94          7k         0.0         0.1         0.0
       1        0.98          6k       280.0         0.1         0.0
       2        0.98          6k        80.0         0.1         0.0
       3        1.01          6k       320.0         0.0         0.0
       4        1.94         78k      1520.0         9.8         0.9
       5        0.25          2k        80.0         0.2         0.0
       6        0.19          0k         0.0         0.0         0.0
       7        0.23          0k        40.0         0.0         0.0
       8        0.22          0k        40.0         0.0         0.0
       9        0.19          0k         0.0         0.0         0.0
      10        0.94         13k      1000.0         0.7         0.4
      11        0.10          0k         0.0         0.0         0.0
      12        0.23          0k         0.0         0.0         0.0
      13        0.10          0k         0.0         0.0         0.0
      14        0.27          1k         0.0         0.0         0.0
      15        0.32          0k         0.0         0.0         0.0
      16        0.21          0k         0.0         0.0         0.0
      17        0.22          0k        80.0         0.0         0.0
      18        0.22          0k       120.0         0.0         0.0
      19        0.23          0k         0.0         0.0         0.0
      20        0.28          0k         0.0         0.0         0.0
      21        0.29          0k        40.0         0.0         0.0
      22        0.25          0k        40.0         0.0         0.0
      23        0.31          0k        80.0         0.0         0.0
      24        0.23          1k         0.0         0.0         0.0
      25        0.22          0k         0.0         0.0         0.0
      26        0.32          1k        40.0         0.0         0.0
      27        0.26          0k         0.0         0.0         0.0
      28        0.30          0k         0.0         0.0         0.0
      29        0.28          0k        40.0         0.0         0.0
      30        0.12          0k        40.0         0.0         0.0
      31        0.18          0k       120.0         0.0         0.0
      32        0.24          0k         0.0         0.0         0.0
      33        0.16          0k        40.0         0.0         0.0
      34        0.21          0k         0.0         0.0         0.0
      35        0.25          0k         0.0         0.0         0.0
      36        0.25          0k        80.0         0.0         0.0
      37        0.24          0k        40.0         0.0         0.0
      38        0.24          0k         0.0         0.0         0.0
      39        0.24          0k        40.0         0.0         0.0
TIME 2024-02-08 13:44:02
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.96        559k        80.0         2.3         0.2
       1        0.99        573k       200.0         3.5         0.1
       2        0.97        582k        80.0         4.4         0.0
       3        1.01        504k       200.0         0.6         1.7
       4        3.35      23810k      1640.0       133.0         0.2
       5        0.26          4k       120.0         0.0         0.0
       6        0.06          1k         0.0         0.0         0.0
       7        0.11          1k        40.0         0.0         0.0
       8        0.18          0k        40.0         0.0         0.0
       9        0.21          0k         0.0         0.0         0.0
      10        1.44         14k      2200.0         0.8         0.6
      11        0.07          0k         0.0         0.0         0.0
      12        0.17          0k         0.0         0.0         0.0
      13        0.02          1k         0.0         0.0         0.0
      14        0.23         17k        40.0         0.0         0.0
      15        0.20          1k         0.0         0.0         0.0
      16        0.23          1k        40.0         0.0         0.0
