TIME 2024-02-08 12:37:30
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02          2k        80.0         0.2         0.0
       1        1.05          1k        40.0         0.0         0.0
       2        1.00          1k       120.0         0.0         0.0
       3        1.04          4k       120.0         2.5         0.0
       4        3.40        810k       200.0        44.8         0.2
       5        0.28          1k         0.0         0.4         0.0
       6        0.20          0k         0.0         0.0         0.0
       7        0.24          0k         0.0         0.0         0.0
       8        0.24          0k         0.0         0.0         0.0
       9        0.20          0k        40.0         0.0         0.0
      10        0.98         18k       160.0         0.8         0.5
      11        1.26          6k       320.0         0.3         0.0
      12        0.19          0k        40.0         0.0         0.0
      13        0.19          0k        40.0         0.0         0.0
      14        0.85          7k       560.0         1.1         0.0
      15        0.82          9k       200.0         1.6         0.0
      16        0.85         41k      2240.0         5.5         1.3
      17        1.95         17k      1120.0         2.6         0.0
      18        0.57          4k       160.0         0.5         0.0
      19        0.82          6k       360.0         2.6         0.0
      20        0.33          0k        80.0         0.0         0.0
      21        0.49          2k        40.0         0.0         0.0
      22        0.25          1k        40.0         0.0         0.0
      23        0.30          0k        40.0         0.0         0.0
      24        0.22          0k        80.0         0.0         0.0
      25        0.23          0k       120.0         0.0         0.0
      26        0.27          0k        40.0         0.0         0.0
      27        0.30          0k       120.0         0.0         0.0
      28        0.30          0k        80.0         0.0         0.0
      29        0.28          0k       120.0         0.0         0.0
      30        0.16          0k         0.0         0.0         0.0
      31        0.79          8k       400.0         0.4         0.0
      32        0.35          2k        40.0         0.0         0.0
      33        0.37          1k        80.0         0.1         0.0
      34        0.79         18k       400.0         0.6         0.0
      35        0.58          2k       120.0         0.4         0.0
      36        0.16          0k         0.0         0.0         0.0
      37        0.20          1k        40.0         0.0         0.0
      38        1.21        146k      4200.0         8.4         0.0
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-02-08 12:37:31
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.01         40k        80.0        17.6         0.0
       1        1.04         49k       120.0         0.2         0.5
       2        1.01         21k       160.0         0.3         0.0
       3        1.04        121k       160.0        96.6         0.0
       4        3.41      20890k      1200.0      1020.4         0.0
       5        0.27         12k        80.0         3.4         0.0
       6        0.22          0k         0.0         0.0         0.0
       7        0.07          1k         0.0         0.0         0.0
       8        0.19          0k         0.0         0.0         0.0
       9        0.19          0k        40.0         0.0         0.0
      10        1.44         40k       160.0         2.9         0.5
      11        0.05          1k         0.0         0.0         0.0
      12        0.20          0k         0.0         0.0         0.0
      13        0.14          0k         0.0         0.0         0.0
      14        0.98         94k       120.0        10.7         0.2
      15        1.30         64k         0.0        10.8         2.2
      16        0.72         42k         0.0         3.9         0.5
      17        0.28         20k         0.0         1.6         0.0
      18        0.30         11k         0.0         0.7         0.1
      19        0.14          6k         0.0         0.4         0.0
      20        0.35          0k        80.0         0.0         0.0
      21        0.31          1k        80.0         0.0         0.0
      22        0.21          1k        40.0         0.0         0.0
      23        0.36          0k        40.0         0.0         0.0
      24        0.27          0k        80.0         0.0         0.0
      25        0.02          4k       120.0         0.0         0.0
      26        0.20          0k        40.0         0.0         0.0
      27        0.36          5k       160.0         0.0         0.2
      28        0.21          0k        80.0         0.0         0.0
      29        0.21          0k       120.0         0.0         0.0
      30        0.54         28k       320.0         2.7         0.0
      31        0.30          6k         0.0         0.5         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.24          1k         0.0         0.0         0.0
      34        1.85       1059k        40.0        86.4         1.2
      35        0.55         24k         0.0         2.6         0.0
      36        0.44          8k         0.0         0.1         0.1
      37        0.13          6k         0.0         0.0         0.0
      38        1.11       7734k     12480.0       647.7         0.3
      39        1.06        125k         0.0        13.6         0.0
TIME 2024-02-08 12:37:32
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00         41k       120.0        18.6         0.1
       1        1.03         41k       200.0         0.2         0.2
       2        1.00         23k       160.0         0.0         0.0
       3        1.03        115k       160.0        83.9         0.0
       4        3.26      18840k      1240.0        26.8         0.1
       5        0.26          9k        80.0         0.9         0.0
       6        0.18          1k         0.0         0.0         0.0
       7        0.09          1k         0.0         0.0         0.0
       8        0.19          1k         0.0         0.0         0.0
       9        0.20          1k        40.0         0.0         0.0
      10        1.37         46k         0.0         2.0         0.4
      11        0.91          7k       280.0         0.3         0.0
      12        0.15          1k         0.0         0.0         0.0
      13        0.15          1k         0.0         0.0         0.0
      14        1.02       4422k      6040.0       355.3         1.4
      15        0.73         76k      1160.0         5.4         0.6
      16        0.89         53k       200.0         4.4         0.1
      17        1.08         78k       320.0         7.0         0.0
      18        0.09          9k       160.0         0.3         0.0
      19        0.35          5k         0.0         0.7         0.0
      20        0.31          0k        40.0         0.0         0.0
      21        0.44          2k        40.0         0.0         0.0
      22        0.22          1k        80.0         0.0         0.0
      23        0.31          0k        40.0         0.0         0.0
      24        0.22          1k        80.0         0.0         0.0
      25        0.04          3k       120.0         0.0         0.0
      26        0.24          1k        40.0         0.0         0.0
      27        0.65         14k      1160.0         0.6         2.5
      28        0.23          1k        40.0         0.0         0.0
      29        0.21          0k       120.0         0.0         0.0
      30        0.46         87k        80.0         5.4         0.1
      31        0.65          9k       720.0         0.9         0.0
      32        0.37          2k        40.0         0.0         0.0
      33        0.41          2k       120.0         0.1         0.0
      34        0.51         29k       920.0         1.2         0.0
      35        0.53         20k       160.0         0.5         0.0
      36        0.21          6k         0.0         0.3         0.0
      37        0.75         17k       360.0         0.8         0.0
      38        0.69       2335k      2200.0       229.1         0.7
      39        0.83         31k         0.0         2.6         0.0
TIME 2024-02-08 12:37:33
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00         47k       160.0        33.6         0.0
       1        1.03         38k       120.0         0.2         0.0
       2        1.00         23k       200.0         0.1         0.0
       3        1.03         99k       200.0        57.9         0.0
       4        3.21      19045k      1680.0      1067.9         0.5
       5        0.27          3k        40.0         1.4         0.1
       6        0.19          0k        40.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.19          0k         0.0         0.0         0.0
       9        0.22          0k        40.0         0.0         0.0
      10        1.46         23k      1000.0         1.2         0.5
      11        0.24          1k       240.0         0.0         0.0
      12        0.13          0k         0.0         0.0         0.0
      13        0.17          0k        40.0         0.0         0.0
      14        0.24         18k      5120.0         0.0         0.1
      15        0.05          2k      1000.0         0.0         0.0
      16        0.83          6k       760.0         0.7         0.0
      17        0.30          1k       280.0         0.0         0.0
      18        0.27          2k       120.0         0.0         0.0
      19        0.24          1k         0.0         0.0         0.0
      20        0.32          0k        40.0         0.0         0.0
      21        0.35          0k        40.0         0.0         0.1
      22        0.20          0k        80.0         0.0         0.0
      23        0.33          0k        40.0         0.0         0.0
      24        0.31          0k        80.0         0.0         0.0
      25        0.09          1k       120.0         0.0         0.0
      26        0.26          0k        40.0         0.0         0.0
      27        0.35          4k      1000.0         0.0         0.0
      28        0.21          0k        80.0         0.0         0.0
      29        0.21          0k       120.0         0.0         0.0
      30        0.06          1k        80.0         0.0         0.0
      31        1.17          6k       840.0         0.4         0.0
      32        1.30          8k       840.0         0.9         0.0
      33        0.20          0k        40.0         0.0         0.0
      34        0.03         13k       800.0         0.0         0.0
      35        0.26          4k       160.0         0.1         0.0
      36        0.11          0k         0.0         0.0         0.0
      37        0.06          1k       320.0         0.0         0.0
      38        0.28          1k      1760.0         0.0         0.0
      39        1.10          5k       240.0         0.2         0.0
TIME 2024-02-08 12:37:34
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99         63k        80.0        68.6         0.1
       1        1.02         38k       160.0         0.1         0.0
       2        1.00         21k       200.0         0.0         0.0
       3        1.03        128k       160.0        75.2         0.0
       4        3.37      19420k      1880.0       496.8         0.0
       5        0.28          1k        40.0         0.3         0.0
       6        0.11          0k        40.0         0.0         0.0
       7        0.05          1k         0.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.17          0k        40.0         0.0         0.0
      10        1.49          9k      1440.0         0.1         0.4
      11        0.12          0k       240.0         0.0         0.0
      12        0.13          0k         0.0         0.0         0.0
      13        0.14          0k        40.0         0.0         0.0
      14        0.23         16k      5000.0         0.3         0.0
      15        0.26          1k      1040.0         0.1         0.0
      16        0.27          0k       720.0         0.0         0.0
      17        0.32          1k       280.0         0.0         0.0
      18        0.23          0k       120.0         0.0         0.0
      19        0.13          0k         0.0         0.0         0.0
      20        0.32          0k        40.0         0.0         0.0
      21        0.26          2k        40.0         0.0         0.0
      22        0.20          1k        80.0         0.0         0.0
      23        0.33          0k        40.0         0.0         0.0
      24        0.21          2k       240.0         0.2         0.1
      25        0.09          1k       120.0         0.0         0.0
      26        0.26          1k        40.0         0.0         0.0
      27        0.64          9k      1280.0         0.4         1.2
      28        0.21          0k        80.0         0.0         0.0
      29        0.19          0k       120.0         0.0         0.0
      30        0.20          1k        80.0         0.0         0.1
      31        0.30          0k       840.0         0.1         0.0
      32        0.29          0k       840.0         0.0         0.0
      33        0.23          0k        40.0         0.0         0.0
      34        0.04         13k       760.0         0.0         0.0
      35        0.20          1k       120.0         0.0         0.0
      36        0.20          1k         0.0         0.0         0.0
      37        0.07          1k       280.0         0.0         0.0
      38        0.26          1k      1640.0         0.0         0.0
      39        0.22          0k       240.0         0.0         0.0
TIME 2024-02-08 12:37:35
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00         42k       120.0        20.9         0.0
       1        1.03         36k       120.0         0.1         0.0
       2        1.00         20k       280.0         0.1         0.0
       3        1.03        125k       160.0        88.2         0.0
       4        3.14      17101k      1800.0       135.2         0.2
       5        0.29          2k         0.0         0.8         0.0
       6        0.15          0k        40.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.20          0k         0.0         0.0         0.0
       9        0.18          0k        40.0         0.0         0.0
      10        1.49          6k      1600.0         0.2         0.4
      11        0.31          0k       200.0         0.0         0.0
      12        0.19          0k         0.0         0.0         0.0
      13        0.18          0k        40.0         0.0         0.0
      14        0.25         22k      5040.0         0.3         0.2
      15        0.12          0k      1040.0         0.0         0.0
      16        0.31          1k       720.0         0.0         0.0
      17        0.32          1k       280.0         0.0         0.0
      18        0.30          0k       120.0         0.0         0.0
      19        0.17          0k         0.0         0.0         0.0
      20        0.32          0k        40.0         0.0         0.0
      21        0.31          0k        40.0         0.0         0.0
      22        0.18          0k        40.0         0.0         0.0
      23        0.38          0k        40.0         0.0         0.0
      24        0.32          1k       200.0         0.0         0.0
      25        0.10          1k       120.0         0.0         0.0
      26        0.36          1k        40.0         0.0         0.0
      27        0.33          4k      1120.0         0.0         0.2
      28        0.26          0k        80.0         0.0         0.0
      29        0.26          0k       120.0         0.0         0.0
      30        0.03          1k        40.0         0.0         0.0
      31        0.38          0k       720.0         0.0         0.0
      32        0.20          0k       840.0         0.0         0.0
      33        0.20          0k        40.0         0.0         0.0
      34        0.00         13k       720.0         0.0         0.0
      35        0.25          0k       120.0         0.0         0.0
      36        0.10          0k         0.0         0.0         0.0
      37        0.08          1k       280.0         0.0         0.0
      38        0.19          0k      1560.0         0.0         0.0
      39        0.20          0k       240.0         0.0         0.0
TIME 2024-02-08 12:37:36
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99         40k       200.0        13.3         0.0
       1        1.02         37k       160.0         0.1         0.2
       2        0.99         22k       320.0         0.1         0.0
       3        1.02         95k       240.0        61.8         0.0
       4        3.34      20187k      1880.0      1092.0         0.6
       5        0.26          2k        80.0         1.0         0.0
       6        0.16          1k        40.0         0.0         0.0
       7        0.07          1k         0.0         0.0         0.0
       8        1.15         59k       240.0         0.1         1.2
       9        0.18          0k        40.0         0.0         0.0
      10        1.48         10k       600.0         1.1         0.4
      11        0.30          1k        80.0         0.0         0.0
      12        1.23         22k       920.0         1.2         0.2
      13        1.17         16k       440.0         0.6         0.2
      14        0.42         36k      3360.0         3.2         1.2
      15        1.29         32k      1160.0         3.1         0.7
      16        1.09         16k       240.0         0.5         0.1
      17        1.56         41k      1800.0         2.6         0.4
      18        0.25          1k        80.0         0.0         0.0
      19        1.64         11k       400.0         0.4         0.3
      20        0.32          0k        40.0         0.0         0.0
      21        0.26          1k        40.0         0.0         0.1
      22        0.24          2k        80.0         0.0         0.1
      23        0.33          0k        40.0         0.0         0.0
      24        0.26          0k       200.0         0.0         0.0
      25        0.11          1k       120.0         0.0         0.0
      26        0.68          4k       320.0         0.4         0.2
      27        0.43         11k      1000.0         0.6         0.5
      28        0.18          1k        80.0         0.0         0.0
      29        0.20          0k       120.0         0.0         0.0
      30        2.25         49k       960.0         2.5         0.0
      31        1.45         28k      1000.0         1.2         0.2
      32        0.94         17k      1480.0         1.4         0.3
      33        0.24          1k        40.0         0.0         0.0
      34        0.02         16k         0.0         0.2         0.0
      35        0.15          1k         0.0         0.0         0.0
      36        0.11          1k         0.0         0.0         0.0
      37        0.08          1k         0.0         0.2         0.0
      38        1.12         23k      1520.0         1.3         0.2
      39        0.13          1k         0.0         0.0         0.0
TIME 2024-02-08 12:37:37
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99         59k       200.0        75.6         0.0
       1        1.02         37k       360.0         0.1         0.4
       2        0.99         21k       280.0         0.1         0.0
       3        1.02        112k       200.0        34.9         0.0
       4        3.28      19278k      2120.0       139.4         0.0
       5        0.29          2k       120.0         0.1         0.0
       6        0.19          0k        40.0         0.0         0.0
       7        0.05          1k         0.0         0.0         0.0
       8        0.22          0k       160.0         0.0         0.0
       9        0.21          0k        40.0         0.0         0.0
      10        1.47         13k      1520.0         0.7         0.4
      11        0.18          0k        40.0         0.0         0.0
      12        0.20          0k       880.0         0.0         0.0
      13        0.19          0k       360.0         0.0         0.0
      14        0.23         16k      3280.0         0.0         0.0
      15        0.13          0k      1160.0         0.0         0.0
      16        0.27          0k       200.0         0.0         0.0
      17        0.33          1k      1640.0         0.0         0.0
      18        0.29          0k        80.0         0.0         0.0
      19        0.15          0k       400.0         0.0         0.0
      20        0.32          0k        40.0         0.0         0.0
      21        0.28          0k        40.0         0.0         0.0
      22        0.35          0k        80.0         0.0         0.0
      23        0.32          0k        40.0         0.0         0.0
      24        0.30          1k       200.0         0.0         0.0
      25        0.07          1k       120.0         0.0         0.0
      26        0.21          0k       120.0         0.0         0.0
      27        0.34          5k       920.0         0.2         0.2
      28        0.20          0k       120.0         0.0         0.0
      29        0.20          0k       120.0         0.0         0.0
      30        0.04          1k       680.0         0.0         0.0
      31        0.18          0k       840.0         0.0         0.0
      32        0.18          0k      1360.0         0.0         0.0
      33        0.20          0k         0.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.11          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.20          1k      1520.0         0.0         0.0
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-02-08 12:37:38
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.01         41k       160.0        27.5         0.0
       1        1.03         34k       480.0         0.0         0.0
       2        0.99         19k       160.0         0.0         0.0
       3        1.02         95k       320.0        64.6         0.0
       4        3.15      18381k      2000.0       763.4         0.4
       5        0.28          1k        80.0         0.1         0.0
       6        0.15          0k        40.0         0.0         0.0
       7        0.05          1k         0.0         0.0         0.0
       8        0.16          0k       120.0         0.0         0.0
       9        0.17          0k        40.0         0.0         0.0
      10        1.48          6k      1680.0         0.2         0.4
      11        0.18          0k        40.0         0.0         0.0
      12        0.16          0k       880.0         0.0         0.0
      13        0.16          0k       360.0         0.0         0.0
      14        0.23         16k      3200.0         0.0         0.0
      15        0.22          0k      1160.0         0.0         0.0
      16        0.26          0k       200.0         0.0         0.0
      17        0.31          1k      1600.0         0.0         0.0
      18        0.28          0k        80.0         0.0         0.0
      19        0.15          0k       400.0         0.0         0.0
      20        0.34          0k        40.0         0.0         0.0
      21        0.34          0k         0.0         0.0         0.0
      22        0.19          0k        80.0         0.0         0.0
      23        0.33          0k        40.0         0.0         0.0
      24        0.28          0k       160.0         0.0         0.0
      25        0.14          1k       120.0         0.0         0.0
      26        0.28          1k        40.0         0.0         0.0
      27        0.61         11k      1120.0         0.6         0.9
      28        0.18          0k        80.0         0.0         0.0
      29        0.18          0k       120.0         0.0         0.0
      30        0.27          1k       680.0         0.0         0.0
      31        0.18          0k       880.0         0.0         0.0
      32        0.18          0k      1280.0         0.0         0.1
      33        0.40          0k         0.0         0.0         0.0
      34        0.00         12k        40.0         0.0         0.0
      35        0.18          0k         0.0         0.0         0.0
      36        0.14          0k         0.0         0.0         0.0
      37        0.07          1k         0.0         0.0         0.0
      38        0.20          0k      1440.0         0.0         0.0
