TIME 2024-02-08 13:41:48
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95          6k        80.0         0.1         0.0
       1        0.99          5k       160.0         0.9         0.0
       2        0.97          5k       280.0         0.0         0.0
       3        1.01          4k       280.0         0.0         0.0
       4        1.70         33k      2160.0         9.5         1.0
       5        0.26          1k       160.0         0.2         0.0
       6        0.19          0k         0.0         0.0         0.0
       7        0.16          0k        40.0         0.0         0.0
       8        0.22          0k        40.0         0.0         0.0
       9        0.19          0k        80.0         0.0         0.0
      10        0.94         12k       920.0         1.1         0.3
      11        0.12          0k       120.0         0.0         0.0
      12        0.22          0k         0.0         0.0         0.0
      13        0.10          0k         0.0         0.0         0.0
      14        0.49          1k         0.0         0.0         0.0
      15        0.31          1k        40.0         0.0         0.0
      16        0.23          0k        40.0         0.0         0.0
      17        0.21          0k        80.0         0.0         0.0
      18        0.21          0k       120.0         0.0         0.0
      19        0.21          0k         0.0         0.0         0.0
      20        0.26          0k         0.0         0.0         0.0
      21        0.26          0k         0.0         0.0         0.0
      22        0.27          0k         0.0         0.0         0.0
      23        0.24          0k         0.0         0.0         0.0
      24        0.26          1k        40.0         0.1         0.0
      25        0.16          1k         0.0         0.0         0.0
      26        0.22          0k        80.0         0.0         0.0
      27        0.31          1k         0.0         0.0         0.0
      28        0.24          0k        80.0         0.0         0.0
      29        0.30          1k         0.0         0.0         0.0
      30        0.09          0k         0.0         0.0         0.0
      31        0.38          0k         0.0         0.0         0.0
      32        0.25          0k         0.0         0.0         0.0
      33        0.20          0k         0.0         0.0         0.0
      34        0.18          0k        40.0         0.0         0.0
      35        0.21          0k         0.0         0.0         0.0
      36        0.26          0k         0.0         0.0         0.0
      37        0.19          0k        40.0         0.0         0.0
      38        0.24          0k        40.0         0.0         0.0
      39        0.25          0k        40.0         0.0         0.0
TIME 2024-02-08 13:41:49
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        305k       240.0         0.8         0.1
       1        1.00        288k       240.0        35.2         0.2
       2        0.97        317k       360.0         1.4         0.0
       3        1.01        288k       280.0         0.1         0.0
       4        3.34      22461k      1880.0        86.2         0.5
       5        0.26          7k        80.0         0.2         0.0
       6        0.17          0k         0.0         0.0         0.0
       7        0.07          1k        40.0         0.0         0.0
       8        0.17          0k        40.0         0.0         0.0
       9        0.17          0k        80.0         0.0         0.0
      10        1.44         13k      1640.0         1.1         0.0
      11        0.10          0k       120.0         0.0         0.0
      12        0.17          0k         0.0         0.0         0.0
      13        0.02          1k         0.0         0.0         0.0
      14        0.23         17k         0.0         0.0         0.0
      15        1.10          9k      1680.0         1.1         0.7
      16        0.27          1k        40.0         0.0         0.0
      17        0.30          1k        80.0         0.0         0.0
      18        0.23          1k       120.0         0.0         0.0
      19        0.31          0k         0.0         0.0         0.0
      20        0.25          1k         0.0         0.0         0.0
      21        0.18          1k         0.0         0.0         0.0
      22        0.23          1k         0.0         0.0         0.0
      23        0.31          0k         0.0         0.0         0.0
      24        0.23          0k        40.0         0.0         0.0
      25        0.07          1k         0.0         0.0         0.0
      26        0.21          0k        80.0         0.0         0.0
      27        0.33         11k       120.0         0.2         0.5
      28        0.21          0k        80.0         0.0         0.0
      29        0.34          1k         0.0         0.0         0.0
      30        0.03          1k         0.0         0.0         0.0
      31        0.33          1k         0.0         0.0         0.0
