TIME 2024-02-08 13:52:49
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95          4k       120.0         0.0         0.0
       1        0.99          2k       200.0         0.9         0.0
       2        0.97          3k        40.0         0.0         0.0
       3        1.00          3k       200.0         0.0         0.0
       4        1.84         54k      2280.0         8.2         1.2
       5        0.24          1k       160.0         0.0         0.0
       6        0.19          0k         0.0         0.0         0.0
       7        0.19          0k        40.0         0.0         0.0
       8        0.24          0k         0.0         0.0         0.0
       9        0.15          0k        40.0         0.0         0.0
      10        0.93         14k      1040.0         0.8         0.2
      11        0.10          0k         0.0         0.0         0.0
      12        0.22          0k        80.0         0.0         0.0
      13        0.09          0k        80.0         0.0         0.0
      14        0.20          1k         0.0         0.0         0.0
      15        0.21          0k         0.0         0.0         0.0
      16        0.21          0k         0.0         0.0         0.0
      17        0.27          0k        40.0         0.0         0.0
      18        0.22          0k        40.0         0.0         0.0
      19        0.21          0k        40.0         0.0         0.0
      20        0.26          0k        40.0         0.0         0.0
      21        0.31          0k       120.0         0.0         0.0
      22        0.28          0k         0.0         0.0         0.0
      23        0.29          0k        40.0         0.0         0.0
      24        0.30          1k       120.0         0.0         0.0
      25        0.21          0k        40.0         0.0         0.0
      26        0.20          0k         0.0         0.0         0.0
      27        0.35          1k         0.0         0.0         0.0
      28        0.27          0k         0.0         0.0         0.0
      29        0.23          1k        80.0         0.0         0.0
      30        0.08          0k        80.0         0.0         0.0
      31        0.36          0k         0.0         0.0         0.0
      32        0.27          0k         0.0         0.0         0.0
      33        0.20          0k         0.0         0.0         0.0
      34        0.15          0k         0.0         0.0         0.0
      35        0.25          0k         0.0         0.0         0.0
      36        0.27          0k        40.0         0.0         0.0
      37        0.21          0k         0.0         0.0         0.0
      38        0.24          0k        40.0         0.0         0.0
      39        0.23          0k         0.0         0.0         0.0
TIME 2024-02-08 13:52:50
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        128k       120.0         0.2         0.0
       1        1.01         89k       440.0        35.7         0.0
       2        0.98         97k        80.0         0.2         0.0
       3        1.01         96k       240.0         0.2         0.0
       4        3.36      22048k      1840.0       375.5         0.3
       5        0.26          2k       160.0         0.0         0.0
       6        0.18          0k         0.0         0.0         0.0
       7        0.08          0k        40.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.21          0k         0.0         0.0         0.0
      10        1.45         12k      1640.0         0.7         0.2
      11        0.09          0k         0.0         0.0         0.0
      12        0.20          0k        80.0         0.0         0.0
      13        0.03          1k        80.0         0.0         0.0
      14        0.22         18k        80.0         0.1         0.0
      15        0.13          0k         0.0         0.0         0.0
      16        0.26          1k        80.0         0.1         0.0
      17        0.29          1k        40.0         0.0         0.0
      18        0.26          1k        40.0         0.0         0.0
      19        0.15          0k        40.0         0.0         0.0
      20        0.25          0k        40.0         0.0         0.0
      21        0.52          7k       640.0         0.7         0.7
      22        0.19          1k         0.0         0.0         0.0
      23        0.29          0k        40.0         0.0         0.0
      24        0.20          3k       280.0         0.3         0.1
      25        0.07          1k        40.0         0.0         0.0
      26        0.22          1k         0.0         0.0         0.0
      27        0.34          2k        40.0         0.0         0.0
