TIME 2024-02-08 12:33:06
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98          2k       120.0         0.1         0.0
       1        1.02          1k        40.0         0.0         0.0
       2        0.99          2k       200.0         0.0         0.0
       3        1.03          3k       240.0         6.7         0.0
       4        1.98         78k      1760.0         8.4         0.9
       5        0.23          1k       120.0         0.2         0.0
       6        0.23          0k        40.0         0.0         0.0
       7        0.24          0k       120.0         0.0         0.0
       8        0.23          0k        40.0         0.0         0.0
       9        0.22          0k         0.0         0.0         0.0
      10        0.95         12k       600.0         0.4         0.5
      11        0.10          0k         0.0         0.0         0.0
      12        0.24          0k         0.0         0.0         0.0
      13        0.13          0k        40.0         0.0         0.0
      14        0.28          1k        40.0         0.0         0.0
      15        0.29          0k         0.0         0.0         0.0
      16        0.20          0k        80.0         0.0         0.0
      17        0.23          0k         0.0         0.0         0.0
      18        0.21          0k       200.0         0.0         0.0
      19        0.18          0k         0.0         0.0         0.0
      20        0.31          0k         0.0         0.0         0.0
      21        0.29          0k         0.0         0.0         0.0
      22        0.32          0k        40.0         0.0         0.0
      23        0.30          0k        40.0         0.0         0.0
      24        0.26          1k        40.0         0.0         0.0
      25        0.31          1k        40.0         0.0         0.0
      26        0.29          0k        40.0         0.0         0.0
      27        0.31          0k        40.0         0.0         0.0
      28        0.26          0k        80.0         0.0         0.0
      29        0.22          0k        80.0         0.0         0.0
      30        0.09          0k       120.0         0.0         0.0
      31        0.37          0k       160.0         0.0         0.0
      32        0.25          0k        80.0         0.0         0.0
      33        0.22          0k         0.0         0.0         0.0
      34        0.20          0k         0.0         0.0         0.0
      35        0.26          0k        40.0         0.0         0.0
      36        0.21          0k        40.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.26          0k         0.0         0.0         0.0
      39        0.24          0k        40.0         0.0         0.0
TIME 2024-02-08 12:33:07
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        378k       120.0         3.2         0.0
       1        1.01        346k        40.0         0.2         1.7
       2        0.98        354k       200.0         0.2         0.0
       3        1.01        392k       240.0       268.7         0.0
       4        3.37      23270k      1800.0       218.0         3.3
       5        0.24          4k       160.0         0.0         0.0
       6        0.18          0k        40.0         0.0         0.0
       7        0.22          0k       120.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.18          0k         0.0         0.0         0.0
      10        1.46         11k      1160.0         0.4         0.2
      11        0.09          0k         0.0         0.0         0.0
      12        0.21          0k         0.0         0.0         0.0
      13        0.20          0k        40.0         0.0         0.0
      14        0.27         27k      1320.0         0.8         0.5
      15        0.25          0k         0.0         0.0         0.0
      16        0.25          1k        80.0         0.0         0.0
      17        0.32          1k         0.0         0.0         0.0
      18        0.12          0k       200.0         0.0         0.0
      19        0.12          0k        40.0         0.0         0.0
      20        0.34          0k         0.0         0.0         0.0
      21        0.18          1k         0.0         0.0         0.0
      22        0.28          0k        40.0         0.0         0.0
      23        0.37          0k        40.0         0.0         0.0
      24        0.18          1k       120.0         0.3         0.0
      25        0.33          6k        80.0         0.0         0.4
      26        0.19          0k        40.0         0.0         0.0
      27        0.24          0k        40.0         0.0         0.0
      28        0.20          0k        80.0         0.0         0.0
      29        0.19          0k        80.0         0.0         0.0
      30        0.03          1k        80.0         0.0         0.0
      31        0.31          1k       160.0         0.0         0.0
      32        0.19          0k        80.0         0.0         0.0
      33        0.19          0k         0.0         0.0         0.0
      34        0.02         13k         0.0         0.0         0.0
      35        0.23          1k        40.0         0.0         0.0
      36        0.21          0k        40.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.25          1k         0.0         0.0         0.0
      39        0.39          1k        80.0         0.0         0.0
TIME 2024-02-08 12:33:08
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        407k       120.0         5.4         0.1
       1        1.01        350k       200.0         0.3         1.1
       2        0.97        404k       320.0         0.3         0.0
       3        1.00        456k       280.0       261.6         0.0
       4        3.27      20169k      1840.0       276.5         1.5
       5        0.24          3k       160.0         0.0         0.0
       6        0.18          1k        40.0         0.0         0.0
       7        0.17          1k       120.0         0.0         0.0
       8        0.22          1k         0.0         0.0         0.0
       9        0.21          1k         0.0         0.0         0.0
      10        1.49          6k      1600.0         0.1         0.3
      11        0.14          0k         0.0         0.0         0.0
      12        0.19          0k         0.0         0.0         0.0
      13        0.16          0k        40.0         0.0         0.0
      14        0.23         17k      1400.0         0.1         0.0
      15        0.23          0k         0.0         0.0         0.0
      16        0.28          0k       120.0         0.0         0.0
      17        0.31          0k         0.0         0.0         0.0
      18        0.12          0k       200.0         0.0         0.0
      19        0.10          0k         0.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.21          1k         0.0         0.0         0.0
      22        0.34          0k        40.0         0.0         0.0
      23        0.32          0k        40.0         0.0         0.0
      24        0.18          3k       120.0         0.1         0.1
      25        0.35          5k       120.0         0.0         0.4
      26        0.27          1k        40.0         0.0         0.0
      27        0.30          2k        40.0         0.0         0.0
      28        0.16          0k        80.0         0.0         0.0
      29        0.18          0k        80.0         0.0         0.0
      30        0.14          1k       120.0         0.0         0.0
      31        0.42          1k       160.0         0.0         0.0
      32        0.15          0k        80.0         0.0         0.0
      33        0.20          0k         0.0         0.0         0.0
      34        0.03         13k         0.0         0.0         0.0
      35        0.22          0k        40.0         0.0         0.0
      36        0.09          0k        40.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.23          0k         0.0         0.0         0.0
      39        0.43          1k        40.0         0.0         0.0
TIME 2024-02-08 12:33:09
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        392k       120.0        11.5         0.0
       1        1.01        385k       160.0         0.1         0.0
       2        0.97        319k       200.0         0.3         0.0
       3        1.01        377k       280.0       262.1         0.0
       4        3.17      21050k      2120.0        20.7         0.4
       5        0.22          2k       120.0         0.0         0.0
       6        0.12          0k        40.0         0.0         0.0
       7        0.10          0k       120.0         0.0         0.0
       8        0.15          0k         0.0         0.0         0.0
       9        0.14          0k         0.0         0.0         0.0
      10        1.51          5k      2040.0         0.4         0.2
      11        0.16          0k         0.0         0.0         0.0
      12        0.16          0k         0.0         0.0         0.0
      13        0.21          0k        40.0         0.0         0.0
      14        0.23         16k      1240.0         0.0         0.0
      15        0.22          0k         0.0         0.0         0.0
      16        0.25          0k       120.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.15          0k       280.0         0.0         0.0
      19        0.17          0k         0.0         0.0         0.0
      20        0.30          0k         0.0         0.0         0.0
      21        0.20          1k         0.0         0.1         0.0
      22        0.33          0k        40.0         0.0         0.0
      23        0.34          0k        40.0         0.0         0.0
      24        0.25          0k       120.0         0.0         0.0
      25        0.55          9k       680.0         0.5         1.2
      26        0.26          1k        40.0         0.0         0.0
      27        0.25          1k        40.0         0.0         0.0
      28        0.23          1k        80.0         0.0         0.0
      29        0.24          0k        80.0         0.0         0.0
      30        0.07          1k       240.0         0.1         0.0
      31        0.23          0k       160.0         0.0         0.0
      32        0.21          0k        80.0         0.0         0.0
      33        0.19          0k         0.0         0.0         0.0
