skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
6571516,190708,413014,23758084,9694468,770,195524,9968448,46984,3292072,15214374,0,9450,51282
9659104,281778,311388,22223726,9685928,3752,596960,9960286,47068,4394866,26096560,0,9590,57134
10873072,1198610,158564,22697962,9350096,140,592914,9912210,46872,2725898,3529134,0,9604,57274
10889998,1199576,119000,22729490,9759316,224,615860,9945488,46830,2608676,5488966,0,9618,57218
10880786,1206940,334418,22756790,9688546,140,574952,9922192,46872,3013962,3979528,0,9604,56924
10894506,1211280,833700,22958796,9690800,140,1077804,9937200,46886,17574144,37612848,0,9576,104146
19034820,2152710,115584,39572708,17790304,140,1103480,18196276,86030,2873948,6591466,0,17486,104370
17260040,2143344,87724,39041772,17788344,336,1060864,18033512,86002,2706158,8773632,0,17486,99078
19447722,2138066,250250,21555366,17313268,140,981036,18240852,85974,3244724,20485500,0,17444,104258
20158782,2151296,63924,37917740,17787252,140,1086848,18226768,86030,2772924,8626240,0,17654,103782
19898522,2212378,72240,37163210,17786804,140,1083236,18225648,86002,2861894,11663246,0,17640,107002
20007820,2212770,211736,37853914,17792600,140,1060934,18229876,86030,2799118,7997626,0,17654,103418
19949454,389592,768586,17006836,17867850,1680,1083544,18236960,86296,3275174,22301650,0,17654,104244
19942636,2206330,825174,36593774,17786650,168,1130024,18229428,86016,3366790,7700728,0,17654,104608
20035232,2213932,619486,36586452,17786594,140,1084034,18227622,86002,3402742,7741020,0,17640,99484
19953360,2213330,906836,36522066,17786860,140,734776,18226992,86030,3487162,7757778,0,17654,67326
12852784,1430212,1380358,24934336,11435536,420,735280,11713198,55314,3524682,5113318,0,11340,67354
7043106,647276,1964046,5078556,11360356,168,35588,11729088,55314,5230988,4093516,0,11340,67326
1866858,685706,2551780,15654884,11284098,168,22750,11724860,55244,4940586,5128116,0,11354,67298
1430310,578144,2362976,4622674,11241034,0,22540,11714430,55286,5047672,6060726,0,11340,67368
1458212,577822,2095576,3386334,11308738,0,34538,11717034,55370,4687340,6614328,0,11354,67326
1688820,684054,2614192,6149430,11356128,0,33992,11721052,55300,4565708,5847548,0,11340,67368
1930852,678524,1187340,5809734,11187134,0,23254,11718756,55328,5611466,4869312,0,11340,67438
1670578,572964,1668394,5355336,11164314,0,34902,11723936,55314,4862158,4728178,0,11340,67326
1345092,648592,1723148,12811848,11232326,0,32270,11719162,55356,4510604,5778178,0,11354,67200
1389948,677334,1427118,6006756,11352782,0,30744,11737796,55300,4704602,6249656,0,12362,51772
1689492,526078,409486,58966670,8689982,0,29064,9018296,42560,3276994,3735648,0,9786,51478
1782382,814534,165900,19018286,8794464,0,564732,9022020,42560,2718730,4560318,0,9772,51758
9885386,1092994,167356,19119212,8793778,0,430668,8990520,42588,2669002,5036416,0,9786,48552
9830674,1091972,221032,19054938,8794198,0,562254,9012906,42504,2658250,4828670,0,9338,52164
9888452,1091356,152768,18986184,8794338,0,558502,9011968,42532,2686236,3710896,0,9352,51660
9887514,1091370,126574,19132652,8794240,42,557648,9020760,42546,2761486,4328002,0,9352,51646
9886268,1092672,433832,19075630,8795864,0,559286,9012948,42546,2661946,5353726,0,9338,51576
9887990,1092630,125972,19127500,8795934,0,554498,9000838,42560,2665054,5664834,0,9352,51618
9885358,1092966,127890,19121704,8794254,0,558950,9006634,42518,2677024,4541474,0,9352,51618
9886856,1091860,126518,19343058,8794492,0,1109878,9012570,42546,2717904,3884328,0,13062,104608
19989634,2174844,68586,34815018,17819466,140,1105734,18265436,86184,2600150,8931188,0,18298,104510
19993330,2175516,131278,36709078,17818612,196,1098062,18264386,86114,2665390,7186480,0,18326,104580
19994996,2175670,77028,36865080,17818402,140,1112034,18262706,86142,2624174,8560244,0,18298,104552
19998650,446558,474418,36494696,17644816,308,930692,18266178,85484,2791124,8125012,0,18298,104594
19995262,2149070,89166,36989344,17820460,168,1108954,18263098,86128,2671746,9557828,0,18312,104538
19999728,2168600,43498,37154810,17901464,140,893088,18264330,86170,2768122,8724870,0,18298,104566
19968578,2216662,182098,36423408,17786244,728,1112510,18266668,86184,2538340,9191322,0,18298,104566
19997278,2218986,43764,37083788,17822756,140,1094156,18262538,86170,2628962,9041592,0,18298,104538
19995388,2206834,47866,36936200,17819886,140,1110270,18269944,86170,2649724,8758190,0,18326,104580
19997194,2216172,177912,37105194,17823946,224,1115156,18271540,86128,2756320,9932608,0,18536,105574
20287750,2250262,45388,37557016,18080748,224,1129016,18531856,87444,2590602,7834064,0,18564,106120
20284180,1952006,1015196,25021248,12374054,140,230468,18521258,87402,2769844,10794294,0,17724,105000
14167860,266392,262458,16245474,11769954,140,240422,18556580,86492,2634590,8161734,0,17724,104132
12759334,276276,6185116,13687002,11741884,140,209426,18461422,86590,15034222,11496954,0,17878,103992
11048226,295456,177464,18341890,12891368,140,241612,18529140,86954,2705080,7826840,0,17710,105336
12294856,295848,339724,16773820,12118358,0,223594,18496128,86366,2584988,6777414,0,17822,104636
11507272,300874,185024,17323628,13635636,0,197316,18543014,86380,2817066,8676472,0,17892,104622
11499068,298130,186830,17783262,14106596,0,185976,18390862,86478,2626148,6507550,0,17892,104608
12683426,436114,185178,17388602,14951664,0,207494,18393130,86450,2619848,8528030,14,17850,103082
11850622,430248,182546,17667482,14018676,0,419356,18404274,86856,2677556,7586208,0,12208,72030
12552148,1255492,91028,26462002,11840206,140,401366,12635294,59486,2686698,4861010,14,12194,71484
12633530,1218084,602784,42541282,12288668,140,774914,12631220,59444,2869594,7924784,14,12208,72114
13802866,1521212,1273650,5295962,12298748,140,27356,12590354,59402,2817598,5098674,0,12194,71862
1665916,733656,113064,11727674,12077016,378,24206,12593196,59388,2624846,15632778,0,12208,72128
985026,683018,158886,3272668,12075658,168,24136,12583970,59402,2624076,5115880,0,12180,72240
1239476,695646,50036,4628204,12009984,168,29302,12587904,59416,2573928,7042420,0,12194,72142
1369466,751562,61684,152856102,12126128,140,24164,12621504,59416,2620492,5133226,0,12236,72170
1013656,681324,41524,3732820,12046146,280,26362,12593602,59430,2637768,7145110,0,12110,71652
1570520,727594,176442,5197136,12146330,168,28798,12604382,59458,2603146,5128984,0,12208,72198
1366680,700602,39186,4898642,10130456,140,31654,12593420,59472,2564758,7290570,0,9576,56756
1250396,583212,131936,10945060,9477006,140,19264,9907660,46788,2653588,5129502,0,9604,56770
1081234,570752,99834,3115686,9455474,182,19670,9909522,46760,2635794,5513228,0,9590,56756
