Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101;Column102;Column103;Column104;Column105;Column106;Column107;Column108;Column109;Column110;Column111;Column112;Column113;Column114;Column115;Column116;Column117;Column118;Column119;Column120;Column121;Column122;Column123;Column124;Column125;Column126;Column127;Column128;Column129;Column130;Column131;Column132;Column133;Column134;Column135;Column136;Column137;Column138;Column139;Column140;Column141;Column142;Column143;Column144;Column145;Column146;Column147;Column148;Column149;Column150;Column151;Column152;Column153
File;input_rate;output_rate;latency;bridge-pcm_Socket 0-EXEC;bridge-pcm_Socket 0-IPC;bridge-pcm_Socket 0-FREQ;bridge-pcm_Socket 0-AFREQ;bridge-pcm_Socket 0-L3MISS;bridge-pcm_Socket 0-L2MISS;bridge-pcm_Socket 0-L3HIT;bridge-pcm_Socket 0-L2HIT;bridge-pcm_Socket 0-L3MPI;bridge-pcm_Socket 0-L2MPI;bridge-pcm_Socket 0-L3OCC;bridge-pcm_Socket 0-READ;bridge-pcm_Socket 0-WRITE;bridge-pcm_Socket 0-LOCAL;bridge-pcm_Socket 0-TEMP;bridge-pcm_Socket 0-INST;bridge-pcm_Socket 0-ACYC;bridge-pcm_Socket 0-TIME(ticks);bridge-pcm_Socket 0-PhysIPC;bridge-pcm_Socket 0-PhysIPC%;bridge-pcm_Socket 0-INSTnom;bridge-pcm_Socket 0-INSTnom%;bridge-pcm_Socket 1-EXEC;bridge-pcm_Socket 1-IPC;bridge-pcm_Socket 1-FREQ;bridge-pcm_Socket 1-AFREQ;bridge-pcm_Socket 1-L3MISS;bridge-pcm_Socket 1-L2MISS;bridge-pcm_Socket 1-L3HIT;bridge-pcm_Socket 1-L2HIT;bridge-pcm_Socket 1-L3MPI;bridge-pcm_Socket 1-L2MPI;bridge-pcm_Socket 1-L3OCC;bridge-pcm_Socket 1-READ;bridge-pcm_Socket 1-WRITE;bridge-pcm_Socket 1-LOCAL;bridge-pcm_Socket 1-TEMP;bridge-pcm_Socket 1-INST;bridge-pcm_Socket 1-ACYC;bridge-pcm_Socket 1-TIME(ticks);bridge-pcm_Socket 1-PhysIPC;bridge-pcm_Socket 1-PhysIPC%;bridge-pcm_Socket 1-INSTnom;bridge-pcm_Socket 1-INSTnom%;bridge-pcm_SKT0 Core C-State-C0res%;bridge-pcm_SKT0 Core C-State-C1res%;bridge-pcm_SKT0 Core C-State-C3res%;bridge-pcm_SKT0 Core C-State-C6res%;bridge-pcm_SKT0 Core C-State-C7res%;bridge-pcm_SKT0 Package C-State-C0res%;bridge-pcm_SKT0 Package C-State-C2res%;bridge-pcm_SKT0 Package C-State-C3res%;bridge-pcm_SKT0 Package C-State-C6res%;bridge-pcm_SKT0 Package C-State-C7res%;bridge-pcm_SKT1 Core C-State-C0res%;bridge-pcm_SKT1 Core C-State-C1res%;bridge-pcm_SKT1 Core C-State-C3res%;bridge-pcm_SKT1 Core C-State-C6res%;bridge-pcm_SKT1 Core C-State-C7res%;bridge-pcm_SKT1 Package C-State-C0res%;bridge-pcm_SKT1 Package C-State-C2res%;bridge-pcm_SKT1 Package C-State-C3res%;bridge-pcm_SKT1 Package C-State-C6res%;bridge-pcm_SKT1 Package C-State-C7res%;bridge-pcm_Proc Energy (Joules)-SKT0;bridge-pcm_Proc Energy (Joules)-SKT1;bridge-pcm_DRAM Energy (Joules)-SKT0;bridge-pcm_DRAM Energy (Joules)-SKT1;bridge-pcm_LLCRDMISSLAT (ns)-SKT0;bridge-pcm_LLCRDMISSLAT (ns)-SKT1;bridge-pcm_UncFREQ (Ghz)-SKT0;bridge-pcm_UncFREQ (Ghz)-SKT1;bridge-pcm_Core3 (Socket 0)-EXEC;bridge-pcm_Core3 (Socket 0)-IPC;bridge-pcm_Core3 (Socket 0)-FREQ;bridge-pcm_Core3 (Socket 0)-AFREQ;bridge-pcm_Core3 (Socket 0)-L3MISS;bridge-pcm_Core3 (Socket 0)-L2MISS;bridge-pcm_Core3 (Socket 0)-L3HIT;bridge-pcm_Core3 (Socket 0)-L2HIT;bridge-pcm_Core3 (Socket 0)-L3MPI;bridge-pcm_Core3 (Socket 0)-L2MPI;bridge-pcm_Core3 (Socket 0)-L3OCC;bridge-pcm_Core3 (Socket 0)-C0res%;bridge-pcm_Core3 (Socket 0)-C1res%;bridge-pcm_Core3 (Socket 0)-C3res%;bridge-pcm_Core3 (Socket 0)-C6res%;bridge-pcm_Core3 (Socket 0)-C7res%;bridge-pcm_Core3 (Socket 0)-TEMP;bridge-pcm_Core3 (Socket 0)-INST;bridge-pcm_Core3 (Socket 0)-ACYC;bridge-pcm_Core3 (Socket 0)-TIME(ticks);bridge-pcm_Core3 (Socket 0)-PhysIPC;bridge-pcm_Core3 (Socket 0)-PhysIPC%;bridge-pcm_Core3 (Socket 0)-INSTnom;bridge-pcm_Core3 (Socket 0)-INSTnom%;bridge-pcm_-;nf_out_nfs[i].instance_id;nf_out_nfs[i].service_id;nf_out_nfs[i].thread_info.core;nf_out_rx_pps;nf_out_tx_pps;nf_out_rx;nf_out_tx;nf_out_act_out;nf_out_act_tonf;nf_out_act_drop;nf_out_nfs[i].thread_info.parent;nf_out_rte_atomic16_read(&nfs[i].thread_info.children_cnt);nf_out_rx_drop_rate;nf_out_tx_drop_rate;nf_out_rx_drop;nf_out_tx_drop;nf_out_act_next;nf_out_act_buffer;nf_out_act_returned;pcm-pcie_new_skt-0_PCIRdCur;pcm-pcie_new_skt-0_RFO;pcm-pcie_new_skt-0_CRd;pcm-pcie_new_skt-0_DRd;pcm-pcie_new_skt-0_ItoM;pcm-pcie_new_skt-0_PRd;pcm-pcie_new_skt-0_WiL;pcm-pcie_new_skt-1_PCIRdCur;pcm-pcie_new_skt-1_RFO;pcm-pcie_new_skt-1_CRd;pcm-pcie_new_skt-1_DRd;pcm-pcie_new_skt-1_ItoM;pcm-pcie_new_skt-1_PRd;pcm-pcie_new_skt-1_WiL;pcm-memory_new_SKT0-Ch0Read;pcm-memory_new_SKT0-Ch0Write;pcm-memory_new_SKT0-Ch1Read;pcm-memory_new_SKT0-Ch1Write;pcm-memory_new_SKT0-Mem Read (MB/s);pcm-memory_new_SKT0-Mem Write (MB/s);pcm-memory_new_SKT0-P. Write (T/s);pcm-memory_new_SKT0-Memory (MB/s);pcm-memory_new_SKT1-Ch0Read;pcm-memory_new_SKT1-Ch0Write;pcm-memory_new_SKT1-Ch1Read;pcm-memory_new_SKT1-Ch1Write;pcm-memory_new_SKT1-Mem Read (MB/s);pcm-memory_new_SKT1-Mem Write (MB/s);pcm-memory_new_SKT1-P. Write (T/s);pcm-memory_new_SKT1-Memory (MB/s);pcm-memory_new_System-Read;pcm-memory_new_System-Write;pcm-memory_new_System-Memory
1024B-1024;9962.284017183849;8893.565274271165;2282.590615114236;0.5048154657293498;2.6636028119507906;0.19179261862917396;1.1855887521968365;0.09673110720562392;30.84775043936731;0.9984007029876978;0.6296485061511423;0.0;0.0011827768014059754;19593.391915641478;0.5400702987697715;1.220597539543058;98.90333919156414;42.04042179261863;26213.839595782076;9851.011458699473;2597.3437434094903;5.327205623901581;133.18168717047453;1.0089279437609842;25.231195079086113;0.2291739894551846;1.6650790861159928;0.1333919156414763;1.2265202108963096;0.1059402460456942;12.441757469244289;0.9947451669595782;0.41288224956063274;5.799648506151142e-06;0.0010342706502636204;23644.63971880492;0.8972056239015818;0.006274165202108963;98.87170474516697;26.99824253075571;11775.23611599297;7086.2453075571175;2597.3437434094903;3.329859402460457;83.24226713532514;0.4508787346221441;11.333884007029877;16.02687170474517;15.986520210896305;0.008049209138840071;67.97804920913883;0.0;100.0;0.0;0.0;0.0;0.0;11.10548330404218;13.818629173989455;0.015272407732864673;75.05985940246045;0.0;100.0;0.0;0.0;0.0;0.0;57.85346221441124;53.78553602811951;4.608699472759227;4.555325131810194;14362.24827768014;19823.722407732865;3.0;3.0;3.980316344463972;3.358980667838313;1.1865905096660805;1.1882249560632687;0.000281195079086116;8.849455184534271;1.0;0.14063268892794376;0.0;0.0008599297012302283;1540.0351493848857;99.78156414762742;0.21843585237258348;0.0;0.0;0.0;43.82776801405976;10338.23725834798;3077.8650615114234;2597.3437434094903;6.717891036906854;167.9488049209139;7.9603690685413;199.01562390158173;;1.0;1.0;3.0;1175630.8101933217;1175630.9841827769;332684643.1476274;332684642.6520211;332684642.7557118;0.0;0.0;0.0;0.0;143.2231985940246;0.0;81207.69595782073;0.0;0.0;0.0;0.0;18767138.080843586;2295977.7574692443;663757.5676625659;23140794.080843586;17871268.214411248;123.21968365553603;534897.4586994727;20239660.639718805;92128.41476274165;3430156.7311072056;8520905.845342707;14.76274165202109;19023.047451669594;112088.23198594025;114.2383655536028;530.0330755711774;426.43824253075576;691.965992970123;540.6765553602812;1221.9990158172232;52665.55711775044;1762.6754130052723;448.48240773286466;2.540228471001757;449.73325131810196;5.86834797891037;898.2158699472759;8.408277680140596;54229.53075571178;906.6243057996485;1438.8926713532512;1230.4073462214412;2669.3000527240774
1024B-256;9967.724874246282;9896.091925263421;318.50822495606326;0.478804920913884;2.5525131810193322;0.18855887521968365;1.1870298769771526;0.09446397188049209;42.553514938488576;0.998523725834798;0.3701230228471002;0.0;0.001700878734622144;21302.847100175746;0.07407732864674868;1.192970123022847;98.88576449912127;43.472759226713535;24895.611862917398;9778.171775043937;2597.3308611599296;5.104868189806679;127.62309314586993;0.9574692442882249;23.96286467486819;0.22919156414762745;1.689261862917399;0.13304042179261863;1.2329525483304042;0.08922671353251317;12.112108963093146;0.9952372583479788;0.4008260105448154;3.1634446397188048e-06;0.0010302284710017573;24707.978910369067;0.8814938488576449;0.0053427065026362035;98.84182776801406;31.746924428822496;11800.265500878735;7012.0442706502645;2597.3308611599296;3.3775219683655533;84.43349736379614;0.4560456942003515;11.357961335676626;15.885940246045692;15.809543057996487;0.008963093145869946;68.29539543057997;0.0;100.0;0.0;0.0;0.0;0.0;10.970773286467487;13.748945518453427;0.016115992970123026;75.2639718804921;0.0;100.0;0.0;0.0;0.0;0.0;57.661599297012295;53.10871704745167;4.5786115992970124;4.551616871704745;10152.275957820737;8573.22898066784;3.0;3.0;3.3783479789103685;2.8462917398945518;1.1880667838312828;1.1888400702987694;0.0003339191564147627;15.549806678383128;1.0;0.13014059753954307;0.0;0.0017817223198594021;3387.768014059754;99.85028119507908;0.14971880492091388;0.0;0.0;0.0;45.53251318101933;8776.162618629174;3083.2207732864676;2597.3308611599296;5.693145869947276;142.32214411247801;6.757926186291739;168.94576449912128;;1.0;1.0;3.0;1183351.0843585238;1183351.1195079086;335739901.34446394;335739900.4481546;335739900.5817223;0.0;0.0;0.0;0.0;147.6555360281195;0.0;83720.68892794376;0.0;0.0;0.0;0.0;21197748.031634446;2262196.9876977154;590668.7346221441;36420816.13005272;18963625.27592267;133.4305799648506;1155776.2741652022;20196735.286467485;91781.24428822496;3197113.7644991213;8372026.597539543;16.92794376098418;18947.240773286467;111699.87346221441;13.233514938488577;584.6763796133567;61.08047451669596;609.7008611599297;74.31395430579964;1194.3772407732863;104923.70826010544;1268.691546572935;441.36305799648505;3.5231985940246044;441.2793321616872;3.851634446397188;882.6427065026361;7.374376098418279;54308.15289982425;890.017223198594;956.9565729349737;1201.752108963093;2158.70848857645
1024B-4096;9914.573628123318;2922.755190967175;14207.629870466322;0.5682383419689119;2.9151295336787566;0.19471502590673573;1.177720207253886;0.09575129533678757;13.734922279792746;0.9957685664939551;0.8059758203799656;0.0;0.0004860103626943005;18055.198618307426;0.7918134715025907;0.7676856649395509;98.82037996545769;41.4006908462867;29615.98360967185;10202.860483592402;2597.6692400690845;5.830120898100173;145.75188255613125;1.1407426597582038;28.50253886010363;0.22699481865284976;1.594006908462867;0.14286701208981004;1.2243350604490502;0.09709844559585493;12.105837651122627;0.9949740932642486;0.38321243523316056;3.1088082901554403e-06;0.001030224525043178;24146.528497409327;0.9003108808290154;0.005664939550949914;98.88601036269431;31.449050086355786;11688.640569948187;7360.224093264249;2597.6692400690845;3.1881001727115716;79.70309153713299;0.4487564766839379;11.249170984455958;16.64559585492228;16.045492227979274;0.013834196891191709;67.29423143350604;0.0;100.0;0.0;0.0;0.0;0.0;11.58530224525043;13.836528497409327;0.016390328151986183;74.56115716753023;0.0;100.0;0.0;0.0;0.0;0.0;58.56200345423144;53.38702936096718;4.52678756476684;4.535129533678757;18719.013316062177;37267.00177892919;3.0000172711571675;3.0;4.422314335060449;3.737944732297064;1.1844732297063902;1.1873920552677026;0.0002763385146804836;3.53713298791019;1.0;0.09521588946459413;0.0;0.00030051813471502586;280.3454231433506;99.7247322970639;0.2752677029360967;0.0;0.0;0.0;42.94991364421416;11487.407236614854;3072.830690846287;2597.6692400690845;7.476321243523316;186.9091537132988;8.844438687392056;221.11051813471502;;1.0;1.0;3.0;628692.7409326425;627589.9447322971;180314632.3523316;180314632.11571676;180314632.164076;0.0;0.0;0.0;0.0;732.8186528497409;0.0;422836.36269430054;0.0;0.0;0.0;0.0;6095367.658031088;731755.9896373057;687582.7253886011;9704450.67702936;9730500.784110535;168.02417962003454;105594.14162348877;20130394.037996545;91609.68911917099;3101066.1070811744;8352380.994818653;3.626943005181347;18928.53195164076;111450.0829015544;168.97341968911917;274.2153540587219;625.7618480138169;494.6121243523316;794.7351122625216;768.8276683937823;106853.54231433506;1563.5627979274614;449.79742659758205;2.1285319516407597;451.39188255613124;5.463488773747842;901.1892400690847;7.592245250431779;54245.16062176166;908.7816925734026;1695.9247841105353;776.4200863557859;2472.344421416235
1024B-512;9958.959414452454;8331.940248807563;4796.679062166963;0.5221847246891652;2.7458792184724685;0.19218472468916517;1.1854529307282415;0.09950266429840143;28.199378330373;0.9980817051509768;0.6642095914742451;0.0;0.001052575488454707;19801.63410301954;0.5692539964476021;1.219005328596803;98.90230905861456;43.847246891651864;27100.554245115454;9885.182309058613;2597.3924156305507;5.491811722912966;137.29252220248668;1.043676731793961;26.084458259325043;0.22944937833037302;1.6615985790408523;0.13433392539964478;1.2268383658969806;0.10143872113676733;12.377193605683837;0.9949200710479573;0.4120781527531084;4.9733570159857915e-06;0.0010325044404973355;23565.89698046181;0.9035346358792183;0.006234458259325045;98.87033747779752;31.346358792184724;11783.905914742452;7105.8525932504435;2597.3924156305507;3.3236412078152755;83.08747779751332;0.4525932504440498;11.342042628774422;16.08479573712256;15.968916518650088;0.011847246891651866;67.93403197158082;0.0;100.0;0.0;0.0;0.0;0.0;11.134422735346359;13.72170515097691;0.018348134991119005;75.12527531083481;0.0;100.0;0.0;0.0;0.0;0.0;57.74204262877443;53.22694493783304;4.594351687388987;4.551687388987567;71663.5591651865;58610.2091651865;3.0;3.0;4.079591474245115;3.443285968028419;1.1865186500888096;1.1883658969804616;0.0002841918294849023;7.7862522202486675;1.0;0.1300177619893428;0.0;0.0007442273534635878;934.3516873889876;99.77705150976908;0.22294849023090582;0.0;0.0;0.0;45.756660746003554;10596.97595026643;3077.807104795737;2597.3924156305507;6.885896980461812;172.15275310834812;8.159946714031971;203.99312611012434;;1.0;1.0;3.0;1165890.946714032;1165891.1847246892;325100439.64298403;325100439.3339254;325100439.41207814;0.0;0.0;0.0;0.0;716.4014209591475;0.0;401901.1971580817;0.0;0.0;0.0;0.0;17531048.642984014;1940310.728241563;691449.1332149201;20712311.065719362;17870373.904085256;150.3943161634103;425092.07104795735;20235525.424511544;92107.81527531083;3360886.948490231;8331767.381882771;11.563055062166963;19025.005328596802;112060.05328596802;116.5927708703375;522.9585790408527;453.2530728241563;697.3421669626998;569.8457371225578;1220.300301953819;2133189524.188277;1790.1463410301953;453.7184902309059;4.925346358792185;450.6465541740675;3.1939431616341025;904.3652042628775;8.11918294849023;2133189179.0195382;912.4845293072825;1474.2112966252218;1228.4196980461813;2702.6309413854356
128B-1024;9542.024667998861;9443.117586507926;92.34107890222985;0.3106689536878216;1.6499485420240139;0.18600343053173238;1.186672384219554;0.08334476843910807;144.13198970840483;0.9999656946826758;0.32286449399656947;0.0;0.009031903945111492;16335.437392795884;0.12644939965694682;0.1378559176672384;95.47512864493997;44.44768439108062;15979.590703259004;9692.224065180102;2597.3621440823326;3.299622641509434;82.4946998284734;0.6139279588336193;15.380463121783876;0.17998284734133788;1.3479073756432245;0.13180102915951974;1.2338250428816466;0.10447684391080618;54.92813036020583;0.9990222984562608;0.42065180102915956;8.74785591766724e-06;0.005850600343053173;22297.015437392794;0.13190394511149228;0.005969125214408233;97.69982847341338;32.25728987993139;9365.12295025729;6954.271852487136;2597.3621440823326;2.6964322469982847;67.40960548885077;0.3602915951972555;9.01401372212693;15.744905660377356;15.946312178387652;0.012058319039451116;68.29593481989708;0.0;100.0;0.0;0.0;0.0;0.0;10.874785591766726;13.801029159519725;0.01797598627787307;75.30584905660378;0.0;100.0;0.0;0.0;0.0;0.0;56.11164665523156;52.492384219554026;4.164579759862779;4.343722126929674;7986.204665523157;8901.1020754717;3.0;3.0;2.1061749571183537;1.7759005145797597;1.187255574614065;1.188576329331046;0.0005831903945111491;31.708627787307027;1.0;0.057015437392795874;0.0;0.005863636363636363;616.1921097770154;99.80238421955403;0.1976157804459691;0.0;0.0;0.0;46.56775300171527;5470.578164665523;3080.5375300171527;2597.3621440823326;3.5518353344768445;88.79430531732419;4.2122469982847335;105.31017152658663;;1.0;1.0;3.0;8026146.674099485;8026143.838765008;2325633044.737564;2325633027.2658663;2325633029.0240135;0.0;0.0;0.0;0.0;4321.349914236706;0.0;2515025.650085763;0.0;0.0;0.0;0.0;23895998.09605489;13697359.934819898;670908.2881646656;99069020.21269296;8239045.457975986;158.3704974271012;1205690.7821612349;21000777.660377357;570347.512864494;3319924.7238421957;45999890.0754717;1.032590051457976;127608.27101200687;606705.8490566037;29.234271012006865;48.75960548885077;97.5615437392796;89.41214408233279;126.79586620926241;138.17180102915952;52439.71869639794;264.9677015437393;65.92072041166381;2.3163636363636364;66.121217838765;5.658627787307032;132.04200686106347;7.9749399656946816;52446.463121783876;140.01725557461407;258.83787307032594;146.14670668953687;404.9849571183533
128B-256;9489.13930281653;9355.605940615995;466.5770879120879;0.3494505494505495;1.8598534798534798;0.18728937728937725;1.1868315018315017;0.09346153846153846;130.54276556776557;0.9997619047619047;0.4093772893772894;0.0;0.007224358974358976;17877.362637362636;0.13283882783882783;0.13642857142857143;95.6117216117216;43.54578754578755;18073.83826007326;9731.376959706959;2597.29510989011;3.719725274725275;93.00018315018316;0.6965750915750917;17.39657509157509;0.17998168498168496;1.3491758241758243;0.13227106227106228;1.234120879120879;0.10173992673992674;54.74131868131869;0.9989926739926741;0.4133150183150183;6.959706959706961e-06;0.0058260073260073255;23424.542124542124;0.13168498168498166;0.006025641025641026;97.53113553113553;25.939560439560438;9400.758333333333;6981.527051282052;2597.29510989011;2.698406593406594;67.46208791208792;0.36014652014652004;9.048589743589742;15.812087912087911;15.937087912087911;0.01346153846153846;68.23703296703296;0.0;100.0;0.0;0.0;0.0;0.0;10.916190476190476;13.71043956043956;0.015164835164835166;75.35763736263736;0.0;100.0;0.0;0.0;0.0;0.0;56.846996336996334;53.40608058608059;4.165109890109891;4.37018315018315;9318.24490842491;10331.44293040293;3.0;3.0;2.114120879120879;1.7826556776556775;1.1877106227106224;1.1886630036630033;0.0007692307692307693;34.3171978021978;1.0;0.07628205128205127;0.0;0.006324542124542124;595.8974358974359;99.79765567765568;0.2023443223443223;0.0;0.0;0.0;45.76739926739927;5490.965183150183;3080.4454761904763;2597.29510989011;3.5650366300366305;89.1313553113553;4.228113553113554;105.70516483516482;;1.0;1.0;3.0;7982035.087912088;7982029.417582418;2158133739.058608;2158125740.113553;2158125741.7673993;0.0;0.0;0.0;0.0;761.0714285714286;0.0;414022.85714285716;0.0;0.0;0.0;0.0;23956826.564102564;13952035.82051282;674434.3846153846;85779344.12820514;8227816.948717949;131.15384615384616;1527049.6153846155;20913528.82051282;567337.358974359;3331574.487179487;46577456.84615385;0.8974358974358975;127339.20512820513;614611.1282051282;26.269267399267395;43.87529304029304;106.84089743589742;92.97767399267399;133.11021978021978;136.85258241758243;2133288570.4981685;269.9630769230769;70.5184065934066;5.567399267399267;61.4935347985348;2.1968315018315017;132.01175824175823;7.764029304029304;2133287842.5860806;139.77562271062268;265.12188644688644;144.61661172161172;409.7384065934066
128B-4096;9451.996551514952;9416.646259630052;60.09906849315068;0.3400684931506849;1.8399999999999999;0.18628424657534243;1.1879965753424655;0.07679794520547947;152.5435102739726;0.9999828767123288;0.3195719178082192;0.0;0.00856472602739726;16507.602739726026;0.07955479452054794;0.07476027397260275;92.01541095890411;42.49657534246575;17813.67352739726;9688.176249999999;2597.3032534246577;3.6799828767123284;91.99758561643836;0.6870205479452054;17.146301369863014;0.17979452054794515;1.3351027397260273;0.13171232876712333;1.2342808219178083;0.10083904109589042;54.66291095890411;0.9989383561643838;0.42078767123287675;7.020547945205479e-06;0.005913698630136987;23066.84931506849;0.14340753424657535;0.006061643835616438;98.01027397260275;30.883561643835616;9269.798510273973;6950.791541095891;2597.3032534246577;2.6696746575342467;66.7401883561644;0.3587328767123287;8.922328767123286;15.730513698630139;15.789554794520546;0.00910958904109589;68.47054794520548;0.0;100.0;0.0;0.0;0.0;0.0;10.863339041095891;13.695976027397261;0.01339041095890411;75.42717465753425;0.0;100.0;0.0;0.0;0.0;0.0;56.89628424657534;52.64198630136986;4.132671232876713;4.351832191780821;7898.7183390410955;7143.767123287672;3.0;3.0;2.089794520547945;1.7610445205479452;1.1883904109589039;1.1891095890410956;0.0003595890410958904;33.61397260273972;1.0;0.05613013698630137;0.0;0.006238698630136986;568.4931506849315;99.80664383561644;0.19335616438356162;0.0;0.0;0.0;44.907534246575345;5428.265547945206;3082.137174657534;2597.3032534246577;3.5222602739726026;88.06131849315068;4.179982876712329;104.49796232876712;;1.0;1.0;3.0;7964311.94520548;7964307.142123288;2314417495.3253427;2314417478.6849313;2314417480.8339043;0.0;0.0;0.0;0.0;2464.304794520548;0.0;1436689.6952054794;0.0;0.0;0.0;0.0;24326086.174657535;14363689.45890411;685602.7260273972;106828975.24657534;8095862.51369863;137.19520547945206;1568272.4726027397;20783330.438356165;562589.5205479452;3354064.9828767125;45555780.21917808;1.0308219178082192;126831.03424657535;591460.9726027397;18.141660958904108;24.347397260273972;61.17986301369863;50.29827054794521;79.32152397260273;74.64580479452054;75611.04794520549;153.96727739726026;70.78224315068493;2.3048458904109594;72.51361301369863;5.642345890410959;143.29623287671234;7.947037671232878;52452.0;151.2428595890411;222.61777397260275;82.59258561643836;305.21030821917805
128B-512;9584.475281787856;9569.365387514636;64.67987500000001;0.11011986301369864;1.793441780821918;0.061301369863013704;1.1783047945205478;0.03825342465753425;51.06051369863013;0.9999315068493151;0.34450342465753425;1.7123287671232878e-07;0.00867808219178082;17129.45205479452;0.029520547945205484;0.2033904109589041;95.16609589041096;41.88184931506849;5884.745856164383;3286.9223972602745;2597.389965753425;3.5872089041095894;89.67816780821919;0.2291952054794521;5.664041095890411;0.06000000000000001;1.3118150684931507;0.04559931506849314;1.2179965753424657;0.0504109589041096;18.501866438356164;0.9988527397260275;0.41996575342465753;8.219178082191782e-06;0.005947602739726027;23616.23287671233;0.16371575342465755;0.012482876712328766;97.18493150684931;30.232876712328768;3111.014434931507;2376.94625;2597.389965753425;2.6236130136986304;65.58573630136986;0.11988013698630137;2.994332191780822;5.36931506849315;31.36650684931507;0.048047945205479455;63.21565068493151;0.0;100.0;0.0;0.0;0.0;0.0;3.7519349315068493;26.330085616438357;0.16436643835616438;69.75356164383562;0.0;100.0;0.0;0.0;0.0;0.0;58.1760616438356;53.783287671232884;4.184109589041095;4.372842465753425;169172.0198458904;1412356.7669006847;3.0;3.0;0.6490582191780823;1.6614726027397262;0.3898972602739727;1.181044520547945;0.00010273972602739727;12.240222602739726;1.0;0.06404109589041097;0.0;0.007261301369863013;787.8767123287671;33.03142123287672;66.96857876712328;0.0;0.0;0.0;44.147260273972606;1686.4575856164383;1015.0173116438353;2597.389965753425;3.3231849315068493;83.07657534246576;1.2985616438356165;32.46431506849314;;1.0;1.0;3.0;7866000.359589041;7865998.335616439;2286573093.6643834;2286573079.847603;2286573081.64726;0.0;0.0;0.0;0.0;2510.974315068493;0.0;1463898.0256849315;0.0;0.0;0.0;0.0;;;;;;;;1.4804427029271508e+16;7591148779751072.0;2.051297090829425e+16;2.0965065989635332e+16;2624850562152406.5;4784110650143029.0;5425140990849161.0;5.298099315068494;96.59695205479453;24.831232876712328;106.99051369863014;30.129349315068495;203.58731164383565;104881.87328767123;233.7165582191781;86.67952054794522;6.47792808219178;77.0998287671233;3.0986301369863014;163.77909246575342;9.5761301369863;52466.72260273973;173.35549657534247;193.90837328767125;213.16363013698628;407.0723287671233
f1510B-1024;9966.692839622941;3937.302812438557;10729.07503938356;0.5579109589041097;2.904914383561644;0.19455479452054794;1.1819863013698628;0.09960616438356165;14.739006849315068;0.9957191780821918;0.7684246575342466;0.0;0.0005092465753424657;20966.64383561644;0.7147773972602739;0.9798458904109589;98.82705479452055;41.90068493150685;29071.59424657534;10061.878493150685;2597.617311643836;5.810051369863014;145.25082191780822;1.1198287671232876;27.97917808219178;0.22905821917808222;1.6416438356164382;0.1430993150684932;1.2244863013698633;0.10784246575342467;9.966506849315069;0.9915410958904108;0.4122431506849315;4.109589041095891e-06;0.0008344178082191782;24569.04109589041;1.0074486301369863;0.007722602739726027;98.875;29.402397260273972;11867.404897260274;7274.5712842465755;2597.617311643836;3.2829794520547946;82.07873287671232;0.45763698630136984;11.421455479452055;16.39690068493151;16.07902397260274;0.010325342465753427;67.51332191780821;0.0;100.0;0.0;0.0;0.0;0.0;11.436712328767124;13.922962328767124;0.016797945205479455;74.62291095890411;0.0;100.0;0.0;0.0;0.0;0.0;58.25008561643836;53.55791095890411;4.562945205479452;4.547808219178083;24681.421643835612;20033.038715753424;3.0000171232876713;3.0;4.348972602739726;3.6726198630136984;1.1857705479452052;1.1877226027397259;0.00029109589041095894;4.14513698630137;1.0;0.15078767123287673;0.0;0.0003946917808219179;846.3698630136986;99.7667294520548;0.23327054794520546;0.0;0.0;0.0;43.34931506849315;11296.545924657536;3075.8218493150684;2597.617311643836;7.344914383561644;183.623904109589;8.697825342465755;217.4416609589041;;1.0;1.0;3.0;542802.7671232877;542802.9811643836;157677758.24657536;157677757.81164384;157677757.8989726;0.0;0.0;0.0;0.0;40.76027397260274;0.0;23763.239726027397;0.0;0.0;0.0;0.0;8246180.681506849;1122408.9828767122;649405.2705479452;10805669.023972603;12418169.58219178;210.43150684931507;155865.6198630137;20167103.70547945;62330.99657534246;3323791.205479452;6154394.078767124;6.616438356164384;12895.462328767124;75758.29109589041;144.25731164383564;387.9849315068493;571.0098287671233;592.697551369863;715.2670547945206;980.6823630136986;91633.10787671233;1695.9498116438356;505.93837328767125;5.8919863013698635;502.3977739726028;2.5199657534246573;1008.3359760273972;8.411883561643835;54867.33219178082;1016.7478082191781;1723.6032705479454;989.0939726027398;2712.6975
