,input_rate,output_rate,latency,bridge-pcm_System-Date,bridge-pcm_System-Time,bridge-pcm_Socket 0-EXEC,bridge-pcm_Socket 0-IPC,bridge-pcm_Socket 0-FREQ,bridge-pcm_Socket 0-AFREQ,bridge-pcm_Socket 0-L3MISS,bridge-pcm_Socket 0-L2MISS,bridge-pcm_Socket 0-L3HIT,bridge-pcm_Socket 0-L2HIT,bridge-pcm_Socket 0-L3MPI,bridge-pcm_Socket 0-L2MPI,bridge-pcm_Socket 0-L3OCC,bridge-pcm_Socket 0-READ,bridge-pcm_Socket 0-WRITE,bridge-pcm_Socket 0-LOCAL,bridge-pcm_Socket 0-TEMP,bridge-pcm_Socket 0-INST,bridge-pcm_Socket 0-ACYC,bridge-pcm_Socket 0-TIME(ticks),bridge-pcm_Socket 0-PhysIPC,bridge-pcm_Socket 0-PhysIPC%,bridge-pcm_Socket 0-INSTnom,bridge-pcm_Socket 0-INSTnom%,bridge-pcm_Socket 1-EXEC,bridge-pcm_Socket 1-IPC,bridge-pcm_Socket 1-FREQ,bridge-pcm_Socket 1-AFREQ,bridge-pcm_Socket 1-L3MISS,bridge-pcm_Socket 1-L2MISS,bridge-pcm_Socket 1-L3HIT,bridge-pcm_Socket 1-L2HIT,bridge-pcm_Socket 1-L3MPI,bridge-pcm_Socket 1-L2MPI,bridge-pcm_Socket 1-L3OCC,bridge-pcm_Socket 1-READ,bridge-pcm_Socket 1-WRITE,bridge-pcm_Socket 1-LOCAL,bridge-pcm_Socket 1-TEMP,bridge-pcm_Socket 1-INST,bridge-pcm_Socket 1-ACYC,bridge-pcm_Socket 1-TIME(ticks),bridge-pcm_Socket 1-PhysIPC,bridge-pcm_Socket 1-PhysIPC%,bridge-pcm_Socket 1-INSTnom,bridge-pcm_Socket 1-INSTnom%,bridge-pcm_SKT0 Core C-State-C0res%,bridge-pcm_SKT0 Core C-State-C1res%,bridge-pcm_SKT0 Core C-State-C3res%,bridge-pcm_SKT0 Core C-State-C6res%,bridge-pcm_SKT0 Core C-State-C7res%,bridge-pcm_SKT0 Package C-State-C0res%,bridge-pcm_SKT0 Package C-State-C2res%,bridge-pcm_SKT0 Package C-State-C3res%,bridge-pcm_SKT0 Package C-State-C6res%,bridge-pcm_SKT0 Package C-State-C7res%,bridge-pcm_SKT1 Core C-State-C0res%,bridge-pcm_SKT1 Core C-State-C1res%,bridge-pcm_SKT1 Core C-State-C3res%,bridge-pcm_SKT1 Core C-State-C6res%,bridge-pcm_SKT1 Core C-State-C7res%,bridge-pcm_SKT1 Package C-State-C0res%,bridge-pcm_SKT1 Package C-State-C2res%,bridge-pcm_SKT1 Package C-State-C3res%,bridge-pcm_SKT1 Package C-State-C6res%,bridge-pcm_SKT1 Package C-State-C7res%,bridge-pcm_Proc Energy (Joules)-SKT0,bridge-pcm_Proc Energy (Joules)-SKT1,bridge-pcm_DRAM Energy (Joules)-SKT0,bridge-pcm_DRAM Energy (Joules)-SKT1,bridge-pcm_LLCRDMISSLAT (ns)-SKT0,bridge-pcm_LLCRDMISSLAT (ns)-SKT1,bridge-pcm_UncFREQ (Ghz)-SKT0,bridge-pcm_UncFREQ (Ghz)-SKT1,bridge-pcm_Core3 (Socket 0)-EXEC,bridge-pcm_Core3 (Socket 0)-IPC,bridge-pcm_Core3 (Socket 0)-FREQ,bridge-pcm_Core3 (Socket 0)-AFREQ,bridge-pcm_Core3 (Socket 0)-L3MISS,bridge-pcm_Core3 (Socket 0)-L2MISS,bridge-pcm_Core3 (Socket 0)-L3HIT,bridge-pcm_Core3 (Socket 0)-L2HIT,bridge-pcm_Core3 (Socket 0)-L3MPI,bridge-pcm_Core3 (Socket 0)-L2MPI,bridge-pcm_Core3 (Socket 0)-L3OCC,bridge-pcm_Core3 (Socket 0)-C0res%,bridge-pcm_Core3 (Socket 0)-C1res%,bridge-pcm_Core3 (Socket 0)-C3res%,bridge-pcm_Core3 (Socket 0)-C6res%,bridge-pcm_Core3 (Socket 0)-C7res%,bridge-pcm_Core3 (Socket 0)-TEMP,bridge-pcm_Core3 (Socket 0)-INST,bridge-pcm_Core3 (Socket 0)-ACYC,bridge-pcm_Core3 (Socket 0)-TIME(ticks),bridge-pcm_Core3 (Socket 0)-PhysIPC,bridge-pcm_Core3 (Socket 0)-PhysIPC%,bridge-pcm_Core3 (Socket 0)-INSTnom,bridge-pcm_Core3 (Socket 0)-INSTnom%,bridge-pcm_-,nf_out_nfs[i].tag,nf_out_nfs[i].instance_id,nf_out_nfs[i].service_id,nf_out_nfs[i].thread_info.core,nf_out_rx_pps,nf_out_tx_pps,nf_out_rx,nf_out_tx,nf_out_act_out,nf_out_act_tonf,nf_out_act_drop,nf_out_nfs[i].thread_info.parent,nf_out_state,nf_out_rte_atomic16_read(&nfs[i].thread_info.children_cnt),nf_out_rx_drop_rate,nf_out_tx_drop_rate,nf_out_rx_drop,nf_out_tx_drop,nf_out_act_next,nf_out_act_buffer,nf_out_act_returned,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_SKT1-Ch0Read,pcm-memory_new_SKT1-Ch0Write,pcm-memory_new_SKT1-Ch1Read,pcm-memory_new_SKT1-Ch1Write,pcm-memory_new_SKT1-Mem Read (MB/s),pcm-memory_new_SKT1-Mem Write (MB/s),pcm-memory_new_SKT1-P. Write (T/s),pcm-memory_new_SKT1-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory
0,4320.4865911792,477.58184298248,7.363,2023-11-23,16:31:00.722,0.48,2.54,0.19,1.18,0.24,41.93,0.99,0.35,0.0,0.0017,8720.0,0.15,1.17,99.0,50.0,24815.85,9753.71,2600.59,5.09,127.21,0.95,23.85,0.22,1.66,0.13,1.23,0.23,12.49,0.98,0.47,0.0,0.0011,18560.0,0.97,0.02,99.0,49.0,11535.36,6954.6,2600.59,3.32,82.93,0.44,11.09,15.83,16.04,0.0,68.13,0.0,100.0,0.0,0.0,0.0,0.0,10.86,13.73,0.02,75.39,0.0,100.0,0.0,0.0,0.0,0.0,56.54,51.03,4.6,4.57,1384514.0,1396719.06,3.0,3.0,3.46,2.92,1.18,1.19,0.0,15.23,1.0,0.09,0.0,0.0017,360.0,99.74,0.26,0.0,0.0,0.0,53.0,9006.62,3081.46,2600.59,5.85,146.14,6.93,173.17,,bridge,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21324926.0,1995532.0,266168.0,41711390.0,18940894.0,14.0,1099602.0,20214992.0,91672.0,2870126.0,7176680.0,0.0,18872.0,110474.0,31.78,594.41,129.22,649.52,161.0,1243.93,105101.0,1404.93,509.82,8.71,513.14,12.07,1022.97,20.78,54816.0,1043.75,1183.96,1264.71,2448.68
1,2549.3286560128,2783.4866775964,320.243,2023-11-23,16:31:01.722,0.47,2.32,0.2,1.17,0.69,42.78,0.98,0.35,0.0,0.0018,14840.0,0.22,1.26,98.0,50.0,24366.48,10491.65,2597.68,4.64,116.12,0.94,23.45,0.23,1.51,0.15,1.21,0.51,15.82,0.97,0.43,0.0,0.0013,23840.0,1.03,0.04,97.0,49.0,11855.12,7875.52,2597.68,3.01,75.27,0.46,11.41,17.21,17.51,0.01,65.28,0.0,100.0,0.0,0.0,0.0,0.0,12.57,16.69,0.15,70.58,0.0,100.0,0.0,0.0,0.0,0.0,56.82,52.1,4.61,4.58,0.03,0.1,3.0,3.0,3.42,2.91,1.18,1.18,0.01,14.65,1.0,0.1,0.0,0.0016,800.0,99.71,0.29,0.0,0.0,0.0,53.0,8888.67,3059.27,2597.68,5.81,145.27,6.84,171.09,,bridge,1.0,1.0,3.0,215360.0,215538.0,215538.0,215538.0,215538.0,0.0,0.0,0.0,W,0.0,84016.0,0.0,84016.0,0.0,0.0,0.0,0.0,21306726.0,2207184.0,309246.0,41490498.0,18927118.0,0.0,941738.0,20214922.0,91770.0,3177370.0,7187530.0,0.0,18928.0,109718.0,45.22,593.11,176.0,664.73,221.22,1257.84,105042.0,1479.06,514.11,16.95,518.61,20.25,1032.72,37.2,54653.0,1069.92,1253.95,1295.04,2548.99
2,6346.8882874512,6789.9151930743,318.284,2023-11-23,16:31:02.721,0.48,2.53,0.19,1.19,0.18,43.12,1.0,0.35,0.0,0.0017,15440.0,0.12,1.22,99.0,49.0,24672.46,9754.62,2595.32,5.06,126.47,0.95,23.77,0.23,1.69,0.13,1.23,0.13,12.25,0.99,0.4,0.0,0.001,23800.0,1.02,0.01,99.0,48.0,11740.02,6950.37,2595.32,3.38,84.46,0.45,11.31,15.85,15.63,0.01,68.51,0.0,100.0,0.0,0.0,0.0,0.0,10.86,13.4,0.0,75.74,0.0,100.0,0.0,0.0,0.0,0.0,56.3,50.93,4.58,4.57,0.0,0.1,3.0,3.0,3.4,2.87,1.19,1.19,0.0,15.78,1.0,0.09,0.0,0.0018,1360.0,99.76,0.24,0.0,0.0,0.0,52.0,8825.76,3079.44,2595.32,5.73,143.3,6.8,170.03,,bridge,1.0,1.0,3.0,350012.0,350012.0,565550.0,565550.0,565550.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21283892.0,2203320.0,256284.0,40650330.0,19053622.0,0.0,1138438.0,20206424.0,91840.0,2856308.0,7412678.0,0.0,18900.0,110726.0,22.57,591.67,94.34,632.36,116.91,1224.03,105023.0,1340.94,507.95,2.98,510.64,6.35,1018.6,9.33,54682.0,1027.92,1135.5,1233.35,2368.86
3,9969.4792109297,9913.0455888101,320.41,2023-11-23,16:31:03.721,0.48,2.56,0.19,1.19,0.1,43.35,1.0,0.35,0.0,0.0017,15200.0,0.09,1.2,99.0,50.0,24816.3,9691.39,2596.6,5.12,128.03,0.96,23.89,0.23,1.7,0.13,1.23,0.05,12.25,1.0,0.4,0.0,0.001,24120.0,0.95,0.01,99.0,47.0,11780.58,6919.6,2596.6,3.4,85.12,0.45,11.34,15.73,15.46,0.0,68.82,0.0,100.0,0.0,0.0,0.0,0.0,10.79,13.26,0.0,75.94,0.0,100.0,0.0,0.0,0.0,0.0,56.38,50.97,4.59,4.56,0.03,0.1,3.0,3.0,3.37,2.84,1.19,1.19,0.01,16.06,1.0,0.09,0.0,0.0018,1600.0,99.82,0.18,0.0,0.0,0.0,52.0,8753.41,3084.28,2596.6,5.68,141.9,6.74,168.55,,bridge,1.0,1.0,3.0,1151478.0,1151475.0,1717074.0,1717070.0,1717070.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,20983480.0,2246132.0,336896.0,40634650.0,19011860.0,0.0,1131704.0,20179740.0,91756.0,2940882.0,7447048.0,0.0,18886.0,111188.0,17.29,585.72,74.62,618.18,91.91,1203.9,104878.0,1295.81,473.85,1.15,478.59,4.47,952.44,5.62,54494.0,958.06,1044.34,1209.52,2253.87
4,9978.6969364754,9796.6559893496,320.889,2023-11-23,16:31:04.721,0.48,2.54,0.19,1.19,0.12,43.2,1.0,0.35,0.0,0.0017,15680.0,0.09,1.2,99.0,50.0,24766.93,9735.31,2595.98,5.09,127.2,0.95,23.85,0.23,1.7,0.13,1.23,0.04,12.15,1.0,0.4,0.0,0.001,24080.0,0.92,0.01,99.0,47.0,11789.65,6944.3,2595.98,3.4,84.89,0.45,11.35,15.8,15.36,0.0,68.83,0.0,100.0,0.0,0.0,0.0,0.0,10.83,13.18,0.02,75.97,0.0,100.0,0.0,0.0,0.0,0.0,56.29,50.91,4.58,4.54,0.03,0.1,3.0,3.0,3.38,2.84,1.19,1.19,0.0,15.99,1.0,0.09,0.0,0.0018,1600.0,99.83,0.17,0.0,0.0,0.0,52.0,8773.73,3084.15,2595.98,5.69,142.24,6.76,168.99,,bridge,1.0,1.0,3.0,1177728.0,1177732.0,2894854.0,2894854.0,2894854.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21130032.0,2258116.0,283766.0,40345116.0,19009704.0,0.0,1113210.0,20226696.0,91868.0,2847446.0,7493990.0,0.0,18886.0,106876.0,17.48,581.92,74.49,613.96,91.96,1195.88,104984.0,1287.85,458.74,1.43,461.09,4.79,919.83,6.21,54408.0,926.04,1011.79,1202.1,2213.89
5,9994.5062077042,9941.013031867,320.24,2023-11-23,16:31:05.721,0.48,2.58,0.19,1.18,0.08,43.29,1.0,0.35,0.0,0.0017,15800.0,0.08,1.18,99.0,50.0,24872.6,9656.62,2598.72,5.15,128.79,0.96,23.93,0.22,1.7,0.13,1.22,0.08,12.33,0.99,0.4,0.0,0.0011,24000.0,0.93,0.01,99.0,46.0,11611.88,6843.13,2598.72,3.39,84.84,0.45,11.17,15.68,16.06,0.0,68.26,0.0,100.0,0.0,0.0,0.0,0.0,10.77,15.28,0.0,73.95,0.0,100.0,0.0,0.0,0.0,0.0,56.43,51.07,4.58,4.55,0.33,0.33,3.0,3.0,3.37,2.84,1.19,1.19,0.0,16.09,1.0,0.09,0.0,0.0018,1640.0,99.87,0.13,0.0,0.0,0.0,53.0,8753.78,3082.31,2598.72,5.68,142.0,6.74,168.43,,bridge,1.0,1.0,3.0,1188936.0,1188932.0,4083834.0,4083830.0,4083830.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21184716.0,2264402.0,354312.0,40056632.0,19010138.0,0.0,1138718.0,20209070.0,91840.0,3020276.0,7908796.0,0.0,18886.0,110796.0,14.27,579.63,62.6,606.77,76.87,1186.4,104862.0,1263.27,460.47,1.13,465.07,4.47,925.54,5.59,54365.0,931.13,1002.41,1191.99,2194.4
6,9997.6036351298,9942.962350812,320.617,2023-11-23,16:31:06.721,0.48,2.55,0.19,1.19,0.11,43.24,1.0,0.35,0.0,0.0017,16280.0,0.08,1.18,99.0,49.0,24745.37,9693.54,2596.12,5.11,127.64,0.95,23.83,0.23,1.71,0.13,1.24,0.04,12.13,1.0,0.39,0.0,0.001,23720.0,0.91,0.0,99.0,47.0,11800.08,6903.15,2596.12,3.42,85.47,0.45,11.36,15.73,15.33,0.0,68.95,0.0,100.0,0.0,0.0,0.0,0.0,10.76,13.24,0.01,75.98,0.0,100.0,0.0,0.0,0.0,0.0,56.38,50.94,4.58,4.54,0.03,0.0,3.0,3.0,3.38,2.84,1.19,1.19,0.0,16.01,1.0,0.09,0.0,0.0018,1560.0,99.83,0.17,0.0,0.0,0.0,52.0,8767.8,3084.87,2596.12,5.68,142.11,6.75,168.86,,bridge,1.0,1.0,3.0,1190144.0,1190140.0,5274022.0,5274018.0,5274018.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21210882.0,2271052.0,339388.0,39884992.0,19016088.0,14.0,1161356.0,20209112.0,91742.0,2862692.0,7759500.0,0.0,18872.0,112056.0,15.19,577.59,66.67,606.38,81.86,1183.96,104865.0,1265.83,450.62,0.79,455.12,4.13,905.74,4.92,54221.0,910.66,987.61,1188.88,2176.49
7,9976.0522016205,9927.3330341093,320.173,2023-11-23,16:31:07.722,0.48,2.57,0.19,1.19,0.08,43.26,1.0,0.35,0.0,0.0017,16080.0,0.08,1.18,99.0,49.0,24901.43,9679.87,2598.77,5.14,128.62,0.96,23.96,0.23,1.71,0.13,1.24,0.04,12.22,1.0,0.39,0.0,0.001,23720.0,0.89,0.01,99.0,46.0,11805.19,6912.4,2598.77,3.42,85.39,0.45,11.36,15.69,15.48,0.0,68.83,0.0,100.0,0.0,0.0,0.0,0.0,10.77,13.23,0.01,75.99,0.0,100.0,0.0,0.0,0.0,0.0,56.37,51.07,4.58,4.54,0.0,0.1,3.0,3.0,3.37,2.84,1.19,1.19,0.01,16.04,1.0,0.1,0.0,0.0018,1840.0,99.83,0.17,0.0,0.0,0.0,52.0,8763.35,3087.48,2598.77,5.68,141.92,6.74,168.6,,bridge,1.0,1.0,3.0,1187361.0,1187364.0,6461418.0,6461418.0,6461418.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21133420.0,2255302.0,393862.0,39352054.0,19013568.0,14.0,1152354.0,20203764.0,91854.0,2961728.0,7805532.0,0.0,18858.0,111468.0,14.46,576.24,63.92,603.74,78.37,1179.98,104975.0,1258.35,443.12,0.84,447.36,4.19,890.48,5.03,54383.0,895.51,968.85,1185.01,2153.86
8,9995.4102265593,9944.9778158544,320.826,2023-11-23,16:31:08.721,0.48,2.56,0.19,1.19,0.09,43.12,1.0,0.35,0.0,0.0017,16360.0,0.08,1.17,99.0,48.0,24772.89,9673.07,2595.91,5.12,128.05,0.95,23.86,0.23,1.71,0.13,1.24,0.04,12.29,1.0,0.39,0.0,0.001,23800.0,0.88,0.01,99.0,47.0,11793.56,6906.77,2595.91,3.42,85.38,0.45,11.36,15.69,15.34,0.0,68.97,0.0,100.0,0.0,0.0,0.0,0.0,10.77,13.2,0.0,76.03,0.0,100.0,0.0,0.0,0.0,0.0,56.37,50.98,4.57,4.53,0.03,0.1,3.0,3.0,3.37,2.84,1.19,1.19,0.0,16.0,1.0,0.1,0.0,0.0018,1800.0,99.83,0.17,0.0,0.0,0.0,51.0,8753.62,3084.55,2595.91,5.68,141.89,6.74,168.61,,bridge,1.0,1.0,3.0,1190136.0,1190136.0,7651610.0,7651610.0,7651610.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21196532.0,2260580.0,397600.0,40126282.0,19010278.0,14.0,1144514.0,20203176.0,91784.0,3059126.0,7791994.0,0.0,18872.0,111384.0,14.1,573.63,62.21,600.4,76.3,1174.03,104875.0,1250.34,439.6,0.84,441.85,4.17,881.46,5.0,54102.0,886.46,957.76,1179.03,2136.79
9,9998.5072153854,9946.1021332042,320.752,2023-11-23,16:31:09.722,0.48,2.58,0.19,1.19,0.08,43.2,1.0,0.35,0.0,0.0017,16000.0,0.08,1.17,99.0,49.0,24904.6,9667.06,2598.55,5.15,128.81,0.96,23.96,0.23,1.71,0.13,1.24,0.03,12.07,1.0,0.4,0.0,0.001,23840.0,0.86,0.0,99.0,47.0,11807.32,6901.27,2598.55,3.42,85.54,0.45,11.36,15.68,15.57,0.0,68.75,0.0,100.0,0.0,0.0,0.0,0.0,10.75,13.25,0.0,76.01,0.0,100.0,0.0,0.0,0.0,0.0,56.37,51.06,4.59,4.54,0.03,0.1,3.0,3.0,3.37,2.84,1.19,1.19,0.0,16.02,1.0,0.1,0.0,0.0018,1760.0,99.82,0.18,0.0,0.0,0.0,51.0,8757.04,3086.41,2598.55,5.67,141.86,6.74,168.5,,bridge,1.0,1.0,3.0,1190358.0,1190358.0,8842006.0,8842006.0,8842006.0,0.0,0.0,0.0,W,0.0,0.0,0.0,84016.0,0.0,0.0,0.0,0.0,21178570.0,2251074.0,289982.0,39987780.0,19009186.0,14.0,1145256.0,20187076.0,91756.0,2808834.0,8234996.0,0.0,18872.0,111454.0,13.73,573.72,61.62,600.2,75.35,1173.92,104971.0,1249.27,431.51,0.59,433.53,3.93,865.05,4.52,54273.0,869.57,940.39,1178.44,2118.83
