,input_rate,output_rate,latency,bridge-pcm_System-Date,bridge-pcm_System-Time,bridge-pcm_Socket 0-EXEC,bridge-pcm_Socket 0-IPC,bridge-pcm_Socket 0-FREQ,bridge-pcm_Socket 0-AFREQ,bridge-pcm_Socket 0-L3MISS,bridge-pcm_Socket 0-L2MISS,bridge-pcm_Socket 0-L3HIT,bridge-pcm_Socket 0-L2HIT,bridge-pcm_Socket 0-L3MPI,bridge-pcm_Socket 0-L2MPI,bridge-pcm_Socket 0-L3OCC,bridge-pcm_Socket 0-READ,bridge-pcm_Socket 0-WRITE,bridge-pcm_Socket 0-LOCAL,bridge-pcm_Socket 0-TEMP,bridge-pcm_Socket 0-INST,bridge-pcm_Socket 0-ACYC,bridge-pcm_Socket 0-TIME(ticks),bridge-pcm_Socket 0-PhysIPC,bridge-pcm_Socket 0-PhysIPC%,bridge-pcm_Socket 0-INSTnom,bridge-pcm_Socket 0-INSTnom%,bridge-pcm_Socket 1-EXEC,bridge-pcm_Socket 1-IPC,bridge-pcm_Socket 1-FREQ,bridge-pcm_Socket 1-AFREQ,bridge-pcm_Socket 1-L3MISS,bridge-pcm_Socket 1-L2MISS,bridge-pcm_Socket 1-L3HIT,bridge-pcm_Socket 1-L2HIT,bridge-pcm_Socket 1-L3MPI,bridge-pcm_Socket 1-L2MPI,bridge-pcm_Socket 1-L3OCC,bridge-pcm_Socket 1-READ,bridge-pcm_Socket 1-WRITE,bridge-pcm_Socket 1-LOCAL,bridge-pcm_Socket 1-TEMP,bridge-pcm_Socket 1-INST,bridge-pcm_Socket 1-ACYC,bridge-pcm_Socket 1-TIME(ticks),bridge-pcm_Socket 1-PhysIPC,bridge-pcm_Socket 1-PhysIPC%,bridge-pcm_Socket 1-INSTnom,bridge-pcm_Socket 1-INSTnom%,bridge-pcm_SKT0 Core C-State-C0res%,bridge-pcm_SKT0 Core C-State-C1res%,bridge-pcm_SKT0 Core C-State-C3res%,bridge-pcm_SKT0 Core C-State-C6res%,bridge-pcm_SKT0 Core C-State-C7res%,bridge-pcm_SKT0 Package C-State-C0res%,bridge-pcm_SKT0 Package C-State-C2res%,bridge-pcm_SKT0 Package C-State-C3res%,bridge-pcm_SKT0 Package C-State-C6res%,bridge-pcm_SKT0 Package C-State-C7res%,bridge-pcm_SKT1 Core C-State-C0res%,bridge-pcm_SKT1 Core C-State-C1res%,bridge-pcm_SKT1 Core C-State-C3res%,bridge-pcm_SKT1 Core C-State-C6res%,bridge-pcm_SKT1 Core C-State-C7res%,bridge-pcm_SKT1 Package C-State-C0res%,bridge-pcm_SKT1 Package C-State-C2res%,bridge-pcm_SKT1 Package C-State-C3res%,bridge-pcm_SKT1 Package C-State-C6res%,bridge-pcm_SKT1 Package C-State-C7res%,bridge-pcm_Proc Energy (Joules)-SKT0,bridge-pcm_Proc Energy (Joules)-SKT1,bridge-pcm_DRAM Energy (Joules)-SKT0,bridge-pcm_DRAM Energy (Joules)-SKT1,bridge-pcm_LLCRDMISSLAT (ns)-SKT0,bridge-pcm_LLCRDMISSLAT (ns)-SKT1,bridge-pcm_UncFREQ (Ghz)-SKT0,bridge-pcm_UncFREQ (Ghz)-SKT1,bridge-pcm_Core3 (Socket 0)-EXEC,bridge-pcm_Core3 (Socket 0)-IPC,bridge-pcm_Core3 (Socket 0)-FREQ,bridge-pcm_Core3 (Socket 0)-AFREQ,bridge-pcm_Core3 (Socket 0)-L3MISS,bridge-pcm_Core3 (Socket 0)-L2MISS,bridge-pcm_Core3 (Socket 0)-L3HIT,bridge-pcm_Core3 (Socket 0)-L2HIT,bridge-pcm_Core3 (Socket 0)-L3MPI,bridge-pcm_Core3 (Socket 0)-L2MPI,bridge-pcm_Core3 (Socket 0)-L3OCC,bridge-pcm_Core3 (Socket 0)-C0res%,bridge-pcm_Core3 (Socket 0)-C1res%,bridge-pcm_Core3 (Socket 0)-C3res%,bridge-pcm_Core3 (Socket 0)-C6res%,bridge-pcm_Core3 (Socket 0)-C7res%,bridge-pcm_Core3 (Socket 0)-TEMP,bridge-pcm_Core3 (Socket 0)-INST,bridge-pcm_Core3 (Socket 0)-ACYC,bridge-pcm_Core3 (Socket 0)-TIME(ticks),bridge-pcm_Core3 (Socket 0)-PhysIPC,bridge-pcm_Core3 (Socket 0)-PhysIPC%,bridge-pcm_Core3 (Socket 0)-INSTnom,bridge-pcm_Core3 (Socket 0)-INSTnom%,bridge-pcm_-,nf_out_nfs[i].tag,nf_out_nfs[i].instance_id,nf_out_nfs[i].service_id,nf_out_nfs[i].thread_info.core,nf_out_rx_pps,nf_out_tx_pps,nf_out_rx,nf_out_tx,nf_out_act_out,nf_out_act_tonf,nf_out_act_drop,nf_out_nfs[i].thread_info.parent,nf_out_state,nf_out_rte_atomic16_read(&nfs[i].thread_info.children_cnt),nf_out_rx_drop_rate,nf_out_tx_drop_rate,nf_out_rx_drop,nf_out_tx_drop,nf_out_act_next,nf_out_act_buffer,nf_out_act_returned,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_SKT1-Ch0Read,pcm-memory_new_SKT1-Ch0Write,pcm-memory_new_SKT1-Ch1Read,pcm-memory_new_SKT1-Ch1Write,pcm-memory_new_SKT1-Mem Read (MB/s),pcm-memory_new_SKT1-Mem Write (MB/s),pcm-memory_new_SKT1-P. Write (T/s),pcm-memory_new_SKT1-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory
0,4309.8499113582,509.04270668494,8.569,2023-11-23,16:44:09.502,0.56,2.92,0.19,1.18,0.15,15.35,0.99,0.73,0.0,0.0005,6640.0,0.68,0.96,99.0,50.0,29092.01,9977.67,2600.65,5.83,145.79,1.12,27.96,0.23,1.65,0.14,1.23,0.18,9.89,0.98,0.51,0.0,0.0008,20640.0,1.07,0.02,99.0,42.0,11724.77,7098.04,2600.65,3.3,82.59,0.45,11.27,16.23,16.16,0.01,67.61,0.0,100.0,0.0,0.0,0.0,0.0,11.1,13.68,0.0,75.21,0.0,100.0,0.0,0.0,0.0,0.0,57.59,52.23,4.55,4.56,3205173.36,3319807.96,3.0,3.0,4.35,3.68,1.18,1.19,0.0,4.35,1.0,0.12,0.0,0.0004,160.0,99.66,0.34,0.0,0.0,0.0,52.0,11308.05,3074.78,2600.65,7.36,183.88,8.7,217.4,,bridge,1.0,1.0,3.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7986692.0,1088794.0,522452.0,12435304.0,12544882.0,0.0,190750.0,20227410.0,62790.0,3364186.0,4755660.0,0.0,12894.0,71848.0,135.27,386.52,547.48,584.54,682.76,971.06,107320.0,1653.82,537.63,10.84,532.77,7.48,1070.4,18.32,55095.0,1088.72,1753.16,989.38,2742.54
1,2652.993142447,2762.404802107,3810.89,2023-11-23,16:44:10.501,0.56,3.0,0.19,1.19,0.04,14.6,1.0,0.76,0.0,0.0005,6880.0,0.7,0.99,99.0,49.0,29239.02,9736.97,2595.43,6.01,150.14,1.13,28.17,0.23,1.68,0.14,1.23,0.07,9.83,0.99,0.42,0.0,0.0008,20840.0,1.04,0.01,99.0,41.0,11816.07,7015.89,2595.43,3.37,84.21,0.46,11.38,15.81,15.38,0.0,68.81,0.0,100.0,0.0,0.0,0.0,0.0,10.96,13.18,0.0,75.85,0.0,100.0,0.0,0.0,0.0,0.0,57.41,52.03,4.54,4.54,0.17,0.1,3.0,3.0,4.37,3.68,1.19,1.19,0.01,4.29,1.0,0.14,0.0,0.0004,480.0,99.83,0.17,0.0,0.0,0.0,52.0,11354.01,3083.97,2595.43,7.36,184.08,8.75,218.72,,bridge,1.0,1.0,3.0,190232.0,190388.0,190388.0,190388.0,190388.0,0.0,0.0,0.0,W,0.0,23804.0,0.0,23804.0,0.0,0.0,0.0,0.0,8418718.0,1134196.0,313040.0,11228630.0,12818974.0,0.0,151060.0,20284432.0,62762.0,3375008.0,5469828.0,0.0,12894.0,75628.0,139.05,392.84,565.19,596.82,704.24,989.65,106521.0,1693.9,522.91,5.72,517.49,2.33,1040.41,8.05,55044.0,1048.46,1744.65,997.7,2742.35
2,6327.6849723694,3752.5336181033,15000.0,2023-11-23,16:44:11.502,0.5,1.98,0.25,1.15,0.75,17.11,0.96,0.73,0.0,0.0007,18560.0,0.72,0.93,97.0,49.0,25933.19,13122.73,2597.18,3.95,98.81,1.0,24.96,0.21,1.17,0.18,1.18,0.5,12.71,0.96,0.41,0.0,0.0011,22560.0,1.09,0.02,98.0,40.0,11129.66,9508.14,2597.18,2.34,58.53,0.43,10.71,21.92,19.62,0.49,57.97,0.0,100.0,0.0,0.0,0.0,0.0,15.48,17.93,0.03,66.56,0.0,100.0,0.0,0.0,0.0,0.0,58.56,53.93,4.56,4.57,0.0,0.0,3.0,3.0,3.84,3.31,1.16,1.17,0.0,3.78,1.0,0.17,0.0,0.0004,920.0,99.48,0.52,0.0,0.0,0.0,51.0,9971.49,3010.16,2597.18,6.63,165.63,7.68,191.98,,bridge,1.0,1.0,3.0,274640.0,274640.0,465028.0,465028.0,465028.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,8533756.0,788564.0,5456430.0,10563084.0,10106264.0,140.0,134834.0,20304662.0,62832.0,5232640.0,8275890.0,0.0,12040.0,76146.0,151.3,360.9,572.72,565.76,724.02,926.65,106708.0,1650.68,550.05,13.91,544.93,10.57,1094.98,24.47,55001.0,1119.46,1819.01,951.13,2770.13
3,9969.7127297741,4016.0465517199,65.609,2023-11-23,16:44:12.502,0.57,3.0,0.19,1.19,0.06,13.69,1.0,0.78,0.0,0.0005,18560.0,0.72,0.98,99.0,49.0,29445.74,9823.44,2596.5,5.99,149.87,1.13,28.35,0.23,1.67,0.14,1.23,0.1,9.9,0.99,0.41,0.0,0.0008,22520.0,1.08,0.01,99.0,40.0,11902.93,7124.07,2596.5,3.34,83.54,0.46,11.46,15.95,15.34,0.0,68.7,0.0,100.0,0.0,0.0,0.0,0.0,11.15,13.22,0.0,75.64,0.0,100.0,0.0,0.0,0.0,0.0,57.55,52.19,4.56,4.55,0.03,0.1,3.0,3.0,4.39,3.7,1.19,1.19,0.01,3.97,1.0,0.15,0.0,0.0003,1240.0,99.82,0.18,0.0,0.0,0.0,51.0,11409.65,3084.28,2596.5,7.4,184.96,8.79,219.68,,bridge,1.0,1.0,3.0,533896.0,533896.0,998941.0,998939.0,998939.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,7755776.0,1074192.0,185514.0,10170090.0,12067650.0,168.0,133574.0,20307518.0,62720.0,2948316.0,6668858.0,0.0,12908.0,76160.0,144.59,385.11,576.8,592.38,721.39,977.49,106755.0,1698.87,540.99,4.83,538.76,1.46,1079.75,6.29,54958.0,1086.04,1801.14,983.77,2784.91
4,9999.0679649673,3615.3761098095,3993.562,2023-11-23,16:44:13.503,0.57,2.95,0.19,1.18,0.1,14.12,0.99,0.78,0.0,0.0005,18120.0,0.72,0.97,99.0,50.0,29379.29,9948.09,2599.61,5.91,147.66,1.13,28.25,0.23,1.67,0.14,1.23,0.06,9.85,0.99,0.41,0.0,0.0008,22200.0,1.03,0.01,99.0,40.0,11877.88,7110.39,2599.61,3.34,83.52,0.46,11.42,16.18,15.92,0.0,67.9,0.0,100.0,0.0,0.0,0.0,0.0,11.12,13.34,0.0,75.54,0.0,100.0,0.0,0.0,0.0,0.0,57.67,52.23,4.57,4.56,0.03,0.13,3.0,3.0,4.37,3.69,1.18,1.19,0.0,3.97,1.0,0.15,0.0,0.0003,1280.0,99.71,0.29,0.0,0.0,0.0,50.0,11369.5,3077.66,2599.61,7.39,184.71,8.75,218.68,,bridge,1.0,1.0,3.0,552003.0,552003.0,1550959.0,1550959.0,1550959.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,7861854.0,1080436.0,274050.0,10251850.0,12074580.0,140.0,141960.0,20306006.0,62748.0,2994670.0,5997166.0,0.0,12894.0,76342.0,144.95,382.97,576.85,590.28,721.8,973.25,106637.0,1695.05,519.25,4.46,515.13,1.05,1034.38,5.51,54775.0,1039.89,1756.17,978.76,2734.94
5,9941.7768203019,3798.9663123077,15000.0,2023-11-23,16:44:14.503,0.57,3.0,0.19,1.18,0.04,14.04,1.0,0.78,0.0,0.0005,18240.0,0.72,0.98,99.0,49.0,29413.17,9799.74,2599.26,6.0,150.07,1.13,28.29,0.23,1.67,0.14,1.22,0.07,9.87,0.99,0.41,0.0,0.0008,22360.0,1.02,0.01,99.0,38.0,11780.85,7055.26,2599.26,3.34,83.49,0.45,11.33,15.94,16.2,0.0,67.86,0.0,100.0,0.0,0.0,0.0,0.0,11.09,14.47,0.0,74.45,0.0,100.0,0.0,0.0,0.0,0.0,57.61,52.26,4.57,4.55,0.17,0.33,3.0,3.0,4.38,3.7,1.18,1.19,0.0,4.02,1.0,0.15,0.0,0.0004,1400.0,99.77,0.23,0.0,0.0,0.0,51.0,11384.14,3078.12,2599.26,7.4,184.92,8.76,218.99,,bridge,1.0,1.0,3.0,472236.0,472237.0,2023209.0,2023208.0,2023209.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,7938686.0,1100540.0,260148.0,10286024.0,12134178.0,140.0,145558.0,20275388.0,62734.0,3087784.0,4802322.0,0.0,12894.0,76370.0,143.31,385.85,574.33,592.48,717.65,978.33,106653.0,1695.98,512.98,4.51,507.74,1.13,1020.72,5.64,54749.0,1026.36,1738.37,983.97,2722.34
6,9998.5645880121,3708.5311211632,15000.0,2023-11-23,16:44:15.503,0.57,2.99,0.19,1.18,0.04,14.01,1.0,0.78,0.0,0.0005,18160.0,0.72,0.98,99.0,49.0,29415.22,9825.35,2595.87,5.99,149.69,1.13,28.33,0.23,1.67,0.14,1.23,0.06,10.0,0.99,0.41,0.0,0.0008,22240.0,1.02,0.01,99.0,39.0,11879.86,7098.79,2595.87,3.35,83.68,0.46,11.44,15.97,15.57,0.01,68.45,0.0,100.0,0.0,0.0,0.0,0.0,11.11,13.42,0.01,75.46,0.0,100.0,0.0,0.0,0.0,0.0,57.55,52.15,4.55,4.53,0.03,0.1,3.0,3.0,4.38,3.7,1.19,1.19,0.0,4.03,1.0,0.15,0.0,0.0004,1360.0,99.78,0.22,0.0,0.0,0.0,50.0,11382.76,3079.61,2595.87,7.39,184.81,8.77,219.25,,bridge,1.0,1.0,3.0,518876.0,518876.0,2542103.0,2542103.0,2542103.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,7995694.0,1079008.0,174244.0,10341856.0,12219718.0,672.0,148708.0,20303836.0,62650.0,3059196.0,4846254.0,0.0,12894.0,76244.0,143.65,386.24,574.3,592.95,717.96,979.19,106781.0,1697.15,510.85,4.69,506.92,1.29,1017.77,5.98,54910.0,1023.75,1735.73,985.17,2720.9
7,9999.1269491221,3751.8746308623,15000.0,2023-11-23,16:44:16.504,0.56,2.96,0.19,1.18,0.05,15.72,1.0,0.75,0.0,0.0005,17840.0,0.67,1.0,99.0,48.0,29117.86,9847.61,2598.83,5.91,147.84,1.12,28.01,0.23,1.66,0.14,1.23,0.08,9.99,0.99,0.41,0.0,0.0008,22840.0,1.01,0.01,99.0,40.0,11829.33,7112.93,2598.83,3.33,83.15,0.46,11.38,15.99,15.64,0.0,68.37,0.0,100.0,0.0,0.0,0.0,0.0,11.12,13.35,0.0,75.52,0.0,100.0,0.0,0.0,0.0,0.0,57.56,52.22,4.55,4.55,0.03,0.17,3.0,3.0,4.33,3.65,1.19,1.19,0.0,4.59,1.0,0.15,0.0,0.0004,1680.0,99.76,0.24,0.0,0.0,0.0,50.0,11258.96,3082.41,2598.83,7.31,182.63,8.66,216.62,,bridge,1.0,1.0,3.0,523124.0,523124.0,3065245.0,3065245.0,3065245.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,8021454.0,1113714.0,212856.0,26510204.0,12278420.0,616.0,150612.0,20273862.0,62734.0,2904342.0,6713784.0,0.0,13468.0,76146.0,133.81,402.88,533.17,595.89,666.98,998.78,106298.0,1665.76,507.8,5.04,503.27,1.65,1011.07,6.7,54906.0,1017.77,1678.05,1005.47,2683.52
8,9999.1135210623,3783.4708944667,3746.537,2023-11-23,16:44:17.504,0.57,2.98,0.19,1.18,0.06,14.4,1.0,0.77,0.0,0.0005,18600.0,0.71,0.98,99.0,48.0,29349.8,9847.17,2597.18,5.96,149.03,1.13,28.25,0.23,1.68,0.14,1.23,0.05,9.9,0.99,0.41,0.0,0.0008,22680.0,1.01,0.01,99.0,40.0,11897.39,7070.67,2597.18,3.37,84.13,0.46,11.45,16.01,15.64,0.0,68.35,0.0,100.0,0.0,0.0,0.0,0.0,11.06,13.3,0.01,75.64,0.0,100.0,0.0,0.0,0.0,0.0,57.63,52.17,4.55,4.54,0.13,0.13,3.0,3.0,4.38,3.69,1.19,1.19,0.0,4.09,1.0,0.15,0.0,0.0004,1560.0,99.75,0.25,0.0,0.0,0.0,50.0,11374.1,3079.21,2597.18,7.39,184.69,8.76,218.96,,bridge,1.0,1.0,3.0,529780.0,529780.0,3595040.0,3595040.0,3595040.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,8092756.0,1125586.0,228942.0,10671430.0,12384736.0,196.0,153314.0,20313132.0,62706.0,3007564.0,6792618.0,0.0,13566.0,76090.0,142.79,388.23,571.7,594.22,714.5,982.45,106539.0,1696.95,509.71,4.35,505.99,0.99,1015.7,5.34,54955.0,1021.04,1730.2,987.79,2717.99
9,9999.1659642438,3823.4869365594,15000.0,2023-11-23,16:44:18.503,0.57,2.99,0.19,1.18,0.05,14.55,1.0,0.77,0.0,0.0005,17800.0,0.71,0.98,99.0,48.0,29347.79,9821.44,2596.02,5.98,149.41,1.13,28.26,0.23,1.69,0.14,1.23,0.04,9.73,1.0,0.41,0.0,0.0008,22880.0,0.99,0.0,99.0,38.0,11892.52,7049.08,2596.02,3.37,84.36,0.46,11.45,15.97,15.7,0.0,68.33,0.0,100.0,0.0,0.0,0.0,0.0,11.02,13.15,0.0,75.83,0.0,100.0,0.0,0.0,0.0,0.0,57.56,52.08,4.57,4.53,0.03,0.1,3.0,3.0,4.38,3.69,1.19,1.19,0.0,4.1,1.0,0.15,0.0,0.0004,1480.0,99.76,0.24,0.0,0.0,0.0,49.0,11373.88,3078.44,2596.02,7.39,184.73,8.76,219.07,,bridge,1.0,1.0,3.0,531680.0,531680.0,4126729.0,4126729.0,4126729.0,0.0,0.0,0.0,W,0.0,0.0,0.0,23804.0,0.0,0.0,0.0,0.0,8270598.0,1129492.0,183134.0,10808000.0,12386570.0,140.0,150822.0,20307518.0,62748.0,2975308.0,5857670.0,0.0,13608.0,76104.0,142.24,387.9,571.11,593.65,713.35,981.55,106534.0,1694.9,498.9,3.95,496.85,0.57,995.75,4.52,54893.0,1000.27,1709.1,986.07,2695.17
