,input_rate,output_rate,latency,bridge-pcm_new_System-Date,bridge-pcm_new_System-Time,bridge-pcm_new_Socket 0-EXEC,bridge-pcm_new_Socket 0-IPC,bridge-pcm_new_Socket 0-FREQ,bridge-pcm_new_Socket 0-AFREQ,bridge-pcm_new_Socket 0-L3MISS,bridge-pcm_new_Socket 0-L2MISS,bridge-pcm_new_Socket 0-L3HIT,bridge-pcm_new_Socket 0-L2HIT,bridge-pcm_new_Socket 0-L3MPI,bridge-pcm_new_Socket 0-L2MPI,bridge-pcm_new_Socket 0-L3OCC,bridge-pcm_new_Socket 0-READ,bridge-pcm_new_Socket 0-WRITE,bridge-pcm_new_Socket 0-LOCAL,bridge-pcm_new_Socket 0-TEMP,bridge-pcm_new_Socket 0-INST,bridge-pcm_new_Socket 0-ACYC,bridge-pcm_new_Socket 0-TIME(ticks),bridge-pcm_new_Socket 0-PhysIPC,bridge-pcm_new_Socket 0-PhysIPC%,bridge-pcm_new_Socket 0-INSTnom,bridge-pcm_new_Socket 0-INSTnom%,bridge-pcm_new_Socket 1-EXEC,bridge-pcm_new_Socket 1-IPC,bridge-pcm_new_Socket 1-FREQ,bridge-pcm_new_Socket 1-AFREQ,bridge-pcm_new_Socket 1-L3MISS,bridge-pcm_new_Socket 1-L2MISS,bridge-pcm_new_Socket 1-L3HIT,bridge-pcm_new_Socket 1-L2HIT,bridge-pcm_new_Socket 1-L3MPI,bridge-pcm_new_Socket 1-L2MPI,bridge-pcm_new_Socket 1-L3OCC,bridge-pcm_new_Socket 1-READ,bridge-pcm_new_Socket 1-WRITE,bridge-pcm_new_Socket 1-LOCAL,bridge-pcm_new_Socket 1-TEMP,bridge-pcm_new_Socket 1-INST,bridge-pcm_new_Socket 1-ACYC,bridge-pcm_new_Socket 1-TIME(ticks),bridge-pcm_new_Socket 1-PhysIPC,bridge-pcm_new_Socket 1-PhysIPC%,bridge-pcm_new_Socket 1-INSTnom,bridge-pcm_new_Socket 1-INSTnom%,bridge-pcm_new_SKT0 Core C-State-C0res%,bridge-pcm_new_SKT0 Core C-State-C1res%,bridge-pcm_new_SKT0 Core C-State-C3res%,bridge-pcm_new_SKT0 Core C-State-C6res%,bridge-pcm_new_SKT0 Core C-State-C7res%,bridge-pcm_new_SKT0 Package C-State-C0res%,bridge-pcm_new_SKT0 Package C-State-C2res%,bridge-pcm_new_SKT0 Package C-State-C3res%,bridge-pcm_new_SKT0 Package C-State-C6res%,bridge-pcm_new_SKT0 Package C-State-C7res%,bridge-pcm_new_SKT1 Core C-State-C0res%,bridge-pcm_new_SKT1 Core C-State-C1res%,bridge-pcm_new_SKT1 Core C-State-C3res%,bridge-pcm_new_SKT1 Core C-State-C6res%,bridge-pcm_new_SKT1 Core C-State-C7res%,bridge-pcm_new_SKT1 Package C-State-C0res%,bridge-pcm_new_SKT1 Package C-State-C2res%,bridge-pcm_new_SKT1 Package C-State-C3res%,bridge-pcm_new_SKT1 Package C-State-C6res%,bridge-pcm_new_SKT1 Package C-State-C7res%,bridge-pcm_new_Proc Energy (Joules)-SKT0,bridge-pcm_new_Proc Energy (Joules)-SKT1,bridge-pcm_new_DRAM Energy (Joules)-SKT0,bridge-pcm_new_DRAM Energy (Joules)-SKT1,bridge-pcm_new_LLCRDMISSLAT (ns)-SKT0,bridge-pcm_new_LLCRDMISSLAT (ns)-SKT1,bridge-pcm_new_UncFREQ (Ghz)-SKT0,bridge-pcm_new_UncFREQ (Ghz)-SKT1,bridge-pcm_new_Core4 (Socket 0)-EXEC,bridge-pcm_new_Core4 (Socket 0)-IPC,bridge-pcm_new_Core4 (Socket 0)-FREQ,bridge-pcm_new_Core4 (Socket 0)-AFREQ,bridge-pcm_new_Core4 (Socket 0)-L3MISS,bridge-pcm_new_Core4 (Socket 0)-L2MISS,bridge-pcm_new_Core4 (Socket 0)-L3HIT,bridge-pcm_new_Core4 (Socket 0)-L2HIT,bridge-pcm_new_Core4 (Socket 0)-L3MPI,bridge-pcm_new_Core4 (Socket 0)-L2MPI,bridge-pcm_new_Core4 (Socket 0)-L3OCC,bridge-pcm_new_Core4 (Socket 0)-C0res%,bridge-pcm_new_Core4 (Socket 0)-C1res%,bridge-pcm_new_Core4 (Socket 0)-C3res%,bridge-pcm_new_Core4 (Socket 0)-C6res%,bridge-pcm_new_Core4 (Socket 0)-C7res%,bridge-pcm_new_Core4 (Socket 0)-TEMP,bridge-pcm_new_Core4 (Socket 0)-INST,bridge-pcm_new_Core4 (Socket 0)-ACYC,bridge-pcm_new_Core4 (Socket 0)-TIME(ticks),bridge-pcm_new_Core4 (Socket 0)-PhysIPC,bridge-pcm_new_Core4 (Socket 0)-PhysIPC%,bridge-pcm_new_Core4 (Socket 0)-INSTnom,bridge-pcm_new_Core4 (Socket 0)-INSTnom%,bridge-pcm_new_-,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_,pcm-memory_new_SKT0,pcm-memory_new_SKT1,pcm-memory_new_System
0,2362.2475017685,288.4453209107,6.038,2023-09-19,16:52:31.556,0.55,2.92,0.19,1.18,0.22,25.27,0.99,0.56,0.0,0.0009,5640.0,0.1,0.61,98.0,51.0,28605.11,9788.66,2600.22,5.84,146.11,1.1,27.5,0.23,1.68,0.14,1.23,0.28,9.01,0.97,0.48,0.0,0.0008,22920.0,0.53,0.02,99.0,42.0,11849.99,7045.09,2600.22,3.36,84.1,0.46,11.39,15.89,15.93,0.0,68.18,0.0,100.0,0.0,0.0,0.0,0.0,11.0,13.61,0.07,75.32,0.0,100.0,0.0,0.0,0.0,0.0,57.52,51.79,4.32,4.39,806029.77,810278.14,3.0,3.0,4.03,3.4,1.19,1.19,0.0,8.39,1.0,0.07,0.0,0.0008,320.0,99.75,0.25,0.0,0.0,0.0,54.0,10469.03,3082.33,2600.22,6.79,169.82,8.05,201.31,,10686172.0,1206324.0,130270.0,25954670.0,9691248.0,0.0,594762.0,9756376.0,46914.0,3555734.0,5681732.0,0.0,9618.0,56756.0,Date,Ch0Read,Ch0Read,Read
1,1400.2821932659,1512.1641457158,11.395,2023-09-19,16:52:32.556,0.55,2.94,0.19,1.19,0.18,25.73,0.99,0.55,0.0,0.0009,7120.0,0.1,0.62,99.0,51.0,28571.86,9708.63,2597.27,5.89,147.15,1.1,27.5,0.23,1.74,0.13,1.24,0.05,8.47,0.99,0.41,0.0,0.0007,22400.0,0.52,0.01,99.0,41.0,12027.93,6921.51,2597.27,3.48,86.89,0.46,11.58,15.75,15.56,0.0,68.68,0.0,100.0,0.0,0.0,0.0,0.0,10.79,13.2,0.01,76.01,0.0,100.0,0.0,0.0,0.0,0.0,57.37,51.66,4.31,4.38,0.03,0.1,3.0,3.0,4.02,3.38,1.19,1.19,0.01,8.6,1.0,0.07,0.0,0.0008,400.0,99.82,0.18,0.0,0.0,0.0,54.0,10441.1,3084.67,2597.27,6.77,169.24,8.04,201.0,,10888430.0,1204392.0,128394.0,26023452.0,9690436.0,0.0,611282.0,9933756.0,46830.0,3125612.0,5075336.0,0.0,9618.0,56994.0,2023-09-19,25.03,278.99,664.6
2,3274.6138512091,3502.9458577559,8.048,2023-09-19,16:52:33.556,0.55,2.94,0.19,1.19,0.2,25.69,0.99,0.55,0.0,0.0009,6440.0,0.1,0.61,99.0,51.0,28581.93,9705.71,2596.26,5.89,147.24,1.1,27.52,0.23,1.74,0.13,1.23,0.05,8.41,0.99,0.41,0.0,0.0007,22760.0,0.5,0.01,99.0,42.0,12051.34,6922.51,2596.26,3.48,87.04,0.46,11.61,15.76,15.65,0.0,68.59,0.0,100.0,0.0,0.0,0.0,0.0,10.8,13.26,0.0,75.94,0.0,100.0,0.0,0.0,0.0,0.0,57.37,51.65,4.3,4.36,0.03,0.1,3.0,3.0,4.02,3.39,1.19,1.19,0.0,8.59,1.0,0.07,0.0,0.0008,440.0,99.78,0.22,0.0,0.0,0.0,54.0,10447.55,3080.76,2596.26,6.78,169.56,8.05,201.21,,10888836.0,1206366.0,157094.0,26002424.0,9690828.0,0.0,605612.0,9927050.0,46858.0,3245648.0,4330494.0,0.0,9618.0,57008.0,2023-09-19,21.89,260.18,612.62
3,5096.9270697042,5096.9643839061,12.301,2023-09-19,16:52:34.556,0.55,2.94,0.19,1.19,0.18,25.71,0.99,0.55,0.0,0.0009,8160.0,0.09,0.61,99.0,51.0,28592.16,9719.58,2598.66,5.88,147.09,1.1,27.51,0.23,1.74,0.13,1.23,0.05,8.5,0.99,0.41,0.0,0.0007,22400.0,0.5,0.01,99.0,40.0,12040.06,6939.19,2598.66,3.47,86.75,0.46,11.58,15.76,15.54,0.38,68.32,0.0,100.0,0.0,0.0,0.0,0.0,10.81,13.21,0.0,75.97,0.0,100.0,0.0,0.0,0.0,0.0,57.47,51.8,4.3,4.38,0.03,0.2,3.0,3.0,4.02,3.38,1.19,1.19,0.01,8.61,1.0,0.07,0.0,0.0008,720.0,99.82,0.18,0.0,0.0,0.0,53.0,10442.92,3086.45,2598.66,6.77,169.17,8.04,200.93,,10889088.0,1198974.0,158634.0,26003138.0,9689596.0,0.0,610162.0,9911552.0,46816.0,3044566.0,5631654.0,0.0,9618.0,56756.0,2023-09-19,22.3,252.77,599.21
4,5096.9676867488,5096.968015232,7.456,2023-09-19,16:52:35.556,0.55,2.94,0.19,1.19,0.19,25.7,0.99,0.55,0.0,0.0009,8200.0,0.1,0.61,99.0,50.0,28584.79,9721.68,2596.07,5.88,147.02,1.1,27.53,0.23,1.74,0.13,1.23,0.05,8.41,0.99,0.41,0.0,0.0007,22880.0,0.49,0.01,99.0,41.0,12041.86,6932.02,2596.07,3.47,86.86,0.46,11.6,15.79,15.6,0.0,68.61,0.0,100.0,0.0,0.0,0.0,0.0,10.81,13.22,0.01,75.96,0.0,100.0,0.0,0.0,0.0,0.0,57.37,51.7,4.3,4.37,0.03,0.1,3.0,3.0,4.02,3.39,1.19,1.19,0.0,8.59,1.0,0.07,0.0,0.0008,520.0,99.79,0.21,0.0,0.0,0.0,54.0,10446.74,3081.18,2596.07,6.78,169.52,8.05,201.2,,10888346.0,1206324.0,169106.0,26034988.0,9690268.0,0.0,610078.0,9943234.0,46872.0,3188262.0,4203906.0,0.0,9618.0,56672.0,2023-09-19,21.78,250.69,592.68
5,5096.9679667894,5096.9606890831,9.254,2023-09-19,16:52:36.557,0.55,2.92,0.19,1.18,0.2,26.11,0.99,0.55,0.0,0.0009,9480.0,0.1,0.62,99.0,50.0,28433.89,9722.71,2598.67,5.85,146.22,1.09,27.35,0.23,1.73,0.13,1.22,0.06,8.48,0.99,0.41,0.0,0.0007,22760.0,0.5,0.01,99.0,42.0,11912.37,6885.71,2598.67,3.46,86.5,0.46,11.46,15.81,16.22,0.0,67.97,0.0,100.0,0.0,0.0,0.0,0.0,10.84,15.16,0.0,74.0,0.0,100.0,0.0,0.0,0.0,0.0,57.42,51.93,4.32,4.38,0.33,0.33,3.0,3.0,4.0,3.38,1.18,1.19,0.0,8.71,1.0,0.07,0.0,0.0008,640.0,99.8,0.2,0.0,0.0,0.0,53.0,10399.51,3078.46,2598.67,6.76,168.91,8.0,200.09,,10885644.0,1205638.0,161336.0,25991994.0,9690184.0,0.0,844116.0,9920792.0,46858.0,3041136.0,6349322.0,0.0,9618.0,81522.0,2023-09-19,21.98,249.57,591.69
6,5096.9728054841,5097.0102077693,9.862,2023-09-19,16:52:37.558,0.49,2.31,0.21,1.16,1.02,34.25,0.97,0.51,0.0,0.0013,19400.0,0.34,1.03,98.0,51.0,25610.63,11103.16,2597.2,4.61,115.33,0.99,24.65,0.23,1.56,0.15,1.21,0.66,13.97,0.95,0.45,0.0001,0.0012,23520.0,0.81,0.05,97.0,41.0,12018.79,7687.41,2597.2,3.13,78.17,0.46,11.57,18.38,19.51,0.04,62.07,0.0,100.0,0.0,0.0,0.0,0.0,12.23,15.96,0.33,71.48,0.0,100.0,0.0,0.0,0.0,0.0,57.75,52.73,4.52,4.46,0.03,0.1,3.0,3.0,3.77,3.24,1.16,1.17,0.01,10.09,1.0,0.09,0.0,0.001,560.0,99.52,0.48,0.0,0.0,0.0,54.0,9793.86,3025.1,2597.2,6.48,161.88,7.54,188.55,,15134770.0,1451646.0,132398.0,35884744.0,13946730.0,0.0,510916.0,14305340.0,67158.0,3159898.0,6047076.0,0.0,13874.0,79856.0,2023-09-19,23.5,256.8,613.14
7,5096.9674233209,5096.9414161077,15.555,2023-09-19,16:52:38.559,0.52,2.11,0.25,1.15,1.21,19.86,0.94,0.63,0.0,0.0007,21280.0,0.69,1.23,99.0,51.0,27100.23,12855.59,2600.4,4.22,105.4,1.04,26.06,0.23,1.65,0.14,1.23,0.07,10.35,0.99,0.41,0.0,0.0009,23280.0,0.73,0.01,99.0,41.0,11869.31,7213.84,2600.4,3.29,82.27,0.46,11.41,21.53,20.31,0.0,58.15,0.0,100.0,0.0,0.0,0.0,0.0,11.3,13.4,0.01,75.3,0.0,100.0,0.0,0.0,0.0,0.0,58.79,52.13,4.64,4.41,0.0,0.0,3.0,3.0,4.1,3.57,1.15,1.15,0.01,5.29,1.0,0.12,0.0,0.0005,240.0,99.83,0.17,0.0,0.0,0.0,53.0,10672.87,2986.57,2600.4,7.15,178.68,8.21,205.23,,13983578.0,786996.0,211932.0,12721240.0,9551206.0,140.0,139468.0,14343322.0,67830.0,3175116.0,6788992.0,0.0,14084.0,80990.0,2023-09-19,75.12,408.34,1166.14
8,6313.9743828838,6450.4673301664,2907.366,2023-09-19,16:52:39.561,0.54,2.16,0.25,1.15,1.04,14.02,0.93,0.73,0.0,0.0005,21360.0,0.8,0.99,99.0,51.0,28024.01,12948.05,2595.69,4.33,108.22,1.08,26.98,0.23,1.64,0.14,1.23,0.04,10.29,1.0,0.41,0.0,0.0009,22880.0,0.7,0.01,99.0,41.0,11850.06,7238.82,2595.69,3.27,81.85,0.46,11.41,21.73,20.3,0.0,57.97,0.0,100.0,0.0,0.0,0.0,0.0,11.36,13.24,0.0,75.4,0.0,100.0,0.0,0.0,0.0,0.0,58.76,52.06,4.57,4.41,0.1,0.13,3.0,3.0,4.27,3.72,1.15,1.15,0.01,3.24,1.0,0.15,0.0,0.0003,120.0,99.87,0.13,0.0,0.0,0.0,52.0,11080.43,2981.12,2595.69,7.43,185.84,8.54,213.43,,8265866.0,188160.0,109214.0,12410202.0,9401420.0,140.0,138334.0,14265398.0,67354.0,3189326.0,7379260.0,0.0,13790.0,80976.0,2023-09-19,148.73,366.25,1420.26
9,7315.0076431064,6748.6905623754,3328.077,2023-09-19,16:52:40.560,0.54,2.18,0.25,1.15,1.0,13.98,0.93,0.74,0.0,0.0005,21400.0,0.8,1.0,99.0,50.0,28150.81,12914.01,2599.29,4.36,108.99,1.08,27.08,0.23,1.63,0.14,1.23,0.06,10.24,0.99,0.42,0.0,0.0009,23600.0,0.69,0.01,99.0,42.0,11824.46,7246.84,2599.29,3.26,81.58,0.45,11.37,21.64,20.22,0.0,58.14,0.0,100.0,0.0,0.0,0.0,0.0,11.35,13.23,0.0,75.42,0.0,100.0,0.0,0.0,0.0,0.0,58.81,52.04,4.57,4.41,0.17,0.17,3.0,3.0,4.27,3.72,1.15,1.15,0.0,3.24,1.0,0.15,0.0,0.0003,160.0,99.88,0.12,0.0,0.0,0.0,53.0,11104.58,2987.11,2599.29,7.44,185.88,8.54,213.61,,8304688.0,190820.0,73528.0,12169556.0,9285906.0,140.0,139650.0,14268716.0,67508.0,3098284.0,7427812.0,0.0,14350.0,81354.0,2023-09-19,173.93,350.35,1496.99
