TIME 2024-02-13 11:25:08
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99         26k         0.0         0.0         0.0
       1        1.00         23k         0.0         0.0         0.0
       2        0.95         17k         0.0         0.0         0.0
       3        0.98         38k         0.0         0.0         0.0
       4        0.10          5k         0.0         0.0         0.0
       5        0.18          9k       160.0       174.4         3.0
       6        0.13          3k       360.0        79.0         0.9
       7        0.11          4k       160.0       152.3         5.1
       8        0.10          4k       320.0        78.1         2.5
       9        0.11          4k         0.0         0.0         0.0
      10        1.59        415k       400.0       313.6        14.9
      11        0.13          2k       680.0       500.4        18.0
      12        0.10          3k         0.0         0.0         0.0
      13        0.11          3k        40.0        32.9         1.3
      14        0.80         13k         0.0         0.0         0.0
      15        0.32          4k       200.0       213.6         8.0
      16        0.14          2k         0.0         0.0         0.0
      17        0.14          2k         0.0         0.0         0.0
      18        0.19          2k         0.0         0.0         0.0
      19        0.14          3k       400.0       161.8         4.8
      20        0.28          3k         0.0       132.6         6.5
      21        0.19          0k         0.0         0.0         0.0
      22        0.99         12k         0.0         0.0         0.0
      23        0.22          1k       600.0        28.8         8.6
      24        0.34         13k       200.0        29.5        13.3
      25        0.16          4k       280.0       144.5         5.2
      26        0.15          3k       160.0        16.6         1.6
      27        0.17          3k       240.0       103.5         3.2
      28        0.14          3k         0.0         0.0         0.0
      29        0.14          2k       320.0        79.1         0.8
      30        0.20          3k       160.0        43.2         0.2
      31        0.14          2k       160.0       363.9         1.4
      32        0.21          1k       320.0       313.6        14.9
      33        0.31          4k       120.0        14.7         0.1
      34        0.18          2k       160.0       104.4         5.0
      35        0.17          1k       160.0       100.3         1.2
      36        0.23          1k       320.0       213.7         8.0
      37        0.17          0k       240.0       364.0         1.4
      38        0.15          0k        40.0        82.8         1.9
      39        0.15          0k       160.0         8.5         0.0
TIME 2024-02-13 11:25:09
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99          3k         0.0         0.0         0.0
       1        1.00          4k         0.0         0.0         0.0
       2        0.94          3k         0.0         0.0         0.0
       3        0.99          5k         0.0         0.0         0.0
       4        0.10          1k         0.0         0.0         0.0
       5        0.17          1k         0.0         0.0         0.0
       6        0.13          0k       440.0        13.6         3.2
       7        0.11          1k       200.0        11.1         0.1
       8        0.11          1k       400.0        24.7         1.7
       9        0.11          1k         0.0         0.0         0.0
      10        1.35        234k       280.0         8.0         0.1
      11        0.13          0k        80.0         2.0         0.0
      12        0.10          1k         0.0         0.0         0.0
      13        0.10          1k        40.0         5.4         0.0
      14        0.81         15k         0.0         0.0         0.0
      15        0.18          1k       360.0         5.7         0.4
      16        0.15          1k         0.0         0.0         0.0
      17        0.14          1k         0.0         0.0         0.0
      18        0.18          1k         0.0         0.0         0.0
      19        0.17          1k       240.0         5.7         0.0
      20        0.30          1k         0.0         0.0         0.0
      21        0.21          0k         0.0         0.0         0.0
      22        1.14          7k         0.0         0.0         0.0
      23        0.19          0k       160.0        27.6         0.0
      24        0.15          1k       160.0         0.2         0.0
      25        0.16          1k       160.0        28.2         0.2
      26        0.15          1k         0.0         0.0         0.0
      27        0.16          1k        40.0         5.6         0.0
      28        0.15          1k         0.0         0.0         0.0
      29        0.15          1k       360.0        13.6         3.2
      30        0.19          1k       280.0        14.4         0.0
      31        0.15          1k      7160.0       168.6         7.2
      32        0.21          1k       280.0         8.0         0.1
      33        0.24          1k         0.0         0.0         0.0
      34        0.18          1k         0.0 17592186044311.6         0.0
      35        0.18          1k       360.0         6.3         0.1
      36        0.22          1k       360.0         5.7         0.4
      37        0.17          1k      7160.0       168.7         7.3
      38        0.15          1k        80.0        12.6         0.0
      39        0.15          1k       360.0         6.2         0.0
TIME 2024-02-13 11:25:12
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00         25k         0.0         0.0         0.0
       1        1.00         24k       400.0       382.9         3.6
       2        0.95         19k         0.0         0.0         0.0
       3        0.98         38k         0.0         0.0         0.0
       4        0.10          5k         0.0         0.0         0.0
       5        0.18         10k       200.0        71.2         2.9
       6        0.11          4k         0.0         0.0         0.0
       7        0.11          4k         0.0         0.0         0.0
       8        0.11          4k         0.0         0.0         0.0
       9        0.11          4k       440.0       383.0         3.6
      10        1.44        582k         0.0         0.0         0.0
      11        0.12          4k       200.0        62.5         0.2
      12        0.10          3k         0.0         0.0         0.0
      13        0.14          4k       200.0       505.9        18.0
      14        0.62         19k       240.0        62.5         0.2
      15        0.14          3k         0.0         0.0         0.0
      16        0.16          3k         0.0         0.0         0.0
      17        0.15          3k       400.0       171.4         3.7
      18        0.14          3k       200.0        28.7         3.6
      19        0.15          4k         0.0         0.0         0.0
      20        0.30          3k         0.0         0.0         0.0
      21        0.21          0k         0.0         0.0         0.0
      22        1.13         14k         0.0         0.0         0.0
      23        0.23          1k         0.0         0.0         0.0
      24        0.68         13k         0.0         0.0         0.0
      25        0.17          6k       120.0       105.0         4.3
      26        0.19          2k        80.0        25.2         1.1
      27        0.21          2k       160.0       494.4         1.8
      28        0.15          2k       160.0       119.6         3.5
      29        0.18          2k       160.0        60.3         8.6
      30        0.20          0k       200.0        18.6         0.0
      31        0.16          2k       240.0        62.5         0.2
      32        0.18          1k       360.0       171.4         3.7
      33        0.16          1k       200.0        18.6         0.0
      34        0.18          1k       160.0        28.7         3.6
      35        0.18          0k      1160.0       431.1        16.5
      36        0.22          0k       200.0       505.9        18.0
      37        0.17          0k       240.0        62.5         0.2
      38        0.00          0k       240.0       324.5        16.1
      39        0.00          0k        40.0         8.8         0.0
TIME 2024-02-13 11:25:10
