TIME 2024-01-14 20:52:00
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.00          1k         0.0         0.2         0.0
       1        0.00          1k        80.0         0.0         0.0
       2        0.00         14k         0.0        41.6         0.2
       3        0.00          1k        40.0         1.4         0.0
       4        0.00          0k         0.0         0.0         0.0
       5        0.00          0k        40.0         0.3         0.0
       6        0.00          0k         0.0         0.0         0.0
       7        0.00          0k        40.0         0.0         0.0
       8        0.06          0k         0.0         0.5         0.0
       9        0.00          0k         0.0         0.0         0.0
      10        0.00          4k       280.0         0.5         0.5
      11        0.00          0k         0.0         0.0         0.0
      12        0.14          0k         0.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.24          1k         0.0         0.0         0.0
      15        0.22          0k         0.0         0.0         0.0
      16        0.22          0k         0.0         0.0         0.0
      17        0.28          0k         0.0         0.0         0.0
      18        0.29          0k         0.0         0.0         0.0
      19        0.22          0k        40.0         0.0         0.0
      20        0.21          0k         0.0         0.0         0.0
      21        0.22          0k         0.0         0.0         0.0
      22        0.13          0k         0.0         0.0         0.0
      23        0.21          0k         0.0         0.0         0.0
      24        0.17          0k         0.0         0.0         0.0
      25        0.17          1k         0.0         0.0         0.0
      26        0.19          0k         0.0         0.0         0.0
      27        0.21          0k        80.0         0.0         0.0
      28        0.17          0k        40.0         0.0         0.0
      29        0.18          1k         0.0         0.0         0.0
      30        0.15          0k         0.0         0.0         0.0
      31        0.14          0k         0.0         0.0         0.0
      32        0.22          0k         0.0         0.0         0.0
      33        0.26          0k         0.0         0.0         0.0
      34        0.19          0k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.21          0k         0.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.22          0k         0.0         0.0         0.0
      39        0.24          0k         0.0         0.0         0.0
TIME 2024-01-14 20:52:01
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95         46k       280.0         0.6         0.2
       1        0.97         32k       200.0         2.8         0.0
       2        1.91      11916k       400.0      1678.9         0.7
       3        1.00         80k       160.0        43.9         0.0
       4        0.13          7k         0.0         0.1         0.0
       5        0.14          8k        40.0         0.9         0.0
       6        0.14          7k         0.0         0.0         0.0
       7        0.14          6k        40.0         0.0         0.0
       8        0.14          7k        40.0         6.4         0.0
       9        0.13          8k         0.0         0.0         0.0
