TIME 2024-01-14 20:57:28
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.00          3k        40.0         0.0         0.2
       1        0.00          1k        80.0         0.0         0.0
       2        0.04         19k      1640.0        14.9         1.1
       3        0.11          1k       160.0         0.8         0.0
       4        0.00          0k        40.0         0.0         0.0
       5        0.00          0k       120.0         0.0         0.0
       6        0.00          0k        40.0         0.0         0.0
       7        0.00          0k        40.0         0.0         0.0
       8        0.00          0k        40.0         0.0         0.0
       9        0.00          0k        80.0         0.0         0.0
      10        0.00          4k       800.0         0.7         0.3
      11        0.00          0k         0.0         0.0         0.0
      12        0.26          0k       120.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.29          1k         0.0         0.0         0.0
      15        0.31          0k         0.0         0.0         0.0
      16        0.27          0k         0.0         0.0         0.0
      17        0.21          0k       120.0         0.0         0.0
      18        0.32          1k         0.0         0.0         0.0
      19        0.21          0k        40.0         0.0         0.0
      20        0.23          0k         0.0         0.0         0.0
      21        0.24          0k         0.0         0.1         0.0
      22        0.14          1k        80.0         0.0         0.0
      23        0.22          0k        40.0         0.0         0.0
      24        0.16          0k         0.0         0.0         0.0
      25        0.23          1k         0.0         0.0         0.0
      26        0.15          1k         0.0         0.0         0.0
      27        0.14          1k         0.0         0.0         0.0
      28        0.17          1k        40.0         0.0         0.0
      29        0.17          1k        40.0         0.0         0.0
      30        0.10          0k         0.0         0.0         0.0
      31        0.14          0k         0.0         0.0         0.0
      32        0.25          0k         0.0         0.0         0.0
      33        0.25          0k       120.0         0.0         0.0
      34        0.17          0k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.24          0k         0.0         0.0         0.0
      37        0.24          0k        40.0         0.0         0.0
      38        0.22          0k        80.0         0.0         0.0
      39        0.23          0k        80.0         0.0         0.0
TIME 2024-01-14 20:57:29
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95         44k       320.0         0.5         0.2
       1        0.98         31k       160.0         3.2         0.0
       2        2.09       5962k      1640.0      1397.6         1.2
       3        1.01         48k       160.0        34.6         0.0
       4        0.13          8k        40.0         0.0         0.0
       5        0.14          9k        80.0         0.2         0.0
       6        0.14          8k        40.0         0.0         0.0
       7        0.13          8k        40.0         0.0         0.0
       8        0.17          8k        80.0         7.3         0.0
       9        0.16          6k        80.0         0.0         0.1
      10        1.18         21k      2720.0         1.6         1.0
      11        0.14          5k         0.0         0.0         0.0
      12        0.10          0k       120.0         0.0         0.0
      13        0.17          0k         0.0         0.0         0.0
      14        0.23         15k        80.0         0.1         0.0
      15        0.21          1k        40.0         0.0         0.0
      16        0.16          0k         0.0         0.0         0.0
      17        0.30          1k       120.0         0.0         0.0
      18        0.46          9k       520.0         0.3         0.2
      19        0.34          0k        40.0         0.0         0.0
      20        0.01          0k         0.0         0.0         0.0
      21        0.01          0k         0.0         0.0         0.0
      22        0.04          1k       120.0         0.1         0.0
      23        0.01          0k        40.0         0.0         0.0
      24        0.00          9k         0.0         0.0         0.0
      25        0.00         13k         0.0         0.0         0.0
      26        0.11         20k       120.0         0.0         0.5
      27        0.02         14k         0.0         0.0         0.0
      28        0.00         13k        40.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.00         12k         0.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.29          1k         0.0         0.0         0.0
      33        0.18          0k       120.0         0.0         0.0
      34        0.00         13k        40.0         0.0         0.0
      35        0.17          1k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.05          1k        40.0         0.0         0.0
