TIME 2024-01-14 21:01:28
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.00          1k        40.0         0.0         0.0
       1        0.00          1k       200.0         0.0         0.0
       2        0.00        310k      1800.0        52.0         1.4
       3        0.08          1k       120.0         0.1         0.0
       4        0.16          0k        40.0         0.0         0.0
       5        0.00          0k       200.0         0.1         0.0
       6        0.00          0k        40.0         0.0         0.0
       7        0.00          0k        80.0         0.0         0.0
       8        0.00          0k         0.0         0.1         0.0
       9        0.00          0k        40.0         0.0         0.0
      10        0.00          5k       600.0         0.7         0.2
      11        0.00          0k         0.0         0.0         0.0
      12        0.26          0k        80.0         0.0         0.0
      13        0.22          0k         0.0         0.0         0.0
      14        0.18          0k         0.0         0.0         0.0
      15        0.23          0k         0.0         0.0         0.0
      16        0.21          0k       120.0         0.0         0.0
      17        0.21          0k         0.0         0.0         0.0
      18        0.35          0k         0.0         0.0         0.0
      19        0.19          0k         0.0         0.0         0.0
      20        0.22          0k        80.0         0.0         0.0
      21        0.19          0k         0.0         0.0         0.0
      22        0.17          1k        80.0         0.0         0.0
      23        0.20          0k       120.0         0.0         0.0
      24        0.19          0k        40.0         0.0         0.0
      25        0.24          0k         0.0         0.0         0.0
      26        0.22          0k         0.0         0.0         0.0
      27        0.18          0k         0.0         0.0         0.0
      28        0.19          1k         0.0         0.0         0.0
      29        0.17          1k        40.0         0.0         0.0
      30        0.09          0k         0.0         0.0         0.0
      31        0.16          0k         0.0         0.0         0.0
      32        0.31          0k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.21          0k        40.0         0.0         0.0
      35        0.24          0k        40.0         0.0         0.0
      36        0.25          0k         0.0         0.0         0.0
      37        0.24          0k        40.0         0.0         0.0
      38        0.24          0k         0.0         0.0         0.0
      39        0.24          0k         0.0         0.0         0.0
TIME 2024-01-14 21:01:29
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95         39k       160.0         0.6         0.0
       1        0.98         27k       240.0         0.4         0.0
       2        2.06       5239k      1840.0      1732.0         0.0
       3        1.01         39k       240.0         1.7         0.0
       4        0.14          6k        80.0         0.0         0.0
       5        0.14          6k       200.0         0.2         0.0
       6        0.14          6k        40.0         0.0         0.0
       7        0.13          6k        80.0         0.0         0.0
       8        0.13          6k        40.0         3.4         0.0
       9        0.13          7k        40.0         0.0         0.0
      10        1.34         25k      2880.0         2.4         1.1
      11        0.14          5k         0.0         0.0         0.0
      12        0.21          1k       120.0         0.0         0.0
      13        0.18          0k         0.0         0.0         0.0
      14        0.23         17k        80.0         0.1         0.0
      15        0.12          1k         0.0         0.0         0.0
      16        0.18          0k       120.0         0.0         0.0
      17        0.29          1k         0.0         0.0         0.0
      18        0.27          2k       120.0         0.1         0.0
      19        0.18          0k         0.0         0.0         0.0
      20        0.01          0k        80.0         0.1         0.0
      21        0.03          1k         0.0         0.1         0.0
      22        0.05          1k        40.0         0.1         0.0
      23        0.01          0k       120.0         0.0         0.0
      24        0.02          9k       120.0         0.0         0.1
      25        0.02         13k         0.0         0.0         0.0
      26        0.16         21k       520.0         0.5         1.2
      27        0.05         16k         0.0         0.0         0.0
      28        0.01         13k         0.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.01         13k        80.0         0.1         0.0
      31        0.01         13k         0.0         0.0         0.0
      32        0.27          1k         0.0         0.0         0.0
      33        0.20          0k         0.0         0.0         0.0
      34        0.08         13k        40.0         0.0         0.0
      35        0.46          9k       400.0         0.4         0.1
      36        0.20          0k         0.0         0.0         0.0
      37        0.10          1k        40.0         0.0         0.0
      38        0.19          1k         0.0         0.0         0.0
      39        0.19          0k        40.0         0.0         0.0
TIME 2024-01-14 21:01:30
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94         41k       320.0         0.4         0.0
       1        0.97         28k       280.0         1.1         0.0
       2        2.09       5628k      1400.0       789.8         0.6
       3        1.00         41k       240.0         1.4         0.0
       4        0.13          6k        80.0         0.0         0.0
       5        0.14          6k       240.0         0.2         0.0
       6        0.14          6k        40.0         0.0         0.0
       7        0.13          6k        80.0         0.0         0.0
       8        0.14          6k        80.0         3.4         0.0
       9        0.13          7k        40.0         0.0         0.0
      10        1.36          8k      3280.0         0.5         0.0
      11        0.14          5k         0.0         0.0         0.0
      12        0.28          0k       240.0         0.1         0.0
      13        0.20          0k         0.0         0.0         0.0
      14        0.24         15k       160.0         0.1         0.0
      15        0.22          1k         0.0         0.0         0.0
      16        0.15          0k       120.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.33          0k       160.0         0.0         0.0
      19        0.33          0k         0.0         0.0         0.0
      20        0.01          0k        80.0         0.2         0.0
      21        0.03          2k        40.0         0.0         0.1
      22        0.04          0k        80.0         0.0         0.0
      23        0.00          0k       120.0         0.0         0.0
      24        0.00          9k        40.0         0.0         0.0
      25        0.00         13k         0.0         0.0         0.0
      26        0.18         21k       720.0         0.4         0.9
      27        0.05         14k         0.0         0.0         0.1
      28        0.01         13k         0.0         0.0         0.0
      29        0.01         13k        40.0         0.0         0.0
      30        0.00         12k        80.0         0.0         0.0
      31        0.00         13k         0.0         0.0         0.0
      32        0.26          0k         0.0         0.0         0.0
      33        0.18          0k         0.0         0.0         0.0
      34        0.02         13k        80.0         0.0         0.0
      35        0.18          0k       320.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
