TIME 2024-01-14 20:56:08
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.00          4k         0.0         0.6         0.0
       1        0.00          3k       200.0         0.2         0.0
       2        0.01        225k      2080.0        36.0         1.6
       3        0.17          2k       200.0         1.4         0.0
       4        0.00          0k        40.0         0.0         0.0
       5        0.00          0k       120.0         0.2         0.0
       6        0.00          0k         0.0         0.0         0.0
       7        0.00          0k        40.0         0.2         0.0
       8        0.00          0k        40.0         0.0         0.0
       9        0.00          0k         0.0         0.0         0.0
      10        0.00          4k       320.0         0.4         0.1
      11        0.00          0k         0.0         0.0         0.0
      12        0.25          0k         0.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.23          0k        80.0         0.0         0.0
      15        0.22          0k        40.0         0.0         0.0
      16        0.27          0k        40.0         0.0         0.0
      17        0.25          0k        80.0         0.0         0.0
      18        0.30          0k         0.0         0.0         0.0
      19        0.20          0k         0.0         0.0         0.0
      20        0.23          0k        80.0         0.0         0.0
      21        0.19          0k         0.0         0.0         0.0
      22        0.15          1k         0.0         0.0         0.0
      23        0.22          0k         0.0         0.0         0.0
      24        0.19          0k         0.0         0.0         0.0
      25        0.21          1k         0.0         0.0         0.0
      26        0.18          1k         0.0         0.0         0.0
      27        0.14          1k         0.0         0.0         0.0
      28        0.15          1k         0.0         0.0         0.0
      29        0.19          1k         0.0         0.0         0.0
      30        0.10          0k        40.0         0.0         0.0
      31        0.15          0k        40.0         0.0         0.0
      32        0.25          0k        40.0         0.0         0.0
      33        0.26          0k         0.0         0.0         0.0
      34        0.19          0k         0.0         0.0         0.0
      35        0.24          0k        40.0         0.0         0.0
      36        0.24          0k         0.0         0.0         0.0
      37        0.24          0k        40.0         0.0         0.0
      38        0.22          0k       120.0         0.0         0.0
      39        0.24          0k         0.0         0.0         0.0
TIME 2024-01-14 20:56:09
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95        135k         0.0        13.4         0.0
       1        0.97        137k       120.0         7.6         0.4
       2        2.12       5935k      1320.0      1043.7         0.0
       3        1.01         53k       200.0         5.3         0.0
       4        0.13          8k        40.0         0.0         0.0
       5        0.15          8k       120.0         0.4         0.0
       6        0.14          8k         0.0         0.0         0.0
       7        0.13          8k        40.0         8.4         0.0
       8        0.17          7k         0.0         0.6         0.0
       9        0.16          7k        40.0         0.0         0.0
      10        1.19         19k      1960.0         1.2         0.9
      11        0.14          5k         0.0         0.0         0.0
      12        0.08          0k         0.0         0.0         0.0
      13        0.14          0k         0.0         0.0         0.0
      14        0.24         17k       240.0         0.1         0.1
      15        0.24          0k         0.0         0.0         0.0
      16        2.58         34k       720.0         2.0         0.0
      17        0.33          1k        80.0         0.0         0.0
      18        0.34          1k        40.0         0.0         0.0
      19        0.33          0k         0.0         0.0         0.0
      20        0.01          0k        80.0         0.0         0.0
      21        0.02          1k        80.0         0.1         0.0
      22        0.04          1k         0.0         0.0         0.0
      23        0.01          0k         0.0         0.0         0.0
      24        0.01          9k        40.0         0.0         0.0
      25        0.00         13k         0.0         0.0         0.0
      26        0.19         27k       200.0         0.4         0.7
      27        0.02         14k         0.0         0.2         0.0
      28        0.00         13k         0.0         0.0         0.0
      29        0.01         13k         0.0         0.0         0.0
      30        0.00         12k        40.0         0.0         0.0
      31        0.00         13k        40.0         0.0         0.0
      32        0.30          1k        40.0         0.0         0.0
      33        0.31          0k        40.0         0.0         0.1
      34        0.01         13k         0.0         0.0         0.0
      35        0.17          0k        40.0         0.0         0.0
      36        0.13          0k         0.0         0.0         0.0
      37        0.05          1k        40.0         0.0         0.0
      38        0.23          1k       200.0         0.0         0.0
      39        0.15          0k         0.0         0.0         0.0
TIME 2024-01-14 20:56:10
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.94        148k         0.0         6.8         0.0
       1        0.97        140k       240.0         4.0         0.3
       2        2.03       5821k      1920.0       578.9         0.0
       3        1.00         53k       200.0         3.4         0.0
       4        0.14          8k        40.0         0.0         0.0
       5        0.14          8k        80.0         0.2         0.0
       6        0.14          8k         0.0         0.0         0.0
       7        0.13          8k       120.0         4.6         0.0
       8        0.17          7k        40.0         0.6         0.0
       9        0.16          7k        40.0         0.0         0.0
      10        1.09          8k      2040.0         0.2         0.0
      11        0.14          5k         0.0         0.0         0.0
      12        0.32          1k       120.0         0.1         0.0
