TIME 2024-02-05 16:24:17
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00          6k        40.0         0.0         0.0
       1        1.02         11k        40.0         0.0         0.0
       2        0.97         12k         0.0         0.0         0.0
       3        1.00         11k       120.0         0.0         0.0
       4        3.34        831k         0.0         0.0         0.0
       5        0.26          1k       120.0         0.1         0.0
       6        0.25          0k         0.0         0.0         0.0
       7        0.24          0k         0.0         0.0         0.0
       8        0.26          0k         0.0         0.0         0.0
       9        0.22          0k        40.0         0.0         0.0
      10        0.96         14k       640.0         0.7         0.4
      11        0.16          0k         0.0         0.0         0.0
      12        0.23          0k         0.0         0.0         0.0
      13        0.19          0k         0.0         0.0         0.0
      14        0.18          0k         0.0         0.0         0.0
      15        0.22          0k         0.0         0.0         0.0
      16        0.28          0k         0.0         0.0         0.0
      17        0.25          0k         0.0         0.0         0.0
      18        0.21          0k         0.0         0.0         0.0
      19        0.24          0k         0.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.32          0k        40.0         0.0         0.0
      22        0.36          0k         0.0         0.0         0.0
      23        0.34          0k         0.0         0.0         0.0
      24        0.23          0k         0.0         0.0         0.0
      25        0.20          0k        40.0         0.0         0.0
      26        0.32          0k         0.0         0.0         0.0
      27        0.25          0k        40.0         0.0         0.0
      28        0.24          0k        40.0         0.0         0.0
      29        0.25          0k         0.0         0.0         0.0
      30        0.12          0k         0.0         0.0         0.0
      31        0.25          0k         0.0         0.0         0.0
      32        0.25          0k         0.0         0.0         0.0
      33        0.24          0k         0.0         0.0         0.0
      34        0.24          0k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.24          0k         0.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.23          0k         0.0         0.0         0.0
TIME 2024-02-05 16:24:18
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        252k        40.0         1.2         0.0
       1        1.01        278k        40.0         0.1         0.0
       2        0.97        382k       120.0         0.1         0.0
       3        1.00        381k       120.0         0.5         0.0
       4        3.31      25106k       200.0         3.0         0.0
       5        0.22          3k        80.0         0.5         0.0
       6        0.17          0k         0.0         0.0         0.0
       7        0.13          0k         0.0         0.0         0.0
       8        0.19          0k         0.0         0.0         0.0
       9        0.21          0k        40.0         0.0         0.0
      10        1.45         14k      1560.0         0.8         0.4
      11        0.13          0k         0.0         0.0         0.0
      12        0.18          0k         0.0         0.0         0.0
      13        0.10          0k         0.0         0.0         0.0
      14        0.23         20k       160.0         0.1         0.0
      15        0.14          0k         0.0         0.0         0.0
      16        0.16          0k         0.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.12          0k         0.0         0.0         0.0
      19        0.17          0k         0.0         0.0         0.0
      20        0.21          2k         0.0         0.2         0.0
      21        0.29          0k        40.0         0.0         0.0
      22        0.19          0k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.24          0k         0.0         0.0         0.0
      25        0.73         13k       400.0         0.8         1.0
      26        0.35          1k         0.0         0.0         0.0
      27        0.27          1k        40.0         0.0         0.0
      28        0.20          0k        40.0         0.0         0.0
      29        0.21          0k         0.0         0.0         0.0
      30        0.03          1k         0.0         0.0         0.0
      31        0.32          1k        40.0         0.1         0.0
      32        0.19          0k         0.0         0.0         0.0
      33        0.29          1k        80.0         0.1         0.0
      34        0.02         13k         0.0         0.0         0.0
      35        0.20          0k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.24          1k         0.0         0.0         0.0
      39        0.17          0k         0.0         0.0         0.0
TIME 2024-02-05 16:24:19
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        413k       120.0        16.1         0.0
       1        1.02        295k        40.0         0.1         0.0
       2        0.97        336k         0.0         5.0         0.0
       3        1.00        386k       120.0         8.9         0.0
       4        3.20      22762k      1040.0        51.4         2.6
       5        0.25          2k        40.0         0.4         0.0
       6        0.23          0k         0.0         0.0         0.0
       7        0.11          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.16          0k        40.0         0.0         0.0
      10        1.47          7k      1560.0         0.2         0.2
      11        0.15          0k         0.0         0.0         0.0
      12        0.19          0k         0.0         0.0         0.0
