TIME 2024-02-08 12:41:54
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99          3k        80.0         2.1         0.0
       1        1.02          1k       120.0         0.0         0.0
       2        1.00          1k       120.0         0.0         0.0
       3        1.03          5k        80.0         8.0         0.0
       4        3.39        849k       400.0        22.2         0.0
       5        0.27          1k        40.0         0.0         0.0
       6        0.23          0k         0.0         0.0         0.0
       7        0.23          0k         0.0         0.0         0.0
       8        0.23          0k         0.0         0.0         0.0
       9        0.23          0k        80.0         0.0         0.0
      10        0.97          9k       360.0         0.4         0.6
      11        0.11          0k         0.0         0.0         0.0
      12        0.14          0k        80.0         0.0         0.0
      13        0.13          0k         0.0         0.0         0.0
      14        0.20          1k         0.0         0.0         0.0
      15        0.22          0k         0.0         0.0         0.0
      16        0.26          0k        40.0         0.0         0.0
      17        0.29          0k         0.0         0.0         0.0
      18        0.20          0k        80.0         0.0         0.0
      19        0.21          0k         0.0         0.0         0.0
      20        0.34          0k         0.0         0.0         0.0
      21        0.32          0k         0.0         0.0         0.0
      22        0.33          0k        40.0         0.0         0.0
      23        0.31          0k       160.0         0.0         0.0
      24        0.23          0k         0.0         0.0         0.0
      25        0.19          0k        80.0         0.0         0.0
      26        0.26          0k       120.0         0.0         0.0
      27        0.28          0k         0.0         0.0         0.0
      28        0.27          0k         0.0         0.0         0.0
      29        0.26          0k         0.0         0.0         0.0
      30        0.13          0k         0.0         0.0         0.0
      31        0.24          0k        80.0         0.0         0.0
      32        0.24          0k         0.0         0.0         0.0
      33        0.24          0k         0.0         0.0         0.0
      34        0.33          0k        40.0         0.0         0.0
      35        0.24          0k        80.0         0.0         0.0
      36        0.24          0k         0.0         0.0         0.0
      37        0.25          0k         0.0         0.0         0.0
      38        0.28          1k         0.0         0.0         0.0
      39        0.27          0k         0.0         0.0         0.0
TIME 2024-02-08 12:41:55
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00         41k        80.0         6.6         0.0
       1        1.03         23k       120.0         0.0         0.0
       2        1.00         26k        40.0         0.1         0.0
       3        1.03        154k       120.0       257.3         0.0
       4        3.39      22487k      1240.0        85.9         0.0
       5        0.27          2k        80.0         0.2         0.0
       6        0.13          0k         0.0         0.0         0.0
       7        0.06          1k         0.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.18          0k        80.0         0.0         0.0
      10        1.45         10k      1320.0         0.8         0.7
      11        0.11          0k         0.0         0.0         0.0
      12        0.17          0k        80.0         0.0         0.0
      13        0.27          0k         0.0         0.0         0.0
      14        0.24         24k       400.0         0.2         0.2
      15        0.25          1k         0.0         0.0         0.0
      16        0.25          1k        80.0         0.0         0.0
      17        0.32          1k         0.0         0.0         0.0
      18        0.25          0k        80.0         0.0         0.0
      19        0.18          0k         0.0         0.0         0.0
      20        0.28          0k         0.0         0.0         0.0
      21        0.17          0k        40.0         0.0         0.0
      22        0.33          0k        40.0         0.0         0.0
      23        0.33          0k        80.0         0.0         0.0
      24        0.22          0k        40.0         0.0         0.0
      25        0.14          1k        80.0         0.0         0.0
      26        0.27          1k       120.0         0.0         0.0
      27        0.69         13k      1080.0         0.8         1.1
      28        0.19          0k         0.0         0.0         0.0
      29        0.26          0k         0.0         0.0         0.0
