TIME 2024-02-05 15:14:36
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97          6k       200.0         0.0         0.0
       1        1.00          5k        80.0         1.2         0.0
       2        0.96          4k        40.0         0.1         0.0
       3        0.99          4k       160.0         0.2         0.0
       4        3.34        820k       400.0         0.4         0.2
       5        0.25          1k       120.0         0.0         0.0
       6        0.23          0k       120.0         0.0         0.0
       7        0.23          0k         0.0         0.0         0.0
       8        0.23          0k         0.0         0.0         0.0
       9        0.23          0k        40.0         0.0         0.0
      10        0.97         11k       720.0         0.4         0.4
      11        0.14          0k         0.0         0.0         0.0
      12        0.10          0k       120.0         0.0         0.0
      13        0.20          0k        40.0         0.0         0.0
      14        0.50          1k        40.0         0.0         0.2
      15        0.87         16k      2200.0         1.6         0.9
      16        0.21          0k         0.0         0.0         0.0
      17        0.22          0k         0.0         0.0         0.0
      18        0.23          0k        40.0         0.0         0.0
      19        0.22          0k       200.0         0.0         0.0
      20        0.31          0k         0.0         0.0         0.0
      21        0.32          1k        80.0         0.0         0.1
      22        0.31          0k        80.0         0.0         0.0
      23        0.31          0k       120.0         0.0         0.0
      24        0.26          0k        80.0         0.0         0.0
      25        0.21          0k        80.0         0.0         0.0
      26        0.27          0k        80.0         0.0         0.0
      27        0.25          0k        40.0         0.0         0.0
      28        0.31          0k         0.0         0.0         0.0
      29        0.31          0k         0.0         0.0         0.0
      30        0.10          0k         0.0         0.0         0.0
      31        0.29          0k         0.0         0.0         0.0
      32        0.33          1k       240.0         0.1         0.2
      33        0.21          0k         0.0         0.0         0.0
      34        0.27          0k         0.0         0.0         0.0
      35        0.14          0k         0.0         0.0         0.0
      36        0.25          0k         0.0         0.0         0.0
      37        0.25          0k         0.0         0.0         0.0
      38        0.24          0k         0.0         0.0         0.0
      39        0.31          0k         0.0         0.0         0.0
TIME 2024-02-05 15:14:37
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        162k       280.0         1.6         0.2
       1        1.00        146k       200.0        38.2         0.0
       2        0.97        128k       120.0         5.4         0.0
       3        1.00        130k       240.0         7.0         0.0
       4        3.34      21603k      1080.0        21.3         1.9
       5        0.25          4k        80.0         0.0         0.0
       6        0.16          1k       120.0         0.0         0.0
       7        0.13          1k         0.0         0.0         0.0
       8        0.19          0k         0.0         0.0         0.0
       9        0.20          0k        40.0         0.0         0.0
      10        1.42         78k      3600.0         4.4         0.5
      11        0.17          0k         0.0         0.0         0.0
      12        0.06          1k       120.0         0.0         0.0
      13        0.21          1k        40.0         0.0         0.0
      14        0.23         18k       120.0         0.0         0.0
      15        0.30          1k      1320.0         0.0         0.0
      16        0.16          0k        40.0         0.0         0.0
      17        0.30          1k         0.0         0.0         0.0
      18        0.15          0k       120.0         0.1         0.0
      19        1.85          8k       360.0         0.2         0.0
      20        0.25          0k         0.0         0.1         0.0
      21        0.20          3k       120.0         0.2         0.2
      22        0.31          0k        80.0         0.0         0.0
      23        0.26          1k       120.0         0.0         0.0
      24        0.26          2k       160.0         0.1         0.2
      25        0.29          5k       160.0         0.0         0.2
      26        0.31          2k       200.0         0.0         0.2
      27        0.28          2k       120.0         0.0         0.2
      28        0.20          1k         0.0         0.0         0.0
      29        0.20          0k         0.0         0.0         0.0
      30        0.05          1k         0.0         0.0         0.0
      31        0.32          1k        40.0         0.0         0.0
      32        0.22          1k       120.0         0.0         0.0
      33        0.31          1k         0.0         0.0         0.0
      34        0.01         13k         0.0         0.0         0.0
      35        0.15          1k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.10          1k         0.0         0.0         0.0
      38        0.28          1k        40.0         0.0         0.0
      39        0.11          0k         0.0         0.0         0.0
TIME 2024-02-05 15:14:38
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        168k       280.0         1.8         0.2
       1        1.01        154k       120.0        38.6         0.0
       2        0.97        132k       120.0         5.3         0.0
       3        1.00        131k       200.0        19.8         0.0
       4        3.24      18943k      1520.0         3.5         0.3
       5        0.24          3k       120.0         0.1         0.0
       6        0.10          0k       120.0         0.0         0.0
       7        0.11          0k         0.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.19          0k        40.0         0.0         0.0
      10        1.48         41k      4080.0         2.0         0.4
      11        0.15          0k         0.0         0.0         0.0
      12        0.13          0k       120.0         0.0         0.0
      13        0.38          1k       160.0         0.1         0.0
      14        0.23         18k       320.0         0.1         0.1
      15        0.18          0k       920.0         0.0         0.0
