,input_rate,output_rate,latency,bridge-pcm_System-Date,bridge-pcm_System-Time,bridge-pcm_Socket 0-EXEC,bridge-pcm_Socket 0-IPC,bridge-pcm_Socket 0-FREQ,bridge-pcm_Socket 0-AFREQ,bridge-pcm_Socket 0-L3MISS,bridge-pcm_Socket 0-L2MISS,bridge-pcm_Socket 0-L3HIT,bridge-pcm_Socket 0-L2HIT,bridge-pcm_Socket 0-L3MPI,bridge-pcm_Socket 0-L2MPI,bridge-pcm_Socket 0-L3OCC,bridge-pcm_Socket 0-READ,bridge-pcm_Socket 0-WRITE,bridge-pcm_Socket 0-LOCAL,bridge-pcm_Socket 0-TEMP,bridge-pcm_Socket 0-INST,bridge-pcm_Socket 0-ACYC,bridge-pcm_Socket 0-TIME(ticks),bridge-pcm_Socket 0-PhysIPC,bridge-pcm_Socket 0-PhysIPC%,bridge-pcm_Socket 0-INSTnom,bridge-pcm_Socket 0-INSTnom%,bridge-pcm_Socket 1-EXEC,bridge-pcm_Socket 1-IPC,bridge-pcm_Socket 1-FREQ,bridge-pcm_Socket 1-AFREQ,bridge-pcm_Socket 1-L3MISS,bridge-pcm_Socket 1-L2MISS,bridge-pcm_Socket 1-L3HIT,bridge-pcm_Socket 1-L2HIT,bridge-pcm_Socket 1-L3MPI,bridge-pcm_Socket 1-L2MPI,bridge-pcm_Socket 1-L3OCC,bridge-pcm_Socket 1-READ,bridge-pcm_Socket 1-WRITE,bridge-pcm_Socket 1-LOCAL,bridge-pcm_Socket 1-TEMP,bridge-pcm_Socket 1-INST,bridge-pcm_Socket 1-ACYC,bridge-pcm_Socket 1-TIME(ticks),bridge-pcm_Socket 1-PhysIPC,bridge-pcm_Socket 1-PhysIPC%,bridge-pcm_Socket 1-INSTnom,bridge-pcm_Socket 1-INSTnom%,bridge-pcm_SKT0 Core C-State-C0res%,bridge-pcm_SKT0 Core C-State-C1res%,bridge-pcm_SKT0 Core C-State-C3res%,bridge-pcm_SKT0 Core C-State-C6res%,bridge-pcm_SKT0 Core C-State-C7res%,bridge-pcm_SKT0 Package C-State-C0res%,bridge-pcm_SKT0 Package C-State-C2res%,bridge-pcm_SKT0 Package C-State-C3res%,bridge-pcm_SKT0 Package C-State-C6res%,bridge-pcm_SKT0 Package C-State-C7res%,bridge-pcm_SKT1 Core C-State-C0res%,bridge-pcm_SKT1 Core C-State-C1res%,bridge-pcm_SKT1 Core C-State-C3res%,bridge-pcm_SKT1 Core C-State-C6res%,bridge-pcm_SKT1 Core C-State-C7res%,bridge-pcm_SKT1 Package C-State-C0res%,bridge-pcm_SKT1 Package C-State-C2res%,bridge-pcm_SKT1 Package C-State-C3res%,bridge-pcm_SKT1 Package C-State-C6res%,bridge-pcm_SKT1 Package C-State-C7res%,bridge-pcm_Proc Energy (Joules)-SKT0,bridge-pcm_Proc Energy (Joules)-SKT1,bridge-pcm_DRAM Energy (Joules)-SKT0,bridge-pcm_DRAM Energy (Joules)-SKT1,bridge-pcm_LLCRDMISSLAT (ns)-SKT0,bridge-pcm_LLCRDMISSLAT (ns)-SKT1,bridge-pcm_UncFREQ (Ghz)-SKT0,bridge-pcm_UncFREQ (Ghz)-SKT1,bridge-pcm_Core3 (Socket 0)-EXEC,bridge-pcm_Core3 (Socket 0)-IPC,bridge-pcm_Core3 (Socket 0)-FREQ,bridge-pcm_Core3 (Socket 0)-AFREQ,bridge-pcm_Core3 (Socket 0)-L3MISS,bridge-pcm_Core3 (Socket 0)-L2MISS,bridge-pcm_Core3 (Socket 0)-L3HIT,bridge-pcm_Core3 (Socket 0)-L2HIT,bridge-pcm_Core3 (Socket 0)-L3MPI,bridge-pcm_Core3 (Socket 0)-L2MPI,bridge-pcm_Core3 (Socket 0)-L3OCC,bridge-pcm_Core3 (Socket 0)-C0res%,bridge-pcm_Core3 (Socket 0)-C1res%,bridge-pcm_Core3 (Socket 0)-C3res%,bridge-pcm_Core3 (Socket 0)-C6res%,bridge-pcm_Core3 (Socket 0)-C7res%,bridge-pcm_Core3 (Socket 0)-TEMP,bridge-pcm_Core3 (Socket 0)-INST,bridge-pcm_Core3 (Socket 0)-ACYC,bridge-pcm_Core3 (Socket 0)-TIME(ticks),bridge-pcm_Core3 (Socket 0)-PhysIPC,bridge-pcm_Core3 (Socket 0)-PhysIPC%,bridge-pcm_Core3 (Socket 0)-INSTnom,bridge-pcm_Core3 (Socket 0)-INSTnom%,bridge-pcm_-,nf_out_nfs[i].tag,nf_out_nfs[i].instance_id,nf_out_nfs[i].service_id,nf_out_nfs[i].thread_info.core,nf_out_rx_pps,nf_out_tx_pps,nf_out_rx,nf_out_tx,nf_out_act_out,nf_out_act_tonf,nf_out_act_drop,nf_out_nfs[i].thread_info.parent,nf_out_state,nf_out_rte_atomic16_read(&nfs[i].thread_info.children_cnt),nf_out_rx_drop_rate,nf_out_tx_drop_rate,nf_out_rx_drop,nf_out_tx_drop,nf_out_act_next,nf_out_act_buffer,nf_out_act_returned,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_SKT1-Ch0Read,pcm-memory_new_SKT1-Ch0Write,pcm-memory_new_SKT1-Ch1Read,pcm-memory_new_SKT1-Ch1Write,pcm-memory_new_SKT1-Mem Read (MB/s),pcm-memory_new_SKT1-Mem Write (MB/s),pcm-memory_new_SKT1-P. Write (T/s),pcm-memory_new_SKT1-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory
0,4380.9185820957,442.68663834095,7.885,2023-11-01,22:50:19.211,0.56,2.87,0.19,1.18,0.13,15.55,0.99,0.76,0.0,0.0005,7840.0,0.73,0.75,99.0,51.0,29097.27,10127.13,2601.34,5.75,143.66,1.12,27.96,0.22,1.57,0.14,1.22,0.2,12.49,0.98,0.49,0.0,0.0011,20240.0,0.97,0.02,99.0,47.0,11446.23,7282.82,2601.34,3.14,78.58,0.44,10.99,16.47,16.03,0.0,67.49,0.0,100.0,0.0,0.0,0.0,0.0,11.43,14.0,0.0,74.56,0.0,100.0,0.0,0.0,0.0,0.0,57.61,51.27,4.55,4.55,553190.74,556582.74,3.0,3.0,4.39,3.71,1.18,1.19,0.0,4.2,1.0,0.1,0.0,0.0004,160.0,99.68,0.32,0.0,0.0,0.0,52.0,11412.51,3076.6,2601.34,7.42,185.47,8.77,219.36,,bridge,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5831812.0,717458.0,315434.0,10427116.0,9766386.0,14.0,107240.0,20312684.0,91392.0,2897314.0,11284574.0,0.0,19740.0,111902.0,159.15,284.62,602.69,498.49,761.85,783.11,107798.0,1544.96,503.72,7.66,504.92,10.94,1008.64,18.6,54788.0,1027.24,1770.49,801.71,2572.2
1,2488.2156763838,2650.6821390833,12287.961,2023-11-01,22:50:20.211,0.57,2.97,0.19,1.18,0.08,13.73,0.99,0.8,0.0,0.0005,8800.0,0.79,0.76,99.0,50.0,29733.85,10025.95,2597.7,5.93,148.28,1.14,28.62,0.23,1.63,0.14,1.23,0.05,11.9,1.0,0.38,0.0,0.001,20280.0,0.95,0.01,99.0,46.0,11696.81,7177.87,2597.7,3.26,81.48,0.45,11.26,16.32,15.68,0.01,68.0,0.0,100.0,0.0,0.0,0.0,0.0,11.24,13.2,0.01,75.56,0.0,100.0,0.0,0.0,0.0,0.0,57.58,50.97,4.49,4.53,0.13,0.1,3.0,3.0,4.44,3.75,1.19,1.19,0.01,3.59,1.0,0.11,0.0,0.0003,360.0,99.75,0.25,0.0,0.0,0.0,53.0,11537.99,3078.61,2597.7,7.5,187.39,8.88,222.08,,bridge,1.0,1.0,3.0,62560.0,62560.0,62560.0,62560.0,62560.0,0.0,0.0,0.0,W,0.0,424302.0,0.0,424302.0,0.0,0.0,0.0,0.0,6186992.0,740978.0,332248.0,10940104.0,9813328.0,14.0,108626.0,20304046.0,91938.0,2792678.0,10292100.0,0.0,19740.0,112266.0,166.42,270.44,627.59,491.63,794.02,762.07,106949.0,1556.08,477.02,1.15,475.32,4.47,952.34,5.61,54320.0,957.95,1746.36,767.68,2514.03
2,5624.962741145,3411.9016782731,15000.0,2023-11-01,22:50:21.211,0.57,2.93,0.19,1.18,0.08,13.65,0.99,0.8,0.0,0.0005,9080.0,0.79,0.76,99.0,49.0,29568.94,10079.02,2597.28,5.87,146.69,1.14,28.46,0.22,1.63,0.14,1.23,0.07,12.21,0.99,0.39,0.0,0.001,21120.0,0.94,0.01,99.0,47.0,11663.99,7175.35,2597.28,3.25,81.28,0.45,11.23,16.38,15.2,0.0,68.42,0.0,100.0,0.0,0.0,0.0,0.0,11.24,13.4,0.01,75.36,0.0,100.0,0.0,0.0,0.0,0.0,57.52,51.13,4.5,4.54,0.03,0.1,3.0,3.0,4.43,3.74,1.19,1.19,0.0,3.58,1.0,0.11,0.0,0.0003,320.0,99.73,0.27,0.0,0.0,0.0,52.0,11515.31,3080.54,2597.28,7.48,186.9,8.87,221.67,,bridge,1.0,1.0,3.0,285033.0,285033.0,347625.0,347625.0,347625.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6167420.0,730702.0,352996.0,10103730.0,9808190.0,0.0,108976.0,20411118.0,91854.0,2862552.0,9888676.0,0.0,19726.0,112476.0,167.11,270.07,627.33,491.21,794.44,761.28,106838.0,1555.72,469.85,1.81,470.16,5.17,940.01,6.98,54386.0,946.99,1734.45,768.26,2502.71
3,9941.3898847788,2931.0526278666,15000.0,2023-11-01,22:50:22.211,0.57,2.99,0.19,1.18,0.06,13.75,1.0,0.8,0.0,0.0005,9320.0,0.79,0.76,99.0,49.0,29766.44,9963.24,2597.87,5.98,149.38,1.15,28.65,0.23,1.63,0.14,1.23,0.04,11.97,1.0,0.38,0.0,0.001,20800.0,0.91,0.0,99.0,47.0,11705.58,7166.52,2597.87,3.27,81.67,0.45,11.27,16.2,15.6,0.0,68.19,0.0,100.0,0.0,0.0,0.0,0.0,11.22,13.14,0.0,75.64,0.0,100.0,0.0,0.0,0.0,0.0,57.71,51.06,4.51,4.52,0.03,0.1,3.0,3.0,4.45,3.75,1.19,1.19,0.0,3.61,1.0,0.11,0.0,0.0003,400.0,99.78,0.22,0.0,0.0,0.0,51.0,11553.17,3081.15,2597.87,7.5,187.48,8.89,222.36,,bridge,1.0,1.0,3.0,481559.0,481559.0,829184.0,829184.0,829184.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6227186.0,745402.0,374276.0,10041262.0,9892652.0,0.0,109578.0,20136046.0,91672.0,2868054.0,9353232.0,0.0,19796.0,112462.0,166.76,271.32,626.16,492.07,792.92,763.4,107223.0,1556.32,453.48,0.72,454.47,4.03,907.95,4.75,54346.0,912.7,1700.87,768.15,2469.02
4,9954.6680493131,2931.3302576838,12071.273,2023-11-01,22:50:23.212,0.57,2.93,0.19,1.18,0.07,13.83,1.0,0.8,0.0,0.0005,9120.0,0.79,0.76,99.0,49.0,29619.28,10119.61,2597.69,5.85,146.35,1.14,28.51,0.22,1.6,0.14,1.23,0.06,12.17,1.0,0.39,0.0,0.001,20720.0,0.89,0.01,99.0,47.0,11664.24,7283.21,2597.69,3.2,80.08,0.45,11.23,16.47,15.57,0.0,67.95,0.0,100.0,0.0,0.0,0.0,0.0,11.43,13.25,0.0,75.32,0.0,100.0,0.0,0.0,0.0,0.0,57.64,51.19,4.49,4.52,0.03,0.1,3.0,3.0,4.43,3.74,1.18,1.19,0.0,3.6,1.0,0.1,0.0,0.0003,280.0,99.71,0.29,0.0,0.0,0.0,51.0,11516.92,3077.8,2597.69,7.48,187.1,8.87,221.69,,bridge,1.0,1.0,3.0,629880.0,629880.0,1459108.0,1459108.0,1459108.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6232940.0,728210.0,488810.0,10097150.0,9930172.0,0.0,108052.0,20109600.0,91756.0,2908990.0,9374386.0,0.0,19782.0,110936.0,167.1,270.81,626.59,491.62,793.69,762.43,106987.0,1556.12,444.21,1.26,443.71,4.6,887.92,5.86,54384.0,893.78,1681.61,768.29,2449.89
5,9958.4843082803,2970.2870483564,15000.0,2023-11-01,22:50:24.212,0.57,2.98,0.19,1.18,0.05,13.79,1.0,0.8,0.0,0.0005,8920.0,0.79,0.76,99.0,50.0,29659.32,9961.84,2597.77,5.95,148.86,1.14,28.54,0.22,1.61,0.14,1.22,0.07,12.12,0.99,0.39,0.0,0.001,21360.0,0.9,0.01,99.0,48.0,11589.01,7191.54,2597.77,3.22,80.57,0.45,11.15,16.22,16.01,0.0,67.77,0.0,100.0,0.0,0.0,0.0,0.0,11.33,14.38,0.0,74.29,0.0,100.0,0.0,0.0,0.0,0.0,57.57,51.21,4.5,4.53,0.33,0.33,3.0,3.0,4.44,3.75,1.18,1.19,0.0,3.62,1.0,0.1,0.0,0.0003,240.0,99.74,0.26,0.0,0.0,0.0,52.0,11524.56,3075.5,2597.77,7.49,187.36,8.87,221.8,,bridge,1.0,1.0,3.0,632432.0,632432.0,2091564.0,2091564.0,2091564.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6267450.0,748734.0,340718.0,9910026.0,9812180.0,0.0,108500.0,20103678.0,91700.0,2711982.0,9112866.0,0.0,19726.0,111146.0,166.77,271.0,625.15,491.37,791.92,762.36,107063.0,1554.28,447.2,1.27,448.32,4.61,895.53,5.88,54200.0,901.41,1687.45,768.24,2455.69
6,9954.477441145,2973.2989796536,15000.0,2023-11-01,22:50:25.212,0.57,2.96,0.19,1.18,0.06,13.85,1.0,0.8,0.0,0.0005,9560.0,0.79,0.76,99.0,49.0,29635.53,10016.76,2598.19,5.92,147.93,1.14,28.51,0.23,1.63,0.14,1.23,0.04,12.05,1.0,0.38,0.0,0.001,21120.0,0.89,0.0,99.0,47.0,11699.26,7180.08,2598.19,3.26,81.47,0.45,11.26,16.28,15.27,0.0,68.45,0.0,100.0,0.0,0.0,0.0,0.0,11.24,13.28,0.0,75.48,0.0,100.0,0.0,0.0,0.0,0.0,57.54,51.23,4.51,4.52,0.03,0.1,3.0,3.0,4.45,3.75,1.19,1.19,0.0,3.64,1.0,0.1,0.0,0.0003,240.0,99.76,0.24,0.0,0.0,0.0,51.0,11555.54,3082.52,2598.19,7.5,187.44,8.89,222.37,,bridge,1.0,1.0,3.0,638172.0,638172.0,2729772.0,2729772.0,2729772.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6318508.0,732956.0,416878.0,10017392.0,9705766.0,0.0,109410.0,20107346.0,91588.0,2913526.0,8770384.0,0.0,19754.0,111748.0,166.75,271.1,624.91,491.43,791.66,762.53,106830.0,1554.19,442.08,0.79,444.59,4.1,886.66,4.89,54117.0,891.55,1678.32,767.42,2445.74
7,9945.049370463,2989.8038876608,15000.0,2023-11-01,22:50:26.213,0.57,3.0,0.19,1.18,0.04,13.82,1.0,0.8,0.0,0.0005,9640.0,0.79,0.76,99.0,49.0,29845.62,9943.58,2597.54,6.0,150.07,1.15,28.72,0.23,1.63,0.14,1.23,0.04,12.04,1.0,0.38,0.0,0.001,21360.0,0.87,0.0,99.0,46.0,11710.39,7191.44,2597.54,3.26,81.42,0.45,11.27,16.17,15.5,0.0,68.34,0.0,100.0,0.0,0.0,0.0,0.0,11.26,13.27,0.0,75.47,0.0,100.0,0.0,0.0,0.0,0.0,57.7,51.18,4.51,4.51,0.07,0.1,3.0,3.0,4.45,3.75,1.19,1.19,0.0,3.65,1.0,0.1,0.0,0.0003,400.0,99.79,0.21,0.0,0.0,0.0,52.0,11550.43,3082.53,2597.54,7.49,187.35,8.89,222.33,,bridge,1.0,1.0,3.0,639836.0,639836.0,3369632.0,3369632.0,3369632.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6319586.0,754180.0,312648.0,9958914.0,9696288.0,168.0,109690.0,20076840.0,91588.0,2790410.0,8362550.0,0.0,18886.0,111300.0,166.71,271.33,624.26,491.46,790.97,762.79,106938.0,1553.76,435.42,0.73,438.14,4.06,873.56,4.8,54178.0,878.36,1664.53,767.59,2432.11
8,9948.8836805661,3006.8645033351,15000.0,2023-11-01,22:50:27.219,0.54,2.28,0.24,1.15,0.55,15.61,0.96,0.78,0.0,0.0006,15320.0,0.8,0.75,98.0,50.0,28128.96,12334.38,2599.89,4.56,114.03,1.08,27.04,0.22,1.35,0.16,1.2,0.32,13.76,0.98,0.39,0.0,0.0012,22160.0,0.93,0.02,98.0,48.0,11375.56,8441.36,2599.89,2.7,67.38,0.44,10.93,20.56,19.98,0.04,59.42,0.0,100.0,0.0,0.0,0.0,0.0,13.57,16.4,0.01,70.01,0.0,100.0,0.0,0.0,0.0,0.0,58.81,52.33,4.52,4.55,0.03,0.1,3.0,3.0,4.29,3.7,1.16,1.16,0.0,3.28,1.0,0.1,0.0,0.0003,40.0,99.57,0.43,0.0,0.0,0.0,51.0,11147.84,3013.8,2599.89,7.4,184.95,8.58,214.41,,bridge,1.0,1.0,3.0,641992.0,641988.0,4011640.0,4011636.0,4011636.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,6350260.0,737492.0,1716442.0,11133402.0,7641676.0,112.0,84182.0,20073956.0,91686.0,2915388.0,10185616.0,0.0,18746.0,109732.0,172.42,260.08,632.58,481.86,804.99,741.94,106841.0,1546.93,469.82,7.92,472.05,11.11,941.87,19.04,54504.0,960.9,1746.86,760.97,2507.83
9,9956.3115419377,3027.2876322138,15000.0,2023-11-01,22:50:28.215,0.56,2.63,0.21,1.17,0.27,13.77,0.98,0.8,0.0,0.0005,14320.0,0.8,0.76,98.0,49.0,28975.31,11009.05,2597.35,5.26,131.6,1.12,27.9,0.22,1.42,0.15,1.21,0.23,13.17,0.98,0.39,0.0,0.0012,22320.0,1.0,0.01,99.0,46.0,11401.54,8015.82,2597.35,2.84,71.12,0.44,10.98,18.12,17.35,0.03,64.5,0.0,100.0,0.0,0.0,0.0,0.0,12.78,15.1,0.01,72.11,0.0,100.0,0.0,0.0,0.0,0.0,58.05,51.83,4.5,4.54,58328.27,116544.97,3.0,3.0,4.35,3.7,1.17,1.18,0.0,3.27,1.0,0.1,0.0,0.0003,160.0,99.55,0.45,0.0,0.0,0.0,51.0,11294.51,3050.94,2597.35,7.4,185.1,8.7,217.42,,bridge,1.0,1.0,3.0,643672.0,643672.0,4655328.0,4655328.0,4655328.0,0.0,0.0,0.0,W,0.0,0.0,0.0,424302.0,0.0,0.0,0.0,0.0,5650008.0,706174.0,321734.0,9394014.0,9208962.0,140.0,101822.0,19973898.0,92246.0,2793756.0,7901600.0,0.0,18326.0,110964.0,170.82,270.5,632.68,492.41,803.49,762.91,107147.0,1566.41,498.32,3.12,502.07,6.43,1000.39,9.55,54469.0,1009.94,1803.88,772.47,2576.35
