,input_rate,output_rate,latency,bridge-pcm_new_System-Date,bridge-pcm_new_System-Time,bridge-pcm_new_Socket 0-EXEC,bridge-pcm_new_Socket 0-IPC,bridge-pcm_new_Socket 0-FREQ,bridge-pcm_new_Socket 0-AFREQ,bridge-pcm_new_Socket 0-L3MISS,bridge-pcm_new_Socket 0-L2MISS,bridge-pcm_new_Socket 0-L3HIT,bridge-pcm_new_Socket 0-L2HIT,bridge-pcm_new_Socket 0-L3MPI,bridge-pcm_new_Socket 0-L2MPI,bridge-pcm_new_Socket 0-L3OCC,bridge-pcm_new_Socket 0-READ,bridge-pcm_new_Socket 0-WRITE,bridge-pcm_new_Socket 0-LOCAL,bridge-pcm_new_Socket 0-TEMP,bridge-pcm_new_Socket 0-INST,bridge-pcm_new_Socket 0-ACYC,bridge-pcm_new_Socket 0-TIME(ticks),bridge-pcm_new_Socket 0-PhysIPC,bridge-pcm_new_Socket 0-PhysIPC%,bridge-pcm_new_Socket 0-INSTnom,bridge-pcm_new_Socket 0-INSTnom%,bridge-pcm_new_Socket 1-EXEC,bridge-pcm_new_Socket 1-IPC,bridge-pcm_new_Socket 1-FREQ,bridge-pcm_new_Socket 1-AFREQ,bridge-pcm_new_Socket 1-L3MISS,bridge-pcm_new_Socket 1-L2MISS,bridge-pcm_new_Socket 1-L3HIT,bridge-pcm_new_Socket 1-L2HIT,bridge-pcm_new_Socket 1-L3MPI,bridge-pcm_new_Socket 1-L2MPI,bridge-pcm_new_Socket 1-L3OCC,bridge-pcm_new_Socket 1-READ,bridge-pcm_new_Socket 1-WRITE,bridge-pcm_new_Socket 1-LOCAL,bridge-pcm_new_Socket 1-TEMP,bridge-pcm_new_Socket 1-INST,bridge-pcm_new_Socket 1-ACYC,bridge-pcm_new_Socket 1-TIME(ticks),bridge-pcm_new_Socket 1-PhysIPC,bridge-pcm_new_Socket 1-PhysIPC%,bridge-pcm_new_Socket 1-INSTnom,bridge-pcm_new_Socket 1-INSTnom%,bridge-pcm_new_SKT0 Core C-State-C0res%,bridge-pcm_new_SKT0 Core C-State-C1res%,bridge-pcm_new_SKT0 Core C-State-C3res%,bridge-pcm_new_SKT0 Core C-State-C6res%,bridge-pcm_new_SKT0 Core C-State-C7res%,bridge-pcm_new_SKT0 Package C-State-C0res%,bridge-pcm_new_SKT0 Package C-State-C2res%,bridge-pcm_new_SKT0 Package C-State-C3res%,bridge-pcm_new_SKT0 Package C-State-C6res%,bridge-pcm_new_SKT0 Package C-State-C7res%,bridge-pcm_new_SKT1 Core C-State-C0res%,bridge-pcm_new_SKT1 Core C-State-C1res%,bridge-pcm_new_SKT1 Core C-State-C3res%,bridge-pcm_new_SKT1 Core C-State-C6res%,bridge-pcm_new_SKT1 Core C-State-C7res%,bridge-pcm_new_SKT1 Package C-State-C0res%,bridge-pcm_new_SKT1 Package C-State-C2res%,bridge-pcm_new_SKT1 Package C-State-C3res%,bridge-pcm_new_SKT1 Package C-State-C6res%,bridge-pcm_new_SKT1 Package C-State-C7res%,bridge-pcm_new_Proc Energy (Joules)-SKT0,bridge-pcm_new_Proc Energy (Joules)-SKT1,bridge-pcm_new_DRAM Energy (Joules)-SKT0,bridge-pcm_new_DRAM Energy (Joules)-SKT1,bridge-pcm_new_LLCRDMISSLAT (ns)-SKT0,bridge-pcm_new_LLCRDMISSLAT (ns)-SKT1,bridge-pcm_new_UncFREQ (Ghz)-SKT0,bridge-pcm_new_UncFREQ (Ghz)-SKT1,bridge-pcm_new_Core4 (Socket 0)-EXEC,bridge-pcm_new_Core4 (Socket 0)-IPC,bridge-pcm_new_Core4 (Socket 0)-FREQ,bridge-pcm_new_Core4 (Socket 0)-AFREQ,bridge-pcm_new_Core4 (Socket 0)-L3MISS,bridge-pcm_new_Core4 (Socket 0)-L2MISS,bridge-pcm_new_Core4 (Socket 0)-L3HIT,bridge-pcm_new_Core4 (Socket 0)-L2HIT,bridge-pcm_new_Core4 (Socket 0)-L3MPI,bridge-pcm_new_Core4 (Socket 0)-L2MPI,bridge-pcm_new_Core4 (Socket 0)-L3OCC,bridge-pcm_new_Core4 (Socket 0)-C0res%,bridge-pcm_new_Core4 (Socket 0)-C1res%,bridge-pcm_new_Core4 (Socket 0)-C3res%,bridge-pcm_new_Core4 (Socket 0)-C6res%,bridge-pcm_new_Core4 (Socket 0)-C7res%,bridge-pcm_new_Core4 (Socket 0)-TEMP,bridge-pcm_new_Core4 (Socket 0)-INST,bridge-pcm_new_Core4 (Socket 0)-ACYC,bridge-pcm_new_Core4 (Socket 0)-TIME(ticks),bridge-pcm_new_Core4 (Socket 0)-PhysIPC,bridge-pcm_new_Core4 (Socket 0)-PhysIPC%,bridge-pcm_new_Core4 (Socket 0)-INSTnom,bridge-pcm_new_Core4 (Socket 0)-INSTnom%,bridge-pcm_new_-,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_,pcm-memory_new_SKT0,pcm-memory_new_SKT1,pcm-memory_new_System
0,2365.200979067,308.22595002049,9.309,2023-09-20,21:17:48.748,0.55,2.96,0.19,1.19,0.19,24.58,0.99,0.56,0.0,0.0009,10240.0,0.09,0.57,99.0,49.0,28689.94,9688.77,2600.12,5.92,148.06,1.1,27.58,0.23,1.7,0.13,1.23,0.18,8.47,0.98,0.57,0.0,0.0007,19720.0,0.5,0.02,99.0,47.0,11776.29,6939.72,2600.12,3.39,84.85,0.45,11.32,15.72,15.93,0.0,68.35,0.0,100.0,0.0,0.0,0.0,0.0,10.85,14.11,0.55,74.49,0.0,100.0,0.0,0.0,0.0,0.0,57.47,50.86,4.33,4.4,2717910.47,2766580.34,3.0,3.0,4.05,3.42,1.19,1.19,0.0,8.22,1.0,0.07,0.0,0.0008,400.0,99.78,0.22,0.0,0.0,0.0,51.0,10537.45,3083.54,2600.12,6.83,170.87,8.11,202.63,,10880646.0,1218728.0,73066.0,26034988.0,9689232.0,140.0,601622.0,9928310.0,46900.0,2860004.0,5281206.0,0.0,9660.0,56434.0,Date,Ch0Read,Ch0Read,Read
1,1387.2648041669,1507.7548336336,11.101,2023-09-20,21:17:49.749,0.53,2.62,0.2,1.17,0.57,26.51,0.98,0.55,0.0,0.001,14160.0,0.19,0.66,97.0,50.0,27455.47,10486.94,2596.8,5.24,130.9,1.06,26.43,0.23,1.49,0.16,1.2,0.68,12.28,0.94,0.46,0.0001,0.001,23400.0,0.58,0.05,96.0,48.0,12036.19,8089.06,2596.8,2.98,74.4,0.46,11.59,17.21,18.37,0.01,64.4,0.0,100.0,0.0,0.0,0.0,0.0,12.94,16.56,1.03,69.47,0.0,100.0,0.0,0.0,0.0,0.0,57.9,52.06,4.37,4.43,0.07,0.1,3.0,3.0,3.94,3.34,1.18,1.18,0.01,8.19,1.0,0.08,0.0,0.0008,1160.0,99.68,0.32,0.0,0.0,0.0,51.0,10224.13,3057.46,2596.8,6.69,167.2,7.87,196.85,,10887618.0,1220688.0,59710.0,26105758.0,9709938.0,140.0,604226.0,9921254.0,46872.0,2790816.0,5203324.0,0.0,9660.0,56434.0,2023-09-20,19.68,274.71,649.29
2,4221.3176223962,4478.3045586029,8.64,2023-09-20,21:17:50.748,0.55,2.93,0.19,1.19,0.19,25.66,0.99,0.55,0.0,0.0009,13400.0,0.11,0.63,99.0,49.0,28502.24,9725.37,2597.88,5.86,146.54,1.1,27.43,0.23,1.73,0.13,1.23,0.12,8.1,0.99,0.42,0.0,0.0007,24080.0,0.54,0.01,99.0,46.0,12031.42,6953.09,2597.88,3.46,86.52,0.46,11.58,15.78,15.55,0.0,68.67,0.0,100.0,0.0,0.0,0.0,0.0,10.84,13.17,0.0,75.99,0.0,100.0,0.0,0.0,0.0,0.0,57.41,50.78,4.32,4.39,0.03,0.1,3.0,3.0,4.02,3.39,1.19,1.19,0.0,8.58,1.0,0.07,0.0,0.0008,1120.0,99.8,0.2,0.0,0.0,0.0,51.0,10441.51,3084.49,2597.88,6.77,169.26,8.04,200.97,,10885168.0,1222844.0,124628.0,26032888.0,9693250.0,140.0,612024.0,9921926.0,46858.0,2994516.0,3935876.0,0.0,9660.0,56742.0,2023-09-20,38.32,293.88,777.22
3,5096.9972289845,5095.9774043801,10.829,2023-09-20,21:17:51.748,0.55,2.93,0.19,1.18,0.21,25.7,0.99,0.55,0.0,0.0009,13880.0,0.11,0.62,99.0,49.0,28466.75,9731.65,2596.28,5.85,146.26,1.1,27.41,0.23,1.73,0.13,1.23,0.06,8.25,0.99,0.42,0.0,0.0007,24040.0,0.51,0.01,99.0,47.0,11999.16,6919.25,2596.28,3.47,86.71,0.46,11.55,15.82,15.92,0.01,68.25,0.0,100.0,0.0,0.0,0.0,0.0,10.81,13.64,0.0,75.55,0.0,100.0,0.0,0.0,0.0,0.0,57.45,50.81,4.34,4.39,0.03,0.1,3.0,3.0,4.02,3.39,1.19,1.19,0.0,8.58,1.0,0.07,0.0,0.0008,1080.0,99.79,0.21,0.0,0.0,0.0,52.0,10424.11,3077.71,2596.28,6.77,169.35,8.03,200.75,,10884538.0,1224510.0,143094.0,25983902.0,9691038.0,168.0,622006.0,9949506.0,46872.0,2879184.0,5663798.0,0.0,9674.0,57120.0,2023-09-20,19.73,269.73,639.52
4,5095.5287033587,5095.7733074953,8.441,2023-09-20,21:17:52.749,0.55,2.93,0.19,1.19,0.19,25.69,0.99,0.55,0.0,0.0009,14280.0,0.11,0.61,99.0,50.0,28533.14,9732.84,2599.12,5.86,146.58,1.1,27.45,0.23,1.73,0.13,1.23,0.06,8.18,0.99,0.42,0.0,0.0007,24240.0,0.5,0.01,99.0,47.0,12030.27,6939.81,2599.12,3.47,86.68,0.46,11.57,15.78,15.51,0.0,68.71,0.0,100.0,0.0,0.0,0.0,0.0,10.81,13.16,0.0,76.03,0.0,100.0,0.0,0.0,0.0,0.0,57.56,50.78,4.34,4.39,0.0,0.0,3.0,3.0,4.02,3.38,1.19,1.19,0.0,8.59,1.0,0.07,0.0,0.0008,1160.0,99.81,0.19,0.0,0.0,0.0,51.0,10448.69,3086.77,2599.12,6.77,169.25,8.04,201.01,,10887380.0,1225868.0,134372.0,26088510.0,9690086.0,140.0,621096.0,9925860.0,46858.0,2922416.0,4410952.0,0.0,9660.0,57120.0,2023-09-20,20.1,259.19,620.41
5,5096.7864993295,5096.7930781323,25.862,2023-09-20,21:17:53.749,0.55,2.91,0.19,1.18,0.21,25.61,0.99,0.55,0.0,0.0009,14440.0,0.11,0.61,99.0,49.0,28407.79,9757.67,2596.42,5.82,145.57,1.09,27.35,0.23,1.72,0.13,1.23,0.08,8.46,0.99,0.42,0.0,0.0007,24400.0,0.5,0.01,99.0,47.0,11933.9,6940.49,2596.42,3.44,85.97,0.46,11.49,15.87,16.04,0.0,68.08,0.0,100.0,0.0,0.0,0.0,0.0,10.9,14.55,0.0,74.55,0.0,100.0,0.0,0.0,0.0,0.0,57.45,50.91,4.34,4.38,0.33,0.33,3.0,3.0,4.02,3.39,1.19,1.19,0.0,8.57,1.0,0.07,0.0,0.0008,1280.0,99.8,0.2,0.0,0.0,0.0,50.0,10424.89,3077.29,2596.42,6.78,169.38,8.03,200.75,,10887800.0,1220744.0,131250.0,26204374.0,9693138.0,168.0,620690.0,9936570.0,46858.0,3320786.0,6440910.0,0.0,9660.0,57092.0,2023-09-20,20.08,252.66,607.02
6,5096.7883612112,5096.778436455,8.272,2023-09-20,21:17:54.749,0.51,2.7,0.19,1.18,0.34,33.05,0.99,0.5,0.0,0.0012,14800.0,0.15,0.81,99.0,49.0,26672.65,9876.32,2596.44,5.4,135.03,1.03,25.68,0.23,1.7,0.14,1.23,0.13,9.83,0.99,0.45,0.0,0.0008,23600.0,0.66,0.01,99.0,47.0,11914.98,7021.1,2596.44,3.39,84.85,0.46,11.47,16.06,15.87,0.0,68.06,0.0,100.0,0.0,0.0,0.0,0.0,10.98,13.45,0.01,75.56,0.0,100.0,0.0,0.0,0.0,0.0,57.06,50.96,4.43,4.42,0.13,0.1,3.0,3.0,3.82,3.22,1.18,1.19,0.0,10.85,1.0,0.08,0.0,0.0011,1160.0,99.72,0.28,0.0,0.0,0.0,51.0,9915.97,3075.96,2596.44,6.45,161.18,7.64,190.96,,10887730.0,1716862.0,129640.0,36195488.0,14005600.0,0.0,826574.0,9939048.0,67662.0,2863826.0,6269984.0,0.0,13944.0,82474.0,2023-09-20,19.86,254.51,609.62
7,5096.8009452556,5096.8168783894,11.094,2023-09-20,21:17:55.750,0.51,2.68,0.19,1.19,0.26,35.64,0.99,0.48,0.0,0.0014,14440.0,0.15,0.87,99.0,49.0,26318.9,9806.42,2599.92,5.37,134.19,1.01,25.31,0.23,1.71,0.13,1.23,0.07,9.94,0.99,0.42,0.0,0.0008,23760.0,0.72,0.01,99.0,47.0,11919.95,6989.88,2599.92,3.41,85.27,0.46,11.46,15.91,15.56,0.01,68.52,0.0,100.0,0.0,0.0,0.0,0.0,10.9,13.26,0.01,75.84,0.0,100.0,0.0,0.0,0.0,0.0,56.98,50.96,4.46,4.43,0.07,0.13,3.0,3.0,3.75,3.16,1.19,1.19,0.01,11.88,1.0,0.07,0.0,0.0012,1240.0,99.77,0.23,0.0,0.0,0.0,51.0,9746.38,3084.58,2599.92,6.32,157.99,7.5,187.44,,15681680.0,1652126.0,130662.0,36147132.0,14003962.0,0.0,867300.0,14341306.0,67760.0,2980796.0,5036360.0,0.0,13944.0,82432.0,2023-09-20,32.0,340.93,839.77
8,6299.7338184264,6471.3743626972,8.067,2023-09-20,21:17:56.750,0.51,2.69,0.19,1.19,0.24,35.61,0.99,0.48,0.0,0.0014,14640.0,0.14,0.86,99.0,49.0,26329.35,9783.57,2596.81,5.38,134.56,1.01,25.35,0.23,1.71,0.13,1.23,0.05,9.92,0.99,0.42,0.0,0.0008,23960.0,0.7,0.01,99.0,46.0,11899.63,6970.11,2596.81,3.41,85.36,0.46,11.46,15.89,15.52,0.0,68.59,0.0,100.0,0.0,0.0,0.0,0.0,10.88,13.24,0.01,75.87,0.0,100.0,0.0,0.0,0.0,0.0,56.94,50.93,4.44,4.41,0.03,0.1,3.0,3.0,3.74,3.15,1.19,1.19,0.0,11.9,1.0,0.07,0.0,0.0012,1400.0,99.78,0.22,0.0,0.0,0.0,51.0,9710.11,3081.67,2596.81,6.3,157.55,7.48,186.96,,15687322.0,1593984.0,155876.0,36009778.0,14010472.0,0.0,868406.0,14336252.0,67774.0,3085250.0,5799500.0,0.0,13902.0,82404.0,2023-09-20,26.92,362.01,858.86
9,7363.7766086002,7362.1823687446,8.678,2023-09-20,21:17:57.750,0.51,2.69,0.19,1.18,0.25,35.6,0.99,0.48,0.0,0.0014,15200.0,0.14,0.86,99.0,48.0,26319.71,9779.76,2596.85,5.38,134.56,1.01,25.34,0.23,1.71,0.13,1.23,0.05,9.99,0.99,0.42,0.0,0.0008,23760.0,0.69,0.01,99.0,45.0,11867.34,6950.44,2596.85,3.41,85.37,0.46,11.42,15.9,15.95,0.0,68.15,0.0,100.0,0.0,0.0,0.0,0.0,10.88,13.9,0.0,75.21,0.0,100.0,0.0,0.0,0.0,0.0,57.03,50.98,4.43,4.42,0.03,0.1,3.0,3.0,3.74,3.16,1.19,1.19,0.0,11.91,1.0,0.07,0.0,0.0012,1320.0,99.8,0.2,0.0,0.0,0.0,50.0,9719.17,3078.61,2596.85,6.31,157.85,7.49,187.14,,15791104.0,1654394.0,154798.0,35978600.0,14007756.0,0.0,858858.0,14349664.0,67718.0,2910432.0,6802586.0,0.0,13902.0,82376.0,2023-09-20,26.69,349.59,833.97
