TIME 2024-02-13 10:06:42
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.26        347k       880.0     14346.1       132.1
       1        0.26        348k      1320.0     15543.4        92.7
       2        0.54        358k         0.0         0.0         0.0
       3        0.42        533k       160.0     11651.4        85.5
       4        0.08         16k         0.0         0.0         0.0
       5        0.15         62k       160.0     11651.4        85.5
       6        0.09         16k         0.0         0.0         0.0
       7        0.08         17k         0.0         0.0         0.0
       8        0.08         17k       920.0     14346.2       132.1
       9        0.08         16k       160.0     13701.5       106.1
      10        1.40       4454k         0.0         0.0         0.0
      11        0.09         13k       240.0      7258.8        25.0
      12        0.08         14k       160.0      6213.3        57.0
      13        0.09         14k         0.0         0.0         0.0
      14        0.12         18k         0.0         0.0         0.0
      15        0.32         25k         0.0         0.0         0.0
      16        0.15         11k         0.0         0.0         0.0
      17        0.15         12k       240.0      8693.7        55.2
      18        0.12         18k       400.0     11895.4       149.7
      19        0.17         22k       440.0      9114.4        33.5
      20        0.22          7k       520.0      9923.9       122.5
      21        0.20          4k       280.0     11846.3        46.2
      22        0.86         48k       160.0     10698.0       125.9
      23        0.24         13k         0.0      5203.9        80.5
      24        0.20         15k       320.0     13702.9       106.1
      25        0.20         16k       160.0     10698.0       125.9
      26        0.38         27k         0.0         0.0         0.0
      27        0.16         14k       640.0      9569.3        26.8
      28        0.15         12k       320.0     10273.8        29.8
      29        0.15         12k         0.0         0.0         0.0
      30        0.16          3k      3400.0      5160.0        17.8
      31        0.17          9k       240.0      8693.7        55.2
      32        0.25         12k       520.0      7360.0        62.2
      33        0.16          5k       240.0      8693.7        55.2
      34        0.22          5k       120.0      5433.4        43.3
      35        0.22          5k       400.0     13895.3        21.7
      36        0.22          4k       600.0      3087.2         7.2
      37        0.18          3k       440.0      9114.4        33.5
      38        0.16          1k       400.0      9114.4        33.5
      39        0.16          0k       200.0      6214.5        57.0
TIME 2024-02-13 10:06:48
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.25        371k      1120.0     15630.5       132.1
       1        0.26        348k       920.0     17118.6        94.9
       2        0.44        381k       440.0     14452.2        69.9
       3        0.43        552k         0.0         0.0         0.0
       4        0.08         17k         0.0         0.0         0.0
       5        0.18         63k      1120.0     15630.5       132.1
       6        0.09         16k       920.0     17118.6        94.9
       7        0.09         17k       240.0     12486.3       125.4
       8        0.11         15k         0.0         0.0         0.0
       9        0.08         17k         0.0         0.0         0.0
      10        1.75       4078k       400.0      8992.1        58.2
      11        0.07         13k       360.0      8992.1        58.2
      12        0.08         14k         0.0         0.0         0.0
      13        0.08         13k       400.0      8992.1        58.2
      14        0.13         20k       400.0      9499.9        33.6
      15        0.15         22k       360.0      5037.5        17.1
      16        0.12         15k       640.0      6043.9        35.4
      17        0.58         16k         0.0         0.0         0.0
      18        0.12         18k       480.0     10445.0        52.7
      19        0.15         26k       320.0      8992.1        58.2
      20        0.22         11k         0.0         0.0         0.0
      21        0.55          6k       320.0     12291.8        91.9
      22        1.52         37k         0.0         0.0         0.0
      23        0.31         11k      1200.0     17121.1        94.9
      24        0.17         17k       840.0     15633.1       132.1
      25        0.16         17k       960.0     15633.1       132.1
      26        0.35         63k       520.0     13029.7       108.0
      27        0.15         16k       520.0     13029.7       108.0
      28        0.15         12k       200.0     12487.0       125.4
      29        0.15         11k       280.0      7898.8        15.9
      30        0.20          4k       360.0      9500.7        33.6
      31        0.19          7k       400.0      8718.2        31.8
      32        0.16          8k       640.0      6596.6        59.1
      33        0.15          5k       520.0     12166.8       149.7
      34        0.19          6k        40.0      1595.3         0.0
      35        0.18          5k      1000.0       979.5         0.7
      36        0.18          4k       320.0      1948.7         6.7
      37        0.23          3k       200.0      2594.1         2.7
      38        0.16          1k      3000.0      5328.4        19.7
      39        0.16          0k       320.0     14145.9        16.4
TIME 2024-02-13 10:06:43
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.24         12k      1160.0      1685.1         0.1
       1        0.23         11k       880.0      2075.7         3.0
       2        0.62         24k         0.0         0.0         0.0
       3        0.38         18k       440.0       876.6         8.0
       4        0.08          1k         0.0         0.0         0.0
       5        0.12          2k       400.0       876.6         8.0
       6        0.08          1k         0.0         0.0         0.0
       7        0.08          0k         0.0         0.0         0.0
       8        0.08          1k      1120.0      1685.0         0.1
       9        0.08          1k       520.0       799.7         1.6
      10        1.39        285k         0.0         0.0         0.0
      11        0.09          0k       360.0       338.8         0.0
      12        0.08          1k       280.0       529.5         2.4
      13        0.07          1k         0.0         0.0         0.0
      14        0.10          0k         0.0         0.0         0.0
      15        0.15          0k         0.0         0.0         0.0
      16        0.15          1k         0.0         0.0         0.0
      17        0.13          1k       200.0       365.2         2.9
      18        0.13          1k       240.0       348.9         0.0
      19        0.12          1k       880.0       523.6         0.0
      20        0.21          0k       280.0       817.9         0.9
      21        0.17          0k       200.0       913.5         6.1
      22        0.20          0k       360.0       677.3         2.8
      23        0.30          0k         0.0         0.0         0.0
      24        0.18          1k       640.0       801.8         1.6
      25        0.21          1k       360.0       677.3         2.8
      26        0.20          1k         0.0         0.0         0.0
      27        0.14          1k       480.0       666.2         0.5
      28        0.14          1k       640.0      1048.5         1.4
      29        0.15          1k         0.0         0.0         0.0
      30        0.15          0k       120.0       238.8         3.9
      31        0.17          1k       200.0       365.4         2.9
      32        0.14          1k       840.0       298.3         1.2
      33        0.15          1k       200.0       365.4         3.2
      34        0.22          1k         0.0         0.0         0.0
      35        0.22          1k       720.0       611.1         0.1
      36        0.23          1k       480.0       568.9         0.0
      37        0.17          1k       920.0       524.9         0.0
      38        0.16          1k       920.0       524.9         0.0
      39        0.16          1k       280.0       529.8         2.1
TIME 2024-02-13 10:06:51
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.26        349k         0.0         0.0         0.0
       1        0.26        354k       200.0     12721.2        95.4
       2        0.44        363k         0.0         0.0         0.0
       3        0.51        427k       320.0     12678.0       125.4
       4        0.09         16k       680.0     16422.1       132.3
       5        0.15         61k         0.0         0.0         0.0
       6        0.09         15k         0.0         0.0         0.0
       7        0.08         17k         0.0         0.0         0.0
       8        0.16         23k       960.0     14859.5        78.8
       9        0.09         16k         0.0         0.0         0.0
      10        1.38       3699k       280.0     12348.0       149.7
      11        0.08         13k       840.0     10710.0        52.7
      12        0.09         12k       240.0      6876.4        59.1
      13        0.08         15k         0.0         0.0         0.0
      14        0.16         24k       840.0     10710.4        52.7
      15        0.16         15k         0.0         0.0         0.0
      16        0.15         11k      1080.0      9773.9        33.6
      17        0.12         13k         0.0         0.0         0.0
      18        0.12         17k         0.0         0.0         0.0
      19        0.17         25k      1480.0      9774.5        33.6
      20        0.19          7k       600.0     14861.6        78.8
      21        0.25          4k       280.0     10323.0        27.4
      22        0.61         27k       360.0     10892.2       124.1
      23        0.25         13k       360.0     14706.9       107.9
      24        0.15         17k       800.0     11593.0        31.5
      25        0.17         20k       240.0     12953.6        55.1
      26        0.16         15k         0.0         0.0         0.0
      27        0.16         15k         0.0         0.0         0.0
      28        0.15         12k       680.0     18662.7        15.9
      29        0.15         12k         0.0         0.0         0.0
      30        0.16          8k       360.0      5225.9        17.3
      31        0.57          7k       400.0      6323.9        35.5
      32        0.16          7k       440.0      3894.4         6.6
      33        0.16          5k       960.0     10711.3        52.7
      34        0.18          5k       440.0      3894.4         6.6
      35        0.18          4k       320.0     12348.8       149.7
      36        0.18          4k         0.0         0.0         0.0
      37        0.22          3k       200.0      1690.1         2.1
      38        0.16          1k       400.0      9140.0        31.8
      39        0.16          0k       280.0      6877.8        59.1
TIME 2024-02-13 10:06:49
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.23         12k       920.0      1849.8         0.2
       1        0.23         11k       800.0      2253.5         3.9
       2        0.40         11k       400.0       877.6         9.4
       3        0.38         17k         0.0         0.0         0.0
       4        0.08          1k         0.0         0.0         0.0
