TIME 2024-02-08 12:30:54
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.01          3k       120.0         0.0         0.0
       1        1.05          3k        80.0         0.0         0.0
       2        0.99          3k        80.0         0.0         0.0
       3        1.03          6k       160.0         0.0         0.0
       4        2.50        502k      2320.0        29.5         0.9
       5        0.25          1k        80.0         0.1         0.0
       6        0.23          0k        80.0         0.0         0.0
       7        0.23          0k         0.0         0.0         0.0
       8        0.23          0k         0.0         0.0         0.0
       9        0.14          0k        80.0         0.0         0.0
      10        0.96         13k       640.0         0.7         0.5
      11        0.11          0k         0.0         0.0         0.0
      12        0.23          0k         0.0         0.0         0.0
      13        0.09          0k         0.0         0.0         0.0
      14        0.23          1k         0.0         0.0         0.0
      15        0.20          0k         0.0         0.0         0.0
      16        0.22          0k         0.0         0.0         0.0
      17        0.23          0k         0.0         0.0         0.0
      18        0.21          0k       120.0         0.0         0.0
      19        0.26          0k         0.0         0.0         0.0
      20        0.31          0k        80.0         0.0         0.0
      21        0.30          0k         0.0         0.0         0.0
      22        0.32          0k        40.0         0.0         0.0
      23        0.31          0k         0.0         0.0         0.0
      24        0.22          1k         0.0         0.0         0.1
      25        0.26          1k       120.0         0.0         0.0
      26        0.27          0k         0.0         0.0         0.0
      27        0.26          0k       120.0         0.0         0.0
      28        0.25          0k        80.0         0.0         0.0
      29        0.32          1k       120.0         0.0         0.0
      30        0.09          0k        80.0         0.0         0.0
      31        0.51          0k         0.0         0.0         0.0
      32        0.28          0k         0.0         0.0         0.0
      33        0.18          0k         0.0         0.0         0.0
      34        0.15          0k        40.0         0.0         0.0
      35        0.25          0k        40.0         0.0         0.0
      36        0.21          0k         0.0         0.0         0.0
      37        0.19          0k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.24          0k         0.0         0.0         0.0
TIME 2024-02-08 12:30:55
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        182k       120.0        16.8         0.1
       1        1.02        183k        80.0         0.1         0.0
       2        0.99        199k       120.0         0.2         0.0
       3        1.03        334k       160.0         0.6         0.0
       4        3.40      21777k      2000.0       348.4         5.3
       5        0.23          5k         0.0         0.2         0.0
       6        0.24          0k        80.0         0.0         0.0
       7        0.14          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.01          3k        80.0         0.0         0.0
      10        1.36         27k      1360.0         0.6         0.5
      11        0.09          0k         0.0         0.0         0.0
      12        0.17          0k        40.0         0.0         0.0
      13        0.24          2k         0.0         0.0         0.0
      14        0.23         18k         0.0         0.0         0.0
      15        0.45          2k        80.0         0.1         0.0
      16        0.27          1k         0.0         0.0         0.0
      17        0.47          3k         0.0         0.0         0.0
      18        0.12          0k       120.0         0.0         0.0
      19        0.10          0k         0.0         0.0         0.0
      20        0.33          0k        80.0         0.0         0.0
      21        0.19          2k        40.0         0.0         0.1
      22        0.35          2k        40.0         0.0         0.0
      23        0.34          0k         0.0         0.0         0.0
      24        0.28          0k         0.0         0.0         0.0
      25        0.66         16k       240.0         0.5         1.1
      26        0.21          0k         0.0         0.0         0.0
      27        0.31          1k       120.0         0.0         0.0
      28        0.21          0k        80.0         0.0         0.0
      29        0.38         36k       240.0         0.2         0.2
      30        0.02          2k        80.0         0.0         0.0
      31        0.31          1k        40.0         0.1         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.20          2k         0.0         0.0         0.0
      34        0.04         13k        40.0         0.0         0.0
      35        0.14          2k        40.0         0.0         0.0
      36        0.08          0k         0.0         0.0         0.0
      37        0.03          2k         0.0         0.0         0.0
      38        0.24          1k         0.0         0.0         0.0
      39        0.59          7k       480.0         0.3         0.2
TIME 2024-02-08 12:30:56
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        208k       200.0         7.7         0.0
       1        1.03        228k       120.0         0.3         0.1
       2        0.99        164k       280.0         0.3         0.0
       3        1.03        277k       160.0         0.5         0.0
       4        3.29      18868k      2040.0       669.8         3.0
       5        0.17          5k        80.0         0.6         0.0
       6        0.13          1k        80.0         0.0         0.0
       7        0.15          1k         0.0         0.0         0.0
       8        0.18          1k         0.0         0.0         0.0
       9        0.03          3k        80.0         0.0         0.0
      10        1.38         18k      1840.0         0.2         0.3
      11        0.16          0k         0.0         0.0         0.0
      12        0.19          0k        40.0         0.0         0.0
      13        0.36          0k         0.0         0.0         0.0
      14        0.23         17k        80.0         0.0         0.0
      15        0.49          2k        80.0         0.0         0.0
      16        0.25          0k         0.0         0.0         0.0
      17        0.45          3k        40.0         0.0         0.0
      18        0.15          0k        80.0         0.0         0.0
      19        1.72          8k       200.0         0.2         0.1
      20        0.33          0k        80.0         0.0         0.0
      21        0.24          2k         0.0         0.1         0.3
      22        0.35          2k        40.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.22          1k         0.0         0.0         0.0
      25        0.39         15k       240.0         0.2         0.0
      26        0.24          2k         0.0         0.0         0.0
      27        0.24          1k       120.0         0.0         0.0
      28        0.20          1k        80.0         0.0         0.0
      29        0.35         24k       200.0         0.3         0.0
      30        0.11          2k       160.0         0.1         0.0
      31        0.35          1k         0.0         0.0         0.0
      32        0.21          0k         0.0         0.0         0.0
      33        0.16          0k         0.0         0.0         0.0
      34        0.03         13k        40.0         0.0         0.0
      35        0.11          1k        40.0         0.0         0.0
      36        0.14          1k         0.0         0.0         0.0
      37        0.05          2k         0.0         0.0         0.0
      38        0.23          1k         0.0         0.0         0.0
      39        0.08          1k       400.0         0.0         0.0
TIME 2024-02-08 12:30:57
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        167k       160.0         3.7         0.0
       1        1.03        180k       160.0         0.0         0.1
       2        0.99        191k       280.0         0.2         0.0
       3        1.02        255k       280.0         0.4         0.1
       4        3.21      19941k      2080.0       247.8         1.3
       5        0.15          3k        40.0         0.2         0.0
       6        0.18          0k        80.0         0.0         0.0
       7        0.12          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.01          3k        80.0         0.0         0.0
      10        1.39         17k      2240.0         0.2         0.2
      11        0.12          0k         0.0         0.0         0.0
      12        0.13          0k         0.0         0.0         0.0
      13        0.35          0k         0.0         0.0         0.0
      14        0.24         18k       200.0         0.0         0.1
      15        0.47          1k        80.0         0.0         0.0
      16        0.25          0k         0.0         0.0         0.0
      17        0.44          5k       160.0         0.1         0.0
      18        0.12          0k        80.0         0.0         0.0
      19        1.05          9k       520.0         0.5         0.0
      20        0.32          0k        80.0         0.0         0.0
      21        0.19          0k        40.0         0.0         0.0
      22        0.35          2k        40.0         0.0         0.0
      23        0.33          0k         0.0         0.0         0.0
      24        0.24          0k         0.0         0.0         0.0
      25        0.54         17k       240.0         0.5         0.7
      26        0.18          0k         0.0         0.0         0.0
      27        0.31          1k       120.0         0.0         0.0
      28        0.21          0k        80.0         0.0         0.0
      29        0.36         28k       160.0         0.4         0.0
      30        0.79          5k       240.0         0.2         0.0
      31        0.28          1k        40.0         0.0         0.0
      32        0.27          1k         0.0         0.0         0.0
      33        1.17          6k       160.0         0.1         0.0
      34        0.33         16k       200.0         0.4         0.0
      35        0.10          1k        40.0         0.0         0.0
      36        0.23          0k         0.0         0.0         0.0
      37        0.02          3k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.13          0k       360.0         0.0         0.0
TIME 2024-02-08 12:30:58
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        198k       120.0         1.6         0.0
       1        1.02        208k       120.0         0.2         0.1
       2        0.99        175k        80.0         0.2         0.0
       3        1.02        284k       160.0         1.3         0.0
       4        3.37      19947k      1960.0       614.6         9.4
       5        0.18          4k        40.0         0.2         0.0
       6        0.15          0k        80.0         0.0         0.0
       7        0.14          0k         0.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.02          2k        80.0         0.0         0.0
      10        1.38         16k      2520.0         0.2         0.4
      11        0.13          0k         0.0         0.0         0.0
      12        0.16          0k        40.0         0.0         0.0
      13        0.39          0k         0.0         0.0         0.0
      14        0.23         17k       200.0         0.0         0.0
      15        0.43          1k        80.0         0.0         0.0
      16        0.27          0k         0.0         0.0         0.0
      17        0.48          3k       120.0         0.0         0.0
      18        0.12          0k        40.0         0.0         0.0
      19        0.21          0k       480.0         0.0         0.0
      20        0.32          0k        80.0         0.0         0.0
      21        0.18          1k        80.0         0.0         0.0
      22        0.34          2k        40.0         0.0         0.0
      23        0.37          0k         0.0         0.0         0.0
      24        0.22          0k         0.0         0.0         0.0
      25        0.42         15k       240.0         0.2         0.0
      26        0.27          1k         0.0         0.0         0.0
      27        0.23          1k       120.0         0.0         0.0
      28        0.20          0k        80.0         0.0         0.0
      29        0.35         22k       160.0         0.0         0.0
      30        0.09          2k       240.0         0.0         0.0
      31        0.44          0k        40.0         0.0         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.19          0k       160.0         0.0         0.0
      34        0.03         13k       200.0         0.0         0.0
      35        0.12          1k        40.0         0.0         0.0
      36        0.15          0k         0.0         0.0         0.0
      37        0.02          2k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.15          0k       320.0         0.0         0.0
TIME 2024-02-08 12:30:59
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        196k       120.0         4.5         0.0
       1        1.02        209k       120.0         0.2         0.0
       2        0.99        170k        80.0         0.2         0.0
       3        1.02        301k       200.0         0.1         0.0
       4        3.17      17603k      2000.0       356.9         0.3
       5        0.25          2k        40.0         0.4         0.0
       6        0.17          0k        80.0         0.0         0.0
       7        0.13          0k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.07          1k        80.0         0.0         0.0
      10        1.50          4k      2680.0         0.2         0.2
      11        0.18          0k         0.0         0.0         0.0
      12        0.20          0k        40.0         0.0         0.0
      13        0.39          0k         0.0         0.0         0.0
      14        0.23         16k       200.0         0.0         0.0
      15        0.13          0k        80.0         0.0         0.0
      16        0.27          0k         0.0         0.0         0.0
      17        0.29          1k       120.0         0.0         0.0
      18        0.12          0k        40.0         0.0         0.0
      19        0.17          0k       480.0         0.0         0.0
      20        0.32          0k        80.0         0.0         0.0
      21        0.19          0k        80.0         0.0         0.0
      22        0.24          0k        40.0         0.0         0.0
      23        0.33          0k         0.0         0.0         0.0
      24        0.25          0k         0.0         0.0         0.0
      25        0.09          1k       200.0         0.0         0.0
      26        0.21          0k         0.0         0.0         0.0
      27        0.30          2k       120.0         0.0         0.0
      28        0.19          0k        80.0         0.0         0.0
      29        0.36          7k       160.0         0.0         0.0
      30        0.03          1k       240.0         0.0         0.0
      31        0.19          0k        40.0         0.0         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.13          0k       160.0         0.0         0.0
      34        0.03         13k       200.0         0.0         0.0
      35        0.25          0k        40.0         0.0         0.0
      36        0.16          0k         0.0         0.0         0.0
      37        0.04          1k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.18          0k       320.0         0.0         0.0
TIME 2024-02-08 12:31:00
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        183k       160.0        10.5         0.0
       1        1.03        175k       160.0         0.0         0.0
       2        0.99        201k       200.0         0.3         0.0
       3        1.02        323k       200.0         0.1         0.0
       4        3.32      21624k      2080.0       260.5         4.6
       5        0.26          4k        40.0         0.6         0.0
       6        0.14          1k        80.0         0.0         0.0
       7        0.16          1k         0.0         0.0         0.0
       8        0.19          1k         0.0         0.0         0.0
       9        0.03          2k        80.0         0.0         0.0
      10        1.43         10k      2240.0         0.6         0.4
      11        0.16          0k         0.0         0.0         0.0
      12        0.18          0k         0.0         0.0         0.0
      13        0.37          0k         0.0         0.0         0.0
      14        0.22         16k       200.0         0.0         0.0
      15        0.67         11k      2000.0         2.0         0.7
      16        0.23          0k         0.0         0.0         0.0
      17        0.47          8k       600.0         0.5         0.0
      18        0.15          0k        40.0         0.0         0.0
      19        0.18          0k       360.0         0.1         0.0
      20        0.35          0k        80.0         0.0         0.0
      21        0.25          4k        80.0         0.1         0.2
      22        0.32          1k        40.0         0.0         0.0
      23        0.36          0k         0.0         0.0         0.0
      24        0.24          0k         0.0         0.0         0.0
      25        0.76          5k       360.0         0.4         0.7
      26        0.24          1k         0.0         0.0         0.0
      27        0.25          1k       120.0         0.0         0.0
      28        0.19          1k        80.0         0.0         0.0
      29        0.38         25k       160.0         0.4         0.2
      30        0.13          1k       240.0         0.1         0.0
      31        0.23          0k         0.0         0.0         0.0
      32        0.21          0k         0.0         0.0         0.0
      33        0.20          0k       160.0         0.0         0.0
      34        0.02         13k       160.0         0.0         0.0
      35        0.17          1k         0.0         0.0         0.0
      36        0.17          0k         0.0         0.0         0.0
      37        0.03          4k         0.0         0.0         0.0
      38        0.24          0k         0.0         0.0         0.0
      39        0.20          0k       120.0         0.1         0.0
TIME 2024-02-08 12:31:01
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00        231k       240.0         9.8         0.0
       1        1.03        226k       160.0         0.1         0.0
       2        0.99        166k       160.0         0.0         0.0
       3        1.02        292k       200.0         0.1         0.0
       4        3.31      19039k      1880.0       608.6         3.1
       5        0.12          4k        40.0         0.4         0.0
       6        0.17          0k        80.0         0.0         0.0
       7        0.13          0k         0.0         0.0         0.0
       8        0.16          0k         0.0         0.0         0.0
       9        0.02          3k        80.0         0.0         0.0
      10        1.39         16k      1840.0         0.3         0.4
      11        0.16          0k         0.0         0.0         0.0
      12        0.18          0k        40.0         0.0         0.0
      13        0.41          0k         0.0         0.0         0.0
      14        0.23         17k       200.0         0.0         0.0
      15        0.47          1k      1880.0         0.0         0.0
      16        0.30          0k         0.0         0.0         0.0
      17        0.44          3k       600.0         0.0         0.0
      18        0.13          0k        40.0         0.0         0.0
      19        0.18          0k       320.0         0.0         0.0
      20        0.34          0k        80.0         0.0         0.0
      21        0.20          0k        80.0         0.0         0.0
      22        0.34          2k        40.0         0.0         0.0
      23        0.36          0k         0.0         0.0         0.0
      24        0.23          0k         0.0         0.0         0.0
      25        0.42         20k       360.0         0.2         0.0
      26        0.21          0k         0.0         0.0         0.0
      27        0.33          1k       120.0         0.0         0.0
      28        0.18          0k        80.0         0.0         0.0
      29        0.31         22k       200.0         0.5         0.0
      30        0.02          1k       200.0         0.0         0.0
      31        0.18          0k         0.0         0.0         0.0
      32        0.20          0k         0.0         0.0         0.0
      33        0.14          0k       160.0         0.0         0.0
      34        0.03         13k       120.0         0.0         0.0
      35        0.07          1k         0.0         0.0         0.0
      36        0.17          0k         0.0         0.0         0.0
      37        0.02          2k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.18          0k       120.0         0.0         0.0
TIME 2024-02-08 12:31:02
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        176k       240.0         5.4         0.0
       1        1.02        185k       160.0         0.0         0.0
       2        0.99        188k       200.0         0.3         0.0
       3        1.02        234k       160.0         0.1         0.0
       4        3.15      19025k      2200.0       260.0         1.4
       5        0.18          4k        40.0         0.6         0.0
       6        0.12          0k        80.0         0.0         0.0
       7        0.12          0k         0.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.01          3k        80.0         0.0         0.0
      10        1.39         15k      2280.0         0.3         0.2
      11        0.14          0k         0.0         0.0         0.0
      12        0.18          0k        40.0         0.0         0.0
      13        0.42          0k         0.0         0.0         0.0
      14        0.22         17k       200.0         0.0         0.0
      15        0.53          1k      1800.0         0.0         0.0
      16        0.26          0k         0.0         0.0         0.0
      17        0.55          5k      1000.0         0.2         0.5
      18        0.12          0k        40.0         0.0         0.0
      19        0.16          0k       280.0         0.0         0.0
      20        0.27          0k        80.0         0.0         0.0
      21        0.20          0k       120.0         0.0         0.0
      22        0.34          2k        40.0         0.0         0.0
      23        0.34          0k         0.0         0.0         0.0
      24        0.26          0k         0.0         0.0         0.0
      25        0.49         12k       360.0         0.4         0.2
      26        0.24          1k         0.0         0.0         0.0
      27        0.25          1k       120.0         0.0         0.0
