System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-22,23:17:55.652,0.37,1.71,0.21,1.17,0.69,144.87,1.00,0.32,0.0000,0.0076, 16280,0.04,0.03,67,43,19108.00,11146.64,2598.94,3.43,85.71,0.74,18.38,0.17,1.09,0.16,1.20,0.58,61.51,0.99,0.50,0.0001,0.0069, 20640,0.03,0.02,72,44,8942.00,8206.53,2598.94,2.18,54.48,0.34,8.60,18.37,18.98,0.07,62.57,0.00,100.00,0.00,0.00,0.00,0.00,13.16,17.17,0.23,69.45,0.00,100.00,0.00,0.00,0.00,0.00,58.81,52.92,4.19 ,4.27 ,483407.23 ,484943.46 ,3.00,3.00,2.43,2.07,1.17,1.18,0.01,42.42,1.00,0.10,0.0000,0.0067,   560,99.66,0.34,0.00,0.00,0.00,45,6321.74,3051.29,2598.94,4.14,103.59,4.86,121.61,
2024-02-22,23:17:56.652,0.32,1.73,0.19,1.19,0.08,179.64,1.00,0.31,0.0000,0.0108, 16240,0.02,0.01,76,43,16703.03,9631.33,2597.55,3.47,86.71,0.64,16.08,0.18,1.37,0.13,1.24,0.05,72.37,1.00,0.41,0.0000,0.0077, 20680,0.01,0.01,66,43,9429.91,6886.13,2597.55,2.74,68.47,0.36,9.08,15.62,15.50,0.00,68.88,0.00,100.00,0.00,0.00,0.00,0.00,10.73,13.29,0.00,75.98,0.00,100.00,0.00,0.00,0.00,0.00,57.48,51.81,4.11 ,4.19 ,0.33 ,0.00 ,3.00,3.00,2.09,1.76,1.19,1.19,0.00,53.79,1.00,0.10,0.0000,0.0099,   560,99.80,0.20,0.00,0.00,0.00,45,5426.71,3084.54,2597.55,3.52,87.97,4.18,104.46,
2024-02-22,23:17:57.653,0.32,1.73,0.18,1.19,0.06,180.44,1.00,0.31,0.0000,0.0108, 16560,0.02,0.01,73,43,16668.15,9610.42,2599.34,3.47,86.72,0.64,16.03,0.18,1.38,0.13,1.24,0.04,72.55,1.00,0.41,0.0000,0.0076, 20880,0.01,0.01,55,43,9493.69,6875.13,2599.34,2.76,69.04,0.37,9.13,15.57,15.46,0.00,68.98,0.00,100.00,0.00,0.00,0.00,0.00,10.69,13.12,0.00,76.19,0.00,100.00,0.00,0.00,0.00,0.00,57.54,51.79,4.11 ,4.16 ,0.33 ,0.00 ,3.00,3.00,2.09,1.76,1.19,1.19,0.00,53.93,1.00,0.10,0.0000,0.0099,   480,99.81,0.19,0.00,0.00,0.00,44,5444.35,3087.83,2599.34,3.53,88.16,4.19,104.73,
2024-02-22,23:17:58.653,0.32,1.73,0.18,1.19,0.07,180.53,1.00,0.30,0.0000,0.0109, 16680,0.02,0.01,73,43,16631.48,9596.12,2596.65,3.47,86.66,0.64,16.01,0.18,1.38,0.13,1.24,0.04,72.76,1.00,0.41,0.0000,0.0076, 20760,0.01,0.01,58,43,9515.47,6877.42,2596.65,2.77,69.18,0.37,9.16,15.59,16.03,0.01,68.37,0.00,100.00,0.00,0.00,0.00,0.00,10.71,13.29,0.00,75.99,0.00,100.00,0.00,0.00,0.00,0.00,57.47,51.87,4.12 ,4.16 ,0.33 ,0.00 ,3.00,3.00,2.09,1.77,1.19,1.19,0.01,53.86,1.00,0.10,0.0000,0.0099,   720,99.79,0.21,0.00,0.00,0.00,44,5438.38,3078.61,2596.65,3.53,88.33,4.19,104.72,
2024-02-22,23:17:59.652,0.32,1.72,0.19,1.19,0.05,180.66,1.00,0.31,0.0000,0.0109, 16840,0.02,0.01,67,43,16627.15,9668.32,2596.68,3.44,85.99,0.64,16.01,0.18,1.37,0.13,1.23,0.04,72.67,1.00,0.41,0.0000,0.0076, 20640,0.01,0.00,66,43,9524.74,6946.75,2596.68,2.74,68.56,0.37,9.17,15.69,15.44,0.00,68.87,0.00,100.00,0.00,0.00,0.00,0.00,10.84,13.29,0.00,75.88,0.00,100.00,0.00,0.00,0.00,0.00,57.55,51.93,4.10 ,4.14 ,0.33 ,0.00 ,3.00,3.00,2.10,1.76,1.19,1.19,0.00,53.83,1.00,0.10,0.0000,0.0099,   880,99.83,0.17,0.00,0.00,0.00,45,5442.55,3085.12,2596.68,3.53,88.21,4.19,104.80,
2024-02-22,23:18:00.652,0.32,1.75,0.18,1.18,0.06,179.01,1.00,0.31,0.0000,0.0107, 16280,0.02,0.01,53,44,16722.16,9577.04,2596.56,3.49,87.30,0.64,16.10,0.18,1.38,0.13,1.23,0.08,72.30,1.00,0.41,0.0000,0.0077, 21440,0.01,0.01,80,42,9412.29,6815.66,2596.56,2.76,69.05,0.36,9.06,15.58,16.62,0.00,67.80,0.00,100.00,0.00,0.00,0.00,0.00,10.70,14.90,0.00,74.40,0.00,100.00,0.00,0.00,0.00,0.00,57.45,51.94,4.12 ,4.16 ,0.33 ,0.00 ,3.00,3.00,2.10,1.77,1.18,1.19,0.00,53.47,1.00,0.10,0.0000,0.0098,   880,99.78,0.22,0.00,0.00,0.00,45,5448.27,3072.81,2596.56,3.55,88.65,4.20,104.91,
2024-02-22,23:18:01.653,0.32,1.72,0.19,1.19,0.06,181.22,1.00,0.30,0.0000,0.0109, 16600,0.02,0.01,66,43,16621.57,9652.96,2599.35,3.44,86.10,0.64,15.99,0.18,1.38,0.13,1.24,0.05,73.00,1.00,0.41,0.0000,0.0077, 21160,0.01,0.01,66,42,9538.87,6924.83,2599.35,2.75,68.87,0.37,9.17,15.64,15.51,0.00,68.85,0.00,100.00,0.00,0.00,0.00,0.00,10.78,13.22,0.00,75.99,0.00,100.00,0.00,0.00,0.00,0.00,57.58,51.92,4.12 ,4.16 ,0.33 ,0.00 ,3.00,3.00,2.10,1.76,1.19,1.19,0.01,53.96,1.00,0.10,0.0000,0.0099,  1040,99.83,0.17,0.00,0.00,0.00,44,5449.43,3088.43,2599.35,3.53,88.22,4.19,104.82,
2024-02-22,23:18:02.653,0.32,1.73,0.18,1.19,0.06,181.37,1.00,0.30,0.0000,0.0109, 16560,0.02,0.01,65,43,16600.77,9607.07,2596.63,3.46,86.40,0.64,15.98,0.18,1.39,0.13,1.24,0.04,72.99,1.00,0.41,0.0000,0.0076, 21680,0.01,0.00,61,43,9573.22,6871.62,2596.63,2.79,69.66,0.37,9.22,15.58,15.53,0.00,68.89,0.00,100.00,0.00,0.00,0.00,0.00,10.70,13.17,0.00,76.13,0.00,100.00,0.00,0.00,0.00,0.00,57.54,51.91,4.10 ,4.13 ,0.33 ,0.00 ,3.00,3.00,2.10,1.77,1.19,1.19,0.00,53.94,1.00,0.10,0.0000,0.0099,  1040,99.81,0.19,0.00,0.00,0.00,45,5447.73,3084.43,2596.63,3.53,88.31,4.20,104.90,
2024-02-22,23:18:03.653,0.32,1.73,0.18,1.19,0.05,181.49,1.00,0.30,0.0000,0.0109, 16840,0.02,0.01,63,43,16593.72,9598.02,2596.66,3.46,86.44,0.64,15.98,0.18,1.39,0.13,1.24,0.05,73.19,1.00,0.41,0.0000,0.0076, 20880,0.01,0.01,71,43,9572.46,6876.38,2596.66,2.78,69.60,0.37,9.22,15.56,15.56,0.00,68.88,0.00,100.00,0.00,0.00,0.00,0.00,10.71,13.23,0.00,76.05,0.00,100.00,0.00,0.00,0.00,0.00,57.55,51.94,4.11 ,4.14 ,0.33 ,0.00 ,3.00,3.00,2.10,1.77,1.19,1.19,0.00,53.93,1.00,0.10,0.0000,0.0099,   840,99.81,0.19,0.00,0.00,0.00,45,5448.63,3084.58,2596.66,3.53,88.32,4.20,104.92,
