,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-22,23:17:55.927,    8.79,    5.74,   38.12,   21.63,,,,,   46.91,   27.37,    105700,   74.28,   12.23,    8.35,   15.12,   11.67,,,,,   27.35,   20.02,     52466,   47.37,     74.26,     47.40,    121.65
2024-02-22,23:17:56.926,    2.71,    1.14,   17.00,    8.77,,,,,   19.71,    9.92,    104829,   29.63,    2.60,    1.18,    5.80,    4.49,,,,,    8.40,    5.66,     52409,   14.06,     28.11,     15.58,     43.69
2024-02-22,23:17:57.926,    2.34,    0.84,   15.64,    7.81,,,,,   17.98,    8.65,    104812,   26.63,    2.40,    0.85,    5.60,    4.18,,,,,    8.00,    5.04,     52401,   13.03,     25.98,     13.68,     39.66
2024-02-22,23:17:58.927,    2.42,    0.76,   15.78,    7.89,,,,,   18.20,    8.65,    104911,   26.85,    2.16,    0.98,    5.38,    4.30,,,,,    7.54,    5.28,     52455,   12.83,     25.74,     13.93,     39.67
2024-02-22,23:17:59.926,    2.28,    0.53,   15.46,    7.42,,,,,   17.74,    7.94,    104808,   25.68,    1.69,    0.73,    4.91,    4.05,,,,,    6.60,    4.77,     52401,   11.37,     24.34,     12.72,     37.06
2024-02-22,23:18:00.927,    3.21,    0.72,   17.95,    8.61,,,,,   21.16,    9.33,    104913,   30.49,    3.72,    1.99,    6.91,    5.28,,,,,   10.64,    7.27,     52454,   17.91,     31.80,     16.60,     48.40
2024-02-22,23:18:01.926,    2.16,    0.54,   14.76,    7.17,,,,,   16.91,    7.71,    104915,   24.62,    2.06,    0.77,    5.25,    4.08,,,,,    7.31,    4.84,     52453,   12.15,     24.22,     12.55,     36.77
2024-02-22,23:18:02.926,    2.42,    0.50,   15.45,    7.45,,,,,   17.87,    7.95,    104816,   25.82,    1.96,    0.86,    5.16,    4.18,,,,,    7.12,    5.04,     52401,   12.16,     24.99,     12.99,     37.98
2024-02-22,23:18:03.927,    2.78,    0.63,   16.63,    8.01,,,,,   19.41,    8.63,    104917,   28.04,    2.42,    1.21,    5.62,    4.56,,,,,    8.04,    5.77,     52454,   13.82,     27.45,     14.41,     41.86
2024-02-22,23:18:04.926,    2.72,    0.78,   16.79,    8.30,,,,,   19.51,    9.08,    104825,   28.59,    2.64,    1.00,    5.83,    4.32,,,,,    8.46,    5.32,     52404,   13.78,     27.98,     14.40,     42.38
2024-02-22,23:18:05.927,   26.38,   15.09,  107.62,   56.83,,,,,  134.00,   71.92,    105082,  205.92,   21.77,    8.49,   24.75,   11.79,,,,,   46.52,   20.29,     52480,   66.81,    180.52,     92.20,    272.72
2024-02-22,23:18:06.927,    4.41,    2.53,   22.79,   12.56,,,,,   27.19,   15.09,    104828,   42.28,    8.08,    4.26,   11.29,    7.58,,,,,   19.37,   11.84,     52413,   31.21,     46.57,     26.92,     73.49
2024-02-22,23:18:07.926,    2.15,    0.53,   14.79,    7.19,,,,,   16.94,    7.73,    104813,   24.67,    1.89,    0.87,    5.10,    4.19,,,,,    7.00,    5.06,     52405,   12.06,     23.94,     12.79,     36.72
2024-02-22,23:18:08.926,    2.53,    0.62,   16.20,    7.87,,,,,   18.73,    8.49,    104914,   27.22,    2.31,    0.81,    5.52,    4.15,,,,,    7.83,    4.96,     52455,   12.79,     26.56,     13.45,     40.01
2024-02-22,23:18:09.927,    2.18,    0.51,   14.90,    7.20,,,,,   17.08,    7.71,    104923,   24.79,    6.50,    0.75,    9.55,    4.07,,,,,   16.05,    4.82,     52453,   20.87,     33.13,     12.53,     45.66
2024-02-22,23:18:10.926,    2.51,    0.54,   15.41,    7.26,,,,,   17.92,    7.80,    104813,   25.73,   57.91,    1.28,   50.85,    4.60,,,,,  108.76,    5.88,     52406,  114.64,    126.69,     13.68,    140.37
