SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
    5.01,    1.67,   24.96,   12.68,   29.97,   14.35,    105019,   44.32,    7.66,    6.56,   10.83,    9.94,   18.50,   16.50,     52466,   35.00,     48.47,     30.85,     79.32
    3.74,    1.23,   20.41,   10.33,   24.16,   11.57,    104932,   35.72,    4.67,    2.73,    7.88,    6.04,   12.55,    8.77,     52463,   21.32,     36.71,     20.34,     57.04
    3.08,    0.81,   17.82,    8.74,   20.90,    9.56,    104816,   30.45,    3.77,    2.08,    6.96,    5.39,   10.73,    7.46,     52406,   18.19,     31.63,     17.02,     48.65
    3.44,    0.78,   19.43,    9.30,   22.88,   10.08,    104938,   32.95,    4.18,    2.12,    7.40,    5.48,   11.57,    7.60,     52455,   19.17,     34.45,     17.68,     52.13
    2.73,    0.68,   16.59,    8.12,   19.33,    8.81,    104824,   28.13,    3.46,    1.71,    6.65,    5.04,   10.11,    6.76,     52404,   16.87,     29.44,     15.56,     45.00
    3.61,    1.02,   20.00,    9.88,   23.61,   10.89,    104935,   34.51,    4.54,    2.04,    7.76,    5.39,   12.29,    7.43,     52459,   19.72,     35.91,     18.32,     54.23
    2.97,    0.90,   17.51,    8.72,   20.48,    9.61,    104816,   30.09,    3.84,    1.84,    7.01,    5.15,   10.84,    6.98,     52407,   17.82,     31.32,     16.59,     47.91
   16.32,    6.34,   59.86,   30.54,   76.18,   36.88,    105005,  113.06,   33.40,   19.57,   35.38,   22.79,   68.78,   42.36,     52491,  111.14,    144.96,     79.24,    224.20
    4.71,    2.03,   23.41,   12.27,   28.12,   14.31,    104834,   42.42,    8.33,    4.76,   11.52,    8.11,   19.85,   12.87,     52421,   32.71,     47.96,     27.17,     75.13
    3.66,    1.43,   20.26,   10.45,   23.92,   11.88,    104920,   35.80,    4.13,    1.92,    7.31,    5.22,   11.44,    7.15,     52456,   18.59,     35.36,     19.03,     54.39
    3.39,    1.29,   19.02,    9.74,   22.41,   11.03,    104821,   33.45,    3.96,    1.71,    7.14,    5.04,   11.09,    6.75,     52403,   17.85,     33.51,     17.79,     51.29
    3.24,    1.05,   18.32,    9.27,   21.57,   10.32,    104928,   31.89,    4.53,    2.00,    7.77,    5.35,   12.30,    7.35,     52461,   19.65,     33.87,     17.67,     51.54
    3.14,    0.93,   18.39,    9.10,   21.52,   10.03,    104817,   31.55,    2.97,    1.40,    6.17,    4.73,    9.15,    6.13,     52404,   15.27,     30.67,     16.16,     46.82
    3.35,    1.07,   19.22,    9.68,   22.57,   10.75,    104917,   33.32,    3.08,    1.20,    6.29,    4.53,    9.37,    5.72,     52456,   15.09,     31.94,     16.47,     48.41
    8.85,   40.37,   38.64,   57.17,   47.49,   97.55,    104836,  145.04,   30.21,    1.36,   33.28,    4.66,   63.49,    6.01,     52529,   69.50,    110.98,    103.56,    214.54
   59.96,  519.73,  218.19,  616.56,  278.15, 1136.29,    105063, 1414.44,  368.40,    1.62,  371.72,    4.97,  740.12,    6.59,     53924,  746.71,   1018.26,   1142.88,   2161.14
   58.13,  519.61,  211.83,  614.25,  269.96, 1133.86,    104957, 1403.82,  397.09,    1.71,  401.06,    5.04,  798.15,    6.74,     54115,  804.89,   1068.11,   1140.60,   2208.71
   72.77,  526.27,  262.27,  637.99,  335.04, 1164.27,    105206, 1499.31,  503.81,   20.62,  505.91,   23.96, 1009.72,   44.57,     54714, 1054.29,   1344.76,   1208.84,   2553.60
   92.00,  576.58,  338.59,  716.96,  430.59, 1293.53,    105119, 1724.12,  500.56,    3.63,  502.07,    6.96, 1002.63,   10.59,     54657, 1013.22,   1433.22,   1304.12,   2737.34
  107.97,  613.89,  395.41,  775.22,  503.38, 1389.11,    105236, 1892.49,  482.34,    2.10,  483.32,    5.42,  965.66,    7.51,     54599,  973.17,   1469.04,   1396.62,   2865.66
  107.59,  613.62,  394.95,  774.89,  502.54, 1388.51,    105280, 1891.05,  473.63,    1.71,  474.42,    5.05,  948.06,    6.76,     54455,  954.81,   1450.60,   1395.27,   2845.87
  107.77,  614.05,  395.31,  775.12,  503.08, 1389.17,    105221, 1892.25,  467.37,    2.03,  468.86,    5.38,  936.23,    7.41,     54441,  943.63,   1439.31,   1396.57,   2835.88
  106.96,  612.60,  392.93,  773.27,  499.89, 1385.87,    105240, 1885.76,  470.51,    2.18,  470.61,    5.50,  941.12,    7.68,     54516,  948.80,   1441.01,   1393.55,   2834.56
  108.32,  611.82,  396.85,  773.34,  505.17, 1385.16,    105222, 1890.33,  473.33,    2.93,  474.59,    6.24,  947.92,    9.17,     54510,  957.09,   1453.10,   1394.32,   2847.42
  107.79,  612.16,  394.54,  772.89,  502.32, 1385.05,    105228, 1887.37,  473.71,    1.54,  475.97,    4.86,  949.68,    6.40,     54500,  956.08,   1452.01,   1391.44,   2843.45
  107.75,  613.35,  394.27,  774.10,  502.02, 1387.45,    105234, 1889.47,  468.36,    1.93,  469.76,    5.27,  938.12,    7.20,     54298,  945.32,   1440.14,   1394.66,   2834.79
  107.52,  610.85,  393.77,  771.64,  501.30, 1382.49,    105147, 1883.78,  463.13,    1.53,  463.89,    4.86,  927.02,    6.39,     54190,  933.41,   1428.31,   1388.88,   2817.19
  116.00,  597.49,  422.48,  765.81,  538.48, 1363.30,    105379, 1901.78,  511.42,   19.87,  511.68,   23.12, 1023.10,   42.99,     54733, 1066.09,   1561.58,   1406.29,   2967.87
   91.45,  565.76,  335.52,  704.90,  426.98, 1270.66,    105147, 1697.64,  509.74,    3.92,  512.66,    7.24, 1022.40,   11.16,     54784, 1033.56,   1449.38,   1281.82,   2731.20
   58.27,  517.81,  211.99,  612.65,  270.26, 1130.46,    104961, 1400.73,  484.22,    2.21,  486.66,    5.56,  970.88,    7.77,     54616,  978.65,   1241.14,   1138.23,   2379.37
   55.22,  527.30,  199.36,  617.59,  254.59, 1144.89,    105098, 1399.48,  473.67,    1.57,  476.92,    4.90,  950.59,    6.47,     54591,  957.06,   1205.18,   1151.36,   2356.54
