Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15352876,12102286,230678,132810468,2433928,168,632688(Total)
0,364,672,104300,49574,14,448,630616(Miss)
0,15352512,12101614,126378,132760894,2433914,0,2072(Hit)
1,15210692,687120,3595970,60890508,0,0,215852(Total)
1,0,0,129724,300734,0,0,205310(Miss)
1,15210692,687120,3466246,60589774,0,0,10542(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15275890,12197402,229502,133788606,2466016,196,620620(Total)
0,14,826,37002,35742,28,616,637014(Miss)
0,15275876,12196576,192500,133752864,2465988,0,0(Hit)
1,15162140,691040,3249246,61594498,0,0,205604(Total)
1,0,0,112812,42154,0,0,217252(Miss)
1,15162140,691040,3136434,61552344,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15228794,12020792,467362,132054804,2345042,182,628068(Total)
0,42,266,17584,36540,14,168,644910(Miss)
0,15228752,12020526,449778,132018264,2345028,14,0(Hit)
1,14502110,650986,3291316,60406374,0,0,215362(Total)
1,0,0,56504,34524,0,0,214032(Miss)
1,14502110,650986,3234812,60371850,0,0,1330(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,14979720,11884306,193060,132687058,2388302,168,627690(Total)
0,0,56,53984,161742,14,140,640136(Miss)
0,14979720,11884250,139076,132525316,2388288,28,0(Hit)
1,14908558,675038,3544520,60403490,0,0,217294(Total)
1,0,0,73416,23758,0,0,209286(Miss)
1,14908558,675038,3471104,60379732,0,0,8008(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15245440,11712596,407624,132771450,2425682,364,625324(Total)
0,0,168,24822,33628,14,196,633906(Miss)
0,15245440,11712428,382802,132737822,2425668,168,0(Hit)
1,14858578,661122,3524962,60567696,0,0,215040(Total)
1,0,0,61628,18382,0,0,206612(Miss)
1,14858578,661122,3463334,60549314,0,0,8428(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15188292,11554970,575092,127944740,2353736,252,623476(Total)
0,98,0,71834,218246,14,168,649474(Miss)
0,15188194,11554970,503258,127726494,2353722,84,0(Hit)
1,14736876,635838,4483206,57990800,0,0,202272(Total)
1,0,0,36176,23240,0,0,224952(Miss)
1,14736876,635838,4447030,57967560,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15253420,11611698,1372742,131778052,2347128,140,628292(Total)
0,14,0,4704,36946,14,0,641410(Miss)
0,15253406,11611698,1368038,131741106,2347114,140,0(Hit)
1,14617526,646072,4152176,60202156,0,0,215250(Total)
1,0,0,79212,21938,0,0,212926(Miss)
1,14617526,646072,4072964,60180218,0,0,2324(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15253000,11406430,2191490,125578250,2317196,140,623798(Total)
0,14,1022,38710,329084,28,0,645358(Miss)
0,15252986,11405408,2152780,125249166,2317168,140,0(Hit)
1,14989940,621544,6394052,56981680,0,0,205282(Total)
1,0,0,43568,38934,0,0,216804(Miss)
1,14989940,621544,6350484,56942746,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15030666,12269754,3141306,133637336,2471070,168,640164(Total)
0,28,0,121408,52192,14,0,632842(Miss)
0,15030638,12269754,3019898,133585144,2471056,168,7322(Hit)
1,15088500,692748,5280422,61435304,0,0,216636(Total)
1,0,0,319284,46424,0,0,210350(Miss)
1,15088500,692748,4961138,61388880,0,0,6286(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15032920,11653530,2426466,132898794,2339708,140,631946(Total)
0,0,0,728,257544,14,0,647626(Miss)
0,15032920,11653530,2425738,132641250,2339694,140,0(Hit)
1,14954212,651406,5011006,61690370,0,0,217028(Total)
1,0,0,2492,25144,0,0,217336(Miss)
1,14954212,651406,5008514,61665226,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15057448,12366452,2420054,134134686,2432374,168,636650(Total)
0,0,224,280,50246,14,0,635236(Miss)
0,15057448,12366228,2419774,134084440,2432360,168,1414(Hit)
1,15282414,692720,4907826,61934614,0,0,211764(Total)
1,0,0,2940,116032,0,0,214914(Miss)
1,15282414,692720,4904886,61818582,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,14990276,12398932,1464218,133727664,2442314,168,626864(Total)
0,0,14,742,231084,0,84,644518(Miss)
0,14990276,12398918,1463476,133496580,2442314,84,0(Hit)
1,14466480,702632,5722388,61863536,0,14,206066(Total)
1,0,0,3234,24472,0,0,224308(Miss)
1,14466480,702632,5719154,61839064,0,14,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,14957124,11734408,2497306,130324614,2349690,196,639002(Total)
0,0,0,252,38360,14,0,642894(Miss)
0,14957124,11734408,2497054,130286254,2349676,196,0(Hit)
1,14445298,647486,5185250,60080356,0,0,222208(Total)
1,0,0,2478,25522,0,0,212072(Miss)
1,14445298,647486,5182772,60054834,0,0,10136(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15512630,12371688,2361562,131387130,2338910,140,634368(Total)
0,322,0,840,242662,0,0,646940(Miss)
0,15512308,12371688,2360722,131144468,2338910,140,0(Hit)
