Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708640273,Device: id=1,RX,3.8811222699878,1987.1350754814,2608.1146386794,4198936,268732032
1708640274,Device: id=1,RX,2.5086878884589,1284.4487102299,1685.8387723833,6710867,429495680
1708640275,Device: id=1,RX,5.954150528711,3048.5353106889,4001.1993952827,12665024,810563008
1708640276,Device: id=1,RX,9.6865040660998,4959.4864978545,6509.3271484305,22351559,1430500800
1708640277,Device: id=1,RX,9.7131950476545,4973.1563763988,6527.2675840235,32064760,2052145728
1708640278,Device: id=1,RX,9.7159360295702,4974.5643671099,6529.1141318411,41780753,2673969920
1708640279,Device: id=1,RX,9.7191388489425,4976.190898684,6531.2531145148,51499922,3295995712
1708640280,Device: id=1,RX,9.6517471458312,4941.6996586567,6485.9792019897,61151686,3913709248
1708640281,Device: id=1,RX,9.7052280324777,4969.080336612,6521.9168218084,70856959,4534847168
1708640282,Device: id=1,RX,9.7358166973323,4984.7376370354,6542.4683086085,80592799,5157940864
1708640283,Device: id=1,RX,9.7404557454578,4987.1322856,6545.6052048733,90333293,5781334848
1708640284,Device: id=1,RX,9.7211786022779,4977.2204044407,6532.6089808052,100054503,6403489408
1708640285,Device: id=1,RX,9.0579870547545,4637.6898840336,6086.9678127944,109112502,6983201408
1708640286,Device: id=1,RX,9.6791649951907,4955.7314535385,6504.397852769,118791675,7602668352
1708640287,Device: id=1,RX,9.7283647010119,4980.924262918,6537.4626150799,128520040,8225283904
1708640288,Device: id=1,RX,9.7282850915535,4980.8809428765,6537.4065575251,138248336,8847894720
1708640289,Device: id=1,RX,9.7186453476614,4975.9453940062,6530.928649632,147967015,9469890048
1708640290,Device: id=1,RX,8.8652927454177,7051.8824111441,8470.329250411,156832369,10351381440
1708640291,Device: id=1,RX,8.2479410720461,8445.8916577752,9765.5622293026,165080323,11407119552
1708640292,Device: id=1,RX,8.2714431242647,8469.957759247,9793.3886591293,173351776,12465865536
1708640293,Device: id=1,RX,8.3012951644898,8500.5262484376,9828.733474756,181653118,13528437312
1708640294,Device: id=1,RX,8.304367959917,8503.6717669615,9832.3706405483,189957539,14591403072
1708640295,Device: id=1,RX,8.0429446373483,8235.9763326345,9522.8474746102,198000563,15620910272
1708640296,Device: id=1,RX,8.2446224309023,8442.4933692439,9761.6329581883,206245194,16676223040
1708640297,Device: id=1,RX,8.2401022685134,8437.8626749609,9756.279037923,214485309,17730957504
1708640298,Device: id=1,RX,8.2874844803652,8486.3861558892,9812.3836727476,222772813,18791758272
1708640299,Device: id=1,RX,8.2940278524718,8493.0845209311,9820.1289773266,231066893,19853400512
1708640300,Device: id=1,RX,8.2769227547197,8475.5678768347,9799.8755175899,239343830,20912848320
1708640301,Device: id=1,RX,8.2718467579219,8470.3710801121,9793.8665613796,247615762,21971655616
1708640302,Device: id=1,RX,8.2763070251482,8474.9394177472,9799.1485417709,255892106,23031027776
1708640303,Device: id=1,RX,8.271373200037,8469.8861568379,9793.3058688438,264163533,24089770432
1708640304,Device: id=1,RX,8.3078976558645,8507.2871996053,9836.5508245436,272471466,25153185856
1708640305,Device: id=1,RX,8.2937040602439,8492.7529576897,9819.7456073288,280765204,26214784320
1708640306,Device: id=1,RX,7.9890037360607,8180.7398257261,9458.9804234958,288754259,27237383360
1708640307,Device: id=1,RX,8.3216963700867,8521.4160589761,9852.88747819,297076015,28302568000
1708640308,Device: id=1,RX,8.2748737212817,8473.4717145913,9797.4515099963,305350898,29361753152
1708640309,Device: id=1,RX,8.3042947841993,8503.5968350209,9832.2840004928,313655200,30424703680
1708640310,Device: id=1,RX,4.0758072121899,9262.6629363249,9914.7920902753,317731131,31582571712
1708640311,Device: id=1,RX,1.1939681114555,9780.9796014207,9972.0144992536,318925162,32805258560
1708640312,Device: id=1,RX,1.194192346394,9782.8247256445,9973.8955010675,320119372,34028129728
1708640313,Device: id=1,RX,1.1944812094744,9785.1829003612,9976.2998938771,321313911,35251336768
1708640314,Device: id=1,RX,1.1948266820244,9788.004819855,9979.1770889789,322508793,36474894016
1708640315,Device: id=1,RX,1.1944930967067,9785.2802803591,9976.3991758322,323703309,37698077504
1708640316,Device: id=1,RX,1.0703733608334,8768.4985719473,8939.7583096807,324773709,38794167104
1708640317,Device: id=1,RX,1.1370974589686,9315.1034078604,9497.0390012953,325910818,39958566848
1708640318,Device: id=1,RX,1.1873030856816,9726.3715182132,9916.3400119223,327098145,41174387776
1708640319,Device: id=1,RX,1.1878556948605,9730.914876248,9920.9717874256,328286058,42390810816
1708640320,Device: id=1,RX,1.1882325420956,9733.9856251376,9924.1028318729,329474313,43607582016
1708640321,Device: id=1,RX,1.1878562077422,9730.9108859311,9920.9678791699,330662187,44823964096
1708640322,Device: id=1,RX,1.1879875638828,9731.9951473164,9922.0731575377,331850188,46040477248
1708640323,Device: id=1,RX,1.1902932108135,9750.8666236396,9941.3135373698,333040532,47259387584
1708640324,Device: id=1,RX,1.1893639362822,9743.2703899769,9933.5686197821,334229950,48477351744
1708640325,Device: id=1,RX,1.189713156947,9746.1230138896,9936.4771190011,335419693,49695647680
1708640326,Device: id=1,RX,1.0373165873159,8497.6903155847,8663.6609695552,336457052,50757902400
1708640327,Device: id=1,RX,1.1767779406914,9640.149530171,9828.4340006816,337633832,51962923200
1708640328,Device: id=1,RX,1.1813630350249,9677.7188151788,9866.7369007828,338815237,53172681024
1708640329,Device: id=1,RX,1.1865791465721,9720.4573926972,9910.3100561487,340001841,54387763648
1708640330,Device: id=1,RX,6.222537540483,6899.5655864094,7895.1715928867,346224409,55250213568
1708640331,Device: id=1,RX,9.7126447740265,4972.8710523079,6526.8942161522,355937074,55871823744
1708640332,Device: id=1,RX,9.7227217472776,4978.037118595,6533.6725981594,365659826,56494080320
1708640333,Device: id=1,RX,9.7370679564625,4985.3767457128,6543.3076187468,375396913,57117253632
1708640334,Device: id=1,RX,9.7333588305098,4983.4827931907,6540.8202060722,385130368,57740195136
1708640335,Device: id=1,RX,9.7274404876853,4980.4500416901,6536.8405197197,394857899,58362757184
1708640336,Device: id=1,RX,9.2902507479048,4756.6094069217,6243.0495265865,404148200,58957336576
1708640337,Device: id=1,RX,9.6655321853556,4948.7499189126,6495.2350685695,413813772,59575932864
1708640338,Device: id=1,RX,9.7290606599068,4981.2826418666,6537.9323474517,423542848,60198594176
1708640339,Device: id=1,RX,9.7292031412584,4981.35098433,6538.0234869313,433272105,60821266496
1708640340,Device: id=1,RX,9.7280014262229,4980.7382662212,6537.2184944168,443000138,61443860800
1708640341,Device: id=1,RX,9.7282081211703,4980.8399980394,6537.3532974267,452728347,62066465856
1708640342,Device: id=1,RX,9.7179086902385,4975.5728333721,6530.4382238103,462446337,62688417664
1708640343,Device: id=1,RX,9.7309238593144,4982.2304559816,6539.178273472,472177309,63311199552
1708640344,Device: id=1,RX,9.7354434546236,4984.5475607649,6542.2185135047,481912797,63934270848
1708640345,Device: id=1,RX,9.7437295653406,4988.7931214336,6547.7898518881,491656583,64557873600
1708640346,Device: id=1,RX,9.7230160186719,4978.1816415637,6533.8642045512,501379613,65180147200
1708640347,Device: id=1,RX,8.1740306291361,4185.1072661074,5492.9521667692,509553667,65703287104
1708640348,Device: id=1,RX,9.7282457258071,4980.8592516159,6537.3785677451,519281923,66325895168
1708640349,Device: id=1,RX,9.7425268688171,4988.1768288305,6546.9811278413,529024462,66949418048
1708640350,Device: id=1,RX,5.3337649670995,7711.8979920543,8565.3003867902,534358283,67913415424
1708640351,Device: id=1,RX,2.3395345110365,9582.7343811817,9957.0599029475,536697872,69111285120
1708640352,Device: id=1,RX,2.3376742596927,9575.1065997128,9949.1344812636,539035550,70308175360
1708640353,Device: id=1,RX,2.339696120225,9583.3922364902,9957.7436157262,541375283,71506118272
1708640354,Device: id=1,RX,2.339940477844,9584.3931252877,9958.7836017427,543715253,72704182528
1708640355,Device: id=1,RX,2.3395876762359,9582.9480499245,9957.2820781223,546054888,73902075264
1708640356,Device: id=1,RX,2.3379267257068,9576.1447965438,9950.2130726569,548392852,75099112448
1708640357,Device: id=1,RX,2.1101525669985,8643.1818424863,8980.8062532061,550503046,76179531392
1708640358,Device: id=1,RX,2.3353694859818,9565.6703426188,9939.3294603759,552838444,77375254784
1708640359,Device: id=1,RX,2.3354885998284,9566.1582329659,9939.8364089385,555173985,78571051392
