Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708641651,Device: id=0,TX,5.717115090831,2927.1757264945,3841.9141410274,5717181,365901440
1708641652,Device: id=0,TX,2.445123409819,1251.9026788204,1643.1224243914,8186384,523930368
1708641653,Device: id=0,TX,6.4824376368963,3319.0070460936,4356.1970679971,14668839,938807360
1708641654,Device: id=0,TX,10.717764644661,5487.4965220643,7202.3388652101,25386628,1624745984
1708641655,Device: id=0,TX,10.769775853461,5514.12626097,7237.2903975237,36156426,2314013184
1708641656,Device: id=0,TX,10.736244980056,5496.9574297887,7214.7566265976,46892763,3001138752
1708641657,Device: id=0,TX,10.719151732029,5488.2056867988,7203.2699639234,57611957,3687167168
1708641658,Device: id=0,TX,10.665847578473,5460.9154961703,7167.4511087259,68277858,4369785024
1708641659,Device: id=0,TX,10.707747810402,5482.367390925,7195.6070405894,78985624,5055082112
1708641660,Device: id=0,TX,10.536588292805,5394.7352539116,7080.5893807603,89522235,5729425472
1708641661,Device: id=0,TX,10.735578331828,5496.6683298442,7214.3608629368,100257824,6416509696
1708641662,Device: id=0,TX,10.837811917338,5548.89826174,7282.9481685141,111095647,7110122688
1708641663,Device: id=0,TX,10.869577744197,5565.2207330515,7304.353172123,121965305,7805780416
1708641664,Device: id=0,TX,10.771365689924,5514.9397452385,7238.3582556264,132736731,8495151744
1708641665,Device: id=0,TX,10.81183832823,5535.6617360523,7265.5558685692,143548603,9187111616
1708641666,Device: id=0,TX,10.910666201627,5586.2616072304,7331.9681994907,154459322,9885397696
1708641667,Device: id=0,TX,10.910999309013,5586.4357422063,7332.1956316484,165370344,10583703616
1708641668,Device: id=0,TX,5.8317976914998,7810.4466261004,8743.5342567404,171202169,11560014016
1708641669,Device: id=0,TX,1.1971309087819,9806.8810454354,9998.4219908405,172399354,12785929536
1708641670,Device: id=0,TX,1.1970734330964,9806.4183960368,9997.9501453322,173596446,14011750848
1708641671,Device: id=0,TX,1.1956676071869,9794.9100620671,9986.216879217,174792123,15236124224
1708641672,Device: id=0,TX,1.1931066132173,9773.9222077547,9964.8192658695,175985276,16457912000
1708641673,Device: id=0,TX,1.1929105314207,9772.3077140613,9963.1733990886,177178238,17679503168
1708641674,Device: id=0,TX,1.1927528428664,9771.0241208587,9961.8645757173,178371007,18900897728
1708641675,Device: id=0,TX,1.1927416937877,9770.9409794586,9961.7796504647,179563807,20122325056
1708641676,Device: id=0,TX,1.1929518952455,9772.6465659815,9963.5188692208,180756769,21343916224
1708641677,Device: id=0,TX,1.1931417330658,9774.2181012605,9965.120778551,181949928,22565711168
1708641678,Device: id=0,TX,1.1929923923172,9772.9783182055,9963.8571009762,183142947,23787360704
1708641679,Device: id=0,TX,1.1927371052022,9770.9033897625,9961.7413265949,184335747,25008788032
1708641680,Device: id=0,TX,1.1930946743102,9773.8244042996,9964.7195521892,185528900,26230575808
1708641681,Device: id=0,TX,1.1920353482221,9765.1464048193,9955.8720605349,186720966,27451250496
1708641682,Device: id=0,TX,1.1937599435766,9779.2660982045,9970.2676891767,187914759,28673692608
1708641683,Device: id=0,TX,1.1945810737442,9786.0091800761,9977.1421518752,189109383,29896987712
1708641684,Device: id=0,TX,1.1948745654963,9788.4052727943,9979.5852032737,190304299,31120580800
1708641685,Device: id=0,TX,1.1946850000352,9786.8441607254,9977.993760731,191499018,32343971136
1708641686,Device: id=0,TX,1.1952680417326,9791.6368218488,9982.879708526,192694315,33567955392
1708641687,Device: id=0,TX,1.1949490016217,9789.0150536385,9980.206893898,193889323,34791642688
1708641688,Device: id=0,TX,6.3221650456526,7597.9259710294,8609.4723783338,200211508,35741386432
1708641689,Device: id=0,TX,10.921881473978,5592.0007546911,7339.5017905276,211133452,36440390528
1708641690,Device: id=0,TX,10.948597651571,5605.682509599,7357.4581338503,222082160,37141107904
1708641691,Device: id=0,TX,10.69972322614,5478.2618757774,7190.2175919599,232781902,37825891840
1708641692,Device: id=0,TX,10.905778435152,5583.7570228,7328.6815724243,243687695,38523862400
1708641693,Device: id=0,TX,10.928068550469,5595.1741698356,7343.6651379105,254615779,39223260160
1708641694,Device: id=0,TX,10.948954235626,5605.8614966492,7357.6941743494,265564764,39923994816
1708641695,Device: id=0,TX,10.958131669667,5610.5639268683,7363.864994015,276522922,40625316992
1708641696,Device: id=0,TX,10.963091007942,5613.1061800539,7367.2007413246,287486051,41326957696
1708641697,Device: id=0,TX,10.965283512398,5614.2261823433,7368.671544327,298451383,42028739072
1708641698,Device: id=0,TX,11.012175109675,5638.2336561538,7400.1816737019,309463597,42733520768
1708641699,Device: id=0,TX,11.015018478785,5639.6869011475,7402.0898577531,320478656,43438484224
1708641700,Device: id=0,TX,11.008327262872,5636.2640705884,7397.5964326478,331487025,44143019904
1708641701,Device: id=0,TX,10.830916616861,5545.4298198305,7278.3764785282,342317986,44836201472
