System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-23,00:35:06.288,0.36,1.88,0.19,1.18,0.56,155.12,1.00,0.28,0.0000,0.0083, 12040,0.39,0.13,97,50,18647.42,9892.86,2599.23,3.77,94.25,0.72,17.93,0.19,1.36,0.14,1.23,0.24,51.34,1.00,0.49,0.0000,0.0053, 16200,0.24,0.01,95,43,9635.55,7065.34,2599.23,2.73,68.19,0.37,9.26,16.10,16.32,0.00,67.58,0.00,100.00,0.00,0.00,0.00,0.00,11.08,14.26,0.03,74.63,0.00,100.00,0.00,0.00,0.00,0.00,56.56,52.01,4.26 ,4.40 ,1002525.48 ,1008807.43 ,3.00,3.00,2.13,1.80,1.18,1.19,0.05,47.94,1.00,0.10,0.0000,0.0086,  4760,99.71,0.29,0.00,0.00,0.00,53,5544.13,3074.82,2599.23,3.61,90.15,4.27,106.63,
2024-02-23,00:35:07.289,0.32,1.45,0.22,1.16,0.74,150.21,1.00,0.30,0.0000,0.0090, 15600,0.15,0.07,74,50,16688.71,11542.82,2598.38,2.89,72.29,0.64,16.06,0.19,1.16,0.16,1.20,0.50,57.61,0.99,0.40,0.0001,0.0060, 18800,0.31,0.03,91,44,9652.59,8295.67,2598.38,2.33,58.18,0.37,9.29,19.07,18.48,0.02,62.44,0.00,100.00,0.00,0.00,0.00,0.00,13.32,17.19,0.06,69.43,0.00,100.00,0.00,0.00,0.00,0.00,57.18,53.18,4.17 ,4.43 ,0.03 ,0.00 ,3.00,3.00,1.64,1.39,1.17,1.18,0.02,45.61,1.00,0.12,0.0000,0.0107,  1080,99.64,0.36,0.00,0.00,0.00,53,4250.90,3047.75,2598.38,2.79,69.74,3.27,81.80,
2024-02-23,00:35:08.289,0.33,1.77,0.19,1.19,0.11,156.30,1.00,0.29,0.0000,0.0092, 15560,0.02,0.01,66,49,17078.85,9661.68,2597.79,3.54,88.38,0.66,16.44,0.19,1.45,0.13,1.23,0.12,56.98,1.00,0.40,0.0000,0.0057, 19200,0.19,0.01,97,42,9956.07,6880.94,2597.79,2.89,72.35,0.38,9.58,15.66,15.35,0.01,68.98,0.00,100.00,0.00,0.00,0.00,0.00,10.73,13.51,0.01,75.75,0.00,100.00,0.00,0.00,0.00,0.00,56.22,51.86,4.08 ,4.35 ,0.03 ,0.00 ,3.00,3.00,1.80,1.51,1.19,1.19,0.01,49.67,1.00,0.10,0.0000,0.0106,  1840,99.82,0.18,0.00,0.00,0.00,53,4670.51,3086.28,2597.79,3.03,75.67,3.60,89.90,
2024-02-23,00:35:09.289,0.33,1.77,0.19,1.19,0.06,156.51,1.00,0.28,0.0000,0.0092, 15520,0.02,0.01,57,50,17045.71,9657.36,2596.97,3.53,88.25,0.66,16.41,0.19,1.44,0.13,1.23,0.09,56.78,1.00,0.40,0.0000,0.0057, 18400,0.15,0.01,97,42,9993.11,6930.52,2596.97,2.88,72.09,0.38,9.62,15.67,15.76,0.01,68.55,0.00,100.00,0.00,0.00,0.00,0.00,10.81,13.39,0.00,75.79,0.00,100.00,0.00,0.00,0.00,0.00,56.27,51.96,4.07 ,4.32 ,0.10 ,0.00 ,3.00,3.00,1.80,1.51,1.19,1.19,0.00,49.74,1.00,0.10,0.0000,0.0107,  1800,99.75,0.25,0.00,0.00,0.00,53,4662.24,3081.32,2596.97,3.03,75.65,3.59,89.76,
2024-02-23,00:35:10.289,0.33,1.77,0.19,1.19,0.08,156.17,1.00,0.29,0.0000,0.0091, 15200,0.02,0.01,62,50,17097.80,9648.67,2596.78,3.54,88.60,0.66,16.46,0.19,1.45,0.13,1.24,0.07,56.86,1.00,0.40,0.0000,0.0057, 18600,0.12,0.01,97,43,9962.63,6874.93,2596.78,2.90,72.46,0.38,9.59,15.64,15.45,0.01,68.90,0.00,100.00,0.00,0.00,0.00,0.00,10.72,13.38,0.00,75.90,0.00,100.00,0.00,0.00,0.00,0.00,56.23,51.92,4.04 ,4.30 ,0.00 ,0.00 ,3.00,3.00,1.80,1.51,1.19,1.19,0.00,49.67,1.00,0.10,0.0000,0.0106,  1360,99.84,0.16,0.00,0.00,0.00,53,4663.98,3085.71,2596.78,3.02,75.57,3.59,89.80,
2024-02-23,00:35:11.288,0.32,1.53,0.21,1.19,0.07,152.14,1.00,0.29,0.0000,0.0092, 15440,0.02,0.01,59,50,16515.06,10761.41,2596.85,3.07,76.73,0.64,15.90,0.19,1.45,0.13,1.22,0.09,56.71,1.00,0.40,0.0000,0.0057, 18760,0.13,0.01,97,43,9886.54,6830.10,2596.85,2.89,72.37,0.38,9.52,17.48,14.37,0.00,68.15,0.00,100.00,0.00,0.00,0.00,0.00,10.74,15.11,0.00,74.15,0.00,100.00,0.00,0.00,0.00,0.00,56.23,52.03,4.05 ,4.30 ,0.33 ,0.33 ,3.00,3.00,1.80,1.52,1.18,1.19,0.00,49.58,1.00,0.10,0.0000,0.0106,  1080,99.75,0.25,0.00,0.00,0.00,53,4665.49,3075.63,2596.85,3.03,75.85,3.59,89.83,
2024-02-23,00:35:12.289,0.33,1.77,0.19,1.19,0.08,156.61,1.00,0.29,0.0000,0.0092, 15880,0.02,0.01,61,50,17092.72,9659.20,2599.37,3.54,88.48,0.66,16.44,0.19,1.45,0.13,1.23,0.08,57.04,1.00,0.40,0.0000,0.0057, 19240,0.13,0.01,97,43,9970.36,6893.82,2599.37,2.89,72.31,0.38,9.59,15.65,15.40,0.00,68.96,0.00,100.00,0.00,0.00,0.00,0.00,10.74,13.47,0.00,75.78,0.00,100.00,0.00,0.00,0.00,0.00,56.29,52.01,4.06 ,4.31 ,0.00 ,0.00 ,3.00,3.00,1.80,1.51,1.19,1.19,0.01,49.75,1.00,0.10,0.0000,0.0106,  1440,99.83,0.17,0.00,0.00,0.00,52,4673.78,3088.63,2599.37,3.03,75.66,3.60,89.90,
2024-02-23,00:35:13.289,0.33,1.78,0.18,1.19,0.06,155.89,1.00,0.28,0.0000,0.0091, 15080,0.02,0.01,42,50,17112.67,9598.46,2596.85,3.57,89.14,0.66,16.47,0.19,1.45,0.13,1.23,0.12,56.92,1.00,0.40,0.0000,0.0057, 19360,0.14,0.01,97,43,9974.38,6901.04,2596.85,2.89,72.27,0.38,9.60,15.57,15.71,0.00,68.71,0.00,100.00,0.00,0.00,0.00,0.00,10.76,13.48,0.00,75.75,0.00,100.00,0.00,0.00,0.00,0.00,56.24,51.94,4.03 ,4.31 ,0.00 ,0.00 ,3.00,3.00,1.81,1.52,1.19,1.19,0.00,49.59,1.00,0.10,0.0000,0.0106,  1320,99.76,0.24,0.00,0.00,0.00,51,4693.20,3081.42,2596.85,3.05,76.15,3.61,90.36,
2024-02-23,00:35:14.289,0.33,1.76,0.19,1.19,0.09,156.47,1.00,0.29,0.0000,0.0092, 15520,0.02,0.01,60,49,17062.64,9667.47,2596.88,3.53,88.25,0.66,16.43,0.19,1.45,0.13,1.23,0.10,57.04,1.00,0.40,0.0000,0.0057, 19920,0.15,0.01,96,43,9988.13,6901.42,2596.88,2.89,72.36,0.38,9.62,15.69,15.64,0.01,68.66,0.00,100.00,0.00,0.00,0.00,0.00,10.77,13.67,0.01,75.55,0.00,100.00,0.00,0.00,0.00,0.00,56.27,52.03,4.01 ,4.33 ,0.00 ,0.00 ,3.00,3.00,1.79,1.51,1.19,1.19,0.00,49.66,1.00,0.10,0.0000,0.0107,   880,99.77,0.23,0.00,0.00,0.00,52,4659.07,3082.14,2596.88,3.02,75.58,3.59,89.70,
