,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-23,00:35:06.479,   89.30,    5.36,  341.96,  137.61,,,,,  431.25,  142.97,     52907,  574.22,  135.49,    6.32,  144.09,    9.63,,,,,  279.57,   15.95,     52517,  295.53,    710.83,    158.92,    869.75
2024-02-23,00:35:07.478,   29.44,   16.54,   97.22,   50.76,,,,,  126.66,   67.30,     52448,  193.97,  154.88,   13.87,  159.94,   17.13,,,,,  314.82,   31.00,     52508,  345.83,    441.49,     98.31,    539.79
2024-02-23,00:35:08.479,    6.55,    4.74,   11.26,    5.95,,,,,   17.81,   10.70,     52472,   28.50,   85.55,    2.95,   94.79,    6.25,,,,,  180.34,    9.20,     52482,  189.54,    198.15,     19.89,    218.04
2024-02-23,00:35:09.479,    6.11,    4.25,    9.96,    4.85,,,,,   16.06,    9.09,     52408,   25.16,   70.05,    1.49,   78.55,    4.76,,,,,  148.59,    6.26,     52425,  154.85,    164.66,     15.35,    180.01
2024-02-23,00:35:10.479,    6.22,    4.38,   10.09,    5.11,,,,,   16.30,    9.49,     52462,   25.79,   61.22,    1.68,   62.52,    4.97,,,,,  123.74,    6.65,     52466,  130.39,    140.05,     16.13,    156.18
2024-02-23,00:35:11.479,    6.17,    4.38,    9.86,    4.98,,,,,   16.03,    9.36,     52405,   25.39,   65.83,    1.83,   60.79,    5.12,,,,,  126.62,    6.95,     52409,  133.57,    142.65,     16.31,    158.97
2024-02-23,00:35:12.480,    6.11,    4.35,    9.70,    4.90,,,,,   15.81,    9.25,     52455,   25.06,   64.24,    1.75,   64.17,    5.04,,,,,  128.41,    6.79,     52469,  135.20,    144.23,     16.04,    160.26
2024-02-23,00:35:13.479,    6.62,    4.28,   10.97,    5.23,,,,,   17.59,    9.51,     52411,   27.10,   68.01,    2.12,   69.19,    5.41,,,,,  137.20,    7.53,     52417,  144.73,    154.79,     17.04,    171.83
2024-02-23,00:35:14.480,    6.58,    4.64,   11.36,    5.85,,,,,   17.94,   10.49,     52459,   28.43,   76.28,    2.28,   75.54,    5.57,,,,,  151.81,    7.85,     52475,  159.67,    169.76,     18.34,    188.10
2024-02-23,00:35:15.480,    6.02,    4.16,    9.33,    4.51,,,,,   15.36,    8.68,     52407,   24.03,   73.12,    1.49,   70.16,    4.78,,,,,  143.27,    6.27,     52414,  149.54,    158.63,     14.95,    173.58
2024-02-23,00:35:16.480,    5.93,    4.29,    9.21,    4.62,,,,,   15.14,    8.91,     52458,   24.05,   66.24,    1.64,   65.44,    4.94,,,,,  131.68,    6.58,     52473,  138.26,    146.82,     15.49,    162.31
2024-02-23,00:35:17.480,   14.71,    8.44,   36.12,   19.23,,,,,   50.83,   27.67,     52419,   78.51,  170.04,   22.06,  167.49,   25.39,,,,,  337.53,   47.45,     52527,  384.98,    388.36,     75.13,    463.49
2024-02-23,00:35:18.480,    6.61,    4.60,   11.49,    5.86,,,,,   18.10,   10.46,     52408,   28.56,   96.90,    2.38,   93.03,    5.66,,,,,  189.93,    8.05,     52431,  197.98,    208.03,     18.51,    226.53
2024-02-23,00:35:19.479,    6.41,    4.20,   10.84,    5.02,,,,,   17.25,    9.22,     52459,   26.47,   87.88,    1.48,   89.36,    4.76,,,,,  177.23,    6.23,     52470,  183.47,    194.48,     15.46,    209.94
2024-02-23,00:35:20.479,   22.39,  124.54,   72.19,  150.53,,,,,   94.58,  275.07,     52430,  369.65,  138.97,    2.91,  137.48,    6.18,,,,,  276.45,    9.09,     52697,  285.55,    371.03,    284.17,    655.20
2024-02-23,00:35:21.479,   73.59,  620.13,  272.41,  728.55,,,,,  345.99, 1348.69,     52537, 1694.68,  404.50,    1.33,  407.91,    4.63,,,,,  812.41,    5.97,     53809,  818.38,   1158.41,   1354.66,   2513.06
2024-02-23,00:35:22.479,   71.16,  613.52,  263.57,  719.00,,,,,  334.73, 1332.51,     52494, 1667.24,  420.37,    1.76,  422.63,    5.07,,,,,  843.00,    6.83,     53874,  849.83,   1177.73,   1339.34,   2517.07
2024-02-23,00:35:23.479,   71.08,  611.57,  261.90,  716.21,,,,,  332.99, 1327.78,     52481, 1660.77,  437.97,    1.74,  440.49,    5.05,,,,,  878.46,    6.78,     53969,  885.24,   1211.44,   1334.56,   2546.00
2024-02-23,00:35:24.479,   73.19,  614.81,  268.51,  721.82,,,,,  341.70, 1336.63,     52550, 1678.32,  443.31,    1.79,  447.33,    5.11,,,,,  890.64,    6.90,     54129,  897.54,   1232.34,   1343.53,   2575.86
2024-02-23,00:35:25.479,   71.73,  612.57,  264.57,  718.22,,,,,  336.30, 1330.79,     52489, 1667.09,  453.17,    2.19,  455.90,    5.47,,,,,  909.08,    7.66,     54074,  916.73,   1245.38,   1338.45,   2583.83
2024-02-23,00:35:26.480,   72.08,  613.38,  265.51,  719.51,,,,,  337.59, 1332.88,     52533, 1670.47,  445.88,    1.38,  449.16,    4.68,,,,,  895.03,    6.06,     54084,  901.10,   1232.62,   1338.94,   2571.57
2024-02-23,00:35:27.480,   96.66,  610.61,  345.45,  742.22,,,,,  442.10, 1352.83,     52604, 1794.93,  491.02,   10.54,  493.72,   13.80,,,,,  984.73,   24.34,     54250, 1009.08,   1426.84,   1377.17,   2804.01
2024-02-23,00:35:28.480,   73.11,  614.25,  267.89,  721.19,,,,,  341.00, 1335.45,     52501, 1676.45,  506.16,    3.28,  510.05,    6.56,,,,, 1016.21,    9.85,     54459, 1026.06,   1357.22,   1345.30,   2702.51
2024-02-23,00:35:29.479,   71.55,  612.11,  262.12,  716.95,,,,,  333.67, 1329.07,     52503, 1662.74,  486.58,    2.22,  487.99,    5.51,,,,,  974.57,    7.74,     54205,  982.31,   1308.24,   1336.80,   2645.04
2024-02-23,00:35:30.480,   75.17,  618.42,  271.83,  727.61,,,,,  347.00, 1346.03,     52558, 1693.03,  478.39,    2.04,  480.07,    5.33,,,,,  958.46,    7.37,     54329,  965.83,   1305.46,   1353.40,   2658.86
2024-02-23,00:35:31.480,   83.98,  649.26,  292.89,  769.30,,,,,  376.87, 1418.56,     52497, 1795.43,  510.43,    1.81,  512.60,    5.07,,,,, 1023.04,    6.88,     54638, 1029.92,   1399.91,   1425.44,   2825.35
2024-02-23,00:35:32.480,   84.94,  649.94,  297.35,  771.60,,,,,  382.29, 1421.54,     52494, 1803.83,  504.31,    1.45,  505.81,    4.76,,,,, 1010.12,    6.22,     54635, 1016.34,   1392.41,   1427.75,   2820.16
2024-02-23,00:35:33.481,   85.26,  650.62,  297.93,  772.10,,,,,  383.20, 1422.72,     52555, 1805.92,  511.99,    2.97,  513.09,    6.27,,,,, 1025.08,    9.24,     54809, 1034.32,   1408.28,   1431.96,   2840.23
2024-02-23,00:35:34.481,   63.42,  603.45,  217.06,  695.24,,,,,  280.48, 1298.69,     52473, 1579.17,  511.77,    1.61,  513.77,    4.90,,,,, 1025.55,    6.50,     54829, 1032.05,   1306.02,   1305.19,   2611.22
2024-02-23,00:35:35.480,   55.95,  605.63,  189.16,  686.89,,,,,  245.11, 1292.52,     52446, 1537.63,  507.82,    1.74,  508.84,    5.04,,,,, 1016.66,    6.79,     54638, 1023.45,   1261.77,   1299.30,   2561.08
2024-02-23,00:35:36.481,   56.81,  606.75,  191.60,  688.56,,,,,  248.41, 1295.31,     52508, 1543.72,  505.25,    1.90,  506.39,    5.20,,,,, 1011.64,    7.10,     54762, 1018.74,   1260.05,   1302.41,   2562.46
2024-02-23,00:35:37.481,   53.05,  609.29,  177.74,  686.04,,,,,  230.80, 1295.33,     52443, 1526.13,  502.94,    1.82,  503.05,    5.11,,,,, 1006.00,    6.92,     54617, 1012.92,   1236.80,   1302.26,   2539.05
2024-02-23,00:35:38.482,   84.14,  618.75,  290.46,  733.56,,,,,  374.60, 1352.31,     52564, 1726.91,  567.58,   14.73,  569.03,   18.01,,,,, 1136.61,   32.74,     54913, 1169.36,   1511.22,   1385.05,   2896.26
2024-02-23,00:35:39.482,   50.32,  624.53,  165.83,  696.56,,,,,  216.15, 1321.09,     52456, 1537.24,  531.80,    2.98,  534.82,    6.25,,,,, 1066.62,    9.23,     54780, 1075.85,   1282.77,   1330.32,   2613.09
2024-02-23,00:35:40.481,   50.49,  625.15,  166.97,  697.62,,,,,  217.46, 1322.77,     52456, 1540.22,  516.28,    1.54,  520.42,    4.82,,,,, 1036.70,    6.36,     54749, 1043.06,   1254.16,   1329.13,   2583.29
2024-02-23,00:35:41.482,   49.26,  625.24,  162.72,  696.03,,,,,  211.98, 1321.27,     52487, 1533.26,  508.07,    1.79,  512.91,    5.09,,,,, 1020.98,    6.88,     54672, 1027.86,   1232.97,   1328.15,   2561.12
2024-02-23,00:35:42.482,   50.00,  624.88,  165.41,  696.79,,,,,  215.41, 1321.67,     52462, 1537.07,  501.98,    1.47,  506.00,    4.77,,,,, 1007.98,    6.24,     54738, 1014.22,   1223.39,   1327.91,   2551.29
2024-02-23,00:35:43.482,   49.26,  625.05,  162.17,  695.61,,,,,  211.43, 1320.66,     52501, 1532.09,  505.30,    1.95,  507.78,    5.25,,,,, 1013.08,    7.20,     54782, 1020.28,   1224.51,   1327.86,   2552.37
