Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24633966,13676922,246610,138780096,8182118,168,527268(Total)
0,238,4802,86058,754922,210,0,518378(Miss)
0,24633728,13672120,160552,138025174,8181908,168,8890(Hit)
1,22183126,597002,3396106,46719162,0,0,260778(Total)
1,6294316,0,75348,14350,0,0,244286(Miss)
1,15888810,597002,3320758,46704812,0,0,16492(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15212512,13951868,225302,113502970,8169672,140,528976(Total)
0,658,490,53914,13636,0,0,521598(Miss)
0,15211854,13951378,171388,113489334,8169672,140,7378(Hit)
1,19026434,591024,3252844,46082386,0,0,245168(Total)
1,3057404,0,143472,20874,0,0,262696(Miss)
1,15969030,591024,3109372,46061512,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24484684,14030870,170660,114552998,8250844,0,526400(Total)
0,0,0,1876,7616,168,0,520772(Miss)
0,24484684,14030870,168784,114545382,8250676,0,5628(Hit)
1,22101702,590352,3335948,48146938,0,0,260918(Total)
1,3147102,0,23716,9576,0,0,246848(Miss)
1,18954600,590352,3312232,48137362,0,0,14070(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24624460,14028616,146188,114082948,8219386,0,528150(Total)
0,0,28,1610,114674,0,168,524356(Miss)
0,24624460,14028588,144578,113968274,8219386,0,3794(Hit)
1,22400658,606970,3168508,46157930,0,0,251006(Total)
1,2357726,0,9058,49448,0,0,254520(Miss)
1,20042932,606970,3159450,46108482,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24474562,13933234,285614,113962618,8226036,0,522998(Total)
0,28,0,154,6062,140,140,521122(Miss)
0,24474534,13933234,285460,113956556,8225896,0,1876(Hit)
1,21857458,592326,3541328,48130404,0,0,268170(Total)
1,1904518,0,15778,7196,0,0,245546(Miss)
1,19952940,592326,3525550,48123208,0,0,22624(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24615318,13725754,231546,110685540,8180606,0,524020(Total)
0,14,56,1778,11018,0,196,525000(Miss)
0,24615304,13725698,229768,110674522,8180606,0,0(Hit)
1,22369676,574546,3138380,46224332,0,0,239694(Total)
1,1865080,0,4298,7686,0,0,259308(Miss)
1,20504596,574546,3134082,46216646,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,25068750,13941662,268884,114385152,8276016,0,523922(Total)
0,14,0,504,7140,140,336,519372(Miss)
0,25068736,13941662,268380,114378012,8275876,0,4550(Hit)
1,22312612,606970,3186470,47369700,0,0,268142(Total)
1,1995112,0,25046,8260,0,0,236824(Miss)
1,20317500,606970,3161424,47361440,0,0,31318(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24665284,14017542,236572,113907766,8216166,0,525588(Total)
0,0,0,644,5936,168,420,521416(Miss)
0,24665284,14017542,235928,113901830,8215998,0,4172(Hit)
1,22392860,608790,3342150,48624128,0,0,248724(Total)
1,1881096,0,1078,512750,0,0,262948(Miss)
1,20511764,608790,3341072,48111378,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,24577182,13971594,144634,114615984,8319598,0,522774(Total)
0,0,28,1834,14210,70,168,517160(Miss)
0,24577182,13971566,142800,114601774,8319528,0,5614(Hit)
1,22388226,602000,3226230,46766482,0,0,258566(Total)
1,2091586,0,5040,32172,0,0,247030(Miss)
1,20296640,602000,3221190,46734310,0,0,11536(Hit)
