System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-22,23:40:53.428,0.36,1.94,0.19,1.19,0.14,157.47,1.00,0.31,0.0000,0.0084,  9200,0.03,0.01,70,46,18726.39,9645.19,2598.81,3.88,97.08,0.72,18.01,0.18,1.33,0.13,1.23,0.20,64.88,1.00,0.48,0.0000,0.0071, 17520,0.02,0.02,82,38,9171.39,6899.57,2598.81,2.66,66.46,0.35,8.82,15.64,15.79,0.01,68.56,0.00,100.00,0.00,0.00,0.00,0.00,10.77,13.88,0.14,75.22,0.00,100.00,0.00,0.00,0.00,0.00,57.23,52.17,4.08 ,4.23 ,1112325.61 ,1119822.13 ,3.00,3.00,2.36,1.99,1.19,1.19,0.01,47.15,1.00,0.11,0.0000,0.0077,   920,99.79,0.21,0.00,0.00,0.00,47,6128.95,3084.34,2598.81,3.97,99.36,4.72,117.91,
2024-02-22,23:40:54.428,0.32,1.74,0.19,1.19,0.10,178.09,1.00,0.31,0.0000,0.0106, 11160,0.02,0.01,68,43,16777.96,9623.16,2597.19,3.49,87.17,0.65,16.15,0.18,1.36,0.13,1.23,0.09,72.10,1.00,0.41,0.0000,0.0077, 18160,0.01,0.01,64,39,9353.34,6876.75,2597.19,2.72,68.01,0.36,9.00,15.61,15.64,0.00,68.75,0.00,100.00,0.00,0.00,0.00,0.00,10.72,13.43,0.00,75.85,0.00,100.00,0.00,0.00,0.00,0.00,57.02,52.12,4.11 ,4.20 ,0.00 ,0.00 ,3.00,3.00,2.06,1.73,1.19,1.19,0.01,53.13,1.00,0.11,0.0000,0.0099,   720,99.78,0.22,0.00,0.00,0.00,47,5345.21,3083.13,2597.19,3.47,86.68,4.12,102.90,
2024-02-22,23:40:55.428,0.32,1.74,0.19,1.19,0.09,178.12,1.00,0.31,0.0000,0.0107, 10800,0.02,0.01,66,44,16717.69,9611.74,2596.97,3.48,86.96,0.64,16.09,0.18,1.36,0.13,1.23,0.08,72.25,1.00,0.41,0.0000,0.0077, 18840,0.01,0.01,66,38,9381.78,6892.26,2596.97,2.72,68.06,0.36,9.03,15.61,15.96,0.01,68.42,0.00,100.00,0.00,0.00,0.00,0.00,10.75,13.41,0.01,75.84,0.00,100.00,0.00,0.00,0.00,0.00,56.96,52.09,4.09 ,4.19 ,0.00 ,0.00 ,3.00,3.00,2.06,1.74,1.19,1.19,0.01,53.11,1.00,0.11,0.0000,0.0099,   560,99.75,0.25,0.00,0.00,0.00,48,5347.19,3078.20,2596.97,3.47,86.86,4.12,102.95,
2024-02-22,23:40:56.428,0.32,1.74,0.19,1.19,0.09,177.59,1.00,0.31,0.0000,0.0106, 11360,0.02,0.01,69,44,16758.17,9630.67,2597.01,3.48,87.00,0.65,16.13,0.18,1.36,0.13,1.23,0.08,72.34,1.00,0.41,0.0000,0.0077, 19240,0.01,0.01,64,37,9348.83,6898.81,2597.01,2.71,67.76,0.36,9.00,15.63,15.73,0.00,68.64,0.00,100.00,0.00,0.00,0.00,0.00,10.76,13.45,0.00,75.79,0.00,100.00,0.00,0.00,0.00,0.00,57.07,52.16,4.12 ,4.20 ,0.00 ,0.00 ,3.00,3.00,2.06,1.74,1.19,1.19,0.01,52.97,1.00,0.11,0.0000,0.0099,   960,99.79,0.21,0.00,0.00,0.00,47,5351.64,3082.32,2597.01,3.47,86.81,4.12,103.03,
2024-02-22,23:40:57.429,0.32,1.75,0.18,1.19,0.07,177.92,1.00,0.31,0.0000,0.0106, 11640,0.02,0.01,65,44,16791.48,9610.23,2599.42,3.49,87.36,0.65,16.15,0.18,1.36,0.13,1.24,0.07,72.20,1.00,0.41,0.0000,0.0077, 18680,0.01,0.01,69,38,9359.12,6889.05,2599.42,2.72,67.93,0.36,9.00,15.57,15.59,0.00,68.83,0.00,100.00,0.00,0.00,0.00,0.00,10.73,13.31,0.00,75.97,0.00,100.00,0.00,0.00,0.00,0.00,57.14,52.18,4.13 ,4.20 ,0.00 ,0.00 ,3.00,3.00,2.06,1.74,1.19,1.19,0.01,53.03,1.00,0.11,0.0000,0.0099,   880,99.79,0.21,0.00,0.00,0.00,46,5359.29,3086.66,2599.42,3.47,86.81,4.12,103.09,
2024-02-22,23:40:58.429,0.32,1.74,0.18,1.18,0.11,177.17,1.00,0.31,0.0000,0.0106, 12160,0.02,0.01,69,44,16723.69,9599.23,2596.86,3.48,87.11,0.64,16.10,0.18,1.35,0.13,1.23,0.09,71.55,1.00,0.41,0.0000,0.0077, 18720,0.01,0.01,65,38,9257.01,6833.36,2596.86,2.71,67.73,0.36,8.91,15.65,17.10,0.01,67.24,0.00,100.00,0.00,0.00,0.00,0.00,10.74,14.99,0.02,74.25,0.00,100.00,0.00,0.00,0.00,0.00,57.02,52.21,4.11 ,4.19 ,0.33 ,0.33 ,3.00,3.00,2.05,1.74,1.18,1.18,0.01,52.89,1.00,0.11,0.0000,0.0099,   680,99.78,0.22,0.00,0.00,0.00,46,5322.95,3067.57,2596.86,3.47,86.76,4.10,102.49,
2024-02-22,23:40:59.428,0.32,1.74,0.18,1.19,0.08,178.17,1.00,0.31,0.0000,0.0106, 12200,0.02,0.01,64,45,16756.50,9603.61,2596.86,3.49,87.24,0.65,16.13,0.18,1.36,0.13,1.23,0.08,72.34,1.00,0.41,0.0000,0.0077, 18680,0.01,0.01,68,39,9357.06,6880.91,2596.86,2.72,67.99,0.36,9.01,15.58,15.65,0.01,68.76,0.00,100.00,0.00,0.00,0.00,0.00,10.73,13.43,0.00,75.84,0.00,100.00,0.00,0.00,0.00,0.00,57.11,52.15,4.10 ,4.20 ,0.00 ,0.00 ,3.00,3.00,2.06,1.74,1.19,1.19,0.01,53.11,1.00,0.11,0.0000,0.0099,  1280,99.80,0.20,0.00,0.00,0.00,47,5351.03,3083.77,2596.86,3.47,86.76,4.12,103.03,
2024-02-22,23:41:00.429,0.32,1.66,0.19,1.18,0.43,175.39,1.00,0.31,0.0000,0.0105, 13840,0.08,0.04,52,44,16747.93,10118.21,2597.02,3.31,82.76,0.64,16.12,0.18,1.28,0.14,1.21,0.69,73.85,0.99,0.42,0.0001,0.0078, 21880,0.07,0.04,76,37,9501.12,7416.83,2597.02,2.56,64.05,0.37,9.14,16.55,17.53,0.11,65.82,0.00,100.00,0.00,0.00,0.00,0.00,11.78,16.26,0.03,71.94,0.00,100.00,0.00,0.00,0.00,0.00,57.47,52.93,4.12 ,4.25 ,0.00 ,0.00 ,3.00,3.00,2.02,1.71,1.18,1.18,0.01,51.64,1.00,0.11,0.0000,0.0099,   160,99.58,0.42,0.00,0.00,0.00,47,5233.78,3059.45,2597.02,3.42,85.53,4.03,100.76,
2024-02-22,23:41:01.429,0.32,1.73,0.19,1.19,0.13,178.34,1.00,0.31,0.0000,0.0106, 12760,0.03,0.01,60,44,16746.38,9701.32,2597.57,3.45,86.31,0.64,16.12,0.18,1.35,0.13,1.23,0.18,73.66,1.00,0.42,0.0000,0.0078, 22440,0.02,0.01,80,37,9440.54,7008.40,2597.57,2.69,67.35,0.36,9.09,15.75,15.71,0.01,68.53,0.00,100.00,0.00,0.00,0.00,0.00,10.96,13.73,0.00,75.31,0.00,100.00,0.00,0.00,0.00,0.00,57.16,52.38,4.11 ,4.22 ,0.00 ,0.00 ,3.00,3.00,2.06,1.74,1.19,1.19,0.01,52.95,1.00,0.11,0.0000,0.0099,   280,99.73,0.27,0.00,0.00,0.00,47,5345.14,3080.38,2597.57,3.47,86.76,4.12,102.89,
2024-02-22,23:41:02.429,0.32,1.73,0.19,1.19,0.10,178.64,1.00,0.31,0.0000,0.0107, 13400,0.02,0.01,69,44,16717.59,9647.52,2597.28,3.47,86.64,0.64,16.09,0.18,1.37,0.13,1.23,0.10,72.58,1.00,0.41,0.0000,0.0077, 21040,0.01,0.01,70,37,9416.21,6895.42,2597.28,2.73,68.28,0.36,9.06,15.66,15.75,0.00,68.59,0.00,100.00,0.00,0.00,0.00,0.00,10.75,13.40,0.01,75.85,0.00,100.00,0.00,0.00,0.00,0.00,57.21,52.23,4.11 ,4.19 ,0.00 ,0.00 ,3.00,3.00,2.06,1.74,1.19,1.19,0.01,53.11,1.00,0.11,0.0000,0.0099,   480,99.74,0.26,0.00,0.00,0.00,48,5352.67,3080.22,2597.28,3.48,86.89,4.12,103.05,
