,input_rate,output_rate,ndpi_stats-pcm_new_System-Date,ndpi_stats-pcm_new_System-Time,ndpi_stats-pcm_new_Socket 0-EXEC,ndpi_stats-pcm_new_Socket 0-IPC,ndpi_stats-pcm_new_Socket 0-FREQ,ndpi_stats-pcm_new_Socket 0-AFREQ,ndpi_stats-pcm_new_Socket 0-L3MISS,ndpi_stats-pcm_new_Socket 0-L2MISS,ndpi_stats-pcm_new_Socket 0-L3HIT,ndpi_stats-pcm_new_Socket 0-L2HIT,ndpi_stats-pcm_new_Socket 0-L3MPI,ndpi_stats-pcm_new_Socket 0-L2MPI,ndpi_stats-pcm_new_Socket 0-L3OCC,ndpi_stats-pcm_new_Socket 0-READ,ndpi_stats-pcm_new_Socket 0-WRITE,ndpi_stats-pcm_new_Socket 0-LOCAL,ndpi_stats-pcm_new_Socket 0-TEMP,ndpi_stats-pcm_new_Socket 0-INST,ndpi_stats-pcm_new_Socket 0-ACYC,ndpi_stats-pcm_new_Socket 0-TIME(ticks),ndpi_stats-pcm_new_Socket 0-PhysIPC,ndpi_stats-pcm_new_Socket 0-PhysIPC%,ndpi_stats-pcm_new_Socket 0-INSTnom,ndpi_stats-pcm_new_Socket 0-INSTnom%,ndpi_stats-pcm_new_Socket 1-EXEC,ndpi_stats-pcm_new_Socket 1-IPC,ndpi_stats-pcm_new_Socket 1-FREQ,ndpi_stats-pcm_new_Socket 1-AFREQ,ndpi_stats-pcm_new_Socket 1-L3MISS,ndpi_stats-pcm_new_Socket 1-L2MISS,ndpi_stats-pcm_new_Socket 1-L3HIT,ndpi_stats-pcm_new_Socket 1-L2HIT,ndpi_stats-pcm_new_Socket 1-L3MPI,ndpi_stats-pcm_new_Socket 1-L2MPI,ndpi_stats-pcm_new_Socket 1-L3OCC,ndpi_stats-pcm_new_Socket 1-READ,ndpi_stats-pcm_new_Socket 1-WRITE,ndpi_stats-pcm_new_Socket 1-LOCAL,ndpi_stats-pcm_new_Socket 1-TEMP,ndpi_stats-pcm_new_Socket 1-INST,ndpi_stats-pcm_new_Socket 1-ACYC,ndpi_stats-pcm_new_Socket 1-TIME(ticks),ndpi_stats-pcm_new_Socket 1-PhysIPC,ndpi_stats-pcm_new_Socket 1-PhysIPC%,ndpi_stats-pcm_new_Socket 1-INSTnom,ndpi_stats-pcm_new_Socket 1-INSTnom%,ndpi_stats-pcm_new_SKT0 Core C-State-C0res%,ndpi_stats-pcm_new_SKT0 Core C-State-C1res%,ndpi_stats-pcm_new_SKT0 Core C-State-C3res%,ndpi_stats-pcm_new_SKT0 Core C-State-C6res%,ndpi_stats-pcm_new_SKT0 Core C-State-C7res%,ndpi_stats-pcm_new_SKT0 Package C-State-C0res%,ndpi_stats-pcm_new_SKT0 Package C-State-C2res%,ndpi_stats-pcm_new_SKT0 Package C-State-C3res%,ndpi_stats-pcm_new_SKT0 Package C-State-C6res%,ndpi_stats-pcm_new_SKT0 Package C-State-C7res%,ndpi_stats-pcm_new_SKT1 Core C-State-C0res%,ndpi_stats-pcm_new_SKT1 Core C-State-C1res%,ndpi_stats-pcm_new_SKT1 Core C-State-C3res%,ndpi_stats-pcm_new_SKT1 Core C-State-C6res%,ndpi_stats-pcm_new_SKT1 Core C-State-C7res%,ndpi_stats-pcm_new_SKT1 Package C-State-C0res%,ndpi_stats-pcm_new_SKT1 Package C-State-C2res%,ndpi_stats-pcm_new_SKT1 Package C-State-C3res%,ndpi_stats-pcm_new_SKT1 Package C-State-C6res%,ndpi_stats-pcm_new_SKT1 Package C-State-C7res%,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT0,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT1,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT0,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT1,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT0,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT1,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT0,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT1,ndpi_stats-pcm_new_Core3 (Socket 0)-EXEC,ndpi_stats-pcm_new_Core3 (Socket 0)-IPC,ndpi_stats-pcm_new_Core3 (Socket 0)-FREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-AFREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L3HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L2HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L3OCC,ndpi_stats-pcm_new_Core3 (Socket 0)-C0res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C1res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C3res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C6res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C7res%,ndpi_stats-pcm_new_Core3 (Socket 0)-TEMP,ndpi_stats-pcm_new_Core3 (Socket 0)-INST,ndpi_stats-pcm_new_Core3 (Socket 0)-ACYC,ndpi_stats-pcm_new_Core3 (Socket 0)-TIME(ticks),ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC,ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC%,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom%,ndpi_stats-pcm_new_-,pcm-pcie_new_skt-0_PCIRdCur-total,pcm-pcie_new_skt-0_RFO-total,pcm-pcie_new_skt-0_CRd-total,pcm-pcie_new_skt-0_DRd-total,pcm-pcie_new_skt-0_ItoM-total,pcm-pcie_new_skt-0_PRd-total,pcm-pcie_new_skt-0_WiL-total,pcm-pcie_new_skt-0_PCIRdCur-miss,pcm-pcie_new_skt-0_RFO-miss,pcm-pcie_new_skt-0_CRd-miss,pcm-pcie_new_skt-0_DRd-miss,pcm-pcie_new_skt-0_ItoM-miss,pcm-pcie_new_skt-0_PRd-miss,pcm-pcie_new_skt-0_WiL-miss,pcm-pcie_new_skt-0_PCIRdCur-hit,pcm-pcie_new_skt-0_RFO-hit,pcm-pcie_new_skt-0_CRd-hit,pcm-pcie_new_skt-0_DRd-hit,pcm-pcie_new_skt-0_ItoM-hit,pcm-pcie_new_skt-0_PRd-hit,pcm-pcie_new_skt-0_WiL-hit,pcm-pcie_new_skt-1_PCIRdCur-total,pcm-pcie_new_skt-1_RFO-total,pcm-pcie_new_skt-1_CRd-total,pcm-pcie_new_skt-1_DRd-total,pcm-pcie_new_skt-1_ItoM-total,pcm-pcie_new_skt-1_PRd-total,pcm-pcie_new_skt-1_WiL-total,pcm-pcie_new_skt-1_PCIRdCur-miss,pcm-pcie_new_skt-1_RFO-miss,pcm-pcie_new_skt-1_CRd-miss,pcm-pcie_new_skt-1_DRd-miss,pcm-pcie_new_skt-1_ItoM-miss,pcm-pcie_new_skt-1_PRd-miss,pcm-pcie_new_skt-1_WiL-miss,pcm-pcie_new_skt-1_PCIRdCur-hit,pcm-pcie_new_skt-1_RFO-hit,pcm-pcie_new_skt-1_CRd-hit,pcm-pcie_new_skt-1_DRd-hit,pcm-pcie_new_skt-1_ItoM-hit,pcm-pcie_new_skt-1_PRd-hit,pcm-pcie_new_skt-1_WiL-hit,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_SKT1-Ch0Read,pcm-memory_new_SKT1-Ch0Write,pcm-memory_new_SKT1-Ch1Read,pcm-memory_new_SKT1-Ch1Write,pcm-memory_new_SKT1-Mem Read (MB/s),pcm-memory_new_SKT1-Mem Write (MB/s),pcm-memory_new_SKT1-P. Write (T/s),pcm-memory_new_SKT1-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory,ddio_ways_new_cos_way,ddio_ways_new_binary,ddio_ways_new_ddio_ways,latency_new_latency,tx_stats_PacketRate,tx_stats_Mbit,tx_stats_MbitWithFraming,tx_stats_TotalPackets,tx_stats_TotalBytes,packetsize
0,4028.678191589,3085.7492666808,2024-02-23,00:35:06.288,0.36,1.88,0.19,1.18,0.56,155.12,1.0,0.28,0.0,0.0083,12040.0,0.39,0.13,97.0,50.0,18647.42,9892.86,2599.23,3.77,94.25,0.72,17.93,0.19,1.36,0.14,1.23,0.24,51.34,1.0,0.49,0.0,0.0053,16200.0,0.24,0.01,95.0,43.0,9635.55,7065.34,2599.23,2.73,68.19,0.37,9.26,16.1,16.32,0.0,67.58,0.0,100.0,0.0,0.0,0.0,0.0,11.08,14.26,0.03,74.63,0.0,100.0,0.0,0.0,0.0,0.0,56.56,52.01,4.26,4.4,1002525.48,1008807.43,3.0,3.0,2.13,1.8,1.18,1.19,0.05,47.94,1.0,0.1,0.0,0.0086,4760.0,99.71,0.29,0.0,0.0,0.0,53.0,5544.13,3074.82,2599.23,3.61,90.15,4.27,106.63,,24633966.0,13676922.0,246610.0,138780096.0,8182118.0,168.0,527268(Total),238.0,4802.0,86058.0,754922.0,210.0,0.0,518378(Miss),24633728.0,13672120.0,160552.0,138025174.0,8181908.0,168.0,8890(Hit),22183126.0,597002.0,3396106.0,46719162.0,0.0,0.0,260778(Total),6294316.0,0.0,75348.0,14350.0,0.0,0.0,244286(Miss),15888810.0,597002.0,3320758.0,46704812.0,0.0,0.0,16492(Hit),89.3,5.36,341.96,137.61,431.25,142.97,52907.0,574.22,135.49,6.32,144.09,9.63,279.57,15.95,52517.0,295.53,710.83,158.92,869.75,ffff8,1.111111111111111e+19,17.0,203962.0,3.4025929405981,3484.2633210933,4028.678191589,3420189.0,437786368.0,256
1,2227.7645267815,2421.8999939389,2024-02-23,00:35:07.289,0.32,1.45,0.22,1.16,0.74,150.21,1.0,0.3,0.0,0.009,15600.0,0.15,0.07,74.0,50.0,16688.71,11542.82,2598.38,2.89,72.29,0.64,16.06,0.19,1.16,0.16,1.2,0.5,57.61,0.99,0.4,0.0001,0.006,18800.0,0.31,0.03,91.0,44.0,9652.59,8295.67,2598.38,2.33,58.18,0.37,9.29,19.07,18.48,0.02,62.44,0.0,100.0,0.0,0.0,0.0,0.0,13.32,17.19,0.06,69.43,0.0,100.0,0.0,0.0,0.0,0.0,57.18,53.18,4.17,4.43,0.03,0.0,3.0,3.0,1.64,1.39,1.17,1.18,0.02,45.61,1.0,0.12,0.0,0.0107,1080.0,99.64,0.36,0.0,0.0,0.0,53.0,4250.9,3047.75,2598.38,2.79,69.74,3.27,81.8,,15212512.0,13951868.0,225302.0,113502970.0,8169672.0,140.0,528976(Total),658.0,490.0,53914.0,13636.0,0.0,0.0,521598(Miss),15211854.0,13951378.0,171388.0,113489334.0,8169672.0,140.0,7378(Hit),19026434.0,591024.0,3252844.0,46082386.0,0.0,0.0,245168(Total),3057404.0,0.0,143472.0,20874.0,0.0,0.0,262696(Miss),15969030.0,591024.0,3109372.0,46061512.0,0.0,0.0,0(Hit),29.44,16.54,97.22,50.76,126.66,67.3,52448.0,193.97,154.88,13.87,159.94,17.13,314.82,31.0,52508.0,345.83,441.49,98.31,539.79,ffff8,1.111111111111111e+19,17.0,6125.0,1.8815725623009,1926.7129168134,2227.7645267815,5304036.0,678916608.0,512
2,5044.6399543145,5672.5480151878,2024-02-23,00:35:08.289,0.33,1.77,0.19,1.19,0.11,156.3,1.0,0.29,0.0,0.0092,15560.0,0.02,0.01,66.0,49.0,17078.85,9661.68,2597.79,3.54,88.38,0.66,16.44,0.19,1.45,0.13,1.23,0.12,56.98,1.0,0.4,0.0,0.0057,19200.0,0.19,0.01,97.0,42.0,9956.07,6880.94,2597.79,2.89,72.35,0.38,9.58,15.66,15.35,0.01,68.98,0.0,100.0,0.0,0.0,0.0,0.0,10.73,13.51,0.01,75.75,0.0,100.0,0.0,0.0,0.0,0.0,56.22,51.86,4.08,4.35,0.03,0.0,3.0,3.0,1.8,1.51,1.19,1.19,0.01,49.67,1.0,0.1,0.0,0.0106,1840.0,99.82,0.18,0.0,0.0,0.0,53.0,4670.51,3086.28,2597.79,3.03,75.67,3.6,89.9,,24484684.0,14030870.0,170660.0,114552998.0,8250844.0,0.0,526400(Total),0.0,0.0,1876.0,7616.0,168.0,0.0,520772(Miss),24484684.0,14030870.0,168784.0,114545382.0,8250676.0,0.0,5628(Hit),22101702.0,590352.0,3335948.0,48146938.0,0.0,0.0,260918(Total),3147102.0,0.0,23716.0,9576.0,0.0,0.0,246848(Miss),18954600.0,590352.0,3312232.0,48137362.0,0.0,0.0,14070(Hit),6.55,4.74,11.26,5.95,17.81,10.7,52472.0,28.5,85.55,2.95,94.79,6.25,180.34,9.2,52482.0,189.54,198.15,19.89,218.04,ffff8,1.111111111111111e+19,17.0,5414.0,4.2606643939011,4362.9336512904,5044.6399543145,9564721.0,1224285952.0,256
3,9330.4848680003,8792.0360058593,2024-02-23,00:35:09.289,0.33,1.77,0.19,1.19,0.06,156.51,1.0,0.28,0.0,0.0092,15520.0,0.02,0.01,57.0,50.0,17045.71,9657.36,2596.97,3.53,88.25,0.66,16.41,0.19,1.44,0.13,1.23,0.09,56.78,1.0,0.4,0.0,0.0057,18400.0,0.15,0.01,97.0,42.0,9993.11,6930.52,2596.97,2.88,72.09,0.38,9.62,15.67,15.76,0.01,68.55,0.0,100.0,0.0,0.0,0.0,0.0,10.81,13.39,0.0,75.79,0.0,100.0,0.0,0.0,0.0,0.0,56.27,51.96,4.07,4.32,0.1,0.0,3.0,3.0,1.8,1.51,1.19,1.19,0.0,49.74,1.0,0.1,0.0,0.0107,1800.0,99.75,0.25,0.0,0.0,0.0,53.0,4662.24,3081.32,2596.97,3.03,75.65,3.59,89.76,,24624460.0,14028616.0,146188.0,114082948.0,8219386.0,0.0,528150(Total),0.0,28.0,1610.0,114674.0,0.0,168.0,524356(Miss),24624460.0,14028588.0,144578.0,113968274.0,8219386.0,0.0,3794(Hit),22400658.0,606970.0,3168508.0,46157930.0,0.0,0.0,251006(Total),2357726.0,0.0,9058.0,49448.0,0.0,0.0,254520(Miss),20042932.0,606970.0,3159450.0,46108482.0,0.0,0.0,0(Hit),6.11,4.25,9.96,4.85,16.06,9.09,52408.0,25.16,70.05,1.49,78.55,4.76,148.59,6.26,52425.0,154.85,164.66,15.35,180.01,ffff8,1.111111111111111e+19,17.0,90701.0,7.8804779493215,8069.6083961088,9330.4848680003,17445227.0,2232990592.0,128
4,9753.1342068113,9751.9880068913,2024-02-23,00:35:10.289,0.33,1.77,0.19,1.19,0.08,156.17,1.0,0.29,0.0,0.0091,15200.0,0.02,0.01,62.0,50.0,17097.8,9648.67,2596.78,3.54,88.6,0.66,16.46,0.19,1.45,0.13,1.24,0.07,56.86,1.0,0.4,0.0,0.0057,18600.0,0.12,0.01,97.0,43.0,9962.63,6874.93,2596.78,2.9,72.46,0.38,9.59,15.64,15.45,0.01,68.9,0.0,100.0,0.0,0.0,0.0,0.0,10.72,13.38,0.0,75.9,0.0,100.0,0.0,0.0,0.0,0.0,56.23,51.92,4.04,4.3,0.0,0.0,3.0,3.0,1.8,1.51,1.19,1.19,0.0,49.67,1.0,0.1,0.0,0.0106,1360.0,99.84,0.16,0.0,0.0,0.0,53.0,4663.98,3085.71,2596.78,3.02,75.57,3.59,89.8,,24474562.0,13933234.0,285614.0,113962618.0,8226036.0,0.0,522998(Total),28.0,0.0,154.0,6062.0,140.0,140.0,521122(Miss),24474534.0,13933234.0,285460.0,113956556.0,8225896.0,0.0,1876(Hit),21857458.0,592326.0,3541328.0,48130404.0,0.0,0.0,268170(Total),1904518.0,0.0,15778.0,7196.0,0.0,0.0,245546(Miss),19952940.0,592326.0,3525550.0,48123208.0,0.0,0.0,22624(Hit),6.22,4.38,10.09,5.11,16.3,9.49,52462.0,25.79,61.22,1.68,62.52,4.97,123.74,6.65,52466.0,130.39,140.05,16.13,156.18,ffff8,1.111111111111111e+19,17.0,128010.0,8.2374444314285,8435.1430977827,9753.1342068113,25682729.0,3287390848.0,128
5,9800.385498286,9779.8902237225,2024-02-23,00:35:11.288,0.32,1.53,0.21,1.19,0.07,152.14,1.0,0.29,0.0,0.0092,15440.0,0.02,0.01,59.0,50.0,16515.06,10761.41,2596.85,3.07,76.73,0.64,15.9,0.19,1.45,0.13,1.22,0.09,56.71,1.0,0.4,0.0,0.0057,18760.0,0.13,0.01,97.0,43.0,9886.54,6830.1,2596.85,2.89,72.37,0.38,9.52,17.48,14.37,0.0,68.15,0.0,100.0,0.0,0.0,0.0,0.0,10.74,15.11,0.0,74.15,0.0,100.0,0.0,0.0,0.0,0.0,56.23,52.03,4.05,4.3,0.33,0.33,3.0,3.0,1.8,1.52,1.18,1.19,0.0,49.58,1.0,0.1,0.0,0.0106,1080.0,99.75,0.25,0.0,0.0,0.0,53.0,4665.49,3075.63,2596.85,3.03,75.85,3.59,89.83,,24615318.0,13725754.0,231546.0,110685540.0,8180606.0,0.0,524020(Total),14.0,56.0,1778.0,11018.0,0.0,196.0,525000(Miss),24615304.0,13725698.0,229768.0,110674522.0,8180606.0,0.0,0(Hit),22369676.0,574546.0,3138380.0,46224332.0,0.0,0.0,239694(Total),1865080.0,0.0,4298.0,7686.0,0.0,0.0,259308(Miss),20504596.0,574546.0,3134082.0,46216646.0,0.0,0.0,0(Hit),6.17,4.38,9.86,4.98,16.03,9.36,52405.0,25.39,65.83,1.83,60.79,5.12,126.62,6.95,52409.0,133.57,142.65,16.31,158.97,ffff8,1.111111111111111e+19,17.0,314704.0,8.2773526167956,8476.0090795987,9800.385498286,33960106.0,4346895104.0,128
6,9757.577346754,9749.8086172816,2024-02-23,00:35:12.289,0.33,1.77,0.19,1.19,0.08,156.61,1.0,0.29,0.0,0.0092,15880.0,0.02,0.01,61.0,50.0,17092.72,9659.2,2599.37,3.54,88.48,0.66,16.44,0.19,1.45,0.13,1.23,0.08,57.04,1.0,0.4,0.0,0.0057,19240.0,0.13,0.01,97.0,43.0,9970.36,6893.82,2599.37,2.89,72.31,0.38,9.59,15.65,15.4,0.0,68.96,0.0,100.0,0.0,0.0,0.0,0.0,10.74,13.47,0.0,75.78,0.0,100.0,0.0,0.0,0.0,0.0,56.29,52.01,4.06,4.31,0.0,0.0,3.0,3.0,1.8,1.51,1.19,1.19,0.01,49.75,1.0,0.1,0.0,0.0106,1440.0,99.83,0.17,0.0,0.0,0.0,52.0,4673.78,3088.63,2599.37,3.03,75.66,3.6,89.9,,25068750.0,13941662.0,268884.0,114385152.0,8276016.0,0.0,523922(Total),14.0,0.0,504.0,7140.0,140.0,336.0,519372(Miss),25068736.0,13941662.0,268380.0,114378012.0,8275876.0,0.0,4550(Hit),22312612.0,606970.0,3186470.0,47369700.0,0.0,0.0,268142(Total),1995112.0,0.0,25046.0,8260.0,0.0,0.0,236824(Miss),20317500.0,606970.0,3161424.0,47361440.0,0.0,0.0,31318(Hit),6.11,4.35,9.7,4.9,15.81,9.25,52455.0,25.06,64.24,1.75,64.17,5.04,128.41,6.79,52469.0,135.2,144.23,16.04,160.26,ffff8,1.111111111111111e+19,17.0,125795.0,8.2411953536817,8438.9860901649,9757.577346754,42201322.0,5401771008.0,128
7,9745.5683608473,9729.7773815454,2024-02-23,00:35:13.289,0.33,1.78,0.18,1.19,0.06,155.89,1.0,0.28,0.0,0.0091,15080.0,0.02,0.01,42.0,50.0,17112.67,9598.46,2596.85,3.57,89.14,0.66,16.47,0.19,1.45,0.13,1.23,0.12,56.92,1.0,0.4,0.0,0.0057,19360.0,0.14,0.01,97.0,43.0,9974.38,6901.04,2596.85,2.89,72.27,0.38,9.6,15.57,15.71,0.0,68.71,0.0,100.0,0.0,0.0,0.0,0.0,10.76,13.48,0.0,75.75,0.0,100.0,0.0,0.0,0.0,0.0,56.24,51.94,4.03,4.31,0.0,0.0,3.0,3.0,1.81,1.52,1.19,1.19,0.0,49.59,1.0,0.1,0.0,0.0106,1320.0,99.76,0.24,0.0,0.0,0.0,51.0,4693.2,3081.42,2596.85,3.05,76.15,3.61,90.36,,24665284.0,14017542.0,236572.0,113907766.0,8216166.0,0.0,525588(Total),0.0,0.0,644.0,5936.0,168.0,420.0,521416(Miss),24665284.0,14017542.0,235928.0,113901830.0,8215998.0,0.0,4172(Hit),22392860.0,608790.0,3342150.0,48624128.0,0.0,0.0,248724(Total),1881096.0,0.0,1078.0,512750.0,0.0,0.0,262948(Miss),20511764.0,608790.0,3341072.0,48111378.0,0.0,0.0,0(Hit),6.62,4.28,10.97,5.23,17.59,9.51,52411.0,27.1,68.01,2.12,69.19,5.41,137.2,7.53,52417.0,144.73,154.79,17.04,171.83,ffff8,1.111111111111111e+19,17.0,116781.0,8.2310560885495,8428.5993866794,9745.5683608473,50432397.0,6455348352.0,128
8,9758.0928515799,9755.2065122948,2024-02-23,00:35:14.289,0.33,1.76,0.19,1.19,0.09,156.47,1.0,0.29,0.0,0.0092,15520.0,0.02,0.01,60.0,49.0,17062.64,9667.47,2596.88,3.53,88.25,0.66,16.43,0.19,1.45,0.13,1.23,0.1,57.04,1.0,0.4,0.0,0.0057,19920.0,0.15,0.01,96.0,43.0,9988.13,6901.42,2596.88,2.89,72.36,0.38,9.62,15.69,15.64,0.01,68.66,0.0,100.0,0.0,0.0,0.0,0.0,10.77,13.67,0.01,75.55,0.0,100.0,0.0,0.0,0.0,0.0,56.27,52.03,4.01,4.33,0.0,0.0,3.0,3.0,1.79,1.51,1.19,1.19,0.0,49.66,1.0,0.1,0.0,0.0107,880.0,99.77,0.23,0.0,0.0,0.0,52.0,4659.07,3082.14,2596.88,3.02,75.58,3.59,89.7,,24577182.0,13971594.0,144634.0,114615984.0,8319598.0,0.0,522774(Total),0.0,28.0,1834.0,14210.0,70.0,168.0,517160(Miss),24577182.0,13971566.0,142800.0,114601774.0,8319528.0,0.0,5614(Hit),22388226.0,602000.0,3226230.0,46766482.0,0.0,0.0,258566(Total),2091586.0,0.0,5040.0,32172.0,0.0,0.0,247030(Miss),20296640.0,602000.0,3221190.0,46734310.0,0.0,0.0,11536(Hit),6.58,4.64,11.36,5.85,17.94,10.49,52459.0,28.43,76.28,2.28,75.54,5.57,151.81,7.85,52475.0,159.67,169.76,18.34,188.1,ffff8,1.111111111111111e+19,17.0,124071.0,8.2416290165551,8439.4322089311,9758.0928515799,58674069.0,7510282880.0,128
9,9796.7274789765,9785.2918775554,2024-02-23,00:35:15.289,0.33,1.78,0.18,1.19,0.06,156.45,1.0,0.28,0.0,0.0092,15160.0,0.01,0.01,52.0,49.0,17074.77,9599.08,2596.95,3.56,88.94,0.66,16.44,0.19,1.45,0.13,1.23,0.09,57.02,1.0,0.4,0.0,0.0057,19240.0,0.15,0.01,97.0,42.0,10003.19,6880.93,2596.95,2.91,72.69,0.39,9.63,15.57,15.65,0.0,68.77,0.0,100.0,0.0,0.0,0.0,0.0,10.73,13.41,0.0,75.86,0.0,100.0,0.0,0.0,0.0,0.0,56.16,52.01,4.06,4.32,0.03,0.0,3.0,3.0,1.8,1.52,1.19,1.19,0.0,49.74,1.0,0.1,0.0,0.0106,1000.0,99.75,0.25,0.0,0.0,0.0,52.0,4671.2,3081.74,2596.95,3.03,75.79,3.6,89.94,,24304560.0,13970208.0,1222298.0,114118676.0,8315202.0,0.0,525868(Total),28.0,0.0,1162.0,9898.0,0.0,140.0,525490(Miss),24304532.0,13970208.0,1221136.0,114108778.0,8315202.0,0.0,378(Hit),21785162.0,597282.0,3744160.0,48603366.0,0.0,0.0,264110(Total),2344608.0,0.0,1624.0,36204.0,0.0,0.0,249480(Miss),19440554.0,597282.0,3742536.0,48567162.0,0.0,0.0,14630(Hit),6.02,4.16,9.33,4.51,15.36,8.68,52407.0,24.03,73.12,1.49,70.16,4.78,143.27,6.27,52414.0,149.54,158.63,14.95,173.58,ffff8,1.111111111111111e+19,17.0,11171.0,8.2742604788758,8472.8458023563,9796.7274789765,66948363.0,8569392896.0,128
